Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DMVF3;16/06/2023;16:45:00;4,70;4,76;4,69;4,76;17.544,00;3.700
DMVF3;16/06/2023;16:40:00;4,75;4,75;4,75;4,75;475,00;100
DMVF3;16/06/2023;16:25:00;4,75;4,76;4,75;4,76;1.427,00;300
DMVF3;16/06/2023;16:15:00;4,75;4,75;4,70;4,75;17.525,00;3.700
DMVF3;16/06/2023;16:10:00;4,73;4,73;4,73;4,73;473,00;100
DMVF3;16/06/2023;16:05:00;4,70;4,73;4,69;4,73;23.564,00;5.000
DMVF3;16/06/2023;16:00:00;4,71;4,71;4,71;4,71;1.884,00;400
DMVF3;16/06/2023;15:55:00;4,73;4,73;4,73;4,73;19.393,00;4.100
DMVF3;16/06/2023;15:50:00;4,73;4,73;4,73;4,73;25.542,00;5.400
DMVF3;16/06/2023;15:45:00;4,73;4,73;4,73;4,73;3.311,00;700
DMVF3;16/06/2023;15:35:00;4,73;4,73;4,73;4,73;23.177,00;4.900
DMVF3;16/06/2023;15:10:00;4,74;4,74;4,74;4,74;6.636,00;1.400
DMVF3;16/06/2023;15:05:00;4,73;4,73;4,73;4,73;946,00;200
DMVF3;16/06/2023;14:55:00;4,74;4,74;4,74;4,74;474,00;100
DMVF3;16/06/2023;14:45:00;4,70;4,70;4,70;4,70;470,00;100
DMVF3;16/06/2023;14:40:00;4,73;4,74;4,73;4,74;4.738,00;1.000
DMVF3;16/06/2023;14:20:00;4,74;4,75;4,74;4,75;1.898,00;400
DMVF3;16/06/2023;14:05:00;4,74;4,74;4,69;4,69;2.819,00;600
DMVF3;16/06/2023;13:35:00;4,74;4,74;4,73;4,73;947,00;200
DMVF3;16/06/2023;13:30:00;4,72;4,72;4,71;4,71;943,00;200
DMVF3;16/06/2023;13:25:00;4,76;4,76;4,75;4,75;2.379,00;500
DMVF3;16/06/2023;13:20:00;4,77;4,77;4,76;4,76;3.809,00;800
DMVF3;16/06/2023;13:15:00;4,70;4,70;4,70;4,70;940,00;200
DMVF3;16/06/2023;13:10:00;4,70;4,70;4,70;4,70;4.230,00;900
DMVF3;16/06/2023;13:05:00;4,76;4,77;4,76;4,77;953,00;200
DMVF3;16/06/2023;13:00:00;4,75;4,77;4,75;4,77;3.802,00;800
DMVF3;16/06/2023;12:55:00;4,71;4,71;4,71;4,71;471,00;100
DMVF3;16/06/2023;12:50:00;4,77;4,77;4,77;4,77;1.431,00;300
DMVF3;16/06/2023;12:45:00;4,71;4,71;4,71;4,71;1.413,00;300
DMVF3;16/06/2023;12:40:00;4,76;4,76;4,71;4,71;947,00;200
DMVF3;16/06/2023;12:35:00;4,76;4,76;4,76;4,76;476,00;100
DMVF3;16/06/2023;12:30:00;4,71;4,77;4,71;4,77;3.320,00;700
DMVF3;16/06/2023;12:25:00;4,75;4,75;4,75;4,75;475,00;100
DMVF3;16/06/2023;12:20:00;4,71;4,71;4,71;4,71;1.413,00;300
DMVF3;16/06/2023;12:15:00;4,75;4,75;4,75;4,75;475,00;100
DMVF3;16/06/2023;12:10:00;4,76;4,76;4,70;4,70;1.896,00;400
DMVF3;16/06/2023;12:05:00;4,66;4,69;4,66;4,69;4.679,00;1.000
