Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DOTZ3;16/06/2023;17:30:00;1,30;1,30;1,29;1,29;904,00;700
DOTZ3;16/06/2023;16:40:00;1,26;1,30;1,26;1,30;22.053,00;17.000
DOTZ3;16/06/2023;16:35:00;1,26;1,26;1,26;1,26;126,00;100
DOTZ3;16/06/2023;16:30:00;1,27;1,29;1,27;1,27;16.385,00;12.800
DOTZ3;16/06/2023;16:25:00;1,29;1,29;1,27;1,29;16.729,00;13.000
DOTZ3;16/06/2023;16:20:00;1,30;1,30;1,29;1,29;9.210,00;7.100
DOTZ3;16/06/2023;16:15:00;1,30;1,31;1,30;1,31;7.581,00;5.800
DOTZ3;16/06/2023;16:10:00;1,31;1,31;1,30;1,30;9.639,00;7.400
DOTZ3;16/06/2023;16:05:00;1,30;1,32;1,28;1,31;31.891,00;24.600
DOTZ3;16/06/2023;16:00:00;1,31;1,31;1,30;1,30;13.081,00;10.000
DOTZ3;16/06/2023;15:55:00;1,30;1,31;1,29;1,31;24.087,00;18.500
DOTZ3;16/06/2023;15:50:00;1,27;1,29;1,27;1,29;17.063,00;13.300
DOTZ3;16/06/2023;15:45:00;1,28;1,28;1,28;1,28;12.288,00;9.600
DOTZ3;16/06/2023;15:40:00;1,26;1,28;1,26;1,28;3.683,00;2.900
DOTZ3;16/06/2023;15:35:00;1,26;1,27;1,26;1,27;4.413,00;3.500
DOTZ3;16/06/2023;15:30:00;1,27;1,27;1,27;1,27;1.270,00;1.000
DOTZ3;16/06/2023;15:25:00;1,26;1,27;1,26;1,27;17.552,00;13.900
DOTZ3;16/06/2023;15:20:00;1,26;1,27;1,26;1,27;29.514,00;23.400
DOTZ3;16/06/2023;15:10:00;1,23;1,25;1,23;1,25;23.712,00;19.100
DOTZ3;16/06/2023;15:05:00;1,23;1,24;1,23;1,24;9.109,00;7.400
DOTZ3;16/06/2023;15:00:00;1,22;1,23;1,22;1,23;245,00;200
DOTZ3;16/06/2023;14:55:00;1,23;1,23;1,23;1,23;15.867,00;12.900
DOTZ3;16/06/2023;14:50:00;1,23;1,23;1,23;1,23;369,00;300
DOTZ3;16/06/2023;14:45:00;1,21;1,23;1,21;1,23;11.215,00;9.200
DOTZ3;16/06/2023;14:40:00;1,21;1,21;1,21;1,21;726,00;600
DOTZ3;16/06/2023;14:35:00;1,20;1,21;1,19;1,21;2.413,00;2.000
DOTZ3;16/06/2023;14:25:00;1,20;1,21;1,20;1,21;2.763,00;2.300
DOTZ3;16/06/2023;14:20:00;1,21;1,21;1,21;1,21;1.573,00;1.300
DOTZ3;16/06/2023;14:15:00;1,20;1,21;1,20;1,21;3.130,00;2.600
DOTZ3;16/06/2023;14:10:00;1,20;1,20;1,20;1,20;600,00;500
DOTZ3;16/06/2023;14:05:00;1,20;1,20;1,20;1,20;240,00;200
DOTZ3;16/06/2023;14:00:00;1,21;1,21;1,20;1,20;843,00;700
DOTZ3;16/06/2023;13:55:00;1,21;1,21;1,21;1,21;1.331,00;1.100
DOTZ3;16/06/2023;13:50:00;1,20;1,20;1,20;1,20;4.680,00;3.900
DOTZ3;16/06/2023;13:45:00;1,19;1,21;1,19;1,21;54.883,00;45.800
DOTZ3;16/06/2023;13:40:00;1,18;1,19;1,18;1,19;3.798,00;3.200
DOTZ3;16/06/2023;13:30:00;1,16;1,18;1,15;1,18;25.261,00;21.500
DOTZ3;16/06/2023;13:15:00;1,16;1,16;1,15;1,15;4.142,00;3.600
DOTZ3;16/06/2023;12:55:00;1,16;1,16;1,16;1,16;116,00;100
DOTZ3;16/06/2023;12:50:00;1,15;1,15;1,15;1,15;115,00;100
DOTZ3;16/06/2023;12:25:00;1,16;1,16;1,16;1,16;928,00;800
DOTZ3;16/06/2023;12:20:00;1,16;1,16;1,16;1,16;116,00;100
DOTZ3;16/06/2023;12:10:00;1,15;1,15;1,15;1,15;115,00;100
DOTZ3;16/06/2023;11:45:00;1,16;1,16;1,16;1,16;232,00;200
DOTZ3;16/06/2023;11:25:00;1,16;1,16;1,16;1,16;17.516,00;15.100
DOTZ3;16/06/2023;11:10:00;1,17;1,17;1,17;1,17;819,00;700
DOTZ3;16/06/2023;11:05:00;1,16;1,16;1,16;1,16;232,00;200
DOTZ3;16/06/2023;11:00:00;1,16;1,16;1,16;1,16;5.916,00;5.100
DOTZ3;16/06/2023;10:45:00;1,16;1,16;1,16;1,16;3.712,00;3.200
DOTZ3;16/06/2023;10:40:00;1,15;1,16;1,15;1,16;1.730,00;1.500
DOTZ3;16/06/2023;10:35:00;1,16;1,16;1,15;1,15;4.504,00;3.900
DOTZ3;16/06/2023;10:25:00;1,17;1,17;1,16;1,16;2.920,00;2.500
DOTZ3;16/06/2023;10:20:00;1,16;1,17;1,15;1,17;695,00;600
DOTZ3;16/06/2023;10:15:00;1,15;1,16;1,15;1,15;11.963,00;10.400
DOTZ3;16/06/2023;10:10:00;1,14;1,16;1,14;1,16;800,00;700
DOTZ3;16/06/2023;10:05:00;1,14;1,14;1,14;1,14;114,00;100
DOTZ3;15/06/2023;16:45:00;1,14;1,15;1,14;1,14;13.567,00;11.900
DOTZ3;15/06/2023;16:40:00;1,14;1,14;1,14;1,14;114,00;100
DOTZ3;15/06/2023;16:35:00;1,14;1,15;1,14;1,15;3.447,00;3.000
DOTZ3;15/06/2023;16:30:00;1,14;1,15;1,14;1,15;2.290,00;2.000
DOTZ3;15/06/2023;16:05:00;1,14;1,14;1,14;1,14;342,00;300
DOTZ3;15/06/2023;16:00:00;1,14;1,14;1,14;1,14;114,00;100
DOTZ3;15/06/2023;15:55:00;1,14;1,14;1,14;1,14;114,00;100
DOTZ3;15/06/2023;15:50:00;1,14;1,14;1,14;1,14;114,00;100
DOTZ3;15/06/2023;15:35:00;1,13;1,13;1,13;1,13;1.130,00;1.000
DOTZ3;15/06/2023;15:25:00;1,12;1,12;1,12;1,12;112,00;100
DOTZ3;15/06/2023;15:10:00;1,12;1,12;1,12;1,12;784,00;700
DOTZ3;15/06/2023;15:05:00;1,13;1,13;1,13;1,13;339,00;300
DOTZ3;15/06/2023;14:30:00;1,13;1,13;1,13;1,13;2.486,00;2.200
DOTZ3;15/06/2023;14:00:00;1,12;1,12;1,12;1,12;1.120,00;1.000
DOTZ3;15/06/2023;13:55:00;1,12;1,13;1,12;1,13;16.159,00;14.400
DOTZ3;15/06/2023;13:50:00;1,15;1,15;1,15;1,15;1.150,00;1.000
DOTZ3;15/06/2023;13:45:00;1,15;1,15;1,15;1,15;4.600,00;4.000
DOTZ3;15/06/2023;13:40:00;1,14;1,14;1,12;1,12;2.372,00;2.100
DOTZ3;15/06/2023;13:25:00;1,15;1,15;1,15;1,15;5.865,00;5.100
DOTZ3;15/06/2023;13:15:00;1,15;1,15;1,15;1,15;345,00;300
DOTZ3;15/06/2023;13:10:00;1,15;1,15;1,15;1,15;690,00;600
DOTZ3;15/06/2023;13:05:00;1,15;1,15;1,15;1,15;575,00;500
DOTZ3;15/06/2023;13:00:00;1,14;1,14;1,14;1,14;4.104,00;3.600
DOTZ3;15/06/2023;12:50:00;1,15;1,15;1,15;1,15;690,00;600
DOTZ3;15/06/2023;12:45:00;1,15;1,15;1,15;1,15;115,00;100
DOTZ3;15/06/2023;12:40:00;1,15;1,15;1,15;1,15;115,00;100
DOTZ3;15/06/2023;12:35:00;1,14;1,14;1,14;1,14;342,00;300
DOTZ3;15/06/2023;12:30:00;1,13;1,15;1,13;1,15;1.711,00;1.500
DOTZ3;15/06/2023;12:15:00;1,13;1,13;1,13;1,13;1.695,00;1.500
DOTZ3;15/06/2023;11:55:00;1,14;1,14;1,13;1,13;4.538,00;4.000
DOTZ3;15/06/2023;11:50:00;1,14;1,14;1,14;1,14;342,00;300
DOTZ3;15/06/2023;11:45:00;1,13;1,13;1,13;1,13;226,00;200
DOTZ3;15/06/2023;11:40:00;1,13;1,13;1,13;1,13;113,00;100
DOTZ3;15/06/2023;11:25:00;1,15;1,15;1,13;1,13;8.910,00;7.800
DOTZ3;15/06/2023;11:20:00;1,16;1,16;1,15;1,15;1.497,00;1.300
DOTZ3;15/06/2023;11:15:00;1,17;1,17;1,16;1,16;3.025,00;2.600
DOTZ3;15/06/2023;11:10:00;1,15;1,16;1,15;1,16;23.970,00;20.700
DOTZ3;15/06/2023;11:05:00;1,15;1,15;1,15;1,15;12.650,00;11.000
DOTZ3;15/06/2023;11:00:00;1,15;1,15;1,15;1,15;230,00;200
DOTZ3;15/06/2023;10:55:00;1,14;1,15;1,14;1,14;3.202,00;2.800
DOTZ3;15/06/2023;10:50:00;1,15;1,15;1,15;1,15;460,00;400
DOTZ3;15/06/2023;10:45:00;1,14;1,15;1,14;1,15;13.515,00;11.800
DOTZ3;15/06/2023;10:40:00;1,14;1,14;1,13;1,14;9.439,00;8.300
DOTZ3;15/06/2023;10:35:00;1,14;1,14;1,14;1,14;1.368,00;1.200
DOTZ3;15/06/2023;10:30:00;1,13;1,14;1,13;1,14;11.533,00;10.200
DOTZ3;15/06/2023;10:25:00;1,11;1,11;1,10;1,10;2.311,00;2.100
DOTZ3;15/06/2023;10:20:00;1,11;1,11;1,11;1,11;4.551,00;4.100
DOTZ3;15/06/2023;10:15:00;1,12;1,13;1,12;1,12;2.030,00;1.800
DOTZ3;15/06/2023;10:10:00;1,13;1,13;1,13;1,13;226,00;200
DOTZ3;15/06/2023;10:00:00;1,11;1,13;1,11;1,13;16.719,00;14.800
DOTZ3;14/06/2023;17:30:00;1,11;1,11;1,10;1,11;1.655,00;1.500
DOTZ3;14/06/2023;16:50:00;1,10;1,11;1,10;1,11;11.504,00;10.400
DOTZ3;14/06/2023;16:45:00;1,09;1,09;1,09;1,09;545,00;500
DOTZ3;14/06/2023;16:30:00;1,09;1,09;1,09;1,09;6.540,00;6.000
DOTZ3;14/06/2023;16:25:00;1,09;1,09;1,09;1,09;6.758,00;6.200
DOTZ3;14/06/2023;16:20:00;1,10;1,10;1,09;1,09;5.609,00;5.100
DOTZ3;14/06/2023;16:10:00;1,11;1,11;1,11;1,11;111,00;100
DOTZ3;14/06/2023;16:00:00;1,10;1,10;1,10;1,10;660,00;600
DOTZ3;14/06/2023;15:50:00;1,10;1,10;1,10;1,10;110,00;100
DOTZ3;14/06/2023;15:45:00;1,09;1,09;1,09;1,09;545,00;500
DOTZ3;14/06/2023;15:30:00;1,09;1,09;1,09;1,09;1.199,00;1.100
DOTZ3;14/06/2023;15:25:00;1,10;1,10;1,10;1,10;1.100,00;1.000
DOTZ3;14/06/2023;15:15:00;1,10;1,10;1,10;1,10;1.100,00;1.000
DOTZ3;14/06/2023;15:10:00;1,10;1,10;1,10;1,10;1.650,00;1.500
DOTZ3;14/06/2023;15:05:00;1,11;1,11;1,11;1,11;111,00;100
DOTZ3;14/06/2023;14:45:00;1,11;1,12;1,11;1,12;4.475,00;4.000
DOTZ3;14/06/2023;14:40:00;1,10;1,11;1,10;1,11;443,00;400
DOTZ3;14/06/2023;14:30:00;1,10;1,10;1,09;1,09;5.589,00;5.100
DOTZ3;14/06/2023;14:20:00;1,11;1,11;1,11;1,11;111,00;100
DOTZ3;14/06/2023;14:15:00;1,11;1,11;1,11;1,11;2.109,00;1.900
DOTZ3;14/06/2023;14:05:00;1,12;1,12;1,12;1,12;1.008,00;900
DOTZ3;14/06/2023;14:00:00;1,11;1,11;1,11;1,11;222,00;200
DOTZ3;14/06/2023;13:35:00;1,10;1,10;1,09;1,10;16.169,00;14.700
DOTZ3;14/06/2023;13:30:00;1,13;1,14;1,12;1,14;1.470,00;1.300
DOTZ3;14/06/2023;13:20:00;1,13;1,14;1,13;1,14;3.742,00;3.300
DOTZ3;14/06/2023;13:15:00;1,14;1,14;1,14;1,14;2.964,00;2.600
DOTZ3;14/06/2023;13:10:00;1,14;1,14;1,14;1,14;4.218,00;3.700
DOTZ3;14/06/2023;13:05:00;1,08;1,12;1,08;1,12;39.194,00;35.900
DOTZ3;14/06/2023;13:00:00;1,07;1,08;1,07;1,08;6.691,00;6.200
