Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DXCO3;06/06/2023;11:20:00;8,98;8,98;8,97;8,97;248.514,00;27.700
DXCO3;06/06/2023;11:15:00;9,00;9,00;8,98;8,98;123.971,00;13.800
DXCO3;06/06/2023;11:10:00;8,99;9,00;8,97;9,00;329.490,00;36.700
DXCO3;06/06/2023;11:05:00;8,93;9,02;8,93;8,99;753.098,00;83.800
DXCO3;06/06/2023;11:00:00;8,91;8,93;8,90;8,92;652.067,00;73.100
DXCO3;06/06/2023;10:55:00;8,90;8,90;8,89;8,90;209.102,00;23.500
DXCO3;06/06/2023;10:50:00;8,92;8,92;8,90;8,90;401.115,00;45.000
DXCO3;06/06/2023;10:45:00;8,92;8,93;8,91;8,92;551.277,00;61.800
DXCO3;06/06/2023;10:40:00;8,91;8,93;8,89;8,92;723.139,00;81.100
DXCO3;06/06/2023;10:35:00;8,90;8,93;8,89;8,90;457.204,00;51.300
DXCO3;06/06/2023;10:30:00;8,90;8,94;8,90;8,90;435.079,00;48.800
DXCO3;06/06/2023;10:25:00;8,91;8,91;8,88;8,90;227.732,00;25.600
DXCO3;06/06/2023;10:20:00;8,87;8,92;8,87;8,91;190.187,00;21.400
DXCO3;06/06/2023;10:15:00;8,89;8,90;8,88;8,89;75.536,00;8.500
DXCO3;06/06/2023;10:10:00;8,95;8,96;8,89;8,89;188.580,00;21.100
DXCO3;06/06/2023;10:05:00;8,98;8,98;8,92;8,95;187.828,00;21.000
DXCO3;06/06/2023;10:00:00;8,98;8,98;8,90;8,98;50.110,00;5.600
DXCO3;05/06/2023;17:30:00;8,90;8,91;8,88;8,90;191.216,00;21.500
DXCO3;05/06/2023;16:50:00;8,95;8,96;8,92;8,92;1.995.158,00;223.500
DXCO3;05/06/2023;16:45:00;8,95;8,96;8,94;8,95;895.712,00;100.100
DXCO3;05/06/2023;16:40:00;8,94;8,95;8,94;8,95;917.355,00;102.500
DXCO3;05/06/2023;16:35:00;8,95;8,95;8,93;8,95;619.605,00;69.300
DXCO3;05/06/2023;16:30:00;8,96;8,98;8,93;8,95;1.157.815,00;129.300
DXCO3;05/06/2023;16:25:00;8,97;8,99;8,95;8,96;1.120.395,00;124.900
DXCO3;05/06/2023;16:20:00;8,94;8,98;8,93;8,97;2.546.475,00;284.600
DXCO3;05/06/2023;16:15:00;8,94;8,94;8,93;8,94;1.268.431,00;141.900
DXCO3;05/06/2023;16:10:00;8,93;8,94;8,91;8,94;466.942,00;52.300
DXCO3;05/06/2023;16:05:00;8,93;8,93;8,91;8,92;146.347,00;16.400
DXCO3;05/06/2023;16:00:00;8,92;8,93;8,91;8,92;139.201,00;15.600
DXCO3;05/06/2023;15:55:00;8,93;8,93;8,91;8,93;347.212,00;38.900
DXCO3;05/06/2023;15:50:00;8,92;8,93;8,90;8,93;1.017.993,00;114.200
DXCO3;05/06/2023;15:45:00;8,91;8,92;8,91;8,92;228.141,00;25.600
DXCO3;05/06/2023;15:40:00;8,91;8,93;8,90;8,91;660.980,00;74.100
DXCO3;05/06/2023;15:35:00;8,92;8,93;8,91;8,92;308.625,00;34.600
DXCO3;05/06/2023;15:30:00;8,92;8,93;8,91;8,92;295.196,00;33.100
DXCO3;05/06/2023;15:25:00;8,92;8,92;8,89;8,92;383.892,00;43.100
DXCO3;05/06/2023;15:20:00;8,92;8,94;8,91;8,92;659.413,00;73.900
DXCO3;05/06/2023;15:15:00;8,89;8,92;8,89;8,92;1.080.077,00;121.300
DXCO3;05/06/2023;15:10:00;8,90;8,90;8,89;8,90;118.359,00;13.300
DXCO3;05/06/2023;15:05:00;8,90;8,91;8,88;8,90;133.351,00;15.000
DXCO3;05/06/2023;15:00:00;8,91;8,93;8,89;8,90;1.303.627,00;146.300
DXCO3;05/06/2023;14:55:00;8,90;8,91;8,89;8,90;553.528,00;62.200
DXCO3;05/06/2023;14:50:00;8,90;8,90;8,89;8,90;223.344,00;25.100
DXCO3;05/06/2023;14:45:00;8,90;8,90;8,89;8,90;52.498,00;5.900
DXCO3;05/06/2023;14:40:00;8,89;8,90;8,89;8,90;96.938,00;10.900
DXCO3;05/06/2023;14:35:00;8,92;8,92;8,88;8,89;472.583,00;53.100
DXCO3;05/06/2023;14:30:00;8,93;8,94;8,92;8,92;365.959,00;41.000
DXCO3;05/06/2023;14:25:00;8,93;8,95;8,91;8,93;1.174.732,00;131.600
DXCO3;05/06/2023;14:20:00;8,96;8,96;8,92;8,93;245.758,00;27.500
DXCO3;05/06/2023;14:15:00;8,96;8,96;8,95;8,96;122.645,00;13.700
DXCO3;05/06/2023;14:10:00;8,97;8,97;8,94;8,96;174.653,00;19.500
DXCO3;05/06/2023;14:05:00;8,95;8,97;8,94;8,96;185.309,00;20.700
DXCO3;05/06/2023;14:00:00;8,94;8,96;8,92;8,96;243.005,00;27.200
DXCO3;05/06/2023;13:55:00;8,95;8,95;8,93;8,94;286.973,00;32.100
DXCO3;05/06/2023;13:50:00;8,97;8,97;8,94;8,95;127.212,00;14.200
DXCO3;05/06/2023;13:45:00;8,96;8,97;8,96;8,97;175.648,00;19.600
DXCO3;05/06/2023;13:40:00;8,97;8,98;8,96;8,97;151.656,00;16.900
DXCO3;05/06/2023;13:35:00;9,01;9,01;8,97;8,97;212.253,00;23.600
DXCO3;05/06/2023;13:30:00;9,02;9,03;9,00;9,01;225.299,00;25.000
DXCO3;05/06/2023;13:25:00;9,02;9,03;9,01;9,03;1.992.843,00;220.700
DXCO3;05/06/2023;13:20:00;9,01;9,03;9,01;9,01;255.287,00;28.300
DXCO3;05/06/2023;13:15:00;9,01;9,02;9,00;9,00;117.999,00;13.100
DXCO3;05/06/2023;13:10:00;8,98;9,01;8,98;9,00;311.301,00;34.600
DXCO3;05/06/2023;13:05:00;8,99;9,00;8,97;8,99;306.527,00;34.100
DXCO3;05/06/2023;13:00:00;8,98;8,99;8,97;8,99;257.753,00;28.700
DXCO3;05/06/2023;12:55:00;8,95;8,98;8,95;8,98;270.876,00;30.200
DXCO3;05/06/2023;12:50:00;8,93;8,96;8,93;8,94;207.490,00;23.200
