Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ECOR3;06/06/2023;11:20:00;6,98;6,98;6,97;6,97;46.052,00;6.600
ECOR3;06/06/2023;11:15:00;6,98;6,99;6,96;6,97;644.977,00;92.600
ECOR3;06/06/2023;11:10:00;6,99;7,00;6,96;6,97;425.514,00;61.000
ECOR3;06/06/2023;11:05:00;6,99;7,00;6,98;6,99;190.912,00;27.300
ECOR3;06/06/2023;11:00:00;7,00;7,00;6,94;6,98;719.791,00;103.300
ECOR3;06/06/2023;10:55:00;7,01;7,01;6,99;6,99;130.250,00;18.600
ECOR3;06/06/2023;10:50:00;6,99;7,00;6,99;7,00;170.744,00;24.400
ECOR3;06/06/2023;10:45:00;7,00;7,00;7,00;7,00;162.400,00;23.200
ECOR3;06/06/2023;10:40:00;7,01;7,01;6,97;7,00;117.450,00;16.800
ECOR3;06/06/2023;10:35:00;6,99;7,01;6,99;7,00;123.807,00;17.700
ECOR3;06/06/2023;10:30:00;6,97;7,02;6,97;7,00;742.845,00;106.200
ECOR3;06/06/2023;10:25:00;6,96;6,98;6,96;6,97;147.771,00;21.200
ECOR3;06/06/2023;10:20:00;6,95;6,96;6,95;6,96;111.205,00;16.000
ECOR3;06/06/2023;10:15:00;6,95;6,96;6,94;6,96;250.852,00;36.100
ECOR3;06/06/2023;10:10:00;6,99;7,00;6,96;6,96;58.628,00;8.400
ECOR3;06/06/2023;10:05:00;6,96;6,99;6,96;6,99;154.863,00;22.200
ECOR3;06/06/2023;10:00:00;6,99;6,99;6,94;6,96;133.040,00;19.100
ECOR3;05/06/2023;17:30:00;6,95;6,95;6,94;6,94;11.807,00;1.700
ECOR3;05/06/2023;16:50:00;6,96;6,96;6,94;6,94;3.146.040,00;453.200
ECOR3;05/06/2023;16:45:00;6,98;6,99;6,95;6,96;1.379.357,00;197.700
ECOR3;05/06/2023;16:40:00;6,97;6,98;6,97;6,98;1.309.068,00;187.600
ECOR3;05/06/2023;16:35:00;6,97;6,98;6,97;6,98;62.754,00;9.000
ECOR3;05/06/2023;16:30:00;7,00;7,01;6,97;6,97;373.523,00;53.400
ECOR3;05/06/2023;16:25:00;6,99;6,99;6,98;6,99;811.067,00;116.100
ECOR3;05/06/2023;16:20:00;6,98;6,99;6,98;6,98;497.532,00;71.200
ECOR3;05/06/2023;16:15:00;6,99;6,99;6,98;6,99;333.669,00;47.800
ECOR3;05/06/2023;16:10:00;6,99;7,00;6,98;6,99;1.589.461,00;227.400
ECOR3;05/06/2023;16:05:00;6,97;6,99;6,97;6,99;288.336,00;41.300
ECOR3;05/06/2023;16:00:00;6,98;6,98;6,97;6,97;50.915,00;7.300
ECOR3;05/06/2023;15:55:00;6,94;6,98;6,94;6,98;551.083,00;79.200
ECOR3;05/06/2023;15:50:00;6,92;6,95;6,92;6,94;792.879,00;114.300
ECOR3;05/06/2023;15:45:00;6,94;6,94;6,92;6,92;150.393,00;21.700
ECOR3;05/06/2023;15:40:00;6,94;6,95;6,93;6,93;620.544,00;89.400
ECOR3;05/06/2023;15:35:00;6,94;6,96;6,93;6,94;484.723,00;69.800
ECOR3;05/06/2023;15:30:00;6,95;6,97;6,95;6,95;324.060,00;46.600
ECOR3;05/06/2023;15:25:00;6,96;6,97;6,94;6,96;566.211,00;81.400
ECOR3;05/06/2023;15:20:00;6,95;6,98;6,95;6,97;708.697,00;101.700
ECOR3;05/06/2023;15:15:00;6,94;6,96;6,94;6,95;227.242,00;32.700
ECOR3;05/06/2023;15:10:00;6,94;6,95;6,94;6,94;18.056,00;2.600
