Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ELET3;16/06/2023;17:30:00;38,97;39,00;38,77;38,80;3.248.509,00;83.600
ELET3;16/06/2023;16:45:00;39,19;39,20;38,98;38,98;300.723.719,00;7.713.900
ELET3;16/06/2023;16:40:00;39,24;39,24;39,15;39,19;93.545.295,00;2.386.500
ELET3;16/06/2023;16:35:00;39,22;39,28;39,18;39,24;7.536.981,00;192.100
ELET3;16/06/2023;16:30:00;39,16;39,24;39,11;39,22;6.166.921,00;157.400
ELET3;16/06/2023;16:25:00;39,13;39,17;39,12;39,16;4.278.399,00;109.300
ELET3;16/06/2023;16:20:00;39,13;39,15;39,11;39,13;3.889.311,00;99.400
ELET3;16/06/2023;16:15:00;39,20;39,22;39,13;39,14;4.576.137,00;116.800
ELET3;16/06/2023;16:10:00;39,31;39,33;39,20;39,20;4.727.405,00;120.400
ELET3;16/06/2023;16:05:00;39,32;39,34;39,29;39,31;4.288.546,00;109.100
ELET3;16/06/2023;16:00:00;39,35;39,36;39,29;39,33;3.598.822,00;91.500
ELET3;16/06/2023;15:55:00;39,33;39,38;39,28;39,35;5.397.170,00;137.200
ELET3;16/06/2023;15:50:00;39,35;39,37;39,30;39,33;4.008.284,00;101.900
ELET3;16/06/2023;15:45:00;39,31;39,38;39,28;39,35;4.436.897,00;112.800
ELET3;16/06/2023;15:40:00;39,29;39,31;39,23;39,30;4.457.902,00;113.500
ELET3;16/06/2023;15:35:00;39,29;39,32;39,27;39,29;3.945.004,00;100.400
ELET3;16/06/2023;15:30:00;39,39;39,40;39,28;39,29;5.945.176,00;151.100
ELET3;16/06/2023;15:25:00;39,36;39,40;39,32;39,39;6.368.230,00;161.800
ELET3;16/06/2023;15:20:00;39,29;39,40;39,27;39,36;5.298.284,00;134.700
ELET3;16/06/2023;15:15:00;39,28;39,31;39,23;39,29;6.519.935,00;166.000
ELET3;16/06/2023;15:10:00;39,26;39,33;39,26;39,29;3.886.125,00;98.900
ELET3;16/06/2023;15:05:00;39,30;39,33;39,24;39,27;3.971.972,00;101.100
ELET3;16/06/2023;15:00:00;39,29;39,37;39,29;39,31;3.630.667,00;92.300
ELET3;16/06/2023;14:55:00;39,31;39,34;39,28;39,29;4.320.490,00;109.900
ELET3;16/06/2023;14:50:00;39,38;39,40;39,30;39,30;3.793.827,00;96.400
ELET3;16/06/2023;14:45:00;39,33;39,38;39,30;39,38;3.532.206,00;89.800
ELET3;16/06/2023;14:40:00;39,32;39,38;39,30;39,32;3.831.442,00;97.400
ELET3;16/06/2023;14:35:00;39,31;39,36;39,28;39,31;4.065.173,00;103.400
ELET3;16/06/2023;14:30:00;39,29;39,33;39,25;39,32;2.558.130,00;65.100
ELET3;16/06/2023;14:25:00;39,21;39,30;39,20;39,30;2.759.450,00;70.300
