Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ELMD3;16/06/2023;16:45:00;17,11;17,16;16,97;17,00;676.665,00;39.800
ELMD3;16/06/2023;16:40:00;17,07;17,13;16,96;17,00;17.047,00;1.000
ELMD3;16/06/2023;16:35:00;17,13;17,14;17,05;17,08;17.089,00;1.000
ELMD3;16/06/2023;16:30:00;17,19;17,19;17,09;17,16;10.288,00;600
ELMD3;16/06/2023;16:25:00;17,21;17,21;17,09;17,18;10.300,00;600
ELMD3;16/06/2023;16:20:00;17,17;17,25;17,17;17,25;13.773,00;800
ELMD3;16/06/2023;16:15:00;17,12;17,21;17,12;17,17;15.439,00;900
ELMD3;16/06/2023;16:10:00;17,10;17,13;17,09;17,11;17.109,00;1.000
ELMD3;16/06/2023;16:05:00;17,14;17,14;17,14;17,14;1.714,00;100
ELMD3;16/06/2023;15:55:00;17,04;17,14;17,02;17,05;15.365,00;900
ELMD3;16/06/2023;15:50:00;16,97;17,03;16,97;17,03;3.400,00;200
ELMD3;16/06/2023;15:35:00;16,99;17,00;16,98;17,00;5.097,00;300
ELMD3;16/06/2023;15:25:00;17,01;17,01;17,00;17,00;5.101,00;300
ELMD3;16/06/2023;15:20:00;17,06;17,06;17,06;17,06;1.706,00;100
ELMD3;16/06/2023;15:15:00;16,98;16,98;16,98;16,98;3.396,00;200
ELMD3;16/06/2023;15:10:00;16,92;16,92;16,92;16,92;1.692,00;100
ELMD3;16/06/2023;15:05:00;16,93;16,93;16,93;16,93;1.693,00;100
ELMD3;16/06/2023;15:00:00;16,93;16,93;16,93;16,93;1.693,00;100
ELMD3;16/06/2023;14:55:00;16,93;16,93;16,93;16,93;3.386,00;200
ELMD3;16/06/2023;14:45:00;16,91;16,96;16,91;16,96;10.162,00;600
ELMD3;16/06/2023;14:40:00;16,90;16,90;16,90;16,90;5.070,00;300
ELMD3;16/06/2023;14:30:00;16,94;16,94;16,90;16,90;3.384,00;200
ELMD3;16/06/2023;14:25:00;16,96;16,96;16,96;16,96;8.480,00;500
ELMD3;16/06/2023;14:15:00;16,98;16,98;16,98;16,98;5.094,00;300
ELMD3;16/06/2023;14:05:00;16,95;17,00;16,95;17,00;5.090,00;300
ELMD3;16/06/2023;13:55:00;16,96;16,96;16,96;16,96;5.088,00;300
ELMD3;16/06/2023;13:50:00;16,90;16,90;16,90;16,90;3.380,00;200
ELMD3;16/06/2023;13:45:00;16,93;16,93;16,93;16,93;1.693,00;100
ELMD3;16/06/2023;13:40:00;16,92;16,92;16,92;16,92;5.076,00;300
ELMD3;16/06/2023;13:35:00;16,94;16,94;16,94;16,94;1.694,00;100
ELMD3;16/06/2023;13:25:00;17,03;17,03;16,98;16,98;22.100,00;1.300
ELMD3;16/06/2023;12:55:00;17,01;17,02;17,01;17,02;5.104,00;300
ELMD3;16/06/2023;12:50:00;16,95;16,95;16,95;16,95;1.695,00;100
ELMD3;16/06/2023;12:40:00;16,94;16,94;16,94;16,94;1.694,00;100
ELMD3;16/06/2023;12:35:00;16,94;16,94;16,91;16,91;3.385,00;200
ELMD3;16/06/2023;12:10:00;17,07;17,07;17,07;17,07;1.707,00;100
ELMD3;16/06/2023;12:05:00;17,08;17,08;17,08;17,08;1.708,00;100
ELMD3;16/06/2023;12:00:00;17,20;17,20;17,06;17,06;12.026,00;700
ELMD3;16/06/2023;11:50:00;17,20;17,20;17,20;17,20;1.720,00;100
ELMD3;16/06/2023;11:45:00;17,21;17,21;17,20;17,20;6.881,00;400
ELMD3;16/06/2023;11:35:00;17,19;17,20;17,16;17,20;18.915,00;1.100
ELMD3;16/06/2023;11:15:00;17,18;17,18;17,18;17,18;5.154,00;300
ELMD3;16/06/2023;11:05:00;17,22;17,22;17,22;17,22;3.444,00;200
ELMD3;16/06/2023;10:50:00;17,16;17,16;17,16;17,16;1.716,00;100
ELMD3;16/06/2023;10:45:00;17,15;17,15;17,15;17,15;8.575,00;500
ELMD3;16/06/2023;10:40:00;17,05;17,05;17,05;17,05;1.705,00;100
ELMD3;16/06/2023;10:15:00;17,07;17,07;17,05;17,05;5.119,00;300
ELMD3;16/06/2023;10:05:00;17,30;17,30;17,30;17,30;1.730,00;100
ELMD3;15/06/2023;16:50:00;17,17;17,21;17,10;17,10;1.859.170,00;108.700
ELMD3;15/06/2023;16:45:00;17,26;17,28;17,16;17,16;139.423,00;8.100
ELMD3;15/06/2023;16:40:00;17,28;17,30;17,22;17,30;24.161,00;1.400
ELMD3;15/06/2023;16:35:00;17,21;17,27;17,21;17,23;18.957,00;1.100
ELMD3;15/06/2023;16:30:00;17,20;17,22;17,20;17,20;18.928,00;1.100
ELMD3;15/06/2023;16:25:00;17,31;17,31;17,19;17,21;101.712,00;5.900
ELMD3;15/06/2023;16:20:00;17,36;17,36;17,36;17,36;1.736,00;100
ELMD3;15/06/2023;16:15:00;17,28;17,36;17,25;17,36;13.824,00;800
ELMD3;15/06/2023;16:10:00;17,32;17,38;17,29;17,29;24.247,00;1.400
ELMD3;15/06/2023;16:05:00;17,38;17,38;17,32;17,33;8.671,00;500
ELMD3;15/06/2023;16:00:00;17,28;17,28;17,25;17,25;3.453,00;200
ELMD3;15/06/2023;15:55:00;17,30;17,35;17,22;17,23;44.863,00;2.600
ELMD3;15/06/2023;15:50:00;17,34;17,34;17,28;17,28;10.377,00;600
ELMD3;15/06/2023;15:45:00;17,30;17,38;17,29;17,29;10.395,00;600
ELMD3;15/06/2023;15:40:00;17,32;17,32;17,26;17,26;24.223,00;1.400
ELMD3;15/06/2023;15:35:00;17,35;17,35;17,35;17,35;8.675,00;500
ELMD3;15/06/2023;15:30:00;17,30;17,30;17,30;17,30;5.190,00;300
ELMD3;15/06/2023;15:25:00;17,11;17,30;17,11;17,30;65.271,00;3.800
ELMD3;15/06/2023;15:15:00;17,10;17,10;17,10;17,10;3.420,00;200
ELMD3;15/06/2023;15:10:00;17,10;17,10;17,10;17,10;5.130,00;300
ELMD3;15/06/2023;15:00:00;17,09;17,09;17,09;17,09;1.709,00;100
ELMD3;15/06/2023;14:30:00;16,96;16,96;16,96;16,96;6.784,00;400
ELMD3;15/06/2023;14:25:00;17,04;17,09;16,99;16,99;35.798,00;2.100
ELMD3;15/06/2023;14:10:00;16,99;16,99;16,99;16,99;1.699,00;100
ELMD3;15/06/2023;14:05:00;17,06;17,06;17,00;17,06;15.322,00;900
ELMD3;15/06/2023;13:45:00;17,00;17,19;17,00;17,19;11.934,00;700
