Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EMBR3;06/06/2023;11:20:00;19,65;19,65;19,63;19,65;39.285,00;2.000
EMBR3;06/06/2023;11:15:00;19,63;19,67;19,62;19,65;496.905,00;25.300
EMBR3;06/06/2023;11:10:00;19,69;19,70;19,63;19,63;699.929,00;35.600
EMBR3;06/06/2023;11:05:00;19,55;19,71;19,55;19,69;1.567.280,00;79.800
EMBR3;06/06/2023;11:00:00;19,47;19,55;19,45;19,55;3.289.663,00;168.800
EMBR3;06/06/2023;10:55:00;19,45;19,47;19,44;19,47;143.932,00;7.400
EMBR3;06/06/2023;10:50:00;19,48;19,50;19,44;19,46;441.882,00;22.700
EMBR3;06/06/2023;10:45:00;19,50;19,52;19,48;19,49;385.964,00;19.800
EMBR3;06/06/2023;10:40:00;19,56;19,56;19,45;19,50;910.401,00;46.700
EMBR3;06/06/2023;10:35:00;19,54;19,59;19,52;19,56;1.303.624,00;66.700
EMBR3;06/06/2023;10:30:00;19,44;19,56;19,43;19,55;1.726.289,00;88.500
EMBR3;06/06/2023;10:25:00;19,45;19,50;19,42;19,43;955.004,00;49.100
EMBR3;06/06/2023;10:20:00;19,45;19,47;19,42;19,46;795.678,00;40.900
EMBR3;06/06/2023;10:15:00;19,45;19,49;19,42;19,46;458.911,00;23.600
EMBR3;06/06/2023;10:10:00;19,50;19,54;19,45;19,47;510.863,00;26.200
EMBR3;06/06/2023;10:05:00;19,54;19,55;19,48;19,51;634.522,00;32.500
EMBR3;06/06/2023;10:00:00;19,58;19,59;19,49;19,55;1.099.992,00;56.300
EMBR3;05/06/2023;17:30:00;19,41;19,44;19,36;19,38;375.911,00;19.400
EMBR3;05/06/2023;16:50:00;19,41;19,45;19,36;19,45;9.010.184,00;463.600
EMBR3;05/06/2023;16:45:00;19,42;19,43;19,39;19,41;2.135.876,00;110.000
EMBR3;05/06/2023;16:40:00;19,45;19,45;19,42;19,42;2.465.028,00;126.800
EMBR3;05/06/2023;16:35:00;19,43;19,45;19,41;19,44;2.753.960,00;141.700
EMBR3;05/06/2023;16:30:00;19,49;19,51;19,42;19,42;1.657.098,00;85.100
EMBR3;05/06/2023;16:25:00;19,39;19,51;19,39;19,49;3.036.008,00;156.200
EMBR3;05/06/2023;16:20:00;19,40;19,41;19,36;19,40;4.875.714,00;251.400
EMBR3;05/06/2023;16:15:00;19,42;19,44;19,40;19,41;1.641.226,00;84.500
EMBR3;05/06/2023;16:10:00;19,38;19,43;19,37;19,42;1.559.574,00;80.400
EMBR3;05/06/2023;16:05:00;19,40;19,40;19,36;19,38;1.930.765,00;99.600
EMBR3;05/06/2023;16:00:00;19,49;19,50;19,39;19,40;3.660.173,00;188.300
EMBR3;05/06/2023;15:55:00;19,53;19,54;19,48;19,48;1.408.676,00;72.200
EMBR3;05/06/2023;15:50:00;19,54;19,55;19,50;19,53;1.827.219,00;93.600
EMBR3;05/06/2023;15:45:00;19,56;19,57;19,53;19,54;1.243.082,00;63.600
EMBR3;05/06/2023;15:40:00;19,55;19,58;19,53;19,56;1.229.705,00;62.900
EMBR3;05/06/2023;15:35:00;19,55;19,56;19,54;19,55;633.380,00;32.400
EMBR3;05/06/2023;15:30:00;19,58;19,59;19,53;19,55;1.111.453,00;56.800
EMBR3;05/06/2023;15:25:00;19,61;19,62;19,56;19,58;1.803.980,00;92.100
EMBR3;05/06/2023;15:20:00;19,60;19,61;19,57;19,61;869.966,00;44.400
EMBR3;05/06/2023;15:15:00;19,61;19,61;19,58;19,60;795.453,00;40.600
EMBR3;05/06/2023;15:10:00;19,60;19,62;19,58;19,60;895.507,00;45.700
EMBR3;05/06/2023;15:05:00;19,67;19,67;19,59;19,60;913.386,00;46.500
EMBR3;05/06/2023;15:00:00;19,63;19,69;19,62;19,67;2.400.663,00;122.100
EMBR3;05/06/2023;14:55:00;19,60;19,64;19,58;19,63;850.996,00;43.400
EMBR3;05/06/2023;14:50:00;19,50;19,60;19,50;19,59;2.862.624,00;146.400
EMBR3;05/06/2023;14:45:00;19,52;19,54;19,50;19,51;665.581,00;34.100
EMBR3;05/06/2023;14:40:00;19,51;19,53;19,51;19,52;304.514,00;15.600
EMBR3;05/06/2023;14:35:00;19,58;19,58;19,51;19,51;429.869,00;22.000
EMBR3;05/06/2023;14:30:00;19,59;19,59;19,56;19,57;450.161,00;23.000
EMBR3;05/06/2023;14:25:00;19,60;19,60;19,56;19,59;651.961,00;33.300
EMBR3;05/06/2023;14:20:00;19,62;19,63;19,59;19,60;341.096,00;17.400
EMBR3;05/06/2023;14:15:00;19,64;19,64;19,59;19,62;496.026,00;25.300
EMBR3;05/06/2023;14:10:00;19,67;19,67;19,62;19,64;384.882,00;19.600
EMBR3;05/06/2023;14:05:00;19,64;19,67;19,62;19,66;1.020.118,00;51.900
EMBR3;05/06/2023;14:00:00;19,61;19,69;19,61;19,65;1.377.225,00;70.100
EMBR3;05/06/2023;13:55:00;19,60;19,64;19,58;19,62;1.198.550,00;61.100
EMBR3;05/06/2023;13:50:00;19,56;19,61;19,53;19,60;2.546.257,00;130.100
EMBR3;05/06/2023;13:45:00;19,48;19,57;19,46;19,56;3.682.686,00;188.700
EMBR3;05/06/2023;13:40:00;19,37;19,49;19,36;19,49;5.377.238,00;276.800
EMBR3;05/06/2023;13:35:00;19,37;19,38;19,36;19,37;280.854,00;14.500
EMBR3;05/06/2023;13:30:00;19,36;19,38;19,33;19,37;851.717,00;44.000
EMBR3;05/06/2023;13:25:00;19,35;19,36;19,33;19,35;458.576,00;23.700
EMBR3;05/06/2023;13:20:00;19,36;19,38;19,34;19,36;960.340,00;49.600
EMBR3;05/06/2023;13:15:00;19,35;19,37;19,34;19,37;598.293,00;30.900
EMBR3;05/06/2023;13:10:00;19,34;19,37;19,32;19,35;600.048,00;31.000
EMBR3;05/06/2023;13:05:00;19,30;19,35;19,30;19,33;707.472,00;36.600
EMBR3;05/06/2023;13:00:00;19,27;19,32;19,25;19,31;1.533.844,00;79.500
EMBR3;05/06/2023;12:55:00;19,31;19,31;19,25;19,27;570.305,00;29.600
EMBR3;05/06/2023;12:50:00;19,34;19,35;19,29;19,31;1.259.519,00;65.200
EMBR3;05/06/2023;12:45:00;19,31;19,34;19,30;19,32;525.490,00;27.200
EMBR3;05/06/2023;12:40:00;19,31;19,34;19,30;19,33;394.061,00;20.400
EMBR3;05/06/2023;12:35:00;19,37;19,37;19,31;19,33;290.074,00;15.000
EMBR3;05/06/2023;12:30:00;19,38;19,38;19,35;19,37;447.310,00;23.100
EMBR3;05/06/2023;12:25:00;19,36;19,38;19,35;19,38;276.898,00;14.300
EMBR3;05/06/2023;12:20:00;19,38;19,38;19,34;19,36;303.894,00;15.700
EMBR3;05/06/2023;12:15:00;19,35;19,38;19,32;19,38;458.500,00;23.700
EMBR3;05/06/2023;12:10:00;19,36;19,36;19,34;19,35;236.036,00;12.200
EMBR3;05/06/2023;12:05:00;19,35;19,38;19,33;19,38;448.953,00;23.200
EMBR3;05/06/2023;12:00:00;19,35;19,37;19,31;19,34;487.502,00;25.200
EMBR3;05/06/2023;11:55:00;19,34;19,34;19,29;19,34;434.613,00;22.500
EMBR3;05/06/2023;11:50:00;19,32;19,35;19,30;19,34;1.225.228,00;63.400
EMBR3;05/06/2023;11:45:00;19,27;19,33;19,23;19,32;1.253.424,00;65.000
EMBR3;05/06/2023;11:40:00;19,24;19,28;19,23;19,28;689.274,00;35.800
EMBR3;05/06/2023;11:35:00;19,23;19,26;19,20;19,24;1.732.259,00;90.100
EMBR3;05/06/2023;11:30:00;19,24;19,26;19,22;19,24;386.652,00;20.100
EMBR3;05/06/2023;11:25:00;19,25;19,26;19,22;19,24;821.304,00;42.700
EMBR3;05/06/2023;11:20:00;19,27;19,30;19,24;19,25;1.248.864,00;64.800
EMBR3;05/06/2023;11:15:00;19,26;19,32;19,22;19,29;1.373.668,00;71.300
EMBR3;05/06/2023;11:10:00;19,34;19,35;19,23;19,25;1.538.825,00;79.800
EMBR3;05/06/2023;11:05:00;19,42;19,42;19,33;19,35;1.673.635,00;86.400
