Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENAT3;16/06/2023;17:30:00;14,01;14,06;14,00;14,06;61.655,00;4.400
ENAT3;16/06/2023;16:45:00;14,15;14,17;14,05;14,05;5.686.458,00;404.600
ENAT3;16/06/2023;16:40:00;14,10;14,15;14,09;14,15;338.831,00;24.000
ENAT3;16/06/2023;16:35:00;14,10;14,11;14,08;14,10;246.706,00;17.500
ENAT3;16/06/2023;16:30:00;14,01;14,12;14,01;14,10;1.388.088,00;98.600
ENAT3;16/06/2023;16:25:00;14,02;14,03;14,00;14,01;190.589,00;13.600
ENAT3;16/06/2023;16:20:00;14,03;14,04;14,02;14,02;145.887,00;10.400
ENAT3;16/06/2023;16:15:00;14,02;14,04;14,01;14,03;159.892,00;11.400
ENAT3;16/06/2023;16:10:00;14,02;14,03;14,01;14,02;126.188,00;9.000
ENAT3;16/06/2023;16:05:00;14,02;14,03;14,00;14,02;197.629,00;14.100
ENAT3;16/06/2023;16:00:00;14,06;14,06;14,01;14,02;84.236,00;6.000
ENAT3;16/06/2023;15:55:00;14,04;14,07;14,04;14,05;283.843,00;20.200
ENAT3;16/06/2023;15:50:00;14,02;14,05;14,02;14,04;355.254,00;25.300
ENAT3;16/06/2023;15:45:00;14,03;14,04;14,02;14,03;72.961,00;5.200
ENAT3;16/06/2023;15:40:00;14,02;14,04;14,02;14,03;82.791,00;5.900
ENAT3;16/06/2023;15:35:00;14,02;14,03;14,02;14,02;70.114,00;5.000
ENAT3;16/06/2023;15:30:00;14,04;14,04;14,02;14,03;53.314,00;3.800
ENAT3;16/06/2023;15:25:00;14,03;14,03;14,02;14,03;63.134,00;4.500
ENAT3;16/06/2023;15:20:00;14,01;14,04;14,01;14,04;67.334,00;4.800
ENAT3;16/06/2023;15:15:00;14,01;14,02;14,01;14,01;71.476,00;5.100
ENAT3;16/06/2023;15:10:00;14,02;14,04;14,01;14,01;65.911,00;4.700
ENAT3;16/06/2023;15:05:00;14,03;14,04;14,02;14,03;72.958,00;5.200
ENAT3;16/06/2023;15:00:00;14,02;14,03;14,01;14,03;130.422,00;9.300
ENAT3;16/06/2023;14:55:00;14,02;14,04;14,02;14,03;74.359,00;5.300
ENAT3;16/06/2023;14:50:00;14,04;14,04;14,02;14,03;84.209,00;6.000
ENAT3;16/06/2023;14:45:00;14,04;14,05;14,03;14,04;58.974,00;4.200
ENAT3;16/06/2023;14:40:00;14,04;14,05;14,03;14,03;46.338,00;3.300
ENAT3;16/06/2023;14:35:00;14,04;14,04;14,02;14,03;67.351,00;4.800
ENAT3;16/06/2023;14:30:00;14,04;14,05;14,04;14,05;58.975,00;4.200
ENAT3;16/06/2023;14:25:00;14,04;14,05;14,04;14,04;57.565,00;4.100
ENAT3;16/06/2023;14:20:00;14,06;14,06;14,03;14,04;85.632,00;6.100
ENAT3;16/06/2023;14:15:00;14,05;14,07;14,05;14,06;80.123,00;5.700
ENAT3;16/06/2023;14:10:00;14,03;14,05;14,02;14,05;133.286,00;9.500
ENAT3;16/06/2023;14:05:00;14,03;14,04;14,02;14,02;57.530,00;4.100
ENAT3;16/06/2023;14:00:00;14,06;14,06;14,04;14,04;78.706,00;5.600
ENAT3;16/06/2023;13:55:00;14,06;14,08;14,05;14,06;157.540,00;11.200
ENAT3;16/06/2023;13:50:00;14,05;14,05;14,04;14,05;155.942,00;11.100
ENAT3;16/06/2023;13:45:00;14,04;14,04;14,02;14,04;113.683,00;8.100
ENAT3;16/06/2023;13:40:00;14,01;14,04;14,01;14,03;102.396,00;7.300
ENAT3;16/06/2023;13:35:00;14,00;14,00;13,97;14,00;253.125,00;18.100
ENAT3;16/06/2023;13:30:00;14,00;14,01;14,00;14,00;120.428,00;8.600
ENAT3;16/06/2023;13:25:00;14,00;14,00;13,99;14,00;90.998,00;6.500
ENAT3;16/06/2023;13:20:00;14,00;14,01;14,00;14,01;119.005,00;8.500
ENAT3;16/06/2023;13:15:00;14,00;14,01;14,00;14,01;79.844,00;5.700
ENAT3;16/06/2023;13:10:00;14,01;14,01;14,00;14,00;107.832,00;7.700
ENAT3;16/06/2023;13:05:00;14,00;14,00;14,00;14,00;107.800,00;7.700
ENAT3;16/06/2023;13:00:00;14,00;14,00;13,99;14,00;96.599,00;6.900
ENAT3;16/06/2023;12:55:00;13,99;14,01;13,99;14,00;483.020,00;34.500
ENAT3;16/06/2023;12:50:00;13,97;14,00;13,97;13,99;246.143,00;17.600
ENAT3;16/06/2023;12:45:00;13,98;13,99;13,97;13,97;124.402,00;8.900
ENAT3;16/06/2023;12:40:00;14,00;14,00;13,98;13,98;104.876,00;7.500
ENAT3;16/06/2023;12:35:00;14,01;14,01;14,00;14,00;159.649,00;11.400
ENAT3;16/06/2023;12:30:00;14,01;14,03;14,00;14,02;250.877,00;17.900
ENAT3;16/06/2023;12:25:00;14,00;14,02;14,00;14,02;95.284,00;6.800
ENAT3;16/06/2023;12:20:00;14,02;14,02;13,99;14,01;99.431,00;7.100
ENAT3;16/06/2023;12:15:00;14,02;14,03;13,99;14,01;114.891,00;8.200
ENAT3;16/06/2023;12:10:00;14,01;14,03;14,00;14,03;86.895,00;6.200
ENAT3;16/06/2023;12:05:00;14,02;14,02;14,00;14,00;145.703,00;10.400
ENAT3;16/06/2023;12:00:00;14,03;14,04;14,01;14,02;81.316,00;5.800
ENAT3;16/06/2023;11:55:00;14,01;14,03;14,00;14,03;91.074,00;6.500
ENAT3;16/06/2023;11:50:00;14,01;14,02;14,00;14,00;109.272,00;7.800
ENAT3;16/06/2023;11:45:00;14,01;14,01;13,97;14,01;159.524,00;11.400
ENAT3;16/06/2023;11:40:00;14,02;14,02;14,00;14,02;54.656,00;3.900
ENAT3;16/06/2023;11:35:00;14,03;14,03;14,00;14,03;203.162,00;14.500
ENAT3;16/06/2023;11:30:00;14,00;14,03;14,00;14,03;165.333,00;11.800
ENAT3;16/06/2023;11:25:00;13,99;14,01;13,98;13,99;167.912,00;12.000
ENAT3;16/06/2023;11:20:00;13,99;14,01;13,98;14,00;104.980,00;7.500
ENAT3;16/06/2023;11:15:00;14,02;14,02;13,99;14,00;186.200,00;13.300
ENAT3;16/06/2023;11:10:00;14,00;14,02;13,99;14,01;200.227,00;14.300
ENAT3;16/06/2023;11:05:00;14,02;14,02;13,96;14,00;218.244,00;15.600
ENAT3;16/06/2023;11:00:00;14,00;14,02;13,98;14,01;140.075,00;10.000
ENAT3;16/06/2023;10:55:00;14,00;14,01;13,99;14,00;134.417,00;9.600
ENAT3;16/06/2023;10:50:00;13,99;14,03;13,99;14,00;142.904,00;10.200
ENAT3;16/06/2023;10:45:00;14,02;14,02;13,98;13,98;183.371,00;13.100
ENAT3;16/06/2023;10:40:00;14,04;14,04;14,00;14,03;103.730,00;7.400
ENAT3;16/06/2023;10:35:00;13,98;14,03;13,98;14,03;158.297,00;11.300
ENAT3;16/06/2023;10:30:00;13,99;14,00;13,96;13,98;138.369,00;9.900
ENAT3;16/06/2023;10:25:00;14,01;14,02;13,96;13,99;179.081,00;12.800
ENAT3;16/06/2023;10:20:00;14,02;14,06;13,98;14,02;165.449,00;11.800
ENAT3;16/06/2023;10:15:00;13,96;14,04;13,94;14,04;195.838,00;14.000
ENAT3;16/06/2023;10:10:00;13,94;13,98;13,86;13,97;676.108,00;48.600
ENAT3;16/06/2023;10:05:00;14,02;14,02;13,93;13,94;311.561,00;22.300
ENAT3;16/06/2023;10:00:00;14,06;14,08;14,00;14,02;78.675,00;5.600
ENAT3;15/06/2023;17:30:00;14,14;14,15;14,09;14,10;70.563,00;5.000
