Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENBR3;06/06/2023;11:20:00;23,30;23,31;23,30;23,30;81.553,00;3.500
ENBR3;06/06/2023;11:15:00;23,33;23,33;23,30;23,31;484.986,00;20.800
ENBR3;06/06/2023;11:10:00;23,32;23,33;23,31;23,33;177.234,00;7.600
ENBR3;06/06/2023;11:05:00;23,33;23,34;23,31;23,32;1.245.306,00;53.400
ENBR3;06/06/2023;11:00:00;23,32;23,34;23,31;23,32;2.195.038,00;94.100
ENBR3;06/06/2023;10:55:00;23,32;23,33;23,31;23,31;510.583,00;21.900
ENBR3;06/06/2023;10:50:00;23,31;23,31;23,28;23,31;6.564.975,00;281.800
ENBR3;06/06/2023;10:45:00;23,31;23,32;23,31;23,31;710.971,00;30.500
ENBR3;06/06/2023;10:40:00;23,32;23,34;23,30;23,31;1.126.519,00;48.300
ENBR3;06/06/2023;10:35:00;23,33;23,34;23,31;23,32;2.163.651,00;92.800
ENBR3;06/06/2023;10:30:00;23,33;23,36;23,32;23,34;630.338,00;27.000
ENBR3;06/06/2023;10:25:00;23,32;23,35;23,32;23,32;886.414,00;38.000
ENBR3;06/06/2023;10:20:00;23,32;23,33;23,32;23,33;608.712,00;26.100
ENBR3;06/06/2023;10:15:00;23,34;23,34;23,32;23,33;657.847,00;28.200
ENBR3;06/06/2023;10:10:00;23,33;23,38;23,33;23,34;1.522.722,00;65.200
ENBR3;06/06/2023;10:05:00;23,34;23,35;23,32;23,34;573.973,00;24.600
ENBR3;06/06/2023;10:00:00;23,31;23,35;23,30;23,35;1.182.721,00;50.700
ENBR3;05/06/2023;17:30:00;23,30;23,32;23,29;23,30;256.305,00;11.000
ENBR3;05/06/2023;16:50:00;23,33;23,34;23,30;23,34;3.315.972,00;142.100
ENBR3;05/06/2023;16:45:00;23,31;23,33;23,31;23,33;1.187.097,00;50.900
ENBR3;05/06/2023;16:40:00;23,31;23,33;23,31;23,32;599.254,00;25.700
ENBR3;05/06/2023;16:35:00;23,30;23,32;23,30;23,31;925.402,00;39.700
ENBR3;05/06/2023;16:30:00;23,32;23,33;23,31;23,31;1.044.717,00;44.800
ENBR3;05/06/2023;16:25:00;23,31;23,32;23,30;23,32;692.273,00;29.700
ENBR3;05/06/2023;16:20:00;23,31;23,31;23,30;23,31;510.417,00;21.900
ENBR3;05/06/2023;16:15:00;23,30;23,31;23,30;23,30;361.203,00;15.500
ENBR3;05/06/2023;16:10:00;23,31;23,32;23,30;23,30;2.766.910,00;118.700
ENBR3;05/06/2023;16:05:00;23,31;23,32;23,31;23,31;582.896,00;25.000
ENBR3;05/06/2023;16:00:00;23,30;23,32;23,30;23,32;230.781,00;9.900
ENBR3;05/06/2023;15:55:00;23,32;23,32;23,30;23,30;195.817,00;8.400
ENBR3;05/06/2023;15:50:00;23,31;23,32;23,30;23,32;421.899,00;18.100
ENBR3;05/06/2023;15:45:00;23,31;23,32;23,31;23,32;361.309,00;15.500
ENBR3;05/06/2023;15:40:00;23,31;23,32;23,30;23,32;344.935,00;14.800
ENBR3;05/06/2023;15:35:00;23,31;23,31;23,30;23,31;696.918,00;29.900
ENBR3;05/06/2023;15:30:00;23,31;23,32;23,30;23,31;6.242.414,00;267.800
ENBR3;05/06/2023;15:25:00;23,31;23,32;23,30;23,31;554.757,00;23.800
ENBR3;05/06/2023;15:20:00;23,31;23,32;23,31;23,32;291.399,00;12.500
ENBR3;05/06/2023;15:15:00;23,31;23,32;23,31;23,31;181.820,00;7.800
ENBR3;05/06/2023;15:10:00;23,31;23,32;23,31;23,31;715.759,00;30.700
ENBR3;05/06/2023;15:05:00;23,32;23,32;23,31;23,31;261.101,00;11.200
ENBR3;05/06/2023;15:00:00;23,30;23,32;23,30;23,32;1.865.355,00;80.000
ENBR3;05/06/2023;14:55:00;23,30;23,32;23,30;23,30;699.232,00;30.000
ENBR3;05/06/2023;14:50:00;23,30;23,31;23,30;23,30;419.489,00;18.000
