Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENEV3;06/06/2023;11:20:00;11,56;11,57;11,54;11,55;153.638,00;13.300
ENEV3;06/06/2023;11:15:00;11,54;11,59;11,54;11,56;696.303,00;60.200
ENEV3;06/06/2023;11:10:00;11,58;11,58;11,54;11,55;456.611,00;39.500
ENEV3;06/06/2023;11:05:00;11,55;11,59;11,54;11,57;439.639,00;38.000
ENEV3;06/06/2023;11:00:00;11,55;11,56;11,53;11,54;493.241,00;42.700
ENEV3;06/06/2023;10:55:00;11,57;11,58;11,54;11,54;442.756,00;38.300
ENEV3;06/06/2023;10:50:00;11,57;11,58;11,56;11,57;163.178,00;14.100
ENEV3;06/06/2023;10:45:00;11,58;11,59;11,57;11,57;177.181,00;15.300
ENEV3;06/06/2023;10:40:00;11,58;11,58;11,56;11,58;414.394,00;35.800
ENEV3;06/06/2023;10:35:00;11,60;11,61;11,58;11,59;467.268,00;40.300
ENEV3;06/06/2023;10:30:00;11,59;11,62;11,57;11,60;493.077,00;42.500
ENEV3;06/06/2023;10:25:00;11,58;11,59;11,56;11,58;136.636,00;11.800
ENEV3;06/06/2023;10:20:00;11,59;11,59;11,55;11,59;208.326,00;18.000
ENEV3;06/06/2023;10:15:00;11,62;11,63;11,58;11,59;180.920,00;15.600
ENEV3;06/06/2023;10:10:00;11,64;11,66;11,61;11,62;771.438,00;66.300
ENEV3;06/06/2023;10:05:00;11,59;11,68;11,59;11,66;729.407,00;62.700
ENEV3;06/06/2023;10:00:00;11,53;11,61;11,53;11,60;291.176,00;25.200
ENEV3;05/06/2023;17:30:00;11,50;11,56;11,48;11,52;137.255,00;11.900
ENEV3;05/06/2023;16:50:00;11,57;11,58;11,48;11,48;29.940.487,00;2.606.000
ENEV3;05/06/2023;16:45:00;11,53;11,59;11,51;11,57;3.264.705,00;282.500
ENEV3;05/06/2023;16:40:00;11,51;11,57;11,51;11,53;4.184.792,00;362.400
ENEV3;05/06/2023;16:35:00;11,52;11,53;11,51;11,51;1.486.935,00;129.100
