Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENGI11;16/06/2023;17:30:00;45,02;45,15;44,94;44,94;284.029,00;6.300
ENGI11;16/06/2023;16:45:00;45,00;45,24;44,94;45,24;104.135.610,00;2.302.000
ENGI11;16/06/2023;16:40:00;45,03;45,06;45,00;45,00;1.184.185,00;26.300
ENGI11;16/06/2023;16:35:00;45,07;45,09;45,03;45,03;1.040.868,00;23.100
ENGI11;16/06/2023;16:30:00;45,06;45,14;45,03;45,08;2.434.686,00;54.000
ENGI11;16/06/2023;16:25:00;45,08;45,09;45,01;45,05;1.856.200,00;41.200
ENGI11;16/06/2023;16:20:00;45,08;45,13;45,05;45,07;2.303.637,00;51.100
ENGI11;16/06/2023;16:15:00;45,22;45,25;45,05;45,07;5.114.141,00;113.300
ENGI11;16/06/2023;16:10:00;45,32;45,33;45,22;45,22;1.579.774,00;34.900
ENGI11;16/06/2023;16:05:00;45,34;45,34;45,28;45,31;1.848.526,00;40.800
ENGI11;16/06/2023;16:00:00;45,37;45,41;45,29;45,33;1.927.476,00;42.500
ENGI11;16/06/2023;15:55:00;45,46;45,46;45,29;45,36;2.431.532,00;53.600
ENGI11;16/06/2023;15:50:00;45,39;45,47;45,35;45,45;2.433.862,00;53.600
ENGI11;16/06/2023;15:45:00;45,31;45,41;45,31;45,39;1.642.475,00;36.200
ENGI11;16/06/2023;15:40:00;45,30;45,36;45,30;45,31;1.631.565,00;36.000
ENGI11;16/06/2023;15:35:00;45,31;45,33;45,24;45,30;1.585.130,00;35.000
ENGI11;16/06/2023;15:30:00;45,32;45,38;45,28;45,31;1.613.481,00;35.600
ENGI11;16/06/2023;15:25:00;45,28;45,34;45,24;45,32;1.263.541,00;27.900
ENGI11;16/06/2023;15:20:00;45,33;45,35;45,24;45,29;4.730.858,00;104.500
ENGI11;16/06/2023;15:15:00;45,39;45,42;45,31;45,31;1.515.243,00;33.400
ENGI11;16/06/2023;15:10:00;45,47;45,51;45,38;45,38;1.821.790,00;40.100
ENGI11;16/06/2023;15:05:00;45,48;45,50;45,43;45,48;1.114.081,00;24.500
ENGI11;16/06/2023;15:00:00;45,47;45,51;45,44;45,48;1.314.240,00;28.900
ENGI11;16/06/2023;14:55:00;45,52;45,53;45,46;45,47;1.023.568,00;22.500
ENGI11;16/06/2023;14:50:00;45,55;45,58;45,50;45,51;1.306.845,00;28.700
ENGI11;16/06/2023;14:45:00;45,49;45,55;45,47;45,55;4.195.573,00;92.200
ENGI11;16/06/2023;14:40:00;45,65;45,66;45,50;45,50;2.060.587,00;45.200
ENGI11;16/06/2023;14:35:00;45,74;45,75;45,61;45,64;2.685.718,00;58.800
ENGI11;16/06/2023;14:30:00;45,83;45,85;45,73;45,74;1.126.100,00;24.600
ENGI11;16/06/2023;14:25:00;45,79;45,86;45,75;45,86;1.185.943,00;25.900
ENGI11;16/06/2023;14:20:00;45,78;45,82;45,77;45,79;2.623.231,00;57.300
ENGI11;16/06/2023;14:15:00;45,77;45,84;45,76;45,78;952.611,00;20.800
ENGI11;16/06/2023;14:10:00;45,76;45,80;45,71;45,77;1.125.675,00;24.600
ENGI11;16/06/2023;14:05:00;45,76;45,84;45,75;45,77;2.216.274,00;48.400
ENGI11;16/06/2023;14:00:00;45,85;45,88;45,73;45,78;1.484.321,00;32.400
ENGI11;16/06/2023;13:55:00;45,70;45,87;45,66;45,84;1.446.481,00;31.600
ENGI11;16/06/2023;13:50:00;45,70;45,73;45,65;45,69;845.314,00;18.500
ENGI11;16/06/2023;13:45:00;45,70;45,71;45,65;45,71;685.082,00;15.000
ENGI11;16/06/2023;13:40:00;45,70;45,75;45,66;45,69;1.224.952,00;26.800
ENGI11;16/06/2023;13:35:00;45,57;45,70;45,56;45,69;1.300.675,00;28.500
ENGI11;16/06/2023;13:30:00;45,47;45,60;45,43;45,58;1.738.735,00;38.200
ENGI11;16/06/2023;13:25:00;45,33;45,49;45,33;45,49;5.244.688,00;115.600
ENGI11;16/06/2023;13:20:00;45,29;45,34;45,27;45,34;878.979,00;19.400
ENGI11;16/06/2023;13:15:00;45,22;45,29;45,22;45,29;1.095.002,00;24.200
ENGI11;16/06/2023;13:10:00;45,26;45,27;45,18;45,22;2.454.986,00;54.300
ENGI11;16/06/2023;13:05:00;45,25;45,29;45,24;45,26;832.748,00;18.400
ENGI11;16/06/2023;13:00:00;45,34;45,38;45,25;45,26;1.173.388,00;25.900
ENGI11;16/06/2023;12:55:00;45,40;45,45;45,35;45,35;908.265,00;20.000
ENGI11;16/06/2023;12:50:00;45,53;45,55;45,40;45,40;1.318.796,00;29.000
ENGI11;16/06/2023;12:45:00;45,58;45,62;45,52;45,54;678.914,00;14.900
ENGI11;16/06/2023;12:40:00;45,63;45,67;45,57;45,60;738.980,00;16.200
ENGI11;16/06/2023;12:35:00;45,77;45,82;45,63;45,64;868.666,00;19.000
ENGI11;16/06/2023;12:30:00;45,67;45,78;45,66;45,77;726.548,00;15.900
ENGI11;16/06/2023;12:25:00;45,79;45,79;45,67;45,67;859.624,00;18.800
ENGI11;16/06/2023;12:20:00;45,86;45,92;45,77;45,80;797.750,00;17.400
ENGI11;16/06/2023;12:15:00;45,89;45,94;45,85;45,86;711.343,00;15.500
ENGI11;16/06/2023;12:10:00;45,90;45,93;45,89;45,89;665.635,00;14.500
ENGI11;16/06/2023;12:05:00;45,98;45,98;45,89;45,92;1.695.755,00;36.900
ENGI11;16/06/2023;12:00:00;45,93;46,03;45,93;46,00;988.510,00;21.500
ENGI11;16/06/2023;11:55:00;45,97;46,01;45,90;45,94;1.079.730,00;23.500
ENGI11;16/06/2023;11:50:00;45,98;46,02;45,92;45,97;923.855,00;20.100
ENGI11;16/06/2023;11:45:00;46,07;46,07;45,96;45,97;814.609,00;17.700
ENGI11;16/06/2023;11:40:00;46,15;46,17;46,03;46,08;1.037.373,00;22.500
ENGI11;16/06/2023;11:35:00;46,42;46,42;46,10;46,17;2.622.903,00;56.700
ENGI11;16/06/2023;11:30:00;46,42;46,47;46,40;46,45;659.145,00;14.200
ENGI11;16/06/2023;11:25:00;46,56;46,58;46,40;46,42;1.222.765,00;26.300
ENGI11;16/06/2023;11:20:00;46,60;46,62;46,50;46,56;1.565.133,00;33.600
ENGI11;16/06/2023;11:15:00;46,60;46,64;46,56;46,60;1.081.010,00;23.200
ENGI11;16/06/2023;11:10:00;46,59;46,64;46,51;46,60;1.462.562,00;31.400
ENGI11;16/06/2023;11:05:00;46,45;46,63;46,43;46,61;6.013.520,00;129.300
ENGI11;16/06/2023;11:00:00;46,39;46,50;46,37;46,43;1.170.286,00;25.200
ENGI11;16/06/2023;10:55:00;46,33;46,45;46,32;46,42;741.954,00;16.000
ENGI11;16/06/2023;10:50:00;46,32;46,44;46,32;46,32;635.023,00;13.700
ENGI11;16/06/2023;10:45:00;46,40;46,40;46,30;46,33;662.612,00;14.300
ENGI11;16/06/2023;10:40:00;46,37;46,41;46,30;46,39;658.270,00;14.200
ENGI11;16/06/2023;10:35:00;46,37;46,46;46,33;46,36;709.529,00;15.300
ENGI11;16/06/2023;10:30:00;46,30;46,37;46,21;46,35;1.745.256,00;37.700
ENGI11;16/06/2023;10:25:00;46,39;46,42;46,30;46,30;1.409.062,00;30.400
ENGI11;16/06/2023;10:20:00;46,44;46,48;46,34;46,41;371.249,00;8.000
ENGI11;16/06/2023;10:15:00;46,47;46,50;46,33;46,40;663.449,00;14.300
ENGI11;16/06/2023;10:10:00;46,46;46,54;46,30;46,50;482.778,00;10.400
ENGI11;16/06/2023;10:05:00;46,20;46,47;46,18;46,46;444.715,00;9.600
