Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ENJU3;16/06/2023;17:30:00;1,34;1,34;1,34;1,34;1.340,00;1.000
ENJU3;16/06/2023;16:45:00;1,33;1,34;1,32;1,34;39.907,00;29.800
ENJU3;16/06/2023;16:40:00;1,33;1,33;1,32;1,32;1.060,00;800
ENJU3;16/06/2023;16:35:00;1,33;1,33;1,32;1,32;663,00;500
ENJU3;16/06/2023;16:30:00;1,32;1,34;1,32;1,33;4.654,00;3.500
ENJU3;16/06/2023;16:25:00;1,33;1,33;1,33;1,33;16.093,00;12.100
ENJU3;16/06/2023;16:20:00;1,33;1,33;1,33;1,33;266,00;200
ENJU3;16/06/2023;16:15:00;1,34;1,34;1,33;1,33;8.038,00;6.000
ENJU3;16/06/2023;16:10:00;1,34;1,35;1,34;1,35;538,00;400
ENJU3;16/06/2023;16:05:00;1,35;1,35;1,34;1,34;941,00;700
ENJU3;16/06/2023;16:00:00;1,34;1,35;1,34;1,34;806,00;600
ENJU3;16/06/2023;15:55:00;1,34;1,35;1,33;1,35;15.680,00;11.700
ENJU3;16/06/2023;15:50:00;1,34;1,35;1,33;1,34;32.036,00;23.900
ENJU3;16/06/2023;15:45:00;1,32;1,34;1,32;1,34;19.424,00;14.600
ENJU3;16/06/2023;15:40:00;1,32;1,33;1,32;1,32;663,00;500
ENJU3;16/06/2023;15:35:00;1,32;1,33;1,32;1,33;530,00;400
ENJU3;16/06/2023;15:30:00;1,33;1,33;1,32;1,32;663,00;500
ENJU3;16/06/2023;15:25:00;1,33;1,33;1,32;1,32;3.834,00;2.900
ENJU3;16/06/2023;15:20:00;1,32;1,33;1,32;1,33;397,00;300
ENJU3;16/06/2023;15:15:00;1,33;1,33;1,32;1,33;530,00;400
ENJU3;16/06/2023;15:10:00;1,32;1,33;1,32;1,32;1.992,00;1.500
ENJU3;16/06/2023;15:05:00;1,32;1,33;1,32;1,32;793,00;600
ENJU3;16/06/2023;15:00:00;1,32;1,33;1,32;1,32;1.193,00;900
ENJU3;16/06/2023;14:55:00;1,32;1,33;1,32;1,32;1.190,00;900
ENJU3;16/06/2023;14:50:00;1,32;1,33;1,32;1,32;925,00;700
ENJU3;16/06/2023;14:45:00;1,33;1,33;1,32;1,33;530,00;400
ENJU3;16/06/2023;14:40:00;1,32;1,33;1,32;1,32;662,00;500
ENJU3;16/06/2023;14:35:00;1,32;1,33;1,32;1,33;796,00;600
ENJU3;16/06/2023;14:30:00;1,32;1,33;1,32;1,33;663,00;500
ENJU3;16/06/2023;14:25:00;1,32;1,33;1,32;1,32;1.982,00;1.500
ENJU3;16/06/2023;14:20:00;1,32;1,33;1,32;1,33;14.761,00;11.100
ENJU3;16/06/2023;14:15:00;1,32;1,33;1,32;1,32;928,00;700
ENJU3;16/06/2023;14:10:00;1,32;1,32;1,32;1,32;132,00;100
ENJU3;16/06/2023;14:00:00;1,33;1,33;1,33;1,33;133,00;100
ENJU3;16/06/2023;13:55:00;1,33;1,33;1,33;1,33;665,00;500
ENJU3;16/06/2023;13:50:00;1,32;1,33;1,32;1,33;1.189,00;900
