Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EQTL3;16/06/2023;17:30:00;30,62;30,63;30,54;30,57;168.301,00;5.500
EQTL3;16/06/2023;16:45:00;30,54;30,74;30,52;30,72;258.935.432,00;8.429.400
EQTL3;16/06/2023;16:40:00;30,57;30,57;30,51;30,54;8.192.418,00;268.100
EQTL3;16/06/2023;16:35:00;30,58;30,60;30,52;30,56;4.198.647,00;137.400
EQTL3;16/06/2023;16:30:00;30,55;30,67;30,51;30,57;8.250.633,00;269.700
EQTL3;16/06/2023;16:25:00;30,57;30,58;30,52;30,54;6.332.930,00;207.300
EQTL3;16/06/2023;16:20:00;30,54;30,57;30,50;30,57;4.095.118,00;134.100
EQTL3;16/06/2023;16:15:00;30,54;30,57;30,53;30,55;2.361.567,00;77.300
EQTL3;16/06/2023;16:10:00;30,66;30,66;30,54;30,55;2.490.718,00;81.400
EQTL3;16/06/2023;16:05:00;30,65;30,66;30,62;30,65;1.955.018,00;63.800
EQTL3;16/06/2023;16:00:00;30,68;30,70;30,64;30,66;8.369.238,00;272.900
EQTL3;16/06/2023;15:55:00;30,69;30,70;30,63;30,68;1.811.851,00;59.100
EQTL3;16/06/2023;15:50:00;30,75;30,75;30,68;30,70;1.492.321,00;48.600
EQTL3;16/06/2023;15:45:00;30,69;30,76;30,68;30,75;4.449.433,00;144.800
EQTL3;16/06/2023;15:40:00;30,69;30,70;30,67;30,68;1.629.229,00;53.100
EQTL3;16/06/2023;15:35:00;30,69;30,71;30,66;30,69;2.052.611,00;66.900
EQTL3;16/06/2023;15:30:00;30,66;30,70;30,65;30,69;23.894.588,00;778.900
EQTL3;16/06/2023;15:25:00;30,65;30,67;30,61;30,66;1.550.780,00;50.600
EQTL3;16/06/2023;15:20:00;30,67;30,69;30,61;30,65;2.659.352,00;86.800
EQTL3;16/06/2023;15:15:00;30,69;30,70;30,66;30,66;1.067.633,00;34.800
EQTL3;16/06/2023;15:10:00;30,69;30,70;30,66;30,68;1.211.904,00;39.500
EQTL3;16/06/2023;15:05:00;30,72;30,74;30,69;30,69;2.036.911,00;66.300
EQTL3;16/06/2023;15:00:00;30,73;30,74;30,70;30,73;2.571.883,00;83.700
EQTL3;16/06/2023;14:55:00;30,73;30,75;30,72;30,72;1.502.763,00;48.900
EQTL3;16/06/2023;14:50:00;30,74;30,75;30,71;30,73;1.754.707,00;57.100
EQTL3;16/06/2023;14:45:00;30,73;30,75;30,71;30,74;2.043.417,00;66.500
EQTL3;16/06/2023;14:40:00;30,74;30,76;30,71;30,73;2.102.209,00;68.400
EQTL3;16/06/2023;14:35:00;30,73;30,75;30,71;30,73;2.160.041,00;70.300
EQTL3;16/06/2023;14:30:00;30,71;30,75;30,69;30,73;2.306.978,00;75.100
EQTL3;16/06/2023;14:25:00;30,69;30,72;30,66;30,69;6.106.847,00;199.000
EQTL3;16/06/2023;14:20:00;30,68;30,70;30,66;30,68;822.186,00;26.800
EQTL3;16/06/2023;14:15:00;30,67;30,69;30,65;30,68;659.516,00;21.500
EQTL3;16/06/2023;14:10:00;30,65;30,68;30,61;30,67;1.057.364,00;34.500
EQTL3;16/06/2023;14:05:00;30,70;30,70;30,65;30,67;951.316,00;31.000
EQTL3;16/06/2023;14:00:00;30,71;30,76;30,69;30,71;2.052.566,00;66.800
EQTL3;16/06/2023;13:55:00;30,67;30,73;30,67;30,70;6.321.147,00;205.900
EQTL3;16/06/2023;13:50:00;30,69;30,70;30,66;30,67;1.338.195,00;43.600
EQTL3;16/06/2023;13:45:00;30,69;30,70;30,67;30,70;849.961,00;27.700
EQTL3;16/06/2023;13:40:00;30,67;30,70;30,65;30,69;1.230.517,00;40.100
EQTL3;16/06/2023;13:35:00;30,69;30,70;30,66;30,68;1.027.754,00;33.500
EQTL3;16/06/2023;13:30:00;30,68;30,70;30,66;30,69;1.181.176,00;38.500
