Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ESPA3;16/06/2023;17:30:00;1,81;1,84;1,81;1,81;85.330,00;47.000
ESPA3;16/06/2023;16:45:00;1,78;1,84;1,78;1,84;484.723,00;264.700
ESPA3;16/06/2023;16:40:00;1,80;1,80;1,78;1,78;152.739,00;85.500
ESPA3;16/06/2023;16:35:00;1,78;1,80;1,78;1,79;60.159,00;33.600
ESPA3;16/06/2023;16:30:00;1,78;1,79;1,78;1,79;25.177,00;14.100
ESPA3;16/06/2023;16:25:00;1,78;1,79;1,78;1,78;22.290,00;12.500
ESPA3;16/06/2023;16:20:00;1,79;1,79;1,78;1,78;128.824,00;72.000
ESPA3;16/06/2023;16:15:00;1,78;1,79;1,78;1,78;65.104,00;36.400
ESPA3;16/06/2023;16:10:00;1,79;1,81;1,78;1,78;387.267,00;215.900
ESPA3;16/06/2023;16:05:00;1,79;1,80;1,79;1,80;14.892,00;8.300
ESPA3;16/06/2023;16:00:00;1,79;1,80;1,79;1,79;19.700,00;11.000
ESPA3;16/06/2023;15:55:00;1,80;1,81;1,79;1,80;106.192,00;59.100
ESPA3;16/06/2023;15:50:00;1,80;1,81;1,80;1,80;16.606,00;9.200
ESPA3;16/06/2023;15:45:00;1,80;1,81;1,80;1,81;28.510,00;15.800
ESPA3;16/06/2023;15:40:00;1,80;1,81;1,80;1,80;8.828,00;4.900
ESPA3;16/06/2023;15:35:00;1,80;1,81;1,80;1,81;18.377,00;10.200
ESPA3;16/06/2023;15:30:00;1,80;1,81;1,80;1,80;12.652,00;7.000
ESPA3;16/06/2023;15:25:00;1,80;1,81;1,80;1,80;11.732,00;6.500
ESPA3;16/06/2023;15:20:00;1,80;1,81;1,80;1,80;4.148,00;2.300
ESPA3;16/06/2023;15:15:00;1,80;1,81;1,80;1,80;13.733,00;7.600
ESPA3;16/06/2023;15:10:00;1,80;1,81;1,80;1,80;6.138,00;3.400
ESPA3;16/06/2023;15:05:00;1,80;1,81;1,80;1,80;5.588,00;3.100
ESPA3;16/06/2023;15:00:00;1,81;1,82;1,80;1,81;67.155,00;37.100
ESPA3;16/06/2023;14:55:00;1,81;1,82;1,81;1,82;16.356,00;9.000
ESPA3;16/06/2023;14:50:00;1,82;1,82;1,81;1,82;7.989,00;4.400
ESPA3;16/06/2023;14:45:00;1,81;1,82;1,81;1,81;4.535,00;2.500
ESPA3;16/06/2023;14:40:00;1,81;1,82;1,81;1,81;99.107,00;54.700
ESPA3;16/06/2023;14:35:00;1,81;1,82;1,80;1,82;65.938,00;36.400
ESPA3;16/06/2023;14:30:00;1,80;1,81;1,80;1,80;6.865,00;3.800
ESPA3;16/06/2023;14:25:00;1,80;1,81;1,80;1,80;31.393,00;17.400
ESPA3;16/06/2023;14:20:00;1,80;1,81;1,80;1,81;6.130,00;3.400
ESPA3;16/06/2023;14:15:00;1,80;1,81;1,80;1,80;42.651,00;23.600
ESPA3;16/06/2023;14:10:00;1,80;1,81;1,80;1,80;10.846,00;6.000
ESPA3;16/06/2023;14:05:00;1,80;1,81;1,80;1,81;9.399,00;5.200
ESPA3;16/06/2023;14:00:00;1,80;1,81;1,80;1,80;6.667,00;3.700
ESPA3;16/06/2023;13:55:00;1,80;1,81;1,80;1,81;8.131,00;4.500
ESPA3;16/06/2023;13:50:00;1,79;1,80;1,79;1,80;23.926,00;13.300
ESPA3;16/06/2023;13:45:00;1,79;1,80;1,79;1,79;2.688,00;1.500
ESPA3;16/06/2023;13:40:00;1,79;1,80;1,79;1,80;4.309,00;2.400
ESPA3;16/06/2023;13:35:00;1,79;1,80;1,79;1,80;3.768,00;2.100
ESPA3;16/06/2023;13:30:00;1,80;1,81;1,79;1,79;102.235,00;56.800
ESPA3;16/06/2023;13:25:00;1,80;1,81;1,80;1,81;13.142,00;7.300
ESPA3;16/06/2023;13:20:00;1,81;1,82;1,80;1,81;4.513,00;2.500
ESPA3;16/06/2023;13:15:00;1,81;1,82;1,81;1,81;13.946,00;7.700
