Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ETER3;06/06/2023;11:20:00;11,38;11,38;11,38;11,38;4.552,00;400
ETER3;06/06/2023;11:15:00;11,36;11,36;11,36;11,36;7.952,00;700
ETER3;06/06/2023;11:10:00;11,34;11,37;11,32;11,36;29.501,00;2.600
ETER3;06/06/2023;11:05:00;11,31;11,32;11,30;11,32;11.307,00;1.000
ETER3;06/06/2023;11:00:00;11,32;11,34;11,30;11,30;31.674,00;2.800
ETER3;06/06/2023;10:50:00;11,34;11,34;11,28;11,28;18.089,00;1.600
ETER3;06/06/2023;10:45:00;11,36;11,36;11,30;11,35;135.841,00;12.000
ETER3;06/06/2023;10:40:00;11,37;11,37;11,35;11,36;14.768,00;1.300
ETER3;06/06/2023;10:35:00;11,40;11,40;11,38;11,38;3.416,00;300
ETER3;06/06/2023;10:30:00;11,41;11,41;11,36;11,38;21.630,00;1.900
ETER3;06/06/2023;10:25:00;11,41;11,41;11,41;11,41;3.423,00;300
ETER3;06/06/2023;10:20:00;11,43;11,44;11,41;11,41;20.564,00;1.800
ETER3;06/06/2023;10:15:00;11,40;11,48;11,39;11,43;69.840,00;6.100
ETER3;06/06/2023;10:10:00;11,54;11,56;11,41;11,43;330.102,00;28.700
ETER3;06/06/2023;10:05:00;11,57;11,58;11,54;11,55;46.260,00;4.000
ETER3;06/06/2023;10:00:00;11,50;11,57;11,50;11,54;168.521,00;14.600
ETER3;05/06/2023;17:30:00;11,39;11,39;11,34;11,34;6.814,00;600
ETER3;05/06/2023;16:50:00;11,39;11,42;11,39;11,39;190.260,00;16.700
ETER3;05/06/2023;16:45:00;11,37;11,41;11,37;11,40;42.120,00;3.700
ETER3;05/06/2023;16:40:00;11,36;11,37;11,35;11,37;28.395,00;2.500
ETER3;05/06/2023;16:35:00;11,37;11,37;11,37;11,37;1.137,00;100
ETER3;05/06/2023;16:30:00;11,36;11,37;11,34;11,36;34.062,00;3.000
ETER3;05/06/2023;16:25:00;11,39;11,40;11,36;11,37;110.313,00;9.700
ETER3;05/06/2023;16:20:00;11,38;11,39;11,38;11,39;3.415,00;300
ETER3;05/06/2023;16:15:00;11,37;11,38;11,37;11,38;12.514,00;1.100
ETER3;05/06/2023;16:10:00;11,38;11,38;11,35;11,38;22.735,00;2.000
ETER3;05/06/2023;16:05:00;11,39;11,39;11,39;11,39;2.278,00;200
ETER3;05/06/2023;15:55:00;11,38;11,39;11,38;11,39;13.658,00;1.200
ETER3;05/06/2023;15:50:00;11,39;11,39;11,36;11,38;18.209,00;1.600
ETER3;05/06/2023;15:45:00;11,41;11,41;11,40;11,40;15.961,00;1.400
ETER3;05/06/2023;15:40:00;11,41;11,43;11,41;11,42;22.834,00;2.000
ETER3;05/06/2023;15:30:00;11,40;11,40;11,40;11,40;4.560,00;400
ETER3;05/06/2023;15:25:00;11,39;11,41;11,39;11,41;10.253,00;900
ETER3;05/06/2023;15:20:00;11,39;11,41;11,39;11,40;41.018,00;3.600
ETER3;05/06/2023;15:15:00;11,39;11,39;11,39;11,39;2.278,00;200
ETER3;05/06/2023;15:10:00;11,38;11,38;11,38;11,38;1.138,00;100
ETER3;05/06/2023;15:05:00;11,40;11,40;11,39;11,39;3.418,00;300
ETER3;05/06/2023;15:00:00;11,42;11,42;11,40;11,41;5.705,00;500
ETER3;05/06/2023;14:55:00;11,42;11,42;11,42;11,42;3.426,00;300
ETER3;05/06/2023;14:50:00;11,41;11,42;11,41;11,42;4.565,00;400
ETER3;05/06/2023;14:45:00;11,42;11,42;11,39;11,39;23.967,00;2.100
ETER3;05/06/2023;14:40:00;11,42;11,42;11,42;11,42;2.284,00;200
ETER3;05/06/2023;14:35:00;11,40;11,41;11,40;11,41;5.703,00;500
ETER3;05/06/2023;14:30:00;11,37;11,39;11,37;11,39;13.657,00;1.200
ETER3;05/06/2023;14:25:00;11,37;11,37;11,36;11,36;6.821,00;600
ETER3;05/06/2023;14:10:00;11,38;11,39;11,38;11,39;2.277,00;200
ETER3;05/06/2023;14:05:00;11,39;11,39;11,37;11,37;4.553,00;400
ETER3;05/06/2023;14:00:00;11,38;11,40;11,38;11,40;4.555,00;400
ETER3;05/06/2023;13:55:00;11,38;11,38;11,38;11,38;1.138,00;100
ETER3;05/06/2023;13:50:00;11,38;11,40;11,38;11,38;9.106,00;800
ETER3;05/06/2023;13:45:00;11,41;11,41;11,40;11,41;11.406,00;1.000
ETER3;05/06/2023;13:35:00;11,41;11,41;11,41;11,41;1.141,00;100
ETER3;05/06/2023;13:30:00;11,41;11,41;11,41;11,41;1.141,00;100
ETER3;05/06/2023;13:25:00;11,40;11,42;11,39;11,41;15.962,00;1.400
ETER3;05/06/2023;13:20:00;11,41;11,42;11,40;11,40;9.126,00;800
ETER3;05/06/2023;13:15:00;11,44;11,44;11,42;11,42;5.718,00;500
ETER3;05/06/2023;13:10:00;11,38;11,45;11,38;11,45;71.871,00;6.300
ETER3;05/06/2023;13:05:00;11,36;11,38;11,36;11,38;15.915,00;1.400
ETER3;05/06/2023;13:00:00;11,36;11,36;11,36;11,36;1.136,00;100
ETER3;05/06/2023;12:55:00;11,34;11,35;11,34;11,35;2.269,00;200
ETER3;05/06/2023;12:50:00;11,35;11,35;11,32;11,34;12.464,00;1.100
ETER3;05/06/2023;12:40:00;11,31;11,32;11,31;11,32;3.395,00;300
ETER3;05/06/2023;12:35:00;11,33;11,33;11,32;11,32;3.398,00;300
ETER3;05/06/2023;12:25:00;11,33;11,33;11,33;11,33;1.133,00;100
ETER3;05/06/2023;12:20:00;11,34;11,35;11,34;11,35;2.269,00;200
ETER3;05/06/2023;12:15:00;11,35;11,35;11,35;11,35;2.270,00;200
ETER3;05/06/2023;12:05:00;11,34;11,35;11,34;11,35;2.269,00;200
ETER3;05/06/2023;12:00:00;11,37;11,38;11,34;11,34;10.233,00;900
ETER3;05/06/2023;11:55:00;11,37;11,37;11,36;11,37;7.956,00;700
ETER3;05/06/2023;11:50:00;11,36;11,38;11,36;11,38;14.785,00;1.300
ETER3;05/06/2023;11:45:00;11,36;11,37;11,31;11,36;78.206,00;6.900
ETER3;05/06/2023;11:40:00;11,28;11,34;11,28;11,34;19.223,00;1.700
ETER3;05/06/2023;11:35:00;11,29;11,29;11,27;11,27;15.798,00;1.400
ETER3;05/06/2023;11:30:00;11,30;11,32;11,30;11,30;42.963,00;3.800
ETER3;05/06/2023;11:25:00;11,30;11,30;11,30;11,30;1.130,00;100
ETER3;05/06/2023;11:20:00;11,23;11,28;11,23;11,28;37.089,00;3.300
ETER3;05/06/2023;11:15:00;11,24;11,24;11,17;11,24;110.867,00;9.900
ETER3;05/06/2023;11:10:00;11,25;11,25;11,25;11,25;4.500,00;400
ETER3;05/06/2023;11:05:00;11,28;11,28;11,25;11,26;10.139,00;900
ETER3;05/06/2023;11:00:00;11,27;11,28;11,24;11,28;25.893,00;2.300
ETER3;05/06/2023;10:50:00;11,34;11,34;11,34;11,34;2.268,00;200
ETER3;05/06/2023;10:45:00;11,34;11,34;11,33;11,34;3.401,00;300
ETER3;05/06/2023;10:35:00;11,34;11,38;11,33;11,38;28.408,00;2.500
ETER3;05/06/2023;10:30:00;11,31;11,33;11,26;11,32;72.284,00;6.400
ETER3;05/06/2023;10:25:00;11,32;11,34;11,32;11,33;12.455,00;1.100
ETER3;05/06/2023;10:20:00;11,33;11,33;11,30;11,33;14.710,00;1.300
ETER3;05/06/2023;10:15:00;11,34;11,35;11,32;11,34;12.465,00;1.100
ETER3;05/06/2023;10:10:00;11,41;11,42;11,35;11,36;25.038,00;2.200
ETER3;05/06/2023;10:05:00;11,40;11,45;11,40;11,44;51.447,00;4.500
ETER3;05/06/2023;10:00:00;11,36;11,41;11,36;11,39;47.805,00;4.200
ETER3;02/06/2023;17:30:00;11,34;11,35;11,33;11,35;21.560,00;1.900
ETER3;02/06/2023;16:50:00;11,30;11,35;11,30;11,35;452.764,00;39.900
ETER3;02/06/2023;16:45:00;11,30;11,34;11,28;11,32;78.012,00;6.900
ETER3;02/06/2023;16:40:00;11,31;11,33;11,30;11,31;14.703,00;1.300
ETER3;02/06/2023;16:35:00;11,32;11,32;11,31;11,32;16.971,00;1.500
ETER3;02/06/2023;16:30:00;11,31;11,31;11,30;11,31;11.302,00;1.000
ETER3;02/06/2023;16:25:00;11,32;11,32;11,31;11,31;4.526,00;400
ETER3;02/06/2023;16:20:00;11,31;11,32;11,30;11,32;20.370,00;1.800
ETER3;02/06/2023;16:15:00;11,33;11,33;11,30;11,30;5.656,00;500
ETER3;02/06/2023;16:10:00;11,32;11,32;11,31;11,31;5.656,00;500
ETER3;02/06/2023;16:05:00;11,33;11,33;11,30;11,31;14.713,00;1.300
ETER3;02/06/2023;16:00:00;11,33;11,33;11,32;11,32;2.265,00;200
ETER3;02/06/2023;15:55:00;11,31;11,32;11,30;11,32;11.306,00;1.000
ETER3;02/06/2023;15:50:00;11,30;11,30;11,28;11,30;12.420,00;1.100
ETER3;02/06/2023;15:45:00;11,28;11,28;11,26;11,26;5.633,00;500
ETER3;02/06/2023;15:40:00;11,30;11,30;11,27;11,27;24.834,00;2.200
ETER3;02/06/2023;15:35:00;11,29;11,30;11,29;11,30;3.388,00;300
ETER3;02/06/2023;15:30:00;11,30;11,30;11,29;11,29;2.259,00;200
ETER3;02/06/2023;15:25:00;11,32;11,32;11,31;11,31;3.395,00;300
ETER3;02/06/2023;15:20:00;11,29;11,31;11,29;11,30;15.824,00;1.400
ETER3;02/06/2023;15:15:00;11,28;11,30;11,28;11,30;25.951,00;2.300
ETER3;02/06/2023;15:10:00;11,27;11,27;11,27;11,27;1.127,00;100
ETER3;02/06/2023;15:05:00;11,26;11,27;11,25;11,27;6.753,00;600
ETER3;02/06/2023;15:00:00;11,30;11,30;11,26;11,26;13.537,00;1.200
ETER3;02/06/2023;14:55:00;11,29;11,29;11,29;11,29;1.129,00;100
ETER3;02/06/2023;14:50:00;11,29;11,30;11,27;11,29;32.727,00;2.900
ETER3;02/06/2023;14:45:00;11,32;11,32;11,28;11,29;20.334,00;1.800
ETER3;02/06/2023;14:40:00;11,32;11,33;11,30;11,30;3.395,00;300
ETER3;02/06/2023;14:35:00;11,32;11,33;11,31;11,32;12.448,00;1.100
ETER3;02/06/2023;14:30:00;11,33;11,33;11,32;11,32;4.531,00;400
ETER3;02/06/2023;14:25:00;11,32;11,33;11,32;11,32;3.397,00;300
ETER3;02/06/2023;14:20:00;11,32;11,33;11,32;11,32;6.793,00;600
ETER3;02/06/2023;14:15:00;11,30;11,32;11,30;11,32;53.145,00;4.700
ETER3;02/06/2023;14:10:00;11,32;11,34;11,29;11,29;91.592,00;8.100
ETER3;02/06/2023;14:05:00;11,33;11,34;11,33;11,34;12.468,00;1.100
ETER3;02/06/2023;14:00:00;11,34;11,34;11,34;11,34;2.268,00;200
ETER3;02/06/2023;13:55:00;11,37;11,38;11,34;11,34;21.589,00;1.900
ETER3;02/06/2023;13:50:00;11,37;11,37;11,37;11,37;2.274,00;200
ETER3;02/06/2023;13:45:00;11,37;11,38;11,36;11,36;9.097,00;800
ETER3;02/06/2023;13:40:00;11,38;11,39;11,36;11,36;9.098,00;800
ETER3;02/06/2023;13:35:00;11,37;11,38;11,37;11,37;7.961,00;700
ETER3;02/06/2023;13:30:00;11,40;11,40;11,37;11,38;17.070,00;1.500
ETER3;02/06/2023;13:25:00;11,40;11,40;11,39;11,39;9.117,00;800
ETER3;02/06/2023;13:20:00;11,39;11,41;11,39;11,41;18.239,00;1.600
ETER3;02/06/2023;13:15:00;11,43;11,43;11,35;11,37;47.755,00;4.200
ETER3;02/06/2023;13:10:00;11,44;11,44;11,42;11,42;6.854,00;600
ETER3;02/06/2023;13:05:00;11,44;11,44;11,43;11,44;9.147,00;800
ETER3;02/06/2023;13:00:00;11,45;11,45;11,40;11,40;37.645,00;3.300
ETER3;02/06/2023;12:55:00;11,45;11,46;11,43;11,43;11.447,00;1.000
ETER3;02/06/2023;12:50:00;11,43;11,45;11,42;11,45;18.287,00;1.600
ETER3;02/06/2023;12:45:00;11,41;11,46;11,41;11,41;38.872,00;3.400
ETER3;02/06/2023;12:40:00;11,40;11,40;11,40;11,40;12.540,00;1.100
ETER3;02/06/2023;12:35:00;11,41;11,42;11,40;11,40;15.965,00;1.400
ETER3;02/06/2023;12:30:00;11,44;11,45;11,42;11,42;10.293,00;900
ETER3;02/06/2023;12:25:00;11,42;11,44;11,42;11,43;6.858,00;600
ETER3;02/06/2023;12:20:00;11,43;11,44;11,43;11,44;3.430,00;300
ETER3;02/06/2023;12:15:00;11,43;11,43;11,42;11,42;2.285,00;200
ETER3;02/06/2023;12:10:00;11,41;11,42;11,39;11,42;30.793,00;2.700
ETER3;02/06/2023;12:05:00;11,45;11,45;11,41;11,43;99.439,00;8.700
ETER3;02/06/2023;12:00:00;11,45;11,45;11,44;11,45;38.919,00;3.400
ETER3;02/06/2023;11:55:00;11,42;11,43;11,42;11,43;34.281,00;3.000
ETER3;02/06/2023;11:50:00;11,38;11,42;11,37;11,42;42.150,00;3.700
ETER3;02/06/2023;11:45:00;11,45;11,45;11,38;11,38;28.569,00;2.500
ETER3;02/06/2023;11:40:00;11,44;11,44;11,42;11,43;13.713,00;1.200
ETER3;02/06/2023;11:35:00;11,43;11,45;11,43;11,45;73.228,00;6.400
ETER3;02/06/2023;11:30:00;11,37;11,44;11,30;11,43;208.150,00;18.300
ETER3;02/06/2023;11:25:00;11,39;11,40;11,39;11,39;19.374,00;1.700
ETER3;02/06/2023;11:20:00;11,41;11,41;11,37;11,40;31.888,00;2.800
ETER3;02/06/2023;11:15:00;11,41;11,41;11,39;11,41;63.838,00;5.600
ETER3;02/06/2023;11:10:00;11,45;11,46;11,40;11,40;14.872,00;1.300
ETER3;02/06/2023;11:05:00;11,46;11,48;11,44;11,44;30.934,00;2.700
ETER3;02/06/2023;11:00:00;11,45;11,47;11,45;11,46;32.097,00;2.800
ETER3;02/06/2023;10:55:00;11,39;11,45;11,37;11,44;63.950,00;5.600
ETER3;02/06/2023;10:50:00;11,46;11,46;11,38;11,39;75.317,00;6.600
ETER3;02/06/2023;10:45:00;11,46;11,46;11,45;11,46;9.164,00;800
ETER3;02/06/2023;10:40:00;11,42;11,44;11,40;11,44;84.444,00;7.400
ETER3;02/06/2023;10:35:00;11,50;11,50;11,41;11,44;80.085,00;7.000
ETER3;02/06/2023;10:30:00;11,41;11,51;11,41;11,51;42.353,00;3.700
ETER3;02/06/2023;10:25:00;11,49;11,49;11,41;11,41;83.564,00;7.300
ETER3;02/06/2023;10:20:00;11,53;11,57;11,50;11,50;157.056,00;13.600
ETER3;02/06/2023;10:15:00;11,52;11,54;11,46;11,52;176.277,00;15.300
ETER3;02/06/2023;10:10:00;11,47;11,59;11,47;11,54;387.372,00;33.600
ETER3;02/06/2023;10:05:00;11,37;11,48;11,37;11,47;102.677,00;9.000
