Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ETHE11;06/06/2023;11:20:00;26,02;26,10;26,02;26,10;78,14;3
ETHE11;06/06/2023;11:15:00;26,10;26,17;26,02;26,02;2.739,28;105
ETHE11;06/06/2023;11:10:00;26,15;26,15;26,12;26,12;156,87;6
ETHE11;06/06/2023;11:00:00;26,00;26,00;26,00;26,00;52,00;2
ETHE11;06/06/2023;10:55:00;26,00;26,00;26,00;26,00;21.034,00;809
ETHE11;06/06/2023;10:50:00;25,86;26,00;25,86;26,00;6.518,00;251
ETHE11;06/06/2023;10:45:00;25,96;26,00;25,94;25,94;15.645,69;602
ETHE11;06/06/2023;10:40:00;25,81;25,81;25,81;25,81;619,44;24
ETHE11;06/06/2023;10:35:00;25,80;25,95;25,80;25,94;9.451,21;365
ETHE11;06/06/2023;10:25:00;25,91;25,91;25,90;25,90;77,72;3
ETHE11;06/06/2023;10:15:00;25,92;26,00;25,82;26,00;6.229,16;241
ETHE11;06/06/2023;10:10:00;26,00;26,47;25,92;25,92;1.740,96;67
ETHE11;06/06/2023;10:05:00;25,98;25,98;25,98;25,98;11.223,36;432
ETHE11;05/06/2023;17:30:00;26,25;26,25;26,25;26,25;2.625,00;100
ETHE11;05/06/2023;16:50:00;26,02;26,17;25,98;25,98;192.248,18;7.398
ETHE11;05/06/2023;16:45:00;26,04;26,14;26,01;26,14;18.065,34;694
ETHE11;05/06/2023;16:40:00;26,23;26,23;26,18;26,18;3.403,65;130
ETHE11;05/06/2023;16:35:00;26,18;26,18;26,18;26,18;5.628,70;215
ETHE11;05/06/2023;16:30:00;25,99;26,18;25,99;26,18;18.285,49;702
ETHE11;05/06/2023;16:25:00;25,64;26,00;25,10;25,44;38.600,85;1.513
ETHE11;05/06/2023;16:20:00;26,29;26,30;25,75;25,75;29.626,60;1.134
ETHE11;05/06/2023;16:15:00;26,27;26,28;26,26;26,26;683,25;26
ETHE11;05/06/2023;16:10:00;26,42;26,47;26,21;26,21;17.537,30;667
ETHE11;05/06/2023;16:05:00;26,42;26,42;26,42;26,42;1.109,64;42
ETHE11;05/06/2023;15:45:00;26,41;26,42;26,30;26,42;12.666,80;481
ETHE11;05/06/2023;15:40:00;26,47;26,47;26,42;26,42;1.560,58;59
ETHE11;05/06/2023;15:35:00;26,48;26,48;26,48;26,48;211,84;8
ETHE11;05/06/2023;15:30:00;26,44;26,50;26,44;26,48;7.972,06;301
ETHE11;05/06/2023;15:25:00;26,48;26,48;26,45;26,45;5.903,21;223
ETHE11;05/06/2023;15:20:00;26,37;26,44;26,37;26,44;2.669,89;101
ETHE11;05/06/2023;15:15:00;26,43;26,43;26,43;26,43;1.374,36;52
ETHE11;05/06/2023;15:10:00;26,43;26,43;26,43;26,43;211,44;8
ETHE11;05/06/2023;15:05:00;26,39;26,44;26,39;26,43;2.800,20;106
ETHE11;05/06/2023;15:00:00;26,41;26,43;26,39;26,40;8.426,68;319
ETHE11;05/06/2023;14:55:00;26,42;26,43;26,40;26,42;1.347,15;51
ETHE11;05/06/2023;14:50:00;26,42;26,43;26,21;26,31;71.024,26;2.701
ETHE11;05/06/2023;14:45:00;26,44;26,44;26,44;26,44;343,72;13
ETHE11;05/06/2023;14:40:00;26,42;26,42;26,42;26,42;26,42;1
ETHE11;05/06/2023;14:35:00;26,41;26,44;26,31;26,44;13.448,35;511
ETHE11;05/06/2023;14:30:00;26,44;26,48;26,40;26,48;634,59;24
ETHE11;05/06/2023;14:25:00;26,44;26,44;26,44;26,44;185,08;7
ETHE11;05/06/2023;14:20:00;26,47;26,47;26,44;26,46;1.322,80;50
ETHE11;05/06/2023;14:15:00;26,45;26,49;26,43;26,43;13.648,78;516
ETHE11;05/06/2023;14:10:00;26,45;26,45;26,40;26,40;79,25;3
ETHE11;05/06/2023;14:05:00;26,32;26,46;26,31;26,46;3.769,03;143
ETHE11;05/06/2023;14:00:00;26,38;26,42;26,38;26,42;14.805,57;561
ETHE11;05/06/2023;13:55:00;26,66;26,66;26,21;26,21;132.754,80;5.019
ETHE11;05/06/2023;13:50:00;26,65;26,66;26,65;26,66;5.356,66;201
ETHE11;05/06/2023;13:45:00;26,64;26,64;26,61;26,61;20.564,01;772
ETHE11;05/06/2023;13:40:00;26,59;26,64;26,59;26,64;186,43;7
ETHE11;05/06/2023;13:35:00;26,65;26,65;26,55;26,55;13.547,79;509
ETHE11;05/06/2023;13:30:00;26,65;26,65;26,65;26,65;11.992,50;450
ETHE11;05/06/2023;13:25:00;26,65;26,65;26,65;26,65;1.332,50;50
ETHE11;05/06/2023;13:20:00;26,28;26,70;26,28;26,70;18.774,47;713
ETHE11;05/06/2023;13:15:00;26,26;26,34;26,26;26,28;10.469,84;398
ETHE11;05/06/2023;13:10:00;26,28;26,28;26,18;26,26;17.940,20;685
ETHE11;05/06/2023;13:05:00;26,24;26,27;26,23;26,27;11.837,23;451
ETHE11;05/06/2023;13:00:00;26,37;26,42;26,32;26,32;79.377,24;3.013
ETHE11;05/06/2023;12:55:00;26,51;26,51;26,32;26,38;186.690,57;7.084
ETHE11;05/06/2023;12:50:00;26,71;26,72;26,50;26,51;83.810,17;3.161
ETHE11;05/06/2023;12:45:00;26,71;26,72;26,62;26,62;1.977,10;74
ETHE11;05/06/2023;12:35:00;26,90;26,90;26,60;26,60;54.681,64;2.039
ETHE11;05/06/2023;12:30:00;26,89;26,90;26,89;26,90;2.447,89;91
ETHE11;05/06/2023;12:25:00;26,90;26,90;26,82;26,82;7.207,76;268
ETHE11;05/06/2023;12:20:00;26,81;26,81;26,81;26,81;563,01;21
ETHE11;05/06/2023;12:15:00;27,00;27,00;26,97;26,97;2.860,35;106
ETHE11;05/06/2023;12:10:00;27,11;27,11;27,00;27,00;1.326,21;49
ETHE11;05/06/2023;12:05:00;27,16;27,16;27,11;27,11;17.433,84;643
ETHE11;05/06/2023;12:00:00;27,16;27,16;27,16;27,16;27,16;1
ETHE11;05/06/2023;11:55:00;27,28;27,28;27,27;27,28;2.209,67;81
ETHE11;05/06/2023;11:45:00;27,14;27,14;27,11;27,12;19.425,83;716
ETHE11;05/06/2023;11:40:00;27,13;27,13;27,13;27,13;27,13;1
ETHE11;05/06/2023;11:30:00;27,27;27,27;27,27;27,27;872,64;32
ETHE11;05/06/2023;11:25:00;27,11;27,11;27,11;27,11;5.720,21;211
ETHE11;05/06/2023;11:20:00;27,11;27,11;27,11;27,11;325,32;12
ETHE11;05/06/2023;11:15:00;27,20;27,20;27,20;27,20;408,00;15
ETHE11;05/06/2023;11:10:00;27,03;27,07;27,03;27,07;324,53;12
ETHE11;05/06/2023;11:05:00;26,93;27,03;26,93;27,03;13.852,32;514
ETHE11;05/06/2023;11:00:00;27,00;27,04;26,80;27,04;4.165,64;155
ETHE11;05/06/2023;10:55:00;27,01;27,01;27,00;27,00;54,01;2
ETHE11;05/06/2023;10:45:00;27,03;27,03;27,02;27,02;5.404,01;200
ETHE11;05/06/2023;10:40:00;27,27;27,27;27,00;27,00;10.974,20;404
ETHE11;05/06/2023;10:35:00;27,25;27,25;27,25;27,25;27,25;1
ETHE11;05/06/2023;10:25:00;27,30;27,30;27,30;27,30;627,90;23
ETHE11;05/06/2023;10:15:00;27,31;27,31;27,30;27,31;901,05;33
ETHE11;05/06/2023;10:10:00;27,30;27,30;27,30;27,30;300,30;11
ETHE11;05/06/2023;10:05:00;27,50;27,50;27,30;27,31;65.412,83;2.394
ETHE11;02/06/2023;17:30:00;27,80;28,00;27,80;28,00;1.418,00;51
ETHE11;02/06/2023;16:50:00;27,75;27,80;27,75;27,80;14.383,65;518
ETHE11;02/06/2023;16:45:00;27,75;27,75;27,75;27,75;6.937,50;250
ETHE11;02/06/2023;16:40:00;27,63;27,63;27,63;27,63;2.541,96;92
ETHE11;02/06/2023;16:35:00;27,63;27,65;27,63;27,63;4.394,33;159
ETHE11;02/06/2023;16:20:00;27,77;27,77;27,77;27,77;444,32;16
ETHE11;02/06/2023;16:10:00;27,60;27,80;27,60;27,80;9.431,60;341
ETHE11;02/06/2023;16:05:00;27,72;27,72;27,56;27,60;23.713,05;856
ETHE11;02/06/2023;16:00:00;27,72;27,72;27,72;27,72;28.967,40;1.045
ETHE11;02/06/2023;15:50:00;27,75;27,75;27,61;27,61;3.327,18;120
ETHE11;02/06/2023;15:45:00;27,75;27,75;27,75;27,75;27,75;1
ETHE11;02/06/2023;15:30:00;27,61;27,61;27,61;27,61;27,61;1
ETHE11;02/06/2023;15:20:00;27,71;27,71;27,64;27,64;138,27;5
ETHE11;02/06/2023;15:15:00;27,75;27,75;27,75;27,75;1.387,50;50
ETHE11;02/06/2023;14:55:00;27,69;27,97;27,69;27,97;581,77;21
ETHE11;02/06/2023;14:50:00;27,97;27,97;27,97;27,97;755,19;27
ETHE11;02/06/2023;14:40:00;28,07;28,07;28,07;28,07;28,07;1
ETHE11;02/06/2023;14:10:00;28,09;28,09;28,09;28,09;561,80;20
ETHE11;02/06/2023;14:05:00;27,70;28,14;27,70;28,14;151.715,76;5.421
ETHE11;02/06/2023;13:50:00;27,53;27,53;27,53;27,53;468,01;17
ETHE11;02/06/2023;13:20:00;27,68;27,68;27,68;27,68;27,68;1
ETHE11;02/06/2023;13:15:00;27,68;27,68;27,68;27,68;83,04;3
ETHE11;02/06/2023;13:05:00;27,50;27,50;27,50;27,50;55,00;2
ETHE11;02/06/2023;12:55:00;27,59;27,59;27,59;27,59;110,36;4
ETHE11;02/06/2023;12:50:00;27,59;27,59;27,59;27,59;82,77;3
ETHE11;02/06/2023;12:40:00;27,47;27,47;27,47;27,47;7.609,19;277
ETHE11;02/06/2023;12:30:00;27,40;27,40;27,40;27,40;1.534,40;56
ETHE11;02/06/2023;12:25:00;27,40;27,46;27,34;27,46;3.035,23;111
ETHE11;02/06/2023;12:15:00;27,47;27,51;27,46;27,47;961,47;35
ETHE11;02/06/2023;12:05:00;27,50;27,50;27,47;27,47;3.299,61;120
ETHE11;02/06/2023;12:00:00;27,51;27,51;27,50;27,50;1.375,38;50
ETHE11;02/06/2023;11:55:00;27,51;27,51;27,51;27,51;385,14;14
ETHE11;02/06/2023;11:45:00;27,64;27,72;27,64;27,72;2.769,40;100
ETHE11;02/06/2023;11:25:00;27,51;27,51;27,51;27,51;2.751,00;100
ETHE11;02/06/2023;11:20:00;27,61;27,61;27,61;27,61;16.566,00;600
ETHE11;02/06/2023;11:15:00;27,63;27,63;27,63;27,63;138,15;5
ETHE11;02/06/2023;11:10:00;27,65;27,65;27,53;27,53;101.824,31;3.685
ETHE11;02/06/2023;10:55:00;27,65;27,65;27,65;27,65;8.073,80;292
ETHE11;02/06/2023;10:50:00;27,75;27,76;27,65;27,65;859,48;31
ETHE11;02/06/2023;10:45:00;27,58;27,58;27,58;27,58;854,98;31
ETHE11;02/06/2023;10:40:00;27,76;27,76;27,76;27,76;3.747,60;135
ETHE11;02/06/2023;10:35:00;27,76;27,76;27,76;27,76;27,76;1
ETHE11;02/06/2023;10:30:00;27,76;27,76;27,76;27,76;55,52;2
ETHE11;02/06/2023;10:25:00;27,90;27,90;27,71;27,80;44.375,10;1.597
ETHE11;02/06/2023;10:20:00;27,34;27,34;27,34;27,34;273,40;10
ETHE11;02/06/2023;10:15:00;27,29;27,90;27,29;27,90;1.320,90;48
ETHE11;02/06/2023;10:10:00;27,90;27,90;27,90;27,90;111,60;4
ETHE11;02/06/2023;10:05:00;27,93;27,93;27,92;27,92;1.954,56;70
ETHE11;01/06/2023;16:40:00;27,31;27,92;27,31;27,92;499,51;18
ETHE11;01/06/2023;16:25:00;27,63;27,63;27,63;27,63;110,52;4
ETHE11;01/06/2023;15:55:00;27,33;27,33;27,33;27,33;81,99;3
ETHE11;01/06/2023;15:45:00;27,60;27,60;27,60;27,60;55,20;2
ETHE11;01/06/2023;15:40:00;27,63;27,63;27,40;27,40;82,43;3
ETHE11;01/06/2023;15:30:00;27,31;27,59;27,31;27,59;6.151,86;223
ETHE11;01/06/2023;15:25:00;27,58;27,58;27,58;27,58;4.964,40;180
ETHE11;01/06/2023;15:10:00;27,59;27,59;27,59;27,59;137,95;5
ETHE11;01/06/2023;14:20:00;27,31;27,31;27,31;27,31;409,65;15
ETHE11;01/06/2023;14:15:00;27,62;27,62;27,30;27,30;47.636,90;1.725
ETHE11;01/06/2023;14:10:00;27,62;27,62;27,62;27,62;28.393,36;1.028
ETHE11;01/06/2023;14:05:00;27,62;27,62;27,62;27,62;10.329,88;374
ETHE11;01/06/2023;14:00:00;27,56;27,62;27,56;27,62;13.797,64;500
ETHE11;01/06/2023;13:50:00;27,54;27,54;27,54;27,54;165,24;6
