Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EUCA4;16/06/2023;16:45:00;11,14;11,15;11,10;11,10;71.059,00;6.400
EUCA4;16/06/2023;16:40:00;11,12;11,14;11,12;11,14;5.562,00;500
EUCA4;16/06/2023;16:30:00;11,13;11,16;11,13;11,16;2.229,00;200
EUCA4;16/06/2023;16:25:00;11,13;11,13;11,13;11,13;3.339,00;300
EUCA4;16/06/2023;15:50:00;11,17;11,17;11,17;11,17;1.117,00;100
EUCA4;16/06/2023;15:40:00;11,17;11,17;11,17;11,17;1.117,00;100
EUCA4;16/06/2023;15:05:00;11,12;11,12;11,12;11,12;1.112,00;100
EUCA4;16/06/2023;14:45:00;11,16;11,18;11,16;11,18;2.234,00;200
EUCA4;16/06/2023;14:25:00;11,16;11,16;11,16;11,16;1.116,00;100
EUCA4;16/06/2023;14:20:00;11,21;11,21;11,06;11,10;53.425,00;4.800
EUCA4;16/06/2023;13:55:00;11,19;11,21;11,19;11,21;4.479,00;400
EUCA4;16/06/2023;13:15:00;11,16;11,16;11,15;11,15;22.304,00;2.000
EUCA4;16/06/2023;13:05:00;11,22;11,22;11,22;11,22;1.122,00;100
EUCA4;16/06/2023;13:00:00;11,15;11,20;11,15;11,20;24.598,00;2.200
EUCA4;16/06/2023;12:55:00;11,16;11,16;11,15;11,15;18.958,00;1.700
EUCA4;16/06/2023;12:50:00;11,17;11,17;11,15;11,15;16.740,00;1.500
EUCA4;16/06/2023;12:40:00;11,18;11,18;11,18;11,18;1.118,00;100
EUCA4;16/06/2023;12:30:00;11,21;11,21;11,21;11,21;16.815,00;1.500
EUCA4;16/06/2023;12:20:00;11,24;11,24;11,19;11,19;29.191,00;2.600
EUCA4;16/06/2023;12:15:00;11,27;11,27;11,27;11,27;1.127,00;100
EUCA4;16/06/2023;12:10:00;11,27;11,27;11,27;11,27;1.127,00;100
EUCA4;16/06/2023;12:05:00;11,24;11,27;11,24;11,27;4.499,00;400
EUCA4;16/06/2023;12:00:00;11,25;11,25;11,24;11,24;16.862,00;1.500
EUCA4;16/06/2023;11:55:00;11,27;11,27;11,24;11,24;25.880,00;2.300
EUCA4;16/06/2023;11:35:00;11,31;11,31;11,31;11,31;2.262,00;200
EUCA4;16/06/2023;11:25:00;11,32;11,32;11,32;11,32;1.132,00;100
EUCA4;16/06/2023;11:10:00;11,29;11,30;11,29;11,30;13.556,00;1.200
EUCA4;16/06/2023;10:50:00;11,30;11,30;11,30;11,30;1.130,00;100
EUCA4;16/06/2023;10:40:00;11,30;11,30;11,27;11,27;3.384,00;300
EUCA4;16/06/2023;10:30:00;11,32;11,32;11,32;11,32;1.132,00;100
EUCA4;16/06/2023;10:15:00;11,33;11,33;11,33;11,33;1.133,00;100
EUCA4;15/06/2023;16:45:00;11,31;11,31;11,25;11,25;36.006,00;3.200
EUCA4;15/06/2023;16:40:00;11,28;11,29;11,20;11,23;50.528,00;4.500
EUCA4;15/06/2023;16:35:00;11,25;11,25;11,25;11,25;3.375,00;300
EUCA4;15/06/2023;16:30:00;11,28;11,28;11,28;11,28;1.128,00;100
EUCA4;15/06/2023;16:10:00;11,25;11,28;11,22;11,22;15.752,00;1.400
EUCA4;15/06/2023;16:00:00;11,22;11,25;11,22;11,25;7.859,00;700
EUCA4;15/06/2023;15:55:00;11,15;11,20;11,14;11,20;38.010,00;3.400
EUCA4;15/06/2023;15:35:00;11,13;11,20;11,12;11,20;20.103,00;1.800
EUCA4;15/06/2023;15:30:00;11,19;11,19;11,18;11,18;2.237,00;200
EUCA4;15/06/2023;15:20:00;11,12;11,12;11,12;11,12;15.568,00;1.400
EUCA4;15/06/2023;15:15:00;11,19;11,20;11,11;11,11;30.081,00;2.700
EUCA4;15/06/2023;15:10:00;11,13;11,13;11,11;11,12;26.693,00;2.400
EUCA4;15/06/2023;15:05:00;11,22;11,22;11,12;11,12;25.754,00;2.300
EUCA4;15/06/2023;15:00:00;11,22;11,22;11,22;11,22;1.122,00;100
EUCA4;15/06/2023;14:55:00;11,25;11,25;11,20;11,21;69.510,00;6.200
EUCA4;15/06/2023;14:50:00;11,26;11,26;11,25;11,25;25.878,00;2.300
EUCA4;15/06/2023;14:35:00;11,26;11,26;11,26;11,26;2.252,00;200
EUCA4;15/06/2023;14:30:00;11,32;11,32;11,32;11,32;5.660,00;500
EUCA4;15/06/2023;14:25:00;11,26;11,26;11,26;11,26;4.504,00;400
EUCA4;15/06/2023;14:05:00;11,28;11,28;11,25;11,26;22.525,00;2.000
EUCA4;15/06/2023;13:30:00;11,29;11,29;11,29;11,29;1.129,00;100
EUCA4;15/06/2023;13:20:00;11,30;11,31;11,29;11,29;20.343,00;1.800
EUCA4;15/06/2023;12:55:00;11,30;11,30;11,27;11,29;13.544,00;1.200
EUCA4;15/06/2023;12:50:00;11,35;11,35;11,31;11,31;9.056,00;800
EUCA4;15/06/2023;12:45:00;11,33;11,33;11,33;11,33;1.133,00;100
EUCA4;15/06/2023;12:35:00;11,35;11,35;11,35;11,35;1.135,00;100
EUCA4;15/06/2023;12:30:00;11,38;11,38;11,38;11,38;7.966,00;700
EUCA4;15/06/2023;12:00:00;11,39;11,39;11,39;11,39;1.139,00;100
EUCA4;15/06/2023;11:55:00;11,37;11,38;11,37;11,38;3.412,00;300
EUCA4;15/06/2023;11:10:00;11,32;11,32;11,31;11,31;5.657,00;500
EUCA4;15/06/2023;10:50:00;11,40;11,40;11,40;11,40;10.260,00;900
EUCA4;15/06/2023;10:45:00;11,42;11,49;11,31;11,31;20.532,00;1.800
EUCA4;15/06/2023;10:40:00;11,27;11,49;11,27;11,43;149.341,00;13.100
EUCA4;15/06/2023;10:35:00;11,30;11,30;11,20;11,20;7.865,00;700
EUCA4;15/06/2023;10:20:00;11,33;11,33;11,32;11,32;22.641,00;2.000
EUCA4;15/06/2023;10:15:00;11,29;11,34;11,29;11,34;12.452,00;1.100
EUCA4;15/06/2023;10:05:00;11,18;11,18;11,15;11,15;7.818,00;700
EUCA4;15/06/2023;10:00:00;11,38;11,38;11,35;11,35;6.817,00;600
EUCA4;14/06/2023;16:45:00;11,25;11,38;11,25;11,38;62.528,00;5.500
EUCA4;14/06/2023;16:35:00;11,19;11,20;11,19;11,20;4.479,00;400
EUCA4;14/06/2023;16:25:00;11,17;11,17;11,17;11,17;1.117,00;100
EUCA4;14/06/2023;16:00:00;11,19;11,19;11,19;11,19;1.119,00;100
EUCA4;14/06/2023;15:55:00;11,14;11,14;11,14;11,14;1.114,00;100
EUCA4;14/06/2023;15:35:00;11,13;11,13;11,13;11,13;5.565,00;500
EUCA4;14/06/2023;15:30:00;11,20;11,20;11,12;11,12;40.232,00;3.600
EUCA4;14/06/2023;15:20:00;11,22;11,22;11,18;11,21;64.963,00;5.800
EUCA4;14/06/2023;15:15:00;11,20;11,22;11,20;11,20;10.086,00;900
EUCA4;14/06/2023;15:10:00;11,28;11,28;11,21;11,21;31.464,00;2.800
EUCA4;14/06/2023;15:05:00;11,29;11,29;11,29;11,29;1.129,00;100
EUCA4;14/06/2023;14:45:00;11,28;11,28;11,28;11,28;1.128,00;100
EUCA4;14/06/2023;14:30:00;11,31;11,31;11,31;11,31;10.179,00;900
