Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
EVEN3;16/06/2023;17:30:00;6,59;6,59;6,59;6,59;12.521,00;1.900
EVEN3;16/06/2023;16:45:00;6,54;6,59;6,53;6,59;973.707,00;147.900
EVEN3;16/06/2023;16:40:00;6,53;6,54;6,53;6,54;56.190,00;8.600
EVEN3;16/06/2023;16:35:00;6,54;6,55;6,53;6,54;41.189,00;6.300
EVEN3;16/06/2023;16:30:00;6,53;6,55;6,52;6,54;112.350,00;17.200
EVEN3;16/06/2023;16:25:00;6,52;6,54;6,52;6,53;86.181,00;13.200
EVEN3;16/06/2023;16:20:00;6,53;6,53;6,52;6,53;85.508,00;13.100
EVEN3;16/06/2023;16:15:00;6,52;6,55;6,51;6,53;437.087,00;67.000
EVEN3;16/06/2023;16:10:00;6,52;6,54;6,52;6,52;131.836,00;20.200
EVEN3;16/06/2023;16:05:00;6,52;6,53;6,51;6,52;59.983,00;9.200
EVEN3;16/06/2023;16:00:00;6,53;6,55;6,51;6,52;221.865,00;34.000
EVEN3;16/06/2023;15:55:00;6,53;6,55;6,53;6,54;71.258,00;10.900
EVEN3;16/06/2023;15:50:00;6,54;6,55;6,53;6,53;50.321,00;7.700
EVEN3;16/06/2023;15:45:00;6,56;6,57;6,54;6,54;79.997,00;12.200
EVEN3;16/06/2023;15:40:00;6,55;6,55;6,54;6,55;23.576,00;3.600
EVEN3;16/06/2023;15:35:00;6,56;6,57;6,55;6,55;15.083,00;2.300
EVEN3;16/06/2023;15:30:00;6,56;6,57;6,56;6,56;19.681,00;3.000
EVEN3;16/06/2023;15:25:00;6,56;6,57;6,56;6,56;11.811,00;1.800
EVEN3;16/06/2023;15:20:00;6,57;6,57;6,56;6,56;7.877,00;1.200
EVEN3;16/06/2023;15:15:00;6,57;6,57;6,56;6,56;6.561,00;1.000
EVEN3;16/06/2023;15:10:00;6,56;6,57;6,56;6,57;4.595,00;700
EVEN3;16/06/2023;15:05:00;6,56;6,56;6,55;6,56;11.151,00;1.700
EVEN3;16/06/2023;15:00:00;6,57;6,57;6,55;6,55;30.167,00;4.600
EVEN3;16/06/2023;14:55:00;6,57;6,57;6,56;6,56;3.939,00;600
EVEN3;16/06/2023;14:50:00;6,57;6,58;6,56;6,56;15.768,00;2.400
EVEN3;16/06/2023;14:45:00;6,59;6,59;6,57;6,57;13.822,00;2.100
EVEN3;16/06/2023;14:40:00;6,58;6,59;6,58;6,59;15.136,00;2.300
EVEN3;16/06/2023;14:35:00;6,58;6,58;6,56;6,57;40.730,00;6.200
EVEN3;16/06/2023;14:30:00;6,56;6,58;6,56;6,58;12.483,00;1.900
EVEN3;16/06/2023;14:25:00;6,56;6,56;6,56;6,56;12.464,00;1.900
EVEN3;16/06/2023;14:20:00;6,59;6,59;6,56;6,56;105.878,00;16.100
EVEN3;16/06/2023;14:15:00;6,60;6,60;6,59;6,59;9.235,00;1.400
EVEN3;16/06/2023;14:10:00;6,61;6,61;6,59;6,59;24.418,00;3.700
EVEN3;16/06/2023;14:05:00;6,60;6,61;6,59;6,60;7.920,00;1.200
EVEN3;16/06/2023;14:00:00;6,60;6,60;6,60;6,60;15.840,00;2.400
EVEN3;16/06/2023;13:55:00;6,59;6,61;6,59;6,60;69.959,00;10.600
EVEN3;16/06/2023;13:50:00;6,59;6,60;6,58;6,60;23.742,00;3.600
EVEN3;16/06/2023;13:45:00;6,59;6,60;6,58;6,58;55.354,00;8.400
EVEN3;16/06/2023;13:40:00;6,59;6,59;6,58;6,59;19.109,00;2.900
EVEN3;16/06/2023;13:35:00;6,59;6,59;6,58;6,58;5.927,00;900
EVEN3;16/06/2023;13:30:00;6,59;6,60;6,59;6,59;21.098,00;3.200
EVEN3;16/06/2023;13:25:00;6,61;6,61;6,60;6,60;40.950,00;6.200
EVEN3;16/06/2023;13:20:00;6,62;6,63;6,61;6,61;21.185,00;3.200
EVEN3;16/06/2023;13:15:00;6,60;6,62;6,60;6,62;8.587,00;1.300
EVEN3;16/06/2023;13:10:00;6,60;6,62;6,60;6,61;116.953,00;17.700
EVEN3;16/06/2023;13:05:00;6,60;6,61;6,59;6,59;72.531,00;11.000
EVEN3;16/06/2023;13:00:00;6,61;6,62;6,60;6,60;39.645,00;6.000
EVEN3;16/06/2023;12:55:00;6,62;6,63;6,61;6,61;15.889,00;2.400
EVEN3;16/06/2023;12:50:00;6,63;6,63;6,62;6,63;6.625,00;1.000
EVEN3;16/06/2023;12:45:00;6,62;6,63;6,62;6,63;3.314,00;500
EVEN3;16/06/2023;12:40:00;6,62;6,63;6,62;6,63;2.650,00;400
EVEN3;16/06/2023;12:35:00;6,63;6,64;6,62;6,62;37.111,00;5.600
EVEN3;16/06/2023;12:30:00;6,64;6,64;6,63;6,63;21.892,00;3.300
EVEN3;16/06/2023;12:25:00;6,63;6,63;6,63;6,63;9.945,00;1.500
EVEN3;16/06/2023;12:20:00;6,63;6,64;6,62;6,63;25.859,00;3.900
EVEN3;16/06/2023;12:15:00;6,63;6,64;6,63;6,63;9.956,00;1.500
EVEN3;16/06/2023;12:10:00;6,64;6,64;6,63;6,64;18.575,00;2.800
EVEN3;16/06/2023;12:05:00;6,62;6,64;6,62;6,63;22.544,00;3.400
EVEN3;16/06/2023;12:00:00;6,63;6,63;6,62;6,62;64.928,00;9.800
EVEN3;16/06/2023;11:55:00;6,65;6,65;6,63;6,63;34.529,00;5.200
EVEN3;16/06/2023;11:50:00;6,67;6,67;6,65;6,65;27.303,00;4.100
EVEN3;16/06/2023;11:45:00;6,68;6,69;6,67;6,67;62.109,00;9.300
EVEN3;16/06/2023;11:40:00;6,68;6,69;6,68;6,68;43.462,00;6.500
EVEN3;16/06/2023;11:35:00;6,68;6,68;6,67;6,68;11.354,00;1.700
EVEN3;16/06/2023;11:30:00;6,68;6,69;6,68;6,68;3.343,00;500
EVEN3;16/06/2023;11:25:00;6,69;6,69;6,68;6,68;10.691,00;1.600
EVEN3;16/06/2023;11:20:00;6,69;6,69;6,68;6,69;23.410,00;3.500
EVEN3;16/06/2023;11:15:00;6,69;6,70;6,69;6,70;6.695,00;1.000
EVEN3;16/06/2023;11:10:00;6,69;6,69;6,67;6,68;22.712,00;3.400
EVEN3;16/06/2023;11:05:00;6,69;6,69;6,68;6,69;28.754,00;4.300
EVEN3;16/06/2023;11:00:00;6,67;6,70;6,67;6,70;12.030,00;1.800
EVEN3;16/06/2023;10:55:00;6,67;6,67;6,66;6,67;20.670,00;3.100
EVEN3;16/06/2023;10:50:00;6,63;6,67;6,63;6,67;20.604,00;3.100
EVEN3;16/06/2023;10:45:00;6,67;6,68;6,63;6,63;115.830,00;17.400
EVEN3;16/06/2023;10:40:00;6,68;6,68;6,66;6,67;7.337,00;1.100
EVEN3;16/06/2023;10:35:00;6,64;6,68;6,64;6,68;47.961,00;7.200
EVEN3;16/06/2023;10:30:00;6,65;6,66;6,64;6,64;11.304,00;1.700
EVEN3;16/06/2023;10:25:00;6,66;6,67;6,65;6,65;21.996,00;3.300
EVEN3;16/06/2023;10:20:00;6,64;6,67;6,64;6,67;12.637,00;1.900
EVEN3;16/06/2023;10:15:00;6,63;6,66;6,61;6,63;79.011,00;11.900
EVEN3;16/06/2023;10:10:00;6,62;6,62;6,60;6,62;20.486,00;3.100
EVEN3;16/06/2023;10:05:00;6,64;6,64;6,62;6,62;23.220,00;3.500
EVEN3;16/06/2023;10:00:00;6,65;6,65;6,62;6,62;7.306,00;1.100
EVEN3;15/06/2023;17:30:00;6,67;6,67;6,64;6,67;25.952,00;3.900
EVEN3;15/06/2023;16:50:00;6,69;6,71;6,64;6,64;737.957,00;111.000
EVEN3;15/06/2023;16:45:00;6,70;6,70;6,68;6,69;66.919,00;10.000
EVEN3;15/06/2023;16:40:00;6,71;6,71;6,69;6,70;56.307,00;8.400
EVEN3;15/06/2023;16:35:00;6,69;6,72;6,69;6,71;188.432,00;28.100
EVEN3;15/06/2023;16:30:00;6,69;6,70;6,68;6,69;100.347,00;15.000
EVEN3;15/06/2023;16:25:00;6,69;6,69;6,68;6,69;39.468,00;5.900
EVEN3;15/06/2023;16:20:00;6,69;6,69;6,69;6,69;89.646,00;13.400
EVEN3;15/06/2023;16:15:00;6,71;6,73;6,67;6,69;649.113,00;96.800
EVEN3;15/06/2023;16:10:00;6,72;6,73;6,70;6,71;210.666,00;31.400
EVEN3;15/06/2023;16:05:00;6,70;6,72;6,70;6,72;118.750,00;17.700
EVEN3;15/06/2023;16:00:00;6,66;6,71;6,66;6,71;611.974,00;91.500
EVEN3;15/06/2023;15:55:00;6,66;6,66;6,65;6,66;21.300,00;3.200
EVEN3;15/06/2023;15:50:00;6,66;6,66;6,65;6,66;25.297,00;3.800
EVEN3;15/06/2023;15:45:00;6,66;6,66;6,65;6,66;64.535,00;9.700
EVEN3;15/06/2023;15:40:00;6,66;6,66;6,65;6,66;35.291,00;5.300
EVEN3;15/06/2023;15:35:00;6,66;6,66;6,66;6,66;15.318,00;2.300
EVEN3;15/06/2023;15:30:00;6,64;6,66;6,64;6,65;159.456,00;24.000
EVEN3;15/06/2023;15:25:00;6,64;6,65;6,62;6,64;79.005,00;11.900
EVEN3;15/06/2023;15:20:00;6,64;6,65;6,64;6,64;30.546,00;4.600
EVEN3;15/06/2023;15:15:00;6,64;6,64;6,63;6,64;99.590,00;15.000
EVEN3;15/06/2023;15:10:00;6,62;6,64;6,62;6,64;75.565,00;11.400
EVEN3;15/06/2023;15:05:00;6,64;6,65;6,63;6,63;102.219,00;15.400
EVEN3;15/06/2023;15:00:00;6,66;6,66;6,62;6,63;155.319,00;23.400
EVEN3;15/06/2023;14:55:00;6,66;6,66;6,65;6,66;9.323,00;1.400
EVEN3;15/06/2023;14:50:00;6,65;6,66;6,65;6,66;11.314,00;1.700
EVEN3;15/06/2023;14:45:00;6,66;6,66;6,65;6,66;53.873,00;8.100
EVEN3;15/06/2023;14:40:00;6,66;6,66;6,65;6,66;10.655,00;1.600
