Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FESA4;16/06/2023;17:30:00;46,50;46,50;46,32;46,32;752.166,00;16.200
FESA4;16/06/2023;16:45:00;47,24;47,39;46,36;46,36;15.210.319,00;327.900
FESA4;16/06/2023;16:40:00;47,10;47,28;47,06;47,27;589.352,00;12.500
FESA4;16/06/2023;16:35:00;47,12;47,18;47,08;47,10;292.216,00;6.200
FESA4;16/06/2023;16:30:00;47,11;47,20;47,05;47,14;329.916,00;7.000
FESA4;16/06/2023;16:25:00;47,11;47,11;47,02;47,10;400.018,00;8.500
FESA4;16/06/2023;16:20:00;47,12;47,21;47,12;47,12;113.181,00;2.400
FESA4;16/06/2023;16:15:00;47,13;47,19;47,02;47,19;400.258,00;8.500
FESA4;16/06/2023;16:10:00;47,13;47,24;47,13;47,18;146.243,00;3.100
FESA4;16/06/2023;16:05:00;47,05;47,17;47,02;47,17;536.787,00;11.400
FESA4;16/06/2023;16:00:00;47,11;47,17;47,03;47,05;310.778,00;6.600
FESA4;16/06/2023;15:55:00;47,15;47,16;47,10;47,11;160.215,00;3.400
FESA4;16/06/2023;15:50:00;47,27;47,27;47,14;47,14;264.335,00;5.600
FESA4;16/06/2023;15:45:00;47,37;47,37;47,26;47,27;160.887,00;3.400
FESA4;16/06/2023;15:40:00;47,33;47,37;47,30;47,37;411.912,00;8.700
FESA4;16/06/2023;15:35:00;47,45;47,45;47,33;47,33;199.016,00;4.200
FESA4;16/06/2023;15:30:00;47,55;47,55;47,40;47,42;279.996,00;5.900
FESA4;16/06/2023;15:25:00;47,45;47,60;47,43;47,60;94.999,00;2.000
FESA4;16/06/2023;15:20:00;47,50;47,50;47,45;47,45;18.995,00;400
FESA4;16/06/2023;15:15:00;47,46;47,50;47,45;47,50;71.213,00;1.500
FESA4;16/06/2023;15:10:00;47,44;47,45;47,44;47,45;14.234,00;300
FESA4;16/06/2023;15:05:00;47,50;47,50;47,42;47,50;142.432,00;3.000
FESA4;16/06/2023;15:00:00;47,52;47,52;47,50;47,50;14.253,00;300
FESA4;16/06/2023;14:55:00;47,52;47,52;47,50;47,52;66.518,00;1.400
FESA4;16/06/2023;14:50:00;47,59;47,61;47,55;47,55;128.464,00;2.700
FESA4;16/06/2023;14:45:00;47,62;47,62;47,58;47,58;14.278,00;300
FESA4;16/06/2023;14:40:00;47,58;47,60;47,58;47,60;33.310,00;700
FESA4;16/06/2023;14:35:00;47,52;47,58;47,52;47,56;99.864,00;2.100
FESA4;16/06/2023;14:30:00;47,54;47,55;47,51;47,55;66.563,00;1.400
FESA4;16/06/2023;14:25:00;47,50;47,55;47,47;47,49;90.240,00;1.900
FESA4;16/06/2023;14:20:00;47,50;47,51;47,49;47,50;52.249,00;1.100
FESA4;16/06/2023;14:15:00;47,50;47,52;47,50;47,51;28.506,00;600
FESA4;16/06/2023;14:10:00;47,50;47,55;47,50;47,55;95.053,00;2.000
FESA4;16/06/2023;14:05:00;47,50;47,59;47,50;47,57;19.016,00;400
FESA4;16/06/2023;14:00:00;47,56;47,59;47,49;47,59;104.606,00;2.200
FESA4;16/06/2023;13:55:00;47,46;47,58;47,46;47,58;76.074,00;1.600
FESA4;16/06/2023;13:50:00;47,48;47,50;47,47;47,47;47.482,00;1.000
FESA4;16/06/2023;13:45:00;47,46;47,48;47,46;47,48;14.242,00;300
FESA4;16/06/2023;13:40:00;47,43;47,47;47,43;47,47;47.455,00;1.000
FESA4;16/06/2023;13:35:00;47,41;47,48;47,41;47,48;23.733,00;500
FESA4;16/06/2023;13:30:00;47,50;47,50;47,40;47,42;204.119,00;4.300
FESA4;16/06/2023;13:25:00;47,53;47,55;47,50;47,55;52.275,00;1.100
FESA4;16/06/2023;13:20:00;47,57;47,57;47,50;47,53;489.719,00;10.300
FESA4;16/06/2023;13:15:00;47,61;47,61;47,60;47,60;57.125,00;1.200
FESA4;16/06/2023;13:10:00;47,61;47,61;47,61;47,61;9.522,00;200
FESA4;16/06/2023;13:05:00;47,61;47,61;47,61;47,61;9.522,00;200
FESA4;16/06/2023;13:00:00;47,65;47,65;47,60;47,61;61.900,00;1.300
FESA4;16/06/2023;12:55:00;47,64;47,64;47,64;47,64;9.528,00;200
FESA4;16/06/2023;12:50:00;47,64;47,70;47,62;47,70;33.376,00;700
FESA4;16/06/2023;12:45:00;47,64;47,71;47,64;47,71;23.840,00;500
FESA4;16/06/2023;12:40:00;47,66;47,71;47,65;47,71;19.073,00;400
FESA4;16/06/2023;12:35:00;47,69;47,75;47,67;47,67;85.839,00;1.800
FESA4;16/06/2023;12:30:00;47,61;47,72;47,61;47,72;38.160,00;800
FESA4;16/06/2023;12:25:00;47,65;47,69;47,61;47,69;71.486,00;1.500
FESA4;16/06/2023;12:20:00;47,65;47,66;47,61;47,65;23.818,00;500
FESA4;16/06/2023;12:15:00;47,64;47,66;47,64;47,66;66.706,00;1.400
FESA4;16/06/2023;12:10:00;47,65;47,65;47,65;47,65;4.765,00;100
FESA4;16/06/2023;12:05:00;47,62;47,62;47,56;47,59;47.597,00;1.000
