Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FHER3;06/06/2023;10:50:00;14,61;14,61;14,61;14,61;2.922,00;200
FHER3;06/06/2023;10:40:00;14,69;14,69;14,63;14,63;4.396,00;300
FHER3;06/06/2023;10:35:00;14,68;14,69;14,65;14,69;8.803,00;600
FHER3;06/06/2023;10:30:00;14,65;14,69;14,65;14,68;48.440,00;3.300
FHER3;06/06/2023;10:25:00;14,69;14,69;14,60;14,60;79.110,00;5.400
FHER3;06/06/2023;10:20:00;14,62;14,70;14,57;14,69;136.236,00;9.300
FHER3;06/06/2023;10:15:00;14,60;14,62;14,60;14,62;24.840,00;1.700
FHER3;06/06/2023;10:10:00;14,61;14,62;14,55;14,55;8.762,00;600
FHER3;06/06/2023;10:05:00;14,55;14,55;14,55;14,55;1.455,00;100
FHER3;06/06/2023;10:00:00;14,45;14,45;14,45;14,45;80.920,00;5.600
FHER3;05/06/2023;17:30:00;14,50;14,56;14,46;14,46;59.347,00;4.100
FHER3;05/06/2023;16:50:00;14,51;14,55;14,51;14,55;119.253,00;8.200
FHER3;05/06/2023;16:45:00;14,53;14,56;14,45;14,50;146.381,00;10.100
FHER3;05/06/2023;16:40:00;14,55;14,56;14,55;14,56;2.911,00;200
FHER3;05/06/2023;16:35:00;14,54;14,54;14,54;14,54;2.908,00;200
FHER3;05/06/2023;16:30:00;14,54;14,54;14,54;14,54;1.454,00;100
FHER3;05/06/2023;16:25:00;14,57;14,57;14,50;14,50;149.496,00;10.300
FHER3;05/06/2023;16:20:00;14,57;14,57;14,57;14,57;11.656,00;800
FHER3;05/06/2023;16:15:00;14,63;14,63;14,52;14,55;103.339,00;7.100
FHER3;05/06/2023;16:05:00;14,66;14,68;14,66;14,68;16.144,00;1.100
FHER3;05/06/2023;15:50:00;14,67;14,67;14,67;14,67;8.802,00;600
FHER3;05/06/2023;15:45:00;14,65;14,67;14,65;14,67;8.793,00;600
FHER3;05/06/2023;15:35:00;14,62;14,64;14,62;14,64;7.314,00;500
FHER3;05/06/2023;15:30:00;14,63;14,63;14,50;14,61;306.834,00;21.100
FHER3;05/06/2023;15:20:00;14,68;14,68;14,68;14,68;8.808,00;600
FHER3;05/06/2023;15:15:00;14,68;14,68;14,68;14,68;8.808,00;600
FHER3;05/06/2023;15:10:00;14,66;14,67;14,66;14,67;8.800,00;600
