Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FIQE3;06/06/2023;11:15:00;4,06;4,06;4,04;4,05;27.586,00;6.800
FIQE3;06/06/2023;11:10:00;4,05;4,06;4,05;4,05;9.323,00;2.300
FIQE3;06/06/2023;11:05:00;4,04;4,05;4,04;4,05;2.426,00;600
FIQE3;06/06/2023;11:00:00;4,03;4,04;4,03;4,04;2.823,00;700
FIQE3;06/06/2023;10:55:00;4,03;4,04;4,02;4,03;27.437,00;6.800
FIQE3;06/06/2023;10:50:00;4,05;4,07;4,02;4,02;32.335,00;8.000
FIQE3;06/06/2023;10:45:00;4,03;4,08;4,03;4,06;51.969,00;12.800
FIQE3;06/06/2023;10:40:00;4,02;4,02;4,02;4,02;11.658,00;2.900
FIQE3;06/06/2023;10:35:00;4,03;4,03;4,02;4,02;19.335,00;4.800
FIQE3;06/06/2023;10:30:00;4,02;4,02;4,02;4,02;7.638,00;1.900
FIQE3;06/06/2023;10:25:00;4,02;4,02;4,02;4,02;402,00;100
FIQE3;06/06/2023;10:20:00;4,00;4,00;4,00;4,00;400,00;100
FIQE3;06/06/2023;10:15:00;4,00;4,00;4,00;4,00;400,00;100
FIQE3;06/06/2023;10:10:00;4,03;4,06;4,01;4,01;14.511,00;3.600
FIQE3;06/06/2023;10:05:00;4,02;4,03;4,02;4,03;2.820,00;700
FIQE3;06/06/2023;10:00:00;4,01;4,03;4,01;4,03;2.012,00;500
FIQE3;05/06/2023;17:30:00;4,01;4,04;3,99;4,00;41.249,00;10.300
FIQE3;05/06/2023;16:50:00;3,93;4,00;3,92;4,00;119.030,00;29.800
FIQE3;05/06/2023;16:45:00;3,93;3,94;3,92;3,93;9.439,00;2.400
FIQE3;05/06/2023;16:40:00;3,93;3,93;3,93;3,93;1.572,00;400
FIQE3;05/06/2023;16:35:00;3,94;3,94;3,93;3,93;3.146,00;800
FIQE3;05/06/2023;16:30:00;3,94;3,95;3,93;3,93;34.680,00;8.800
FIQE3;05/06/2023;16:25:00;3,94;3,94;3,93;3,93;2.362,00;600
FIQE3;05/06/2023;16:20:00;3,93;3,94;3,93;3,94;14.567,00;3.700
FIQE3;05/06/2023;16:15:00;3,93;3,94;3,93;3,93;3.145,00;800
FIQE3;05/06/2023;16:10:00;3,95;3,96;3,93;3,93;27.656,00;7.000
FIQE3;05/06/2023;16:05:00;3,95;3,95;3,94;3,94;3.155,00;800
FIQE3;05/06/2023;16:00:00;3,95;3,95;3,95;3,95;395,00;100
FIQE3;05/06/2023;15:55:00;3,94;3,94;3,94;3,94;11.032,00;2.800
FIQE3;05/06/2023;15:50:00;3,94;3,94;3,94;3,94;1.576,00;400
FIQE3;05/06/2023;15:45:00;3,94;3,94;3,94;3,94;5.122,00;1.300
FIQE3;05/06/2023;15:30:00;3,95;3,95;3,95;3,95;3.950,00;1.000
FIQE3;05/06/2023;15:25:00;3,95;3,95;3,94;3,95;45.817,00;11.600
FIQE3;05/06/2023;15:20:00;3,95;3,95;3,95;3,95;2.765,00;700
FIQE3;05/06/2023;15:10:00;3,95;3,95;3,95;3,95;1.580,00;400
FIQE3;05/06/2023;15:00:00;3,94;3,94;3,94;3,94;9.456,00;2.400
FIQE3;05/06/2023;14:55:00;3,94;3,94;3,94;3,94;1.970,00;500
FIQE3;05/06/2023;14:50:00;3,93;3,94;3,93;3,94;1.575,00;400
FIQE3;05/06/2023;14:45:00;3,93;3,93;3,93;3,93;1.179,00;300
FIQE3;05/06/2023;14:35:00;3,93;3,94;3,93;3,94;2.359,00;600
FIQE3;05/06/2023;14:20:00;3,94;3,94;3,89;3,92;69.602,00;17.800
FIQE3;05/06/2023;14:15:00;3,95;3,95;3,94;3,95;3.156,00;800
FIQE3;05/06/2023;14:10:00;3,95;3,95;3,95;3,95;790,00;200
FIQE3;05/06/2023;14:05:00;3,96;3,96;3,95;3,95;2.375,00;600
FIQE3;05/06/2023;14:00:00;3,95;3,96;3,95;3,96;3.556,00;900
FIQE3;05/06/2023;13:55:00;3,96;3,96;3,95;3,96;11.086,00;2.800
FIQE3;05/06/2023;13:50:00;3,97;3,97;3,97;3,97;397,00;100
FIQE3;05/06/2023;13:45:00;3,97;3,97;3,97;3,97;5.558,00;1.400
FIQE3;05/06/2023;13:40:00;3,98;3,98;3,97;3,97;18.270,00;4.600
FIQE3;05/06/2023;13:35:00;3,98;3,98;3,97;3,98;18.307,00;4.600
FIQE3;05/06/2023;13:30:00;3,97;3,97;3,96;3,97;18.255,00;4.600
FIQE3;05/06/2023;13:25:00;3,96;3,96;3,96;3,96;396,00;100
FIQE3;05/06/2023;13:20:00;3,97;3,97;3,96;3,96;11.113,00;2.800
FIQE3;05/06/2023;13:10:00;3,97;3,97;3,96;3,97;6.342,00;1.600
FIQE3;05/06/2023;13:05:00;3,96;3,96;3,96;3,96;1.584,00;400
FIQE3;05/06/2023;13:00:00;3,96;3,96;3,96;3,96;396,00;100
FIQE3;05/06/2023;12:50:00;3,97;3,97;3,96;3,96;12.284,00;3.100
FIQE3;05/06/2023;12:45:00;3,97;3,97;3,97;3,97;1.985,00;500
FIQE3;05/06/2023;12:40:00;3,96;3,97;3,96;3,97;1.984,00;500
FIQE3;05/06/2023;12:35:00;3,96;3,96;3,95;3,96;14.651,00;3.700
FIQE3;05/06/2023;12:25:00;3,94;3,95;3,94;3,95;1.577,00;400
FIQE3;05/06/2023;12:20:00;3,95;3,95;3,95;3,95;5.135,00;1.300
FIQE3;05/06/2023;12:10:00;3,95;3,95;3,95;3,95;17.380,00;4.400
FIQE3;05/06/2023;12:05:00;3,95;3,95;3,94;3,95;1.579,00;400
FIQE3;05/06/2023;11:55:00;3,95;3,95;3,94;3,94;9.476,00;2.400
FIQE3;05/06/2023;11:45:00;3,96;3,96;3,95;3,95;8.297,00;2.100
FIQE3;05/06/2023;11:40:00;3,92;3,96;3,92;3,96;47.362,00;12.000
FIQE3;05/06/2023;11:35:00;3,92;3,93;3,91;3,91;10.202,00;2.600
FIQE3;05/06/2023;11:30:00;3,91;3,93;3,91;3,91;17.654,00;4.500
FIQE3;05/06/2023;11:25:00;3,85;3,90;3,85;3,90;80.645,00;20.800
FIQE3;05/06/2023;11:20:00;3,84;3,86;3,83;3,83;9.227,00;2.400
FIQE3;05/06/2023;11:15:00;3,85;3,85;3,84;3,84;2.305,00;600
FIQE3;05/06/2023;11:10:00;3,86;3,87;3,85;3,85;13.134,00;3.400
FIQE3;05/06/2023;11:05:00;3,86;3,87;3,86;3,86;3.862,00;1.000
