Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FLRY3;16/06/2023;17:30:00;15,67;15,69;15,62;15,62;109.597,00;7.000
FLRY3;16/06/2023;16:45:00;15,83;15,86;15,65;15,65;58.494.136,00;3.736.400
FLRY3;16/06/2023;16:40:00;15,85;15,87;15,82;15,85;2.270.771,00;143.300
FLRY3;16/06/2023;16:35:00;15,87;15,88;15,85;15,85;1.375.006,00;86.700
FLRY3;16/06/2023;16:30:00;15,87;15,90;15,85;15,87;2.198.817,00;138.500
FLRY3;16/06/2023;16:25:00;15,89;15,90;15,87;15,87;792.457,00;49.900
FLRY3;16/06/2023;16:20:00;15,90;15,92;15,89;15,90;1.162.719,00;73.100
FLRY3;16/06/2023;16:15:00;15,89;15,91;15,88;15,91;1.433.745,00;90.200
FLRY3;16/06/2023;16:10:00;15,92;15,92;15,89;15,90;898.385,00;56.500
FLRY3;16/06/2023;16:05:00;15,93;15,93;15,90;15,92;1.013.417,00;63.700
FLRY3;16/06/2023;16:00:00;15,90;15,95;15,88;15,94;1.201.815,00;75.500
FLRY3;16/06/2023;15:55:00;15,88;15,90;15,88;15,89;1.060.020,00;66.700
FLRY3;16/06/2023;15:50:00;15,90;15,91;15,88;15,89;891.688,00;56.100
FLRY3;16/06/2023;15:45:00;15,92;15,93;15,89;15,90;720.501,00;45.300
FLRY3;16/06/2023;15:40:00;15,92;15,94;15,91;15,93;810.553,00;50.900
FLRY3;16/06/2023;15:35:00;15,94;15,96;15,92;15,93;903.326,00;56.700
FLRY3;16/06/2023;15:30:00;15,96;15,97;15,93;15,95;845.235,00;53.000
FLRY3;16/06/2023;15:25:00;15,93;15,98;15,92;15,97;1.012.431,00;63.500
FLRY3;16/06/2023;15:20:00;15,90;15,95;15,89;15,94;588.950,00;37.000
FLRY3;16/06/2023;15:15:00;15,91;15,91;15,87;15,89;683.528,00;43.000
FLRY3;16/06/2023;15:10:00;15,89;15,91;15,87;15,91;405.160,00;25.500
FLRY3;16/06/2023;15:05:00;15,88;15,91;15,87;15,89;608.637,00;38.300
FLRY3;16/06/2023;15:00:00;15,92;15,93;15,88;15,89;558.138,00;35.100
FLRY3;16/06/2023;14:55:00;15,91;15,93;15,90;15,93;383.523,00;24.100
FLRY3;16/06/2023;14:50:00;15,95;15,96;15,90;15,91;627.493,00;39.400
FLRY3;16/06/2023;14:45:00;15,94;15,96;15,94;15,96;425.822,00;26.700
FLRY3;16/06/2023;14:40:00;15,97;15,97;15,94;15,94;435.490,00;27.300
FLRY3;16/06/2023;14:35:00;15,95;15,97;15,94;15,97;448.204,00;28.100
FLRY3;16/06/2023;14:30:00;15,97;15,97;15,95;15,96;202.692,00;12.700
FLRY3;16/06/2023;14:25:00;15,94;15,97;15,93;15,97;515.077,00;32.300
FLRY3;16/06/2023;14:20:00;15,96;15,98;15,94;15,94;303.043,00;19.000
FLRY3;16/06/2023;14:15:00;15,95;15,98;15,94;15,98;772.543,00;48.400
FLRY3;16/06/2023;14:10:00;15,96;15,96;15,94;15,96;320.556,00;20.100
FLRY3;16/06/2023;14:05:00;15,94;15,97;15,93;15,96;672.990,00;42.200
FLRY3;16/06/2023;14:00:00;15,96;15,98;15,94;15,94;529.882,00;33.200
FLRY3;16/06/2023;13:55:00;15,90;15,98;15,90;15,96;797.429,00;50.000
FLRY3;16/06/2023;13:50:00;15,88;15,93;15,88;15,90;653.754,00;41.100
FLRY3;16/06/2023;13:45:00;15,89;15,91;15,88;15,89;349.678,00;22.000
FLRY3;16/06/2023;13:40:00;15,91;15,91;15,86;15,90;524.464,00;33.000
FLRY3;16/06/2023;13:35:00;15,92;15,92;15,89;15,91;302.238,00;19.000
FLRY3;16/06/2023;13:30:00;15,85;15,92;15,83;15,92;985.065,00;62.100
FLRY3;16/06/2023;13:25:00;15,89;15,90;15,85;15,87;439.782,00;27.700
FLRY3;16/06/2023;13:20:00;15,89;15,90;15,89;15,90;287.644,00;18.100
FLRY3;16/06/2023;13:15:00;15,90;15,91;15,89;15,90;294.104,00;18.500
FLRY3;16/06/2023;13:10:00;15,96;15,96;15,90;15,90;621.019,00;39.000
FLRY3;16/06/2023;13:05:00;15,94;15,96;15,91;15,96;828.013,00;52.000
FLRY3;16/06/2023;13:00:00;15,94;15,95;15,90;15,94;606.650,00;38.100
FLRY3;16/06/2023;12:55:00;15,98;15,99;15,94;15,95;407.176,00;25.500
FLRY3;16/06/2023;12:50:00;15,95;15,98;15,93;15,97;582.319,00;36.500
FLRY3;16/06/2023;12:45:00;15,97;16,00;15,94;15,96;685.307,00;42.900
FLRY3;16/06/2023;12:40:00;16,01;16,02;15,96;15,96;484.754,00;30.300
FLRY3;16/06/2023;12:35:00;15,98;16,01;15,96;16,01;706.228,00;44.200
FLRY3;16/06/2023;12:30:00;15,96;15,98;15,92;15,98;422.647,00;26.500
FLRY3;16/06/2023;12:25:00;15,97;15,97;15,93;15,96;441.623,00;27.700
FLRY3;16/06/2023;12:20:00;15,96;16,00;15,95;15,97;772.781,00;48.400
FLRY3;16/06/2023;12:15:00;15,99;16,01;15,95;15,95;463.428,00;29.000
FLRY3;16/06/2023;12:10:00;15,95;16,00;15,95;15,99;609.909,00;38.200
FLRY3;16/06/2023;12:05:00;15,99;15,99;15,95;15,95;501.593,00;31.400
FLRY3;16/06/2023;12:00:00;15,98;15,99;15,92;15,99;686.093,00;43.000
FLRY3;16/06/2023;11:55:00;15,96;15,98;15,91;15,98;581.903,00;36.500
FLRY3;16/06/2023;11:50:00;15,97;16,01;15,96;15,96;557.813,00;34.900
FLRY3;16/06/2023;11:45:00;15,98;16,01;15,95;15,98;843.879,00;52.800
FLRY3;16/06/2023;11:40:00;16,02;16,05;15,96;15,98;576.620,00;36.000
FLRY3;16/06/2023;11:35:00;16,03;16,03;15,97;16,02;705.312,00;44.100
FLRY3;16/06/2023;11:30:00;15,98;16,04;15,97;16,04;819.835,00;51.200
FLRY3;16/06/2023;11:25:00;16,04;16,07;15,94;15,98;1.219.844,00;76.200
FLRY3;16/06/2023;11:20:00;16,09;16,10;16,04;16,04;837.625,00;52.100
FLRY3;16/06/2023;11:15:00;16,11;16,13;16,08;16,09;1.035.378,00;64.300
FLRY3;16/06/2023;11:10:00;16,07;16,11;16,03;16,11;1.372.079,00;85.400
FLRY3;16/06/2023;11:05:00;16,03;16,07;15,97;16,06;1.248.974,00;78.000
FLRY3;16/06/2023;11:00:00;16,00;16,07;15,99;16,03;1.003.470,00;62.600
FLRY3;16/06/2023;10:55:00;15,96;16,01;15,93;16,01;1.738.824,00;108.900
FLRY3;16/06/2023;10:50:00;15,91;16,00;15,91;15,96;1.921.039,00;120.400
FLRY3;16/06/2023;10:45:00;15,95;15,95;15,91;15,91;345.596,00;21.700
FLRY3;16/06/2023;10:40:00;15,96;16,00;15,92;15,95;831.160,00;52.100
FLRY3;16/06/2023;10:35:00;15,88;15,96;15,87;15,96;521.602,00;32.800
FLRY3;16/06/2023;10:30:00;15,94;15,94;15,87;15,88;707.868,00;44.500
FLRY3;16/06/2023;10:25:00;15,87;15,95;15,86;15,94;628.261,00;39.500
FLRY3;16/06/2023;10:20:00;15,90;15,95;15,87;15,87;383.167,00;24.100
FLRY3;16/06/2023;10:15:00;15,98;15,98;15,77;15,88;700.516,00;44.200
FLRY3;16/06/2023;10:10:00;15,86;15,98;15,82;15,96;344.756,00;21.700
FLRY3;16/06/2023;10:05:00;15,93;15,93;15,77;15,88;409.886,00;25.800
FLRY3;15/06/2023;17:30:00;16,00;16,05;15,95;15,95;46.290,00;2.900
FLRY3;15/06/2023;16:50:00;15,88;16,03;15,88;15,99;11.113.366,00;695.200
FLRY3;15/06/2023;16:45:00;15,97;16,00;15,71;15,87;2.955.612,00;185.900
FLRY3;15/06/2023;16:40:00;16,00;16,00;15,98;15,98;954.861,00;59.700
FLRY3;15/06/2023;16:35:00;16,10;16,11;15,98;16,00;2.957.949,00;184.600
FLRY3;15/06/2023;16:30:00;16,10;16,10;16,05;16,10;1.206.073,00;75.000
FLRY3;15/06/2023;16:25:00;16,23;16,27;16,09;16,10;4.056.154,00;251.100
FLRY3;15/06/2023;16:20:00;16,23;16,24;16,22;16,24;568.135,00;35.000
FLRY3;15/06/2023;16:15:00;16,26;16,27;16,22;16,24;748.877,00;46.100
FLRY3;15/06/2023;16:10:00;16,28;16,29;16,26;16,27;561.575,00;34.500
FLRY3;15/06/2023;16:05:00;16,28;16,29;16,26;16,28;413.277,00;25.400
FLRY3;15/06/2023;16:00:00;16,28;16,29;16,24;16,28;473.411,00;29.100
FLRY3;15/06/2023;15:55:00;16,29;16,30;16,27;16,28;535.689,00;32.900
FLRY3;15/06/2023;15:50:00;16,31;16,33;16,29;16,29;627.887,00;38.500
FLRY3;15/06/2023;15:45:00;16,30;16,32;16,28;16,30;488.936,00;30.000
FLRY3;15/06/2023;15:40:00;16,27;16,30;16,26;16,30;475.322,00;29.200
FLRY3;15/06/2023;15:35:00;16,32;16,32;16,27;16,28;653.430,00;40.100
FLRY3;15/06/2023;15:30:00;16,27;16,32;16,24;16,30;918.078,00;56.400
FLRY3;15/06/2023;15:25:00;16,25;16,27;16,24;16,26;534.842,00;32.900
FLRY3;15/06/2023;15:20:00;16,25;16,27;16,23;16,25;464.979,00;28.600
FLRY3;15/06/2023;15:15:00;16,23;16,25;16,22;16,25;548.784,00;33.800
FLRY3;15/06/2023;15:10:00;16,20;16,24;16,20;16,23;561.306,00;34.600
FLRY3;15/06/2023;15:05:00;16,23;16,24;16,20;16,20;567.763,00;35.000
FLRY3;15/06/2023;15:00:00;16,22;16,23;16,19;16,23;489.554,00;30.200
FLRY3;15/06/2023;14:55:00;16,22;16,23;16,20;16,21;473.637,00;29.200
FLRY3;15/06/2023;14:50:00;16,22;16,24;16,20;16,21;390.892,00;24.100
FLRY3;15/06/2023;14:45:00;16,19;16,23;16,17;16,22;515.069,00;31.800
FLRY3;15/06/2023;14:40:00;16,20;16,21;16,18;16,19;395.130,00;24.400
FLRY3;15/06/2023;14:35:00;16,21;16,21;16,17;16,21;549.056,00;33.900
FLRY3;15/06/2023;14:30:00;16,23;16,26;16,19;16,19;533.915,00;32.900
