Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FRAS3;06/06/2023;11:20:00;12,49;12,49;12,48;12,48;3.745,00;300
FRAS3;06/06/2023;11:15:00;12,46;12,47;12,45;12,47;17.448,00;1.400
FRAS3;06/06/2023;11:10:00;12,45;12,48;12,45;12,47;21.182,00;1.700
FRAS3;06/06/2023;11:05:00;12,40;12,47;12,40;12,45;86.997,00;7.000
FRAS3;06/06/2023;11:00:00;12,41;12,41;12,37;12,40;21.058,00;1.700
FRAS3;06/06/2023;10:55:00;12,42;12,42;12,41;12,41;18.619,00;1.500
FRAS3;06/06/2023;10:50:00;12,43;12,43;12,42;12,42;23.610,00;1.900
FRAS3;06/06/2023;10:45:00;12,45;12,45;12,41;12,43;166.593,00;13.400
FRAS3;06/06/2023;10:40:00;12,50;12,51;12,43;12,45;179.480,00;14.400
FRAS3;06/06/2023;10:35:00;12,46;12,51;12,46;12,50;86.063,00;6.900
FRAS3;06/06/2023;10:30:00;12,46;12,46;12,46;12,46;69.776,00;5.600
FRAS3;06/06/2023;10:25:00;12,42;12,47;12,42;12,46;50.994,00;4.100
FRAS3;06/06/2023;10:20:00;12,42;12,42;12,42;12,42;1.242,00;100
FRAS3;06/06/2023;10:15:00;12,50;12,50;12,42;12,42;76.001,00;6.100
FRAS3;05/06/2023;16:50:00;12,45;12,47;12,41;12,42;581.309,00;46.800
FRAS3;05/06/2023;16:45:00;12,45;12,45;12,44;12,45;23.649,00;1.900
FRAS3;05/06/2023;16:40:00;12,45;12,47;12,45;12,46;37.375,00;3.000
FRAS3;05/06/2023;16:35:00;12,44;12,46;12,44;12,45;29.866,00;2.400
FRAS3;05/06/2023;16:30:00;12,47;12,50;12,44;12,44;79.834,00;6.400
FRAS3;05/06/2023;16:25:00;12,43;12,49;12,43;12,47;42.394,00;3.400
FRAS3;05/06/2023;16:20:00;12,43;12,43;12,43;12,43;24.860,00;2.000
FRAS3;05/06/2023;16:15:00;12,42;12,42;12,42;12,42;1.242,00;100
FRAS3;05/06/2023;16:10:00;12,45;12,45;12,43;12,43;18.661,00;1.500
FRAS3;05/06/2023;16:05:00;12,45;12,45;12,45;12,45;2.490,00;200
FRAS3;05/06/2023;16:00:00;12,44;12,44;12,44;12,44;1.244,00;100
FRAS3;05/06/2023;15:55:00;12,48;12,48;12,44;12,44;26.178,00;2.100
FRAS3;05/06/2023;15:50:00;12,47;12,48;12,47;12,48;2.495,00;200
FRAS3;05/06/2023;15:45:00;12,50;12,50;12,47;12,47;27.472,00;2.200
FRAS3;05/06/2023;15:40:00;12,49;12,50;12,49;12,50;16.238,00;1.300
FRAS3;05/06/2023;15:35:00;12,49;12,49;12,49;12,49;9.992,00;800
FRAS3;05/06/2023;15:30:00;12,51;12,52;12,49;12,49;33.777,00;2.700
FRAS3;05/06/2023;15:25:00;12,50;12,51;12,50;12,51;55.041,00;4.400
FRAS3;05/06/2023;15:20:00;12,48;12,50;12,48;12,50;9.994,00;800
FRAS3;05/06/2023;15:15:00;12,48;12,48;12,48;12,48;1.248,00;100
FRAS3;05/06/2023;15:10:00;12,47;12,47;12,46;12,46;28.664,00;2.300
FRAS3;05/06/2023;15:05:00;12,50;12,50;12,47;12,47;34.959,00;2.800
FRAS3;05/06/2023;15:00:00;12,48;12,49;12,48;12,49;3.746,00;300
FRAS3;05/06/2023;14:55:00;12,45;12,46;12,44;12,46;62.280,00;5.000
FRAS3;05/06/2023;14:50:00;12,44;12,44;12,44;12,44;4.976,00;400
