Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
FRTA3;06/06/2023;10:15:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;05/06/2023;15:25:00;2,35;2,35;2,30;2,30;4.172,00;1.800
FRTA3;05/06/2023;14:05:00;2,34;2,34;2,34;2,34;702,00;300
FRTA3;05/06/2023;12:45:00;2,34;2,34;2,34;2,34;234,00;100
FRTA3;05/06/2023;11:00:00;2,34;2,34;2,34;2,34;702,00;300
FRTA3;05/06/2023;10:50:00;2,35;2,35;2,35;2,35;705,00;300
FRTA3;05/06/2023;10:45:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;02/06/2023;16:25:00;2,35;2,35;2,31;2,31;4.661,00;2.000
FRTA3;02/06/2023;16:15:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;02/06/2023;15:15:00;2,34;2,34;2,33;2,33;3.967,00;1.700
FRTA3;02/06/2023;14:40:00;2,35;2,35;2,33;2,33;1.168,00;500
FRTA3;02/06/2023;11:45:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;02/06/2023;10:05:00;2,35;2,35;2,35;2,35;470,00;200
FRTA3;01/06/2023;15:05:00;2,37;2,37;2,35;2,35;709,00;300
FRTA3;01/06/2023;14:55:00;2,37;2,38;2,37;2,38;712,00;300
FRTA3;01/06/2023;13:20:00;2,37;2,37;2,37;2,37;237,00;100
FRTA3;01/06/2023;11:10:00;2,31;2,31;2,31;2,31;1.155,00;500
FRTA3;01/06/2023;11:05:00;2,33;2,33;2,33;2,33;932,00;400
FRTA3;01/06/2023;10:20:00;2,35;2,35;2,34;2,34;704,00;300
FRTA3;01/06/2023;10:00:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;31/05/2023;12:10:00;2,34;2,34;2,34;2,34;1.170,00;500
FRTA3;31/05/2023;11:25:00;2,35;2,35;2,35;2,35;470,00;200
FRTA3;31/05/2023;10:10:00;2,35;2,35;2,35;2,35;235,00;100
FRTA3;30/05/2023;16:50:00;2,36;2,36;2,35;2,35;471,00;200
FRTA3;30/05/2023;13:05:00;2,33;2,33;2,33;2,33;466,00;200
FRTA3;30/05/2023;12:50:00;2,35;2,35;2,34;2,34;1.171,00;500
FRTA3;30/05/2023;11:15:00;2,34;2,34;2,34;2,34;936,00;400
FRTA3;30/05/2023;10:30:00;2,35;2,35;2,35;2,35;470,00;200
FRTA3;29/05/2023;16:20:00;2,38;2,39;2,38;2,39;954,00;400
FRTA3;29/05/2023;13:30:00;2,35;2,36;2,35;2,36;2.830,00;1.200
FRTA3;29/05/2023;13:20:00;2,36;2,36;2,36;2,36;1.652,00;700
FRTA3;29/05/2023;13:15:00;2,36;2,36;2,36;2,36;708,00;300
FRTA3;29/05/2023;12:30:00;2,37;2,44;2,35;2,35;1.901,00;800
FRTA3;29/05/2023;11:35:00;2,40;2,40;2,40;2,40;240,00;100
FRTA3;26/05/2023;15:40:00;2,43;2,43;2,43;2,43;729,00;300
FRTA3;26/05/2023;14:45:00;2,34;2,34;2,34;2,34;234,00;100
FRTA3;26/05/2023;14:40:00;2,35;2,35;2,34;2,34;1.172,00;500
FRTA3;26/05/2023;14:20:00;2,36;2,36;2,34;2,34;1.176,00;500
FRTA3;26/05/2023;14:10:00;2,42;2,42;2,42;2,42;484,00;200
FRTA3;26/05/2023;13:55:00;2,39;2,39;2,39;2,39;4.302,00;1.800
FRTA3;26/05/2023;13:35:00;2,39;2,39;2,39;2,39;1.195,00;500
FRTA3;26/05/2023;13:00:00;2,38;2,38;2,36;2,36;1.418,00;600
FRTA3;26/05/2023;12:50:00;2,40;2,40;2,40;2,40;720,00;300
FRTA3;25/05/2023;16:25:00;2,38;2,38;2,38;2,38;714,00;300
FRTA3;25/05/2023;12:40:00;2,41;2,41;2,38;2,38;955,00;400
FRTA3;25/05/2023;11:55:00;2,38;2,38;2,38;2,38;238,00;100
FRTA3;25/05/2023;11:20:00;2,36;2,36;2,36;2,36;472,00;200
FRTA3;25/05/2023;11:15:00;2,38;2,38;2,37;2,37;1.186,00;500
FRTA3;25/05/2023;10:55:00;2,44;2,44;2,44;2,44;244,00;100
FRTA3;25/05/2023;10:35:00;2,45;2,45;2,45;2,45;3.430,00;1.400
FRTA3;25/05/2023;10:00:00;2,45;2,45;2,45;2,45;490,00;200
FRTA3;24/05/2023;15:05:00;2,49;2,49;2,45;2,45;992,00;400
FRTA3;24/05/2023;14:55:00;2,50;2,50;2,50;2,50;250,00;100
FRTA3;23/05/2023;15:55:00;2,55;2,55;2,55;2,55;255,00;100
FRTA3;23/05/2023;15:35:00;2,56;2,56;2,56;2,56;256,00;100
FRTA3;23/05/2023;14:40:00;2,52;2,52;2,52;2,52;252,00;100
FRTA3;23/05/2023;13:40:00;2,49;2,49;2,49;2,49;249,00;100
FRTA3;23/05/2023;13:05:00;2,48;2,48;2,46;2,46;1.970,00;800
FRTA3;23/05/2023;12:45:00;2,47;2,47;2,46;2,46;985,00;400
FRTA3;23/05/2023;12:30:00;2,49;2,49;2,46;2,46;1.235,00;500
FRTA3;23/05/2023;12:25:00;2,58;2,60;2,58;2,60;1.293,00;500
FRTA3;23/05/2023;12:05:00;2,45;2,45;2,45;2,45;980,00;400
FRTA3;23/05/2023;12:00:00;2,46;2,46;2,46;2,46;246,00;100
FRTA3;23/05/2023;11:05:00;2,63;2,63;2,63;2,63;263,00;100
