Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GETT4;28/12/2022;16:55:00;2,40;2,40;2,40;2,40;240,00;100
GETT4;28/12/2022;16:50:00;2,38;2,38;2,38;2,38;238,00;100
GETT4;28/12/2022;16:25:00;2,39;2,39;2,39;2,39;239,00;100
GETT4;28/12/2022;16:00:00;2,40;2,40;2,40;2,40;1.200,00;500
GETT4;28/12/2022;15:55:00;2,38;2,39;2,38;2,39;18.565,00;7.800
GETT4;28/12/2022;15:50:00;2,38;2,38;2,38;2,38;3.808,00;1.600
GETT4;28/12/2022;15:00:00;2,37;2,37;2,36;2,36;1.420,00;600
GETT4;28/12/2022;14:20:00;2,36;2,36;2,36;2,36;1.180,00;500
GETT4;28/12/2022;14:10:00;2,37;2,37;2,36;2,36;3.777,00;1.600
GETT4;28/12/2022;13:30:00;2,37;2,37;2,37;2,37;237,00;100
GETT4;28/12/2022;13:00:00;2,35;2,36;2,35;2,36;706,00;300
GETT4;28/12/2022;12:55:00;2,35;2,35;2,35;2,35;705,00;300
GETT4;28/12/2022;10:50:00;2,35;2,35;2,35;2,35;1.880,00;800
GETT4;28/12/2022;10:45:00;2,36;2,36;2,36;2,36;944,00;400
GETT4;28/12/2022;10:40:00;2,37;2,37;2,37;2,37;948,00;400
GETT4;28/12/2022;10:35:00;2,37;2,37;2,37;2,37;237,00;100
GETT4;28/12/2022;10:15:00;2,35;2,37;2,35;2,37;7.522,00;3.200
GETT4;27/12/2022;17:45:00;2,37;2,37;2,37;2,37;474,00;200
GETT4;27/12/2022;17:40:00;2,37;2,37;2,37;2,37;237,00;100
GETT4;27/12/2022;17:30:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;27/12/2022;17:15:00;2,36;2,36;2,35;2,35;14.395,00;6.100
GETT4;27/12/2022;17:10:00;2,37;2,37;2,37;2,37;237,00;100
GETT4;27/12/2022;17:00:00;2,37;2,37;2,37;2,37;1.422,00;600
GETT4;27/12/2022;16:25:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;15:55:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;15:20:00;2,37;2,37;2,37;2,37;237,00;100
GETT4;27/12/2022;15:15:00;2,37;2,37;2,37;2,37;474,00;200
GETT4;27/12/2022;14:25:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;27/12/2022;13:55:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;27/12/2022;13:45:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;13:05:00;2,35;2,37;2,35;2,37;3.997,00;1.700
GETT4;27/12/2022;12:55:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;27/12/2022;11:30:00;2,35;2,35;2,35;2,35;2.115,00;900
GETT4;27/12/2022;11:25:00;2,35;2,35;2,35;2,35;5.640,00;2.400
GETT4;27/12/2022;11:05:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;10:40:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;10:35:00;2,36;2,36;2,36;2,36;708,00;300
GETT4;27/12/2022;10:25:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;27/12/2022;10:00:00;2,35;2,35;2,35;2,35;18.565,00;7.900
GETT4;26/12/2022;16:25:00;2,35;2,35;2,35;2,35;705,00;300
GETT4;26/12/2022;16:10:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;15:50:00;2,35;2,35;2,35;2,35;940,00;400
GETT4;26/12/2022;15:45:00;2,35;2,35;2,35;2,35;2.350,00;1.000
GETT4;26/12/2022;15:30:00;2,35;2,35;2,35;2,35;2.350,00;1.000
GETT4;26/12/2022;14:20:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;13:55:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;26/12/2022;13:05:00;2,36;2,36;2,36;2,36;2.360,00;1.000
GETT4;26/12/2022;12:55:00;2,35;2,35;2,35;2,35;1.645,00;700
GETT4;26/12/2022;12:50:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;12:20:00;2,35;2,35;2,35;2,35;470,00;200
GETT4;26/12/2022;11:50:00;2,36;2,36;2,36;2,36;236,00;100
GETT4;26/12/2022;11:30:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;11:10:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;10:55:00;2,35;2,35;2,35;2,35;235,00;100
GETT4;26/12/2022;10:50:00;2,35;2,35;2,35;2,35;1.410,00;600
GETT4;26/12/2022;10:05:00;2,35;2,35;2,35;2,35;1.645,00;700
