Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GFSA3;16/06/2023;17:30:00;7,22;7,27;7,22;7,22;262.648,00;36.300
GFSA3;16/06/2023;16:45:00;7,25;7,26;7,22;7,22;1.740.096,00;240.900
GFSA3;16/06/2023;16:40:00;7,26;7,26;7,23;7,25;590.816,00;81.500
GFSA3;16/06/2023;16:35:00;7,27;7,28;7,24;7,28;704.734,00;97.000
GFSA3;16/06/2023;16:30:00;7,21;7,28;7,20;7,27;555.602,00;76.600
GFSA3;16/06/2023;16:25:00;7,26;7,26;7,20;7,22;1.024.684,00;141.700
GFSA3;16/06/2023;16:20:00;7,27;7,28;7,27;7,27;275.733,00;37.900
GFSA3;16/06/2023;16:15:00;7,28;7,28;7,26;7,26;276.487,00;38.000
GFSA3;16/06/2023;16:10:00;7,26;7,29;7,25;7,28;231.243,00;31.800
GFSA3;16/06/2023;16:05:00;7,27;7,29;7,23;7,27;714.928,00;98.500
GFSA3;16/06/2023;16:00:00;7,27;7,28;7,25;7,27;343.255,00;47.200
GFSA3;16/06/2023;15:55:00;7,36;7,36;7,25;7,27;1.725.061,00;236.700
GFSA3;16/06/2023;15:50:00;7,30;7,39;7,30;7,36;685.710,00;93.400
GFSA3;16/06/2023;15:45:00;7,41;7,42;7,26;7,30;2.052.568,00;281.100
GFSA3;16/06/2023;15:40:00;7,44;7,45;7,40;7,42;542.140,00;73.000
GFSA3;16/06/2023;15:35:00;7,37;7,44;7,36;7,44;943.733,00;127.600
GFSA3;16/06/2023;15:30:00;7,33;7,38;7,33;7,37;839.656,00;114.300
GFSA3;16/06/2023;15:25:00;7,32;7,33;7,31;7,33;101.747,00;13.900
GFSA3;16/06/2023;15:20:00;7,32;7,32;7,28;7,32;212.435,00;29.100
GFSA3;16/06/2023;15:15:00;7,32;7,32;7,30;7,32;63.622,00;8.700
GFSA3;16/06/2023;15:10:00;7,34;7,35;7,30;7,32;276.210,00;37.700
GFSA3;16/06/2023;15:05:00;7,34;7,34;7,32;7,34;76.990,00;10.500
GFSA3;16/06/2023;15:00:00;7,32;7,34;7,32;7,33;128.981,00;17.600
GFSA3;16/06/2023;14:55:00;7,32;7,34;7,31;7,33;103.259,00;14.100
GFSA3;16/06/2023;14:50:00;7,35;7,37;7,31;7,33;452.878,00;61.700
GFSA3;16/06/2023;14:45:00;7,35;7,37;7,34;7,35;315.477,00;42.900
