Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GGBR3;16/06/2023;16:45:00;23,07;23,30;23,05;23,30;160.560,00;6.900
GGBR3;16/06/2023;16:40:00;23,08;23,08;23,08;23,08;2.308,00;100
GGBR3;16/06/2023;16:35:00;23,07;23,09;23,07;23,09;11.538,00;500
GGBR3;16/06/2023;16:30:00;23,08;23,08;23,06;23,06;39.214,00;1.700
GGBR3;16/06/2023;16:25:00;23,07;23,07;23,07;23,07;4.614,00;200
GGBR3;16/06/2023;16:15:00;23,07;23,07;23,06;23,07;11.534,00;500
GGBR3;16/06/2023;16:10:00;23,07;23,07;23,07;23,07;11.535,00;500
GGBR3;16/06/2023;16:05:00;23,05;23,05;23,05;23,05;2.305,00;100
GGBR3;16/06/2023;16:00:00;23,07;23,07;23,07;23,07;2.307,00;100
GGBR3;16/06/2023;15:55:00;23,07;23,07;23,07;23,07;9.228,00;400
GGBR3;16/06/2023;15:45:00;23,07;23,07;23,07;23,07;2.307,00;100
GGBR3;16/06/2023;15:20:00;23,06;23,06;23,06;23,06;2.306,00;100
GGBR3;16/06/2023;15:15:00;23,03;23,03;23,00;23,00;6.903,00;300
GGBR3;16/06/2023;14:50:00;23,04;23,04;23,04;23,04;2.304,00;100
GGBR3;16/06/2023;14:45:00;23,04;23,04;23,04;23,04;2.304,00;100
GGBR3;16/06/2023;14:35:00;23,11;23,11;23,11;23,11;2.311,00;100
GGBR3;16/06/2023;14:20:00;23,10;23,10;23,10;23,10;2.310,00;100
GGBR3;16/06/2023;14:05:00;23,08;23,08;23,08;23,08;2.308,00;100
GGBR3;16/06/2023;13:50:00;23,06;23,08;23,06;23,08;6.920,00;300
GGBR3;16/06/2023;13:25:00;23,04;23,04;23,03;23,03;32.255,00;1.400
GGBR3;16/06/2023;13:15:00;23,04;23,04;23,04;23,04;4.608,00;200
GGBR3;16/06/2023;13:05:00;23,05;23,05;23,02;23,02;11.513,00;500
GGBR3;16/06/2023;13:00:00;23,06;23,07;23,06;23,06;11.532,00;500
GGBR3;16/06/2023;12:55:00;23,05;23,05;23,04;23,04;4.609,00;200
GGBR3;16/06/2023;12:50:00;23,04;23,05;23,04;23,04;20.738,00;900
GGBR3;16/06/2023;12:45:00;23,07;23,13;23,04;23,04;62.395,00;2.700
GGBR3;16/06/2023;12:35:00;23,12;23,12;23,12;23,12;4.624,00;200
GGBR3;16/06/2023;12:25:00;23,08;23,09;23,08;23,09;9.233,00;400
GGBR3;16/06/2023;12:20:00;23,08;23,08;23,08;23,08;2.308,00;100
GGBR3;16/06/2023;12:15:00;23,06;23,06;23,06;23,06;27.672,00;1.200
GGBR3;16/06/2023;12:10:00;23,04;23,04;23,04;23,04;2.304,00;100
GGBR3;16/06/2023;12:05:00;23,04;23,04;23,04;23,04;2.304,00;100
GGBR3;16/06/2023;12:00:00;23,04;23,05;23,04;23,05;11.524,00;500
GGBR3;16/06/2023;11:55:00;23,04;23,04;23,04;23,04;11.520,00;500
