Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GGPS3;06/06/2023;11:20:00;15,26;15,28;15,24;15,28;57.976,00;3.800
GGPS3;06/06/2023;11:15:00;15,25;15,28;15,24;15,26;195.295,00;12.800
GGPS3;06/06/2023;11:10:00;15,27;15,29;15,24;15,25;97.711,00;6.400
GGPS3;06/06/2023;11:05:00;15,15;15,30;15,15;15,28;205.728,00;13.500
GGPS3;06/06/2023;11:00:00;15,22;15,24;15,15;15,15;110.943,00;7.300
GGPS3;06/06/2023;10:55:00;15,21;15,26;15,21;15,24;115.807,00;7.600
GGPS3;06/06/2023;10:50:00;15,24;15,24;15,19;15,21;138.462,00;9.100
GGPS3;06/06/2023;10:45:00;15,35;15,35;15,24;15,24;105.558,00;6.900
GGPS3;06/06/2023;10:40:00;15,39;15,39;15,35;15,37;153.749,00;10.000
GGPS3;06/06/2023;10:35:00;15,27;15,39;15,27;15,37;437.247,00;28.500
GGPS3;06/06/2023;10:30:00;15,22;15,36;15,22;15,28;200.400,00;13.100
GGPS3;06/06/2023;10:25:00;15,24;15,29;15,24;15,25;73.263,00;4.800
GGPS3;06/06/2023;10:20:00;15,22;15,24;15,22;15,24;3.046,00;200
GGPS3;06/06/2023;10:15:00;15,26;15,28;15,22;15,22;149.578,00;9.800
GGPS3;06/06/2023;10:10:00;15,57;15,60;15,29;15,31;122.005,00;7.900
GGPS3;06/06/2023;10:05:00;15,25;15,63;15,25;15,58;61.846,00;4.000
GGPS3;05/06/2023;17:30:00;15,15;15,15;15,15;15,15;1.515,00;100
GGPS3;05/06/2023;16:50:00;15,14;15,14;15,11;15,12;2.606.773,00;172.400
GGPS3;05/06/2023;16:45:00;15,13;15,14;15,12;15,13;216.366,00;14.300
GGPS3;05/06/2023;16:40:00;15,13;15,13;15,12;15,13;34.788,00;2.300
GGPS3;05/06/2023;16:35:00;15,11;15,14;15,11;15,13;120.976,00;8.000
GGPS3;05/06/2023;16:30:00;15,13;15,15;15,11;15,12;95.336,00;6.300
GGPS3;05/06/2023;16:25:00;15,12;15,14;15,11;15,12;143.692,00;9.500
GGPS3;05/06/2023;16:20:00;15,10;15,15;15,09;15,12;393.155,00;26.000
GGPS3;05/06/2023;16:15:00;15,12;15,12;15,10;15,10;170.693,00;11.300
GGPS3;05/06/2023;16:10:00;15,09;15,16;15,09;15,11;317.833,00;21.000
GGPS3;05/06/2023;16:05:00;15,13;15,14;15,09;15,09;104.261,00;6.900
GGPS3;05/06/2023;16:00:00;15,13;15,14;15,11;15,13;198.169,00;13.100
GGPS3;05/06/2023;15:55:00;15,13;15,14;15,12;15,14;52.955,00;3.500
GGPS3;05/06/2023;15:50:00;15,13;15,15;15,13;15,13;89.287,00;5.900
GGPS3;05/06/2023;15:45:00;15,13;15,14;15,10;15,13;564.188,00;37.300
GGPS3;05/06/2023;15:40:00;15,13;15,14;15,11;15,12;157.311,00;10.400
GGPS3;05/06/2023;15:35:00;15,12;15,13;15,11;15,12;60.483,00;4.000
GGPS3;05/06/2023;15:30:00;15,12;15,12;15,09;15,11;252.255,00;16.700
GGPS3;05/06/2023;15:25:00;15,11;15,12;15,09;15,11;208.387,00;13.800
GGPS3;05/06/2023;15:20:00;15,09;15,11;15,09;15,11;40.768,00;2.700
