Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GMAT3;06/06/2023;11:20:00;7,65;7,66;7,65;7,66;127.884,00;16.700
GMAT3;06/06/2023;11:15:00;7,65;7,66;7,64;7,65;989.883,00;129.400
GMAT3;06/06/2023;11:10:00;7,68;7,68;7,63;7,64;1.391.182,00;181.700
GMAT3;06/06/2023;11:05:00;7,65;7,69;7,63;7,68;1.578.774,00;206.100
GMAT3;06/06/2023;11:00:00;7,69;7,70;7,63;7,64;1.613.354,00;210.800
GMAT3;06/06/2023;10:55:00;7,60;7,69;7,60;7,69;1.603.056,00;209.900
GMAT3;06/06/2023;10:50:00;7,63;7,65;7,59;7,60;300.530,00;39.500
GMAT3;06/06/2023;10:45:00;7,57;7,63;7,55;7,63;382.007,00;50.300
GMAT3;06/06/2023;10:40:00;7,57;7,58;7,53;7,57;625.186,00;82.700
GMAT3;06/06/2023;10:35:00;7,56;7,58;7,55;7,57;90.029,00;11.900
GMAT3;06/06/2023;10:30:00;7,53;7,57;7,53;7,56;364.712,00;48.300
GMAT3;06/06/2023;10:25:00;7,53;7,53;7,51;7,53;206.835,00;27.500
GMAT3;06/06/2023;10:20:00;7,51;7,54;7,51;7,53;501.290,00;66.600
GMAT3;06/06/2023;10:15:00;7,49;7,54;7,49;7,52;713.768,00;95.000
GMAT3;06/06/2023;10:10:00;7,54;7,57;7,49;7,50;293.899,00;39.000
GMAT3;06/06/2023;10:05:00;7,51;7,54;7,51;7,54;159.474,00;21.200
GMAT3;06/06/2023;10:00:00;7,45;7,52;7,45;7,52;143.003,00;19.100
GMAT3;05/06/2023;17:30:00;7,45;7,45;7,45;7,45;2.235,00;300
GMAT3;05/06/2023;16:50:00;7,46;7,46;7,42;7,45;3.391.714,00;455.300
GMAT3;05/06/2023;16:45:00;7,44;7,46;7,44;7,46;883.857,00;118.700
GMAT3;05/06/2023;16:40:00;7,43;7,45;7,42;7,44;1.370.754,00;184.400
GMAT3;05/06/2023;16:35:00;7,44;7,44;7,42;7,43;972.904,00;131.000
GMAT3;05/06/2023;16:30:00;7,44;7,46;7,43;7,44;511.257,00;68.700
GMAT3;05/06/2023;16:25:00;7,46;7,50;7,44;7,45;1.772.206,00;237.200
GMAT3;05/06/2023;16:20:00;7,45;7,46;7,45;7,46;614.593,00;82.400
GMAT3;05/06/2023;16:15:00;7,45;7,46;7,44;7,45;487.387,00;65.400
GMAT3;05/06/2023;16:10:00;7,40;7,45;7,39;7,45;280.496,00;37.800
GMAT3;05/06/2023;16:05:00;7,42;7,42;7,39;7,39;498.023,00;67.200
GMAT3;05/06/2023;16:00:00;7,42;7,42;7,41;7,42;632.779,00;85.300
GMAT3;05/06/2023;15:55:00;7,42;7,42;7,40;7,42;828.509,00;111.800
GMAT3;05/06/2023;15:50:00;7,42;7,43;7,41;7,42;505.142,00;68.100
GMAT3;05/06/2023;15:45:00;7,42;7,43;7,41;7,42;577.162,00;77.800
GMAT3;05/06/2023;15:40:00;7,42;7,43;7,42;7,43;423.916,00;57.100
GMAT3;05/06/2023;15:35:00;7,41;7,42;7,40;7,42;696.619,00;94.000
GMAT3;05/06/2023;15:30:00;7,43;7,44;7,41;7,42;945.510,00;127.300
GMAT3;05/06/2023;15:25:00;7,39;7,44;7,38;7,42;1.530.485,00;206.700
GMAT3;05/06/2023;15:20:00;7,38;7,39;7,37;7,39;817.787,00;110.800
GMAT3;05/06/2023;15:15:00;7,38;7,39;7,36;7,38;834.560,00;113.200
GMAT3;05/06/2023;15:10:00;7,39;7,39;7,36;7,38;852.168,00;115.500
GMAT3;05/06/2023;15:05:00;7,37;7,40;7,35;7,39;1.501.533,00;203.700
GMAT3;05/06/2023;15:00:00;7,35;7,38;7,34;7,37;1.403.710,00;190.700
GMAT3;05/06/2023;14:55:00;7,36;7,36;7,34;7,35;759.584,00;103.300
GMAT3;05/06/2023;14:50:00;7,36;7,37;7,35;7,36;804.751,00;109.400
GMAT3;05/06/2023;14:45:00;7,37;7,37;7,35;7,35;561.267,00;76.300
GMAT3;05/06/2023;14:40:00;7,37;7,38;7,36;7,37;356.535,00;48.400
GMAT3;05/06/2023;14:35:00;7,38;7,38;7,35;7,37;508.554,00;69.100
GMAT3;05/06/2023;14:30:00;7,37;7,38;7,36;7,38;466.420,00;63.300
GMAT3;05/06/2023;14:25:00;7,39;7,39;7,36;7,37;711.887,00;96.600
GMAT3;05/06/2023;14:20:00;7,39;7,39;7,37;7,39;386.229,00;52.300
GMAT3;05/06/2023;14:15:00;7,43;7,43;7,38;7,39;585.303,00;79.100
GMAT3;05/06/2023;14:10:00;7,44;7,44;7,42;7,43;416.851,00;56.100
GMAT3;05/06/2023;14:05:00;7,48;7,48;7,43;7,44;491.758,00;66.000
GMAT3;05/06/2023;14:00:00;7,49;7,50;7,47;7,48;353.298,00;47.200
GMAT3;05/06/2023;13:55:00;7,46;7,49;7,44;7,48;1.495.240,00;199.900
GMAT3;05/06/2023;13:50:00;7,47;7,47;7,45;7,46;227.406,00;30.500
GMAT3;05/06/2023;13:45:00;7,41;7,48;7,40;7,47;1.721.388,00;231.400
GMAT3;05/06/2023;13:40:00;7,40;7,43;7,39;7,41;1.717.703,00;231.800
GMAT3;05/06/2023;13:35:00;7,37;7,40;7,36;7,40;618.307,00;83.800
GMAT3;05/06/2023;13:30:00;7,39;7,40;7,36;7,37;807.043,00;109.400
GMAT3;05/06/2023;13:25:00;7,39;7,39;7,37;7,39;577.014,00;78.200
GMAT3;05/06/2023;13:20:00;7,39;7,40;7,36;7,39;992.454,00;134.500
GMAT3;05/06/2023;13:15:00;7,39;7,40;7,38;7,38;454.268,00;61.500
GMAT3;05/06/2023;13:10:00;7,39;7,41;7,39;7,39;559.355,00;75.600
GMAT3;05/06/2023;13:05:00;7,36;7,40;7,35;7,40;801.110,00;108.700
GMAT3;05/06/2023;13:00:00;7,37;7,37;7,35;7,36;199.450,00;27.100
GMAT3;05/06/2023;12:55:00;7,36;7,37;7,35;7,37;367.992,00;50.000
GMAT3;05/06/2023;12:50:00;7,37;7,38;7,35;7,36;239.444,00;32.500
GMAT3;05/06/2023;12:45:00;7,36;7,37;7,36;7,37;75.876,00;10.300
GMAT3;05/06/2023;12:40:00;7,38;7,38;7,35;7,37;393.870,00;53.500
GMAT3;05/06/2023;12:35:00;7,38;7,38;7,37;7,38;81.895,00;11.100
GMAT3;05/06/2023;12:30:00;7,38;7,40;7,37;7,38;549.969,00;74.500
GMAT3;05/06/2023;12:25:00;7,37;7,38;7,36;7,38;222.538,00;30.200
GMAT3;05/06/2023;12:20:00;7,41;7,41;7,36;7,37;476.445,00;64.500
GMAT3;05/06/2023;12:15:00;7,41;7,41;7,39;7,41;136.985,00;18.500
GMAT3;05/06/2023;12:10:00;7,41;7,41;7,40;7,41;194.121,00;26.200
GMAT3;05/06/2023;12:05:00;7,41;7,42;7,40;7,41;194.100,00;26.200
