Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GOAU4;06/06/2023;11:20:00;11,62;11,63;11,61;11,62;68.564,00;5.900
GOAU4;06/06/2023;11:15:00;11,66;11,67;11,62;11,63;562.282,00;48.300
GOAU4;06/06/2023;11:10:00;11,66;11,67;11,65;11,66;821.074,00;70.400
GOAU4;06/06/2023;11:05:00;11,63;11,68;11,63;11,66;891.067,00;76.400
GOAU4;06/06/2023;11:00:00;11,62;11,65;11,61;11,64;1.014.811,00;87.200
GOAU4;06/06/2023;10:55:00;11,61;11,63;11,60;11,62;502.893,00;43.300
GOAU4;06/06/2023;10:50:00;11,65;11,66;11,61;11,62;944.472,00;81.200
GOAU4;06/06/2023;10:45:00;11,66;11,68;11,64;11,65;889.516,00;76.300
GOAU4;06/06/2023;10:40:00;11,65;11,66;11,63;11,66;4.120.956,00;354.100
GOAU4;06/06/2023;10:35:00;11,64;11,67;11,63;11,64;543.034,00;46.600
GOAU4;06/06/2023;10:30:00;11,65;11,70;11,64;11,65;749.283,00;64.200
GOAU4;06/06/2023;10:25:00;11,61;11,65;11,61;11,64;382.736,00;32.900
GOAU4;06/06/2023;10:20:00;11,59;11,61;11,58;11,61;574.179,00;49.500
GOAU4;06/06/2023;10:15:00;11,62;11,63;11,58;11,59;1.856.126,00;159.900
GOAU4;06/06/2023;10:10:00;11,71;11,71;11,62;11,62;268.199,00;23.000
GOAU4;06/06/2023;10:05:00;11,67;11,72;11,63;11,71;628.463,00;53.900
GOAU4;06/06/2023;10:00:00;11,72;11,72;11,66;11,66;360.007,00;30.800
GOAU4;05/06/2023;17:30:00;11,66;11,70;11,66;11,67;79.450,00;6.800
GOAU4;05/06/2023;16:50:00;11,68;11,68;11,65;11,67;5.814.270,00;498.200
GOAU4;05/06/2023;16:45:00;11,67;11,68;11,66;11,68;912.495,00;78.200
GOAU4;05/06/2023;16:40:00;11,66;11,67;11,65;11,67;236.734,00;20.300
GOAU4;05/06/2023;16:35:00;11,66;11,67;11,65;11,66;775.183,00;66.500
GOAU4;05/06/2023;16:30:00;11,68;11,69;11,66;11,67;868.685,00;74.400
GOAU4;05/06/2023;16:25:00;11,67;11,68;11,66;11,68;742.022,00;63.600
GOAU4;05/06/2023;16:20:00;11,64;11,67;11,64;11,66;613.209,00;52.600
GOAU4;05/06/2023;16:15:00;11,67;11,67;11,64;11,64;527.716,00;45.300
GOAU4;05/06/2023;16:10:00;11,64;11,67;11,64;11,66;561.589,00;48.200
GOAU4;05/06/2023;16:05:00;11,64;11,66;11,64;11,64;542.741,00;46.600
GOAU4;05/06/2023;16:00:00;11,66;11,66;11,64;11,65;489.333,00;42.000
GOAU4;05/06/2023;15:55:00;11,64;11,66;11,64;11,66;306.382,00;26.300
GOAU4;05/06/2023;15:50:00;11,64;11,66;11,63;11,64;444.786,00;38.200
GOAU4;05/06/2023;15:45:00;11,65;11,66;11,64;11,64;460.217,00;39.500
GOAU4;05/06/2023;15:40:00;11,66;11,67;11,65;11,65;223.872,00;19.200
GOAU4;05/06/2023;15:35:00;11,67;11,68;11,66;11,66;380.413,00;32.600
GOAU4;05/06/2023;15:30:00;11,67;11,68;11,66;11,66;330.222,00;28.300
GOAU4;05/06/2023;15:25:00;11,67;11,68;11,66;11,67;358.220,00;30.700
GOAU4;05/06/2023;15:20:00;11,67;11,68;11,66;11,68;772.526,00;66.200
GOAU4;05/06/2023;15:15:00;11,67;11,68;11,65;11,68;699.754,00;60.000
GOAU4;05/06/2023;15:10:00;11,67;11,67;11,66;11,67;459.418,00;39.400
GOAU4;05/06/2023;15:05:00;11,68;11,69;11,66;11,66;574.488,00;49.200
GOAU4;05/06/2023;15:00:00;11,70;11,71;11,68;11,69;1.486.939,00;127.100
GOAU4;05/06/2023;14:55:00;11,69;11,70;11,68;11,70;296.944,00;25.400
GOAU4;05/06/2023;14:50:00;11,66;11,70;11,66;11,69;2.126.602,00;182.000
GOAU4;05/06/2023;14:45:00;11,63;11,67;11,63;11,66;642.195,00;55.100
GOAU4;05/06/2023;14:40:00;11,62;11,64;11,62;11,63;198.829,00;17.100
GOAU4;05/06/2023;14:35:00;11,63;11,64;11,62;11,62;138.400,00;11.900
GOAU4;05/06/2023;14:30:00;11,63;11,65;11,61;11,63;1.680.362,00;144.300
GOAU4;05/06/2023;14:25:00;11,62;11,63;11,61;11,63;194.049,00;16.700
GOAU4;05/06/2023;14:20:00;11,61;11,63;11,61;11,62;224.236,00;19.300
GOAU4;05/06/2023;14:15:00;11,63;11,63;11,61;11,61;62.734,00;5.400
GOAU4;05/06/2023;14:10:00;11,64;11,65;11,61;11,63;248.733,00;21.400
GOAU4;05/06/2023;14:05:00;11,63;11,65;11,61;11,64;405.758,00;34.900
GOAU4;05/06/2023;14:00:00;11,66;11,66;11,63;11,63;562.243,00;48.300
GOAU4;05/06/2023;13:55:00;11,67;11,67;11,65;11,65;278.674,00;23.900
GOAU4;05/06/2023;13:50:00;11,66;11,67;11,65;11,67;263.480,00;22.600
GOAU4;05/06/2023;13:45:00;11,66;11,66;11,65;11,65;129.390,00;11.100
GOAU4;05/06/2023;13:40:00;11,64;11,66;11,64;11,66;203.840,00;17.500
GOAU4;05/06/2023;13:35:00;11,65;11,66;11,64;11,65;234.116,00;20.100
GOAU4;05/06/2023;13:30:00;11,64;11,65;11,64;11,64;151.392,00;13.000
GOAU4;05/06/2023;13:25:00;11,65;11,66;11,63;11,64;416.943,00;35.800
GOAU4;05/06/2023;13:20:00;11,66;11,66;11,65;11,66;165.505,00;14.200
GOAU4;05/06/2023;13:15:00;11,66;11,67;11,65;11,65;153.992,00;13.200
GOAU4;05/06/2023;13:10:00;11,65;11,67;11,64;11,67;456.980,00;39.200
GOAU4;05/06/2023;13:05:00;11,64;11,66;11,64;11,65;257.387,00;22.100
GOAU4;05/06/2023;13:00:00;11,67;11,67;11,64;11,64;170.172,00;14.600
GOAU4;05/06/2023;12:55:00;11,64;11,67;11,63;11,67;291.062,00;25.000
GOAU4;05/06/2023;12:50:00;11,63;11,65;11,63;11,64;309.688,00;26.600
GOAU4;05/06/2023;12:45:00;11,65;11,65;11,63;11,63;231.604,00;19.900
GOAU4;05/06/2023;12:40:00;11,64;11,65;11,63;11,64;211.864,00;18.200
GOAU4;05/06/2023;12:35:00;11,64;11,65;11,62;11,65;161.807,00;13.900
GOAU4;05/06/2023;12:30:00;11,65;11,66;11,63;11,63;210.890,00;18.100
GOAU4;05/06/2023;12:25:00;11,65;11,67;11,65;11,65;651.718,00;55.900
GOAU4;05/06/2023;12:20:00;11,65;11,66;11,63;11,66;206.211,00;17.700
GOAU4;05/06/2023;12:15:00;11,64;11,65;11,62;11,64;455.017,00;39.100
GOAU4;05/06/2023;12:10:00;11,64;11,65;11,62;11,65;187.356,00;16.100
GOAU4;05/06/2023;12:05:00;11,64;11,64;11,62;11,64;273.306,00;23.500
GOAU4;05/06/2023;12:00:00;11,63;11,65;11,63;11,63;310.778,00;26.700
GOAU4;05/06/2023;11:55:00;11,64;11,64;11,61;11,63;637.104,00;54.800
GOAU4;05/06/2023;11:50:00;11,62;11,63;11,61;11,63;254.531,00;21.900
GOAU4;05/06/2023;11:45:00;11,60;11,62;11,57;11,62;792.022,00;68.300
GOAU4;05/06/2023;11:40:00;11,58;11,60;11,55;11,60;736.190,00;63.600
GOAU4;05/06/2023;11:35:00;11,54;11,59;11,53;11,58;983.889,00;85.100
GOAU4;05/06/2023;11:30:00;11,52;11,56;11,52;11,56;1.143.917,00;99.200
GOAU4;05/06/2023;11:25:00;11,52;11,53;11,50;11,52;1.141.552,00;99.100
GOAU4;05/06/2023;11:20:00;11,52;11,53;11,50;11,52;1.484.668,00;128.900
GOAU4;05/06/2023;11:15:00;11,58;11,59;11,52;11,52;1.113.219,00;96.300
GOAU4;05/06/2023;11:10:00;11,63;11,63;11,58;11,59;1.484.295,00;127.900
GOAU4;05/06/2023;11:05:00;11,66;11,67;11,63;11,63;384.496,00;33.000
GOAU4;05/06/2023;11:00:00;11,65;11,69;11,64;11,65;824.599,00;70.700
GOAU4;05/06/2023;10:55:00;11,69;11,69;11,64;11,64;864.650,00;74.100
GOAU4;05/06/2023;10:50:00;11,72;11,72;11,68;11,69;639.771,00;54.700
GOAU4;05/06/2023;10:45:00;11,71;11,73;11,70;11,72;179.205,00;15.300
GOAU4;05/06/2023;10:40:00;11,72;11,74;11,70;11,71;251.966,00;21.500
GOAU4;05/06/2023;10:35:00;11,70;11,74;11,70;11,72;1.630.131,00;138.900
GOAU4;05/06/2023;10:30:00;11,72;11,74;11,70;11,71;244.992,00;20.900
GOAU4;05/06/2023;10:25:00;11,69;11,73;11,69;11,73;531.793,00;45.400
GOAU4;05/06/2023;10:20:00;11,70;11,72;11,69;11,70;661.163,00;56.500
GOAU4;05/06/2023;10:15:00;11,65;11,71;11,64;11,69;562.834,00;48.200
GOAU4;05/06/2023;10:10:00;11,72;11,72;11,66;11,66;740.209,00;63.300
GOAU4;05/06/2023;10:05:00;11,74;11,79;11,73;11,74;669.609,00;57.000
GOAU4;02/06/2023;17:30:00;11,70;11,70;11,65;11,67;94.661,00;8.100
GOAU4;02/06/2023;16:50:00;11,67;11,70;11,65;11,70;6.596.998,00;564.100
GOAU4;02/06/2023;16:45:00;11,68;11,68;11,66;11,67;1.022.317,00;87.600
GOAU4;02/06/2023;16:40:00;11,67;11,69;11,66;11,67;1.082.343,00;92.700
GOAU4;02/06/2023;16:35:00;11,65;11,67;11,64;11,66;996.651,00;85.500
GOAU4;02/06/2023;16:30:00;11,66;11,66;11,63;11,66;1.475.682,00;126.700
GOAU4;02/06/2023;16:25:00;11,66;11,67;11,64;11,65;890.235,00;76.400
GOAU4;02/06/2023;16:20:00;11,68;11,68;11,65;11,65;1.035.237,00;88.800
GOAU4;02/06/2023;16:15:00;11,69;11,70;11,66;11,67;696.109,00;59.600
GOAU4;02/06/2023;16:10:00;11,71;11,71;11,69;11,69;428.035,00;36.600
GOAU4;02/06/2023;16:05:00;11,71;11,71;11,68;11,70;1.116.812,00;95.500
GOAU4;02/06/2023;16:00:00;11,70;11,71;11,69;11,70;777.992,00;66.500
GOAU4;02/06/2023;15:55:00;11,70;11,71;11,68;11,69;643.315,00;55.000
GOAU4;02/06/2023;15:50:00;11,67;11,69;11,66;11,69;564.022,00;48.300
GOAU4;02/06/2023;15:45:00;11,65;11,68;11,65;11,67;530.862,00;45.500
GOAU4;02/06/2023;15:40:00;11,65;11,68;11,65;11,66;1.144.033,00;98.100
GOAU4;02/06/2023;15:35:00;11,69;11,70;11,65;11,65;1.048.202,00;89.800
GOAU4;02/06/2023;15:30:00;11,71;11,71;11,68;11,68;571.780,00;48.900
GOAU4;02/06/2023;15:25:00;11,72;11,73;11,70;11,70;566.975,00;48.400
GOAU4;02/06/2023;15:20:00;11,72;11,73;11,71;11,72;684.332,00;58.400
GOAU4;02/06/2023;15:15:00;11,72;11,73;11,70;11,72;916.324,00;78.200
GOAU4;02/06/2023;15:10:00;11,72;11,72;11,70;11,71;230.753,00;19.700
GOAU4;02/06/2023;15:05:00;11,72;11,75;11,71;11,72;480.087,00;40.900
GOAU4;02/06/2023;15:00:00;11,73;11,74;11,71;11,73;198.175,00;16.900
GOAU4;02/06/2023;14:55:00;11,72;11,73;11,71;11,72;321.171,00;27.400
GOAU4;02/06/2023;14:50:00;11,70;11,71;11,69;11,71;376.787,00;32.200
GOAU4;02/06/2023;14:45:00;11,70;11,70;11,68;11,69;591.624,00;50.600
GOAU4;02/06/2023;14:40:00;11,71;11,71;11,69;11,70;345.189,00;29.500
GOAU4;02/06/2023;14:35:00;11,71;11,73;11,70;11,70;454.484,00;38.800
GOAU4;02/06/2023;14:30:00;11,74;11,74;11,72;11,72;259.230,00;22.100
GOAU4;02/06/2023;14:25:00;11,75;11,75;11,73;11,74;383.942,00;32.700
GOAU4;02/06/2023;14:20:00;11,76;11,77;11,74;11,74;404.321,00;34.400
GOAU4;02/06/2023;14:15:00;11,77;11,78;11,76;11,76;283.657,00;24.100
GOAU4;02/06/2023;14:10:00;11,78;11,78;11,76;11,77;702.832,00;59.700
GOAU4;02/06/2023;14:05:00;11,79;11,79;11,77;11,78;639.320,00;54.300
GOAU4;02/06/2023;14:00:00;11,79;11,79;11,77;11,79;236.846,00;20.100
GOAU4;02/06/2023;13:55:00;11,80;11,80;11,77;11,78;282.821,00;24.000
GOAU4;02/06/2023;13:50:00;11,79;11,80;11,78;11,79;336.065,00;28.500
GOAU4;02/06/2023;13:45:00;11,79;11,80;11,78;11,80;470.543,00;39.900
GOAU4;02/06/2023;13:40:00;11,78;11,80;11,77;11,78;366.457,00;31.100
GOAU4;02/06/2023;13:35:00;11,80;11,80;11,78;11,78;310.121,00;26.300
GOAU4;02/06/2023;13:30:00;11,79;11,82;11,78;11,80;549.915,00;46.600
GOAU4;02/06/2023;13:25:00;11,81;11,81;11,78;11,79;247.689,00;21.000
GOAU4;02/06/2023;13:20:00;11,81;11,81;11,79;11,81;357.591,00;30.300
GOAU4;02/06/2023;13:15:00;11,82;11,83;11,77;11,80;905.996,00;76.800
GOAU4;02/06/2023;13:10:00;11,81;11,83;11,81;11,82;1.117.012,00;94.500
GOAU4;02/06/2023;13:05:00;11,81;11,82;11,80;11,81;958.632,00;81.200
GOAU4;02/06/2023;13:00:00;11,75;11,81;11,75;11,80;2.491.613,00;211.500
GOAU4;02/06/2023;12:55:00;11,75;11,75;11,73;11,75;1.420.191,00;120.900
GOAU4;02/06/2023;12:50:00;11,73;11,75;11,73;11,74;811.644,00;69.100
GOAU4;02/06/2023;12:45:00;11,74;11,75;11,72;11,72;378.973,00;32.300
