Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GOLL4;16/06/2023;17:30:00;11,34;11,34;11,33;11,34;413.868,00;36.500
GOLL4;16/06/2023;16:45:00;11,37;11,37;11,32;11,34;9.774.293,00;861.900
GOLL4;16/06/2023;16:40:00;11,38;11,38;11,33;11,36;1.915.267,00;168.700
GOLL4;16/06/2023;16:35:00;11,37;11,39;11,36;11,38;2.324.497,00;204.500
GOLL4;16/06/2023;16:30:00;11,38;11,40;11,36;11,37;1.263.160,00;111.000
GOLL4;16/06/2023;16:25:00;11,38;11,39;11,35;11,37;1.142.546,00;100.500
GOLL4;16/06/2023;16:20:00;11,40;11,40;11,35;11,37;1.878.708,00;165.200
GOLL4;16/06/2023;16:15:00;11,39;11,43;11,38;11,39;1.192.231,00;104.500
GOLL4;16/06/2023;16:10:00;11,40;11,41;11,38;11,38;760.971,00;66.800
GOLL4;16/06/2023;16:05:00;11,40;11,40;11,38;11,39;1.095.626,00;96.200
GOLL4;16/06/2023;16:00:00;11,41;11,44;11,39;11,41;832.048,00;72.900
GOLL4;16/06/2023;15:55:00;11,42;11,44;11,39;11,41;1.273.479,00;111.600
GOLL4;16/06/2023;15:50:00;11,44;11,45;11,42;11,43;567.095,00;49.600
GOLL4;16/06/2023;15:45:00;11,46;11,47;11,42;11,43;897.436,00;78.400
GOLL4;16/06/2023;15:40:00;11,42;11,48;11,40;11,46;4.036.141,00;352.700
GOLL4;16/06/2023;15:35:00;11,42;11,42;11,40;11,41;332.060,00;29.100
GOLL4;16/06/2023;15:30:00;11,40;11,42;11,39;11,41;684.137,00;60.000
GOLL4;16/06/2023;15:25:00;11,38;11,40;11,37;11,40;479.370,00;42.100
GOLL4;16/06/2023;15:20:00;11,40;11,41;11,37;11,38;676.438,00;59.400
GOLL4;16/06/2023;15:15:00;11,38;11,41;11,35;11,39;2.122.214,00;186.700
GOLL4;16/06/2023;15:10:00;11,47;11,48;11,35;11,37;3.548.013,00;311.200
GOLL4;16/06/2023;15:05:00;11,46;11,50;11,45;11,47;1.118.632,00;97.500
GOLL4;16/06/2023;15:00:00;11,45;11,47;11,43;11,47;693.652,00;60.600
GOLL4;16/06/2023;14:55:00;11,47;11,47;11,42;11,45;1.436.587,00;125.500
GOLL4;16/06/2023;14:50:00;11,52;11,52;11,46;11,47;1.328.785,00;115.700
GOLL4;16/06/2023;14:45:00;11,46;11,54;11,45;11,52;4.116.918,00;357.800
GOLL4;16/06/2023;14:40:00;11,46;11,48;11,45;11,45;821.005,00;71.600
GOLL4;16/06/2023;14:35:00;11,39;11,49;11,39;11,47;3.268.694,00;285.500
GOLL4;16/06/2023;14:30:00;11,39;11,40;11,36;11,40;309.592,00;27.200
GOLL4;16/06/2023;14:25:00;11,37;11,39;11,37;11,39;405.111,00;35.600
GOLL4;16/06/2023;14:20:00;11,38;11,39;11,36;11,37;955.364,00;84.000
GOLL4;16/06/2023;14:15:00;11,39;11,40;11,37;11,39;471.343,00;41.400
GOLL4;16/06/2023;14:10:00;11,39;11,40;11,37;11,38;567.019,00;49.800
GOLL4;16/06/2023;14:05:00;11,41;11,43;11,38;11,39;1.383.435,00;121.200
GOLL4;16/06/2023;14:00:00;11,45;11,45;11,40;11,42;1.223.743,00;107.100
GOLL4;16/06/2023;13:55:00;11,37;11,47;11,37;11,45;3.217.186,00;281.500
GOLL4;16/06/2023;13:50:00;11,36;11,38;11,35;11,36;792.064,00;69.700
GOLL4;16/06/2023;13:45:00;11,38;11,38;11,33;11,36;2.706.786,00;238.300
GOLL4;16/06/2023;13:40:00;11,37;11,40;11,36;11,39;784.104,00;68.900
GOLL4;16/06/2023;13:35:00;11,39;11,40;11,36;11,37;1.090.122,00;95.800
GOLL4;16/06/2023;13:30:00;11,41;11,43;11,36;11,39;1.859.090,00;163.300
GOLL4;16/06/2023;13:25:00;11,41;11,42;11,39;11,40;507.452,00;44.500
GOLL4;16/06/2023;13:20:00;11,43;11,44;11,40;11,42;766.506,00;67.100
GOLL4;16/06/2023;13:15:00;11,44;11,46;11,43;11,43;628.995,00;55.000
