Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
GRND3;16/06/2023;17:30:00;7,32;7,32;7,32;7,32;16.104,00;2.200
GRND3;16/06/2023;16:45:00;7,31;7,38;7,30;7,38;9.391.062,00;1.272.900
GRND3;16/06/2023;16:40:00;7,32;7,32;7,29;7,32;366.064,00;50.100
GRND3;16/06/2023;16:35:00;7,30;7,33;7,30;7,31;315.359,00;43.100
GRND3;16/06/2023;16:30:00;7,30;7,32;7,29;7,30;342.832,00;46.900
GRND3;16/06/2023;16:25:00;7,30;7,31;7,28;7,30;319.431,00;43.800
GRND3;16/06/2023;16:20:00;7,30;7,31;7,29;7,31;194.235,00;26.600
GRND3;16/06/2023;16:15:00;7,29;7,30;7,28;7,29;223.112,00;30.600
GRND3;16/06/2023;16:10:00;7,26;7,29;7,25;7,28;351.752,00;48.400
GRND3;16/06/2023;16:05:00;7,26;7,27;7,24;7,25;163.917,00;22.600
GRND3;16/06/2023;16:00:00;7,27;7,28;7,25;7,26;236.264,00;32.500
GRND3;16/06/2023;15:55:00;7,28;7,28;7,25;7,26;106.722,00;14.700
GRND3;16/06/2023;15:50:00;7,27;7,28;7,27;7,27;98.880,00;13.600
GRND3;16/06/2023;15:45:00;7,30;7,30;7,27;7,27;283.585,00;38.900
GRND3;16/06/2023;15:40:00;7,30;7,31;7,29;7,29;121.896,00;16.700
GRND3;16/06/2023;15:35:00;7,32;7,32;7,30;7,30;51.170,00;7.000
GRND3;16/06/2023;15:30:00;7,32;7,32;7,31;7,31;53.418,00;7.300
GRND3;16/06/2023;15:25:00;7,33;7,33;7,31;7,31;158.079,00;21.600
GRND3;16/06/2023;15:20:00;7,33;7,33;7,31;7,31;31.479,00;4.300
GRND3;16/06/2023;15:15:00;7,34;7,34;7,32;7,32;58.592,00;8.000
GRND3;16/06/2023;15:10:00;7,34;7,34;7,33;7,33;22.749,00;3.100
GRND3;16/06/2023;15:05:00;7,33;7,35;7,33;7,33;74.107,00;10.100
GRND3;16/06/2023;15:00:00;7,35;7,35;7,33;7,33;85.060,00;11.600
GRND3;16/06/2023;14:55:00;7,33;7,35;7,33;7,34;13.945,00;1.900
GRND3;16/06/2023;14:50:00;7,34;7,34;7,33;7,33;32.295,00;4.400
GRND3;16/06/2023;14:45:00;7,35;7,36;7,34;7,35;24.985,00;3.400
GRND3;16/06/2023;14:40:00;7,35;7,35;7,34;7,35;24.986,00;3.400
GRND3;16/06/2023;14:35:00;7,34;7,35;7,33;7,35;25.685,00;3.500
GRND3;16/06/2023;14:30:00;7,34;7,35;7,33;7,34;60.914,00;8.300
GRND3;16/06/2023;14:25:00;7,33;7,34;7,33;7,33;10.999,00;1.500
GRND3;16/06/2023;14:20:00;7,34;7,35;7,33;7,33;30.091,00;4.100
GRND3;16/06/2023;14:15:00;7,34;7,35;7,34;7,34;39.684,00;5.400
GRND3;16/06/2023;14:10:00;7,35;7,35;7,34;7,34;60.199,00;8.200
GRND3;16/06/2023;14:05:00;7,34;7,35;7,34;7,35;33.767,00;4.600
GRND3;16/06/2023;14:00:00;7,35;7,37;7,34;7,34;73.503,00;10.000
GRND3;16/06/2023;13:55:00;7,35;7,36;7,35;7,36;15.451,00;2.100
GRND3;16/06/2023;13:50:00;7,34;7,35;7,33;7,35;38.166,00;5.200
GRND3;16/06/2023;13:45:00;7,34;7,34;7,33;7,34;74.856,00;10.200
GRND3;16/06/2023;13:40:00;7,34;7,34;7,33;7,33;5.865,00;800
GRND3;16/06/2023;13:35:00;7,33;7,34;7,31;7,33;109.845,00;15.000
GRND3;16/06/2023;13:30:00;7,34;7,34;7,32;7,33;42.511,00;5.800
GRND3;16/06/2023;13:25:00;7,34;7,34;7,33;7,34;8.799,00;1.200
GRND3;16/06/2023;13:20:00;7,35;7,35;7,33;7,33;33.765,00;4.600
GRND3;16/06/2023;13:15:00;7,35;7,35;7,34;7,35;45.559,00;6.200
GRND3;16/06/2023;13:10:00;7,35;7,36;7,34;7,34;110.296,00;15.000
GRND3;16/06/2023;13:05:00;7,34;7,36;7,34;7,35;23.517,00;3.200
GRND3;16/06/2023;13:00:00;7,34;7,34;7,33;7,34;27.885,00;3.800
GRND3;16/06/2023;12:55:00;7,35;7,35;7,34;7,34;19.092,00;2.600
GRND3;16/06/2023;12:50:00;7,34;7,34;7,32;7,34;22.000,00;3.000
GRND3;16/06/2023;12:45:00;7,37;7,37;7,33;7,33;171.985,00;23.400
GRND3;16/06/2023;12:40:00;7,37;7,37;7,36;7,37;13.994,00;1.900
GRND3;16/06/2023;12:35:00;7,37;7,37;7,36;7,37;29.476,00;4.000
GRND3;16/06/2023;12:30:00;7,36;7,38;7,36;7,37;41.243,00;5.600
GRND3;16/06/2023;12:25:00;7,37;7,37;7,36;7,37;29.476,00;4.000
GRND3;16/06/2023;12:20:00;7,37;7,37;7,35;7,37;41.222,00;5.600
GRND3;16/06/2023;12:15:00;7,37;7,37;7,35;7,36;16.931,00;2.300
