Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HAGA4;16/06/2023;17:30:00;1,29;1,29;1,29;1,29;516,00;400
HAGA4;16/06/2023;16:40:00;1,29;1,33;1,29;1,29;6.583,00;5.100
HAGA4;16/06/2023;16:35:00;1,30;1,31;1,29;1,29;521,00;400
HAGA4;16/06/2023;15:55:00;1,33;1,33;1,33;1,33;133,00;100
HAGA4;16/06/2023;15:35:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;16/06/2023;15:25:00;1,30;1,30;1,30;1,30;1.170,00;900
HAGA4;16/06/2023;14:55:00;1,35;1,35;1,29;1,35;5.208,00;4.000
HAGA4;16/06/2023;14:45:00;1,33;1,35;1,33;1,35;4.790,00;3.600
HAGA4;16/06/2023;14:40:00;1,31;1,34;1,31;1,33;21.714,00;16.300
HAGA4;16/06/2023;13:30:00;1,29;1,29;1,29;1,29;1.161,00;900
HAGA4;16/06/2023;12:30:00;1,28;1,28;1,28;1,28;128,00;100
HAGA4;16/06/2023;12:10:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;16/06/2023;12:00:00;1,29;1,29;1,28;1,28;6.666,00;5.200
HAGA4;16/06/2023;11:50:00;1,28;1,28;1,28;1,28;128,00;100
HAGA4;16/06/2023;11:40:00;1,29;1,29;1,29;1,29;1.032,00;800
HAGA4;16/06/2023;11:05:00;1,28;1,28;1,28;1,28;256,00;200
HAGA4;16/06/2023;11:00:00;1,30;1,30;1,28;1,28;1.542,00;1.200
HAGA4;16/06/2023;10:45:00;1,32;1,32;1,32;1,32;396,00;300
HAGA4;16/06/2023;10:00:00;1,33;1,33;1,33;1,33;133,00;100
HAGA4;15/06/2023;17:30:00;1,34;1,34;1,34;1,34;804,00;600
HAGA4;15/06/2023;16:40:00;1,32;1,33;1,32;1,33;2.925,00;2.200
HAGA4;15/06/2023;16:25:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;15/06/2023;16:15:00;1,33;1,33;1,33;1,33;133,00;100
HAGA4;15/06/2023;16:05:00;1,30;1,31;1,30;1,31;6.893,00;5.300
HAGA4;15/06/2023;15:55:00;1,31;1,31;1,31;1,31;131,00;100
HAGA4;15/06/2023;15:30:00;1,30;1,30;1,30;1,30;520,00;400
HAGA4;15/06/2023;15:20:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;15/06/2023;15:00:00;1,30;1,30;1,30;1,30;1.300,00;1.000
HAGA4;15/06/2023;14:10:00;1,31;1,31;1,31;1,31;131,00;100
HAGA4;15/06/2023;14:05:00;1,31;1,32;1,31;1,32;394,00;300
HAGA4;15/06/2023;14:00:00;1,30;1,30;1,30;1,30;14.820,00;11.400
HAGA4;15/06/2023;13:55:00;1,30;1,30;1,30;1,30;14.950,00;11.500
HAGA4;15/06/2023;13:25:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;15/06/2023;13:20:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;15/06/2023;13:00:00;1,27;1,33;1,27;1,29;8.390,00;6.400
HAGA4;15/06/2023;12:45:00;1,34;1,34;1,34;1,34;134,00;100
HAGA4;15/06/2023;12:35:00;1,27;1,35;1,27;1,35;37.349,00;28.100
HAGA4;15/06/2023;11:55:00;1,25;1,25;1,25;1,25;7.500,00;6.000
HAGA4;15/06/2023;11:45:00;1,25;1,25;1,25;1,25;2.500,00;2.000
HAGA4;15/06/2023;11:40:00;1,26;1,26;1,25;1,25;1.001,00;800
HAGA4;15/06/2023;11:10:00;1,27;1,27;1,27;1,27;127,00;100
HAGA4;15/06/2023;10:35:00;1,26;1,26;1,26;1,26;126,00;100
HAGA4;15/06/2023;10:25:00;1,26;1,26;1,25;1,25;1.001,00;800
HAGA4;15/06/2023;10:20:00;1,26;1,26;1,25;1,25;3.005,00;2.400
HAGA4;15/06/2023;10:15:00;1,29;1,30;1,25;1,30;6.304,00;5.000
HAGA4;15/06/2023;10:05:00;1,31;1,31;1,30;1,30;6.631,00;5.100
HAGA4;15/06/2023;10:00:00;1,31;1,31;1,29;1,29;30.987,00;24.000
HAGA4;14/06/2023;17:30:00;1,29;1,30;1,29;1,30;7.870,00;6.100
HAGA4;14/06/2023;16:30:00;1,30;1,30;1,29;1,29;3.880,00;3.000
HAGA4;14/06/2023;16:25:00;1,32;1,32;1,32;1,32;1.320,00;1.000
HAGA4;14/06/2023;15:55:00;1,30;1,30;1,29;1,29;7.105,00;5.500
HAGA4;14/06/2023;15:40:00;1,31;1,31;1,31;1,31;393,00;300
HAGA4;14/06/2023;15:20:00;1,31;1,31;1,31;1,31;393,00;300
HAGA4;14/06/2023;15:10:00;1,30;1,30;1,30;1,30;910,00;700
HAGA4;14/06/2023;14:45:00;1,29;1,30;1,29;1,30;1.678,00;1.300
HAGA4;14/06/2023;14:35:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;14/06/2023;14:30:00;1,30;1,30;1,29;1,30;7.890,00;6.100
HAGA4;14/06/2023;14:25:00;1,30;1,30;1,29;1,30;6.089,00;4.700
HAGA4;14/06/2023;14:20:00;1,32;1,32;1,32;1,32;264,00;200
HAGA4;14/06/2023;14:15:00;1,33;1,33;1,33;1,33;133,00;100
HAGA4;14/06/2023;14:10:00;1,33;1,33;1,33;1,33;399,00;300
HAGA4;14/06/2023;14:00:00;1,33;1,34;1,33;1,34;1.467,00;1.100
HAGA4;14/06/2023;13:50:00;1,33;1,34;1,33;1,34;2.142,00;1.600
HAGA4;14/06/2023;13:40:00;1,34;1,34;1,34;1,34;402,00;300
HAGA4;14/06/2023;13:35:00;1,33;1,34;1,33;1,34;8.564,00;6.400
HAGA4;14/06/2023;13:25:00;1,31;1,34;1,31;1,34;13.485,00;10.200
HAGA4;14/06/2023;13:20:00;1,31;1,31;1,31;1,31;655,00;500
HAGA4;14/06/2023;13:10:00;1,30;1,30;1,30;1,30;2.600,00;2.000
HAGA4;14/06/2023;13:05:00;1,30;1,30;1,30;1,30;2.600,00;2.000
HAGA4;14/06/2023;13:00:00;1,29;1,29;1,29;1,29;3.354,00;2.600
HAGA4;14/06/2023;12:55:00;1,30;1,31;1,29;1,31;6.979,00;5.400
HAGA4;14/06/2023;12:40:00;1,30;1,30;1,29;1,29;5.167,00;4.000
HAGA4;14/06/2023;12:35:00;1,31;1,32;1,31;1,32;791,00;600
HAGA4;14/06/2023;12:25:00;1,32;1,32;1,32;1,32;1.320,00;1.000
HAGA4;14/06/2023;12:20:00;1,30;1,30;1,30;1,30;4.290,00;3.300
HAGA4;14/06/2023;12:10:00;1,34;1,35;1,30;1,30;3.753,00;2.800
HAGA4;14/06/2023;12:05:00;1,30;1,35;1,30;1,35;20.110,00;15.200
HAGA4;14/06/2023;12:00:00;1,29;1,30;1,29;1,30;5.041,00;3.900
HAGA4;14/06/2023;11:55:00;1,28;1,29;1,28;1,29;514,00;400
HAGA4;14/06/2023;11:45:00;1,27;1,27;1,27;1,27;2.286,00;1.800
HAGA4;14/06/2023;11:25:00;1,27;1,27;1,27;1,27;635,00;500
HAGA4;14/06/2023;11:15:00;1,23;1,27;1,23;1,27;500,00;400
HAGA4;14/06/2023;11:10:00;1,25;1,25;1,23;1,23;2.480,00;2.000
HAGA4;14/06/2023;10:55:00;1,26;1,26;1,25;1,25;251,00;200
HAGA4;14/06/2023;10:45:00;1,27;1,27;1,25;1,25;7.325,00;5.800
HAGA4;14/06/2023;10:40:00;1,28;1,28;1,28;1,28;1.152,00;900
HAGA4;14/06/2023;10:20:00;1,28;1,28;1,28;1,28;1.280,00;1.000
HAGA4;14/06/2023;10:15:00;1,28;1,28;1,28;1,28;2.432,00;1.900
HAGA4;14/06/2023;10:10:00;1,28;1,31;1,28;1,30;6.250,00;4.800
HAGA4;14/06/2023;10:05:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;14/06/2023;10:00:00;1,27;1,28;1,27;1,28;8.940,00;7.000
HAGA4;13/06/2023;17:30:00;1,24;1,24;1,23;1,23;1.239,00;1.000
HAGA4;13/06/2023;16:50:00;1,26;1,26;1,24;1,24;5.986,00;4.800
HAGA4;13/06/2023;16:35:00;1,26;1,26;1,26;1,26;252,00;200
HAGA4;13/06/2023;16:30:00;1,25;1,25;1,25;1,25;250,00;200
HAGA4;13/06/2023;16:20:00;1,25;1,25;1,25;1,25;1.375,00;1.100
HAGA4;13/06/2023;16:05:00;1,23;1,23;1,23;1,23;984,00;800
HAGA4;13/06/2023;15:55:00;1,24;1,24;1,23;1,23;493,00;400
HAGA4;13/06/2023;15:20:00;1,26;1,26;1,25;1,25;8.376,00;6.700
HAGA4;13/06/2023;15:15:00;1,26;1,26;1,26;1,26;126,00;100
HAGA4;13/06/2023;15:10:00;1,26;1,26;1,26;1,26;252,00;200
HAGA4;13/06/2023;14:50:00;1,26;1,26;1,26;1,26;126,00;100
HAGA4;13/06/2023;14:45:00;1,26;1,26;1,26;1,26;252,00;200
HAGA4;13/06/2023;14:20:00;1,27;1,27;1,26;1,26;633,00;500
HAGA4;13/06/2023;14:05:00;1,26;1,27;1,26;1,27;2.150,00;1.700
HAGA4;13/06/2023;14:00:00;1,26;1,26;1,26;1,26;1.890,00;1.500
HAGA4;13/06/2023;13:25:00;1,25;1,25;1,25;1,25;125,00;100
HAGA4;13/06/2023;13:15:00;1,25;1,25;1,24;1,24;993,00;800
HAGA4;13/06/2023;13:10:00;1,24;1,24;1,24;1,24;4.216,00;3.400
HAGA4;13/06/2023;13:05:00;1,26;1,26;1,25;1,25;7.019,00;5.600
HAGA4;13/06/2023;12:40:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;13/06/2023;12:30:00;1,26;1,26;1,26;1,26;126,00;100
HAGA4;13/06/2023;12:25:00;1,28;1,28;1,26;1,26;2.282,00;1.800
HAGA4;13/06/2023;12:15:00;1,29;1,29;1,29;1,29;1.290,00;1.000
HAGA4;13/06/2023;12:05:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;13/06/2023;12:00:00;1,32;1,33;1,28;1,28;3.410,00;2.600
HAGA4;13/06/2023;11:50:00;1,30;1,32;1,30;1,32;392,00;300
HAGA4;13/06/2023;11:45:00;1,31;1,32;1,31;1,32;1.051,00;800
HAGA4;13/06/2023;11:40:00;1,32;1,32;1,32;1,32;396,00;300
HAGA4;13/06/2023;11:30:00;1,33;1,33;1,33;1,33;133,00;100
HAGA4;13/06/2023;11:25:00;1,33;1,33;1,33;1,33;665,00;500
HAGA4;13/06/2023;11:20:00;1,32;1,33;1,30;1,33;17.866,00;13.500
HAGA4;13/06/2023;11:15:00;1,33;1,33;1,33;1,33;10.241,00;7.700
HAGA4;13/06/2023;11:10:00;1,34;1,34;1,34;1,34;1.340,00;1.000
HAGA4;13/06/2023;11:05:00;1,33;1,34;1,32;1,33;7.048,00;5.300
HAGA4;13/06/2023;11:00:00;1,30;1,32;1,30;1,32;6.730,00;5.100
HAGA4;13/06/2023;10:55:00;1,31;1,32;1,31;1,32;9.478,00;7.200
HAGA4;13/06/2023;10:50:00;1,30;1,31;1,28;1,31;5.453,00;4.200
HAGA4;13/06/2023;10:45:00;1,29;1,29;1,28;1,28;514,00;400
HAGA4;13/06/2023;10:40:00;1,29;1,31;1,29;1,31;7.043,00;5.400
HAGA4;13/06/2023;10:35:00;1,27;1,28;1,27;1,28;1.274,00;1.000
HAGA4;13/06/2023;10:30:00;1,27;1,30;1,27;1,30;6.720,00;5.200
HAGA4;13/06/2023;10:25:00;1,24;1,27;1,24;1,27;5.810,00;4.600
HAGA4;13/06/2023;10:20:00;1,23;1,24;1,23;1,24;3.719,00;3.000
HAGA4;13/06/2023;10:15:00;1,22;1,22;1,22;1,22;2.440,00;2.000
HAGA4;13/06/2023;10:10:00;1,22;1,22;1,22;1,22;122,00;100
HAGA4;12/06/2023;16:50:00;1,22;1,22;1,21;1,21;606,00;500
HAGA4;12/06/2023;16:45:00;1,22;1,22;1,22;1,22;366,00;300
HAGA4;12/06/2023;16:35:00;1,22;1,22;1,21;1,21;4.870,00;4.000
HAGA4;12/06/2023;16:30:00;1,22;1,22;1,22;1,22;122,00;100
HAGA4;12/06/2023;16:15:00;1,22;1,22;1,22;1,22;732,00;600
HAGA4;12/06/2023;15:55:00;1,23;1,23;1,23;1,23;246,00;200
HAGA4;12/06/2023;15:40:00;1,23;1,23;1,23;1,23;492,00;400
HAGA4;12/06/2023;14:55:00;1,24;1,24;1,24;1,24;620,00;500
HAGA4;12/06/2023;14:10:00;1,23;1,25;1,23;1,24;3.485,00;2.800
HAGA4;12/06/2023;13:50:00;1,22;1,22;1,22;1,22;732,00;600
HAGA4;12/06/2023;13:45:00;1,22;1,22;1,22;1,22;122,00;100
HAGA4;12/06/2023;12:40:00;1,22;1,22;1,22;1,22;122,00;100
HAGA4;12/06/2023;12:35:00;1,22;1,22;1,22;1,22;1.220,00;1.000
HAGA4;12/06/2023;12:25:00;1,23;1,23;1,23;1,23;123,00;100
HAGA4;12/06/2023;12:15:00;1,25;1,25;1,19;1,19;12.130,00;10.000
HAGA4;12/06/2023;12:10:00;1,26;1,27;1,26;1,27;380,00;300
HAGA4;12/06/2023;11:50:00;1,24;1,25;1,24;1,25;1.490,00;1.200
HAGA4;12/06/2023;11:45:00;1,27;1,27;1,25;1,25;4.398,00;3.500
HAGA4;12/06/2023;11:30:00;1,30;1,30;1,30;1,30;260,00;200
HAGA4;12/06/2023;11:25:00;1,30;1,30;1,29;1,30;4.913,00;3.800
HAGA4;12/06/2023;11:20:00;1,29;1,31;1,29;1,31;3.118,00;2.400
HAGA4;12/06/2023;11:10:00;1,29;1,29;1,29;1,29;774,00;600
HAGA4;12/06/2023;10:40:00;1,25;1,25;1,25;1,25;2.625,00;2.100
HAGA4;12/06/2023;10:15:00;1,24;1,24;1,24;1,24;124,00;100
HAGA4;12/06/2023;10:00:00;1,25;1,25;1,25;1,25;125,00;100
HAGA4;09/06/2023;17:30:00;1,26;1,26;1,26;1,26;630,00;500
HAGA4;09/06/2023;16:35:00;1,26;1,27;1,25;1,25;2.020,00;1.600
HAGA4;09/06/2023;16:30:00;1,25;1,25;1,24;1,24;1.241,00;1.000
HAGA4;09/06/2023;16:20:00;1,24;1,24;1,24;1,24;124,00;100
HAGA4;09/06/2023;16:10:00;1,27;1,27;1,27;1,27;127,00;100
HAGA4;09/06/2023;16:05:00;1,27;1,27;1,27;1,27;127,00;100
HAGA4;09/06/2023;16:00:00;1,26;1,26;1,26;1,26;252,00;200
HAGA4;09/06/2023;15:15:00;1,26;1,27;1,26;1,27;506,00;400
HAGA4;09/06/2023;15:00:00;1,24;1,24;1,24;1,24;248,00;200
HAGA4;09/06/2023;14:55:00;1,27;1,27;1,25;1,25;8.525,00;6.800
HAGA4;09/06/2023;14:20:00;1,28;1,28;1,28;1,28;256,00;200
HAGA4;09/06/2023;14:15:00;1,26;1,28;1,26;1,28;254,00;200
HAGA4;09/06/2023;13:50:00;1,27;1,29;1,27;1,29;512,00;400
HAGA4;09/06/2023;13:40:00;1,29;1,29;1,29;1,29;1.161,00;900
HAGA4;09/06/2023;13:35:00;1,29;1,29;1,29;1,29;774,00;600
HAGA4;09/06/2023;13:05:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;09/06/2023;13:00:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;09/06/2023;12:50:00;1,28;1,29;1,28;1,29;386,00;300
HAGA4;09/06/2023;12:25:00;1,27;1,29;1,27;1,29;512,00;400
HAGA4;09/06/2023;12:15:00;1,27;1,27;1,26;1,26;10.032,00;7.900
HAGA4;09/06/2023;12:10:00;1,27;1,27;1,27;1,27;1.270,00;1.000
HAGA4;09/06/2023;12:05:00;1,27;1,27;1,27;1,27;2.540,00;2.000
HAGA4;09/06/2023;11:55:00;1,27;1,27;1,27;1,27;2.540,00;2.000
HAGA4;09/06/2023;11:50:00;1,29;1,29;1,29;1,29;129,00;100
HAGA4;09/06/2023;11:35:00;1,28;1,28;1,26;1,26;2.540,00;2.000
HAGA4;09/06/2023;11:30:00;1,28;1,28;1,28;1,28;384,00;300
HAGA4;09/06/2023;11:25:00;1,28;1,28;1,28;1,28;256,00;200
HAGA4;09/06/2023;11:15:00;1,28;1,29;1,28;1,29;1.285,00;1.000
HAGA4;09/06/2023;11:10:00;1,28;1,29;1,28;1,29;1.543,00;1.200
HAGA4;09/06/2023;11:05:00;1,26;1,26;1,26;1,26;3.780,00;3.000
HAGA4;09/06/2023;11:00:00;1,26;1,26;1,26;1,26;4.788,00;3.800
HAGA4;09/06/2023;10:55:00;1,29;1,29;1,29;1,29;2.580,00;2.000
HAGA4;09/06/2023;10:50:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;09/06/2023;10:40:00;1,30;1,30;1,30;1,30;130,00;100
HAGA4;09/06/2023;10:35:00;1,27;1,27;1,26;1,26;631,00;500
HAGA4;09/06/2023;10:30:00;1,25;1,28;1,25;1,26;3.259,00;2.600
HAGA4;09/06/2023;10:25:00;1,30;1,30;1,26;1,28;7.512,00;5.800
HAGA4;09/06/2023;10:20:00;1,30;1,30;1,25;1,30;1.512,00;1.200
HAGA4;09/06/2023;10:15:00;1,31;1,31;1,31;1,31;524,00;400
HAGA4;09/06/2023;10:10:00;1,35;1,35;1,31;1,31;2.419,00;1.800
HAGA4;09/06/2023;10:05:00;1,32;1,36;1,31;1,36;31.800,00;23.800
HAGA4;07/06/2023;17:30:00;1,24;1,24;1,23;1,23;6.775,00;5.500
HAGA4;07/06/2023;16:50:00;1,25;1,25;1,22;1,22;7.350,00;6.000
HAGA4;07/06/2023;16:45:00;1,24;1,25;1,24;1,25;6.598,00;5.300
HAGA4;07/06/2023;16:40:00;1,24;1,24;1,24;1,24;372,00;300
HAGA4;07/06/2023;16:35:00;1,23;1,23;1,23;1,23;984,00;800
HAGA4;07/06/2023;16:30:00;1,23;1,23;1,23;1,23;123,00;100
HAGA4;07/06/2023;16:25:00;1,22;1,22;1,22;1,22;122,00;100
HAGA4;07/06/2023;16:15:00;1,21;1,22;1,21;1,22;3.994,00;3.300
HAGA4;07/06/2023;15:55:00;1,26;1,26;1,21;1,21;14.613,00;12.000
HAGA4;07/06/2023;15:50:00;1,26;1,26;1,26;1,26;126,00;100
HAGA4;07/06/2023;15:45:00;1,24;1,24;1,23;1,24;7.138,00;5.800
HAGA4;07/06/2023;15:40:00;1,26;1,26;1,26;1,26;252,00;200
HAGA4;07/06/2023;15:35:00;1,27;1,27;1,26;1,26;2.666,00;2.100
HAGA4;07/06/2023;15:30:00;1,25;1,27;1,25;1,27;627,00;500
HAGA4;07/06/2023;15:25:00;1,25;1,25;1,25;1,25;5.750,00;4.600
HAGA4;07/06/2023;15:20:00;1,25;1,25;1,25;1,25;8.750,00;7.000
HAGA4;07/06/2023;15:05:00;1,25;1,27;1,25;1,27;2.005,00;1.600
HAGA4;07/06/2023;14:55:00;1,24;1,25;1,24;1,25;249,00;200
HAGA4;07/06/2023;14:50:00;1,24;1,24;1,21;1,21;17.670,00;14.400
HAGA4;07/06/2023;14:40:00;1,26;1,27;1,23;1,27;1.001,00;800
HAGA4;07/06/2023;14:35:00;1,24;1,24;1,24;1,24;1.240,00;1.000
HAGA4;07/06/2023;14:30:00;1,25;1,25;1,24;1,24;7.445,00;6.000
HAGA4;07/06/2023;14:25:00;1,27;1,27;1,26;1,26;761,00;600
HAGA4;07/06/2023;14:05:00;1,29;1,29;1,29;1,29;258,00;200
HAGA4;07/06/2023;14:00:00;1,27;1,29;1,27;1,29;514,00;400
HAGA4;07/06/2023;13:50:00;1,27;1,27;1,27;1,27;1.524,00;1.200
HAGA4;07/06/2023;13:45:00;1,23;1,23;1,23;1,23;123,00;100
HAGA4;07/06/2023;13:40:00;1,27;1,27;1,27;1,27;127,00;100
HAGA4;07/06/2023;13:35:00;1,26;1,26;1,23;1,23;6.211,00;5.000
HAGA4;07/06/2023;13:30:00;1,29;1,29;1,22;1,26;31.572,00;25.400
HAGA4;07/06/2023;13:25:00;1,30;1,32;1,29;1,32;1.433,00;1.100
HAGA4;07/06/2023;13:20:00;1,30;1,30;1,30;1,30;3.640,00;2.800
HAGA4;07/06/2023;13:15:00;1,30;1,30;1,30;1,30;520,00;400
HAGA4;07/06/2023;13:10:00;1,27;1,30;1,27;1,30;7.323,00;5.700
HAGA4;07/06/2023;13:05:00;1,34;1,34;1,29;1,29;41.285,00;31.000
HAGA4;07/06/2023;12:50:00;1,33;1,33;1,33;1,33;665,00;500
HAGA4;07/06/2023;12:45:00;1,33;1,33;1,32;1,33;797,00;600
HAGA4;07/06/2023;12:40:00;1,31;1,33;1,31;1,33;30.691,00;23.200
HAGA4;07/06/2023;12:35:00;1,27;1,31;1,27;1,31;7.528,00;5.800
HAGA4;07/06/2023;12:30:00;1,24;1,27;1,24;1,27;18.799,00;15.000
HAGA4;07/06/2023;12:20:00;1,21;1,24;1,21;1,22;2.303,00;1.900
HAGA4;07/06/2023;12:15:00;1,24;1,24;1,21;1,21;52.314,00;42.200
HAGA4;07/06/2023;12:10:00;1,21;1,25;1,21;1,25;38.296,00;31.600
HAGA4;07/06/2023;12:00:00;1,18;1,19;1,18;1,19;7.118,00;6.000
HAGA4;07/06/2023;11:55:00;1,16;1,17;1,16;1,17;3.373,00;2.900
HAGA4;07/06/2023;11:50:00;1,17;1,17;1,16;1,16;1.045,00;900
HAGA4;07/06/2023;11:40:00;1,19;1,19;1,19;1,19;1.190,00;1.000
HAGA4;07/06/2023;11:35:00;1,16;1,19;1,16;1,19;11.106,00;9.500
HAGA4;07/06/2023;11:30:00;1,16;1,16;1,15;1,16;1.152,00;1.000
HAGA4;07/06/2023;11:20:00;1,16;1,16;1,16;1,16;116,00;100
HAGA4;07/06/2023;11:15:00;1,16;1,16;1,16;1,16;116,00;100
HAGA4;07/06/2023;11:10:00;1,15;1,15;1,15;1,15;1.150,00;1.000
HAGA4;07/06/2023;11:05:00;1,14;1,14;1,14;1,14;228,00;200
HAGA4;07/06/2023;11:00:00;1,15;1,15;1,15;1,15;6.325,00;5.500
HAGA4;07/06/2023;10:55:00;1,16;1,16;1,16;1,16;580,00;500
HAGA4;07/06/2023;10:50:00;1,16;1,18;1,16;1,16;7.082,00;6.100
HAGA4;07/06/2023;10:45:00;1,18;1,18;1,16;1,16;2.943,00;2.500
HAGA4;07/06/2023;10:40:00;1,16;1,18;1,16;1,18;932,00;800
HAGA4;07/06/2023;10:35:00;1,14;1,18;1,11;1,16;14.205,00;12.400
HAGA4;07/06/2023;10:30:00;1,15;1,15;1,15;1,15;230,00;200
HAGA4;07/06/2023;10:25:00;1,15;1,15;1,14;1,15;9.074,00;7.900
HAGA4;07/06/2023;10:20:00;1,11;1,14;1,11;1,14;50.596,00;44.800
HAGA4;07/06/2023;10:15:00;1,09;1,11;1,09;1,11;13.147,00;12.000
HAGA4;07/06/2023;10:00:00;1,09;1,09;1,09;1,09;109,00;100
HAGA4;06/06/2023;17:30:00;1,09;1,09;1,09;1,09;2.180,00;2.000
HAGA4;06/06/2023;16:50:00;1,08;1,09;1,07;1,09;8.933,00;8.200
HAGA4;06/06/2023;16:35:00;1,08;1,08;1,08;1,08;108,00;100
HAGA4;06/06/2023;16:15:00;1,07;1,07;1,07;1,07;2.996,00;2.800
HAGA4;06/06/2023;16:10:00;1,07;1,07;1,07;1,07;107,00;100
HAGA4;06/06/2023;15:50:00;1,06;1,06;1,06;1,06;106,00;100
HAGA4;06/06/2023;15:25:00;1,07;1,07;1,07;1,07;2.140,00;2.000
HAGA4;06/06/2023;15:10:00;1,07;1,07;1,07;1,07;214,00;200
HAGA4;06/06/2023;15:05:00;1,07;1,07;1,07;1,07;107,00;100
HAGA4;06/06/2023;15:00:00;1,06;1,07;1,06;1,07;13.039,00;12.300
HAGA4;06/06/2023;14:45:00;1,04;1,04;1,04;1,04;416,00;400
HAGA4;06/06/2023;14:40:00;1,06;1,06;1,06;1,06;106,00;100
HAGA4;06/06/2023;14:35:00;1,06;1,06;1,06;1,06;212,00;200
HAGA4;06/06/2023;14:20:00;1,06;1,06;1,06;1,06;106,00;100
HAGA4;06/06/2023;13:55:00;1,06;1,06;1,06;1,06;106,00;100
HAGA4;06/06/2023;13:35:00;1,05;1,05;1,05;1,05;315,00;300
HAGA4;06/06/2023;13:20:00;1,05;1,05;1,05;1,05;105,00;100
HAGA4;06/06/2023;12:55:00;1,04;1,04;1,04;1,04;104,00;100
HAGA4;06/06/2023;12:35:00;1,04;1,04;1,04;1,04;104,00;100
HAGA4;06/06/2023;11:15:00;1,05;1,06;1,05;1,06;211,00;200
HAGA4;06/06/2023;10:00:00;1,06;1,06;1,06;1,06;106,00;100
HAGA4;05/06/2023;16:45:00;1,04;1,05;1,04;1,05;625,00;600
HAGA4;05/06/2023;16:40:00;1,04;1,04;1,04;1,04;104,00;100
HAGA4;05/06/2023;16:30:00;1,02;1,02;1,02;1,02;102,00;100
HAGA4;05/06/2023;16:15:00;1,02;1,02;1,02;1,02;408,00;400
HAGA4;05/06/2023;14:45:00;1,04;1,04;1,04;1,04;312,00;300
HAGA4;05/06/2023;14:30:00;1,02;1,02;1,02;1,02;102,00;100
HAGA4;05/06/2023;13:20:00;1,04;1,05;1,04;1,05;4.603,00;4.400
