Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HAPV3;16/06/2023;17:30:00;4,35;4,36;4,34;4,36;1.065.733,00;245.000
HAPV3;16/06/2023;16:45:00;4,32;4,35;4,30;4,35;260.287.302,00;59.847.800
HAPV3;16/06/2023;16:40:00;4,30;4,32;4,29;4,31;12.649.765,00;2.938.200
HAPV3;16/06/2023;16:35:00;4,33;4,33;4,30;4,31;5.836.357,00;1.353.800
HAPV3;16/06/2023;16:30:00;4,31;4,33;4,31;4,32;6.838.846,00;1.584.100
HAPV3;16/06/2023;16:25:00;4,31;4,32;4,29;4,31;5.724.252,00;1.328.100
HAPV3;16/06/2023;16:20:00;4,30;4,31;4,30;4,31;3.660.631,00;850.400
HAPV3;16/06/2023;16:15:00;4,30;4,31;4,29;4,31;4.972.741,00;1.156.800
HAPV3;16/06/2023;16:10:00;4,35;4,35;4,29;4,30;12.916.763,00;2.992.800
HAPV3;16/06/2023;16:05:00;4,35;4,36;4,33;4,35;10.382.925,00;2.391.100
HAPV3;16/06/2023;16:00:00;4,38;4,38;4,35;4,35;6.734.681,00;1.542.300
HAPV3;16/06/2023;15:55:00;4,37;4,38;4,37;4,38;3.424.618,00;782.900
HAPV3;16/06/2023;15:50:00;4,38;4,39;4,37;4,38;4.772.837,00;1.088.700
HAPV3;16/06/2023;15:45:00;4,39;4,40;4,38;4,38;6.200.302,00;1.411.800
HAPV3;16/06/2023;15:40:00;4,37;4,40;4,37;4,39;5.264.112,00;1.198.400
HAPV3;16/06/2023;15:35:00;4,34;4,39;4,34;4,38;8.464.566,00;1.938.300
HAPV3;16/06/2023;15:30:00;4,35;4,35;4,34;4,34;4.639.902,00;1.067.200
HAPV3;16/06/2023;15:25:00;4,34;4,35;4,34;4,34;2.691.176,00;619.200
HAPV3;16/06/2023;15:20:00;4,35;4,35;4,34;4,35;4.896.827,00;1.126.400
HAPV3;16/06/2023;15:15:00;4,35;4,35;4,34;4,34;2.762.976,00;636.200
HAPV3;16/06/2023;15:10:00;4,34;4,35;4,33;4,35;2.467.886,00;568.400
HAPV3;16/06/2023;15:05:00;4,34;4,35;4,34;4,35;1.644.809,00;378.700
HAPV3;16/06/2023;15:00:00;4,34;4,35;4,33;4,34;3.718.296,00;856.700
HAPV3;16/06/2023;14:55:00;4,33;4,35;4,33;4,34;2.233.554,00;514.400
HAPV3;16/06/2023;14:50:00;4,33;4,35;4,32;4,33;3.726.456,00;859.300
HAPV3;16/06/2023;14:45:00;4,31;4,34;4,31;4,33;2.980.973,00;689.100
HAPV3;16/06/2023;14:40:00;4,31;4,32;4,31;4,31;3.805.937,00;882.100
HAPV3;16/06/2023;14:35:00;4,32;4,33;4,31;4,31;1.921.558,00;445.200
HAPV3;16/06/2023;14:30:00;4,32;4,33;4,31;4,32;3.186.427,00;737.800
HAPV3;16/06/2023;14:25:00;4,32;4,33;4,31;4,32;3.358.566,00;777.500
HAPV3;16/06/2023;14:20:00;4,33;4,34;4,32;4,32;2.515.682,00;581.400
HAPV3;16/06/2023;14:15:00;4,34;4,35;4,33;4,33;3.153.257,00;727.500
HAPV3;16/06/2023;14:10:00;4,33;4,35;4,33;4,35;3.455.012,00;795.300
HAPV3;16/06/2023;14:05:00;4,34;4,35;4,33;4,34;2.273.541,00;523.700
HAPV3;16/06/2023;14:00:00;4,36;4,36;4,34;4,34;1.466.729,00;337.000
HAPV3;16/06/2023;13:55:00;4,35;4,37;4,33;4,35;4.781.891,00;1.099.300
HAPV3;16/06/2023;13:50:00;4,35;4,36;4,34;4,34;2.420.903,00;556.600
HAPV3;16/06/2023;13:45:00;4,35;4,35;4,34;4,34;701.451,00;161.400
HAPV3;16/06/2023;13:40:00;4,33;4,35;4,32;4,34;2.900.705,00;668.800
HAPV3;16/06/2023;13:35:00;4,36;4,36;4,33;4,34;2.906.707,00;669.800
HAPV3;16/06/2023;13:30:00;4,36;4,37;4,34;4,36;2.954.496,00;678.300
HAPV3;16/06/2023;13:25:00;4,34;4,36;4,33;4,35;3.461.636,00;797.500
HAPV3;16/06/2023;13:20:00;4,34;4,35;4,34;4,34;4.166.462,00;959.800
HAPV3;16/06/2023;13:15:00;4,35;4,35;4,34;4,34;557.972,00;128.400
HAPV3;16/06/2023;13:10:00;4,34;4,35;4,34;4,34;525.462,00;120.900
HAPV3;16/06/2023;13:05:00;4,34;4,35;4,34;4,35;607.133,00;139.700
HAPV3;16/06/2023;13:00:00;4,35;4,35;4,34;4,35;890.139,00;204.700
HAPV3;16/06/2023;12:55:00;4,35;4,35;4,34;4,34;1.819.925,00;418.600
HAPV3;16/06/2023;12:50:00;4,35;4,36;4,34;4,35;2.432.559,00;559.400
HAPV3;16/06/2023;12:45:00;4,34;4,36;4,34;4,36;1.153.053,00;265.000
HAPV3;16/06/2023;12:40:00;4,34;4,36;4,34;4,35;2.884.751,00;662.600
HAPV3;16/06/2023;12:35:00;4,36;4,38;4,33;4,34;4.996.832,00;1.147.500
HAPV3;16/06/2023;12:30:00;4,36;4,37;4,35;4,37;1.142.396,00;261.900
HAPV3;16/06/2023;12:25:00;4,35;4,37;4,35;4,35;2.571.988,00;590.000
HAPV3;16/06/2023;12:20:00;4,37;4,39;4,35;4,35;7.756.913,00;1.776.100
HAPV3;16/06/2023;12:15:00;4,39;4,39;4,37;4,37;17.013.935,00;3.882.500
HAPV3;16/06/2023;12:10:00;4,40;4,40;4,38;4,38;906.052,00;206.500
HAPV3;16/06/2023;12:05:00;4,39;4,40;4,38;4,40;1.467.332,00;334.100
HAPV3;16/06/2023;12:00:00;4,39;4,39;4,38;4,38;2.434.892,00;554.800
HAPV3;16/06/2023;11:55:00;4,40;4,40;4,38;4,38;1.481.967,00;337.800
HAPV3;16/06/2023;11:50:00;4,40;4,41;4,39;4,40;1.102.404,00;250.600
HAPV3;16/06/2023;11:45:00;4,39;4,40;4,38;4,40;2.930.336,00;666.500
HAPV3;16/06/2023;11:40:00;4,40;4,41;4,38;4,39;2.729.248,00;621.200
HAPV3;16/06/2023;11:35:00;4,36;4,40;4,36;4,40;2.265.326,00;516.400
HAPV3;16/06/2023;11:30:00;4,43;4,43;4,36;4,37;10.611.304,00;2.412.800
HAPV3;16/06/2023;11:25:00;4,44;4,45;4,41;4,43;3.223.306,00;727.600
HAPV3;16/06/2023;11:20:00;4,46;4,46;4,44;4,44;1.816.576,00;408.300
HAPV3;16/06/2023;11:15:00;4,46;4,47;4,45;4,46;2.980.942,00;668.900
HAPV3;16/06/2023;11:10:00;4,44;4,46;4,43;4,46;2.694.073,00;605.800
HAPV3;16/06/2023;11:05:00;4,44;4,45;4,42;4,43;9.721.468,00;2.195.600
HAPV3;16/06/2023;11:00:00;4,42;4,44;4,41;4,44;8.297.112,00;1.874.900
HAPV3;16/06/2023;10:55:00;4,41;4,42;4,40;4,42;3.739.562,00;847.600
HAPV3;16/06/2023;10:50:00;4,38;4,41;4,38;4,41;3.150.461,00;715.900
HAPV3;16/06/2023;10:45:00;4,41;4,42;4,38;4,38;2.800.360,00;636.300
HAPV3;16/06/2023;10:40:00;4,41;4,42;4,40;4,41;2.962.921,00;672.200
HAPV3;16/06/2023;10:35:00;4,40;4,42;4,40;4,41;4.971.540,00;1.125.800
HAPV3;16/06/2023;10:30:00;4,42;4,42;4,40;4,41;7.819.680,00;1.775.200
HAPV3;16/06/2023;10:25:00;4,44;4,45;4,41;4,42;4.737.088,00;1.068.700
HAPV3;16/06/2023;10:20:00;4,43;4,46;4,43;4,44;4.712.815,00;1.060.200
HAPV3;16/06/2023;10:15:00;4,42;4,43;4,39;4,42;4.737.020,00;1.074.300
HAPV3;16/06/2023;10:10:00;4,41;4,42;4,38;4,41;5.615.467,00;1.276.400
HAPV3;16/06/2023;10:05:00;4,40;4,44;4,40;4,41;2.656.248,00;600.900
HAPV3;16/06/2023;10:00:00;4,44;4,45;4,39;4,40;1.329.666,00;300.500
HAPV3;15/06/2023;17:30:00;4,46;4,47;4,46;4,47;519.693,00;116.400
HAPV3;15/06/2023;16:50:00;4,44;4,51;4,43;4,46;55.227.411,00;12.358.200
HAPV3;15/06/2023;16:45:00;4,44;4,45;4,42;4,43;4.401.117,00;992.200
HAPV3;15/06/2023;16:40:00;4,44;4,46;4,44;4,44;4.581.653,00;1.029.300
HAPV3;15/06/2023;16:35:00;4,44;4,46;4,44;4,44;3.235.375,00;726.600
HAPV3;15/06/2023;16:30:00;4,45;4,46;4,43;4,44;7.707.676,00;1.734.000
HAPV3;15/06/2023;16:25:00;4,45;4,47;4,45;4,45;4.991.023,00;1.119.400
HAPV3;15/06/2023;16:20:00;4,45;4,47;4,43;4,45;7.976.441,00;1.791.700
HAPV3;15/06/2023;16:15:00;4,44;4,45;4,43;4,44;3.822.757,00;860.500
