Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HASH11;16/06/2023;17:30:00;21,25;21,34;21,25;21,34;222.031,32;10.437
HASH11;16/06/2023;16:45:00;21,25;21,25;21,13;21,13;312.981,22;14.802
HASH11;16/06/2023;16:40:00;21,29;21,29;21,23;21,23;10.479,59;493
HASH11;16/06/2023;16:35:00;21,25;21,28;21,25;21,28;178.964,70;8.417
HASH11;16/06/2023;16:30:00;21,25;21,25;21,23;21,25;58.691,76;2.762
HASH11;16/06/2023;16:25:00;21,27;21,28;21,24;21,25;67.190,72;3.161
HASH11;16/06/2023;16:20:00;21,28;21,28;21,27;21,27;2.340,27;110
HASH11;16/06/2023;16:15:00;21,23;21,30;21,21;21,28;37.516,55;1.763
HASH11;16/06/2023;16:10:00;21,24;21,26;21,20;21,23;68.366,66;3.221
HASH11;16/06/2023;16:05:00;21,30;21,30;21,24;21,24;8.719,80;410
HASH11;16/06/2023;16:00:00;21,28;21,30;21,27;21,29;31.095,85;1.461
HASH11;16/06/2023;15:55:00;21,26;21,29;21,26;21,28;47.956,16;2.254
HASH11;16/06/2023;15:50:00;21,30;21,31;21,25;21,25;52.295,44;2.459
HASH11;16/06/2023;15:45:00;21,30;21,32;21,30;21,31;23.411,40;1.099
HASH11;16/06/2023;15:40:00;21,30;21,32;21,30;21,32;9.463,24;444
HASH11;16/06/2023;15:35:00;21,25;21,30;21,25;21,27;8.720,62;410
HASH11;16/06/2023;15:30:00;21,28;21,28;21,23;21,24;21.551,31;1.014
HASH11;16/06/2023;15:25:00;21,29;21,30;21,24;21,26;53.077,45;2.497
HASH11;16/06/2023;15:20:00;21,33;21,33;21,30;21,30;3.963,67;186
HASH11;16/06/2023;15:15:00;21,28;21,33;21,27;21,33;584.354,25;27.418
HASH11;16/06/2023;15:10:00;21,27;21,28;21,24;21,26;78.713,07;3.702
HASH11;16/06/2023;15:05:00;21,27;21,30;21,26;21,27;153.393,58;7.211
HASH11;16/06/2023;15:00:00;21,26;21,27;21,22;21,27;147.357,88;6.933
HASH11;16/06/2023;14:55:00;21,27;21,27;21,26;21,27;101.908,95;4.792
HASH11;16/06/2023;14:50:00;21,25;21,27;21,25;21,27;127.974,60;6.017
HASH11;16/06/2023;14:45:00;21,24;21,27;21,22;21,23;51.408,47;2.419
HASH11;16/06/2023;14:40:00;21,25;21,25;21,21;21,24;14.733,91;694
HASH11;16/06/2023;14:35:00;21,24;21,27;21,23;21,26;124.267,89;5.843
HASH11;16/06/2023;14:30:00;21,18;21,26;21,17;21,24;213.315,11;10.057
HASH11;16/06/2023;14:25:00;21,17;21,19;21,15;21,19;156.531,40;7.394
HASH11;16/06/2023;14:20:00;21,14;21,20;21,14;21,17;158.109,97;7.467
HASH11;16/06/2023;14:15:00;21,09;21,13;21,09;21,12;40.450,27;1.917
HASH11;16/06/2023;14:10:00;21,10;21,10;21,05;21,08;17.933,45;851
HASH11;16/06/2023;14:05:00;21,05;21,10;21,05;21,10;34.065,23;1.616
HASH11;16/06/2023;14:00:00;21,04;21,05;21,03;21,05;56.575,02;2.688
HASH11;16/06/2023;13:55:00;21,01;21,05;21,01;21,04;6.835,25;325
HASH11;16/06/2023;13:50:00;20,99;21,00;20,99;21,00;23.555,93;1.122
HASH11;16/06/2023;13:45:00;20,98;21,02;20,98;20,98;14.528,12;692
HASH11;16/06/2023;13:40:00;20,97;21,00;20,97;20,99;12.971,02;618
HASH11;16/06/2023;13:35:00;20,96;20,99;20,95;20,99;14.597,27;696
HASH11;16/06/2023;13:30:00;20,97;20,97;20,95;20,97;13.227,49;631
HASH11;16/06/2023;13:25:00;21,00;21,00;20,96;20,96;3.126,19;149
HASH11;16/06/2023;13:20:00;21,01;21,01;20,98;21,01;2.624,13;125
HASH11;16/06/2023;13:15:00;20,96;21,00;20,95;21,00;223.984,88;10.678
HASH11;16/06/2023;13:10:00;20,98;20,98;20,97;20,98;15.166,54;723
HASH11;16/06/2023;13:05:00;20,98;20,98;20,95;20,96;45.950,15;2.191
HASH11;16/06/2023;13:00:00;21,00;21,01;20,94;20,94;23.003,63;1.097
HASH11;16/06/2023;12:55:00;20,90;21,01;20,84;21,01;208.171,87;9.942
HASH11;16/06/2023;12:50:00;20,87;20,90;20,87;20,90;11.900,15;570
HASH11;16/06/2023;12:45:00;20,89;20,90;20,87;20,87;20.829,68;997
HASH11;16/06/2023;12:40:00;20,89;20,90;20,86;20,89;26.543,99;1.271
HASH11;16/06/2023;12:35:00;20,89;20,90;20,86;20,87;13.148,15;630
HASH11;16/06/2023;12:30:00;20,90;20,90;20,87;20,89;28.661,03;1.372
HASH11;16/06/2023;12:25:00;20,86;20,92;20,86;20,89;91.690,12;4.387
HASH11;16/06/2023;12:20:00;20,88;20,90;20,86;20,86;62.503,63;2.993
HASH11;16/06/2023;12:15:00;20,89;20,90;20,84;20,87;125.184,24;6.003
HASH11;16/06/2023;12:10:00;20,87;20,90;20,85;20,89;28.116,14;1.346
HASH11;16/06/2023;12:05:00;20,86;20,90;20,82;20,86;70.700,19;3.388
HASH11;16/06/2023;12:00:00;20,86;20,90;20,79;20,84;53.176,64;2.550
HASH11;16/06/2023;11:55:00;20,65;20,88;20,65;20,83;93.591,99;4.517
HASH11;16/06/2023;11:50:00;20,63;20,69;20,63;20,67;1.072.798,48;51.903
HASH11;16/06/2023;11:45:00;20,83;20,84;20,64;20,64;184.314,14;8.887
HASH11;16/06/2023;11:40:00;20,80;20,83;20,80;20,82;33.392,23;1.604
HASH11;16/06/2023;11:35:00;20,83;20,83;20,79;20,81;29.583,02;1.422
HASH11;16/06/2023;11:30:00;20,83;20,85;20,82;20,82;16.937,53;813
HASH11;16/06/2023;11:25:00;20,83;20,84;20,82;20,82;10.225,82;491
HASH11;16/06/2023;11:20:00;20,83;20,85;20,80;20,80;47.430,69;2.278
HASH11;16/06/2023;11:15:00;20,82;20,84;20,82;20,84;7.853,26;377
HASH11;16/06/2023;11:10:00;20,85;20,86;20,80;20,82;80.169,87;3.847
HASH11;16/06/2023;11:05:00;20,86;20,87;20,79;20,82;81.035,38;3.891
HASH11;16/06/2023;11:00:00;20,78;20,87;20,78;20,87;256.452,94;12.338
HASH11;16/06/2023;10:55:00;20,79;20,79;20,75;20,78;87.780,59;4.225
HASH11;16/06/2023;10:50:00;20,83;20,84;20,79;20,79;21.921,24;1.053
HASH11;16/06/2023;10:45:00;20,83;20,84;20,81;20,82;46.644,76;2.240
HASH11;16/06/2023;10:40:00;20,83;20,85;20,82;20,83;181.087,08;8.691
HASH11;16/06/2023;10:35:00;20,87;20,87;20,81;20,84;104.361,25;5.005
HASH11;16/06/2023;10:30:00;20,91;20,91;20,86;20,86;157.195,00;7.531
HASH11;16/06/2023;10:25:00;20,88;20,94;20,88;20,92;144.022,79;6.880
HASH11;16/06/2023;10:20:00;20,89;20,89;20,85;20,85;18.289,76;877
HASH11;16/06/2023;10:15:00;20,87;20,90;20,81;20,89;73.627,47;3.528
HASH11;16/06/2023;10:10:00;20,78;20,88;20,75;20,87;78.557,20;3.769
HASH11;16/06/2023;10:05:00;20,83;20,83;20,66;20,78;116.988,84;5.646
HASH11;15/06/2023;17:30:00;20,90;20,93;20,85;20,85;128.654,76;6.168
HASH11;15/06/2023;16:50:00;20,85;20,94;20,80;20,90;1.916.655,13;91.750
HASH11;15/06/2023;16:45:00;20,85;20,85;20,83;20,85;67.899,28;3.257
HASH11;15/06/2023;16:40:00;20,88;20,88;20,84;20,84;43.614,30;2.091
HASH11;15/06/2023;16:35:00;20,87;20,88;20,79;20,86;167.919,87;8.057
HASH11;15/06/2023;16:30:00;20,73;20,87;20,72;20,87;192.322,73;9.236
HASH11;15/06/2023;16:25:00;20,73;20,76;20,73;20,76;39.445,99;1.902
HASH11;15/06/2023;16:20:00;20,73;20,78;20,72;20,75;37.869,42;1.826
HASH11;15/06/2023;16:15:00;20,84;20,85;20,71;20,75;90.464,98;4.359
HASH11;15/06/2023;16:10:00;20,84;20,85;20,82;20,85;65.308,28;3.134
HASH11;15/06/2023;16:05:00;20,77;20,84;20,77;20,84;44.711,52;2.148
HASH11;15/06/2023;16:00:00;20,68;20,80;20,68;20,79;196.793,83;9.488
HASH11;15/06/2023;15:55:00;20,67;20,69;20,64;20,68;53.573,43;2.593
HASH11;15/06/2023;15:50:00;20,48;20,70;20,45;20,67;256.996,87;12.485
HASH11;15/06/2023;15:45:00;20,42;20,48;20,38;20,48;128.763,83;6.302
HASH11;15/06/2023;15:40:00;20,53;20,56;20,40;20,42;279.384,66;13.668
HASH11;15/06/2023;15:35:00;20,56;20,57;20,47;20,56;494.593,07;24.116
HASH11;15/06/2023;15:30:00;20,57;20,57;20,57;20,57;24.601,72;1.196
HASH11;15/06/2023;15:25:00;20,56;20,58;20,56;20,58;19.113,25;929
HASH11;15/06/2023;15:20:00;20,56;20,59;20,56;20,57;13.865,12;674
HASH11;15/06/2023;15:15:00;20,58;20,59;20,56;20,58;45.601,23;2.215
HASH11;15/06/2023;15:10:00;20,59;20,59;20,56;20,59;298.404,96;14.493
HASH11;15/06/2023;15:05:00;20,59;20,59;20,57;20,59;81.694,48;3.968
HASH11;15/06/2023;15:00:00;20,62;20,62;20,58;20,60;122.705,12;5.952
HASH11;15/06/2023;14:55:00;20,62;20,62;20,61;20,62;66.478,27;3.224
HASH11;15/06/2023;14:50:00;20,64;20,64;20,61;20,62;41.509,47;2.012
HASH11;15/06/2023;14:45:00;20,64;20,64;20,62;20,64;97.231,85;4.713
HASH11;15/06/2023;14:40:00;20,62;20,65;20,59;20,64;61.197,60;2.970
HASH11;15/06/2023;14:35:00;20,63;20,64;20,55;20,62;160.183,22;7.777
HASH11;15/06/2023;14:30:00;20,63;20,63;20,61;20,63;18.730,31;908
HASH11;15/06/2023;14:25:00;20,63;20,63;20,60;20,63;35.664,73;1.730
HASH11;15/06/2023;14:20:00;20,63;20,63;20,61;20,63;224.881,33;10.911
HASH11;15/06/2023;14:15:00;20,60;20,65;20,60;20,63;16.131,75;782
HASH11;15/06/2023;14:10:00;20,60;20,62;20,57;20,62;25.479,71;1.237
HASH11;15/06/2023;14:05:00;20,62;20,65;20,59;20,60;59.674,64;2.893
HASH11;15/06/2023;14:00:00;20,61;20,62;20,58;20,61;20.640,16;1.002
HASH11;15/06/2023;13:55:00;20,47;20,61;20,47;20,61;145.305,45;7.075
HASH11;15/06/2023;13:50:00;20,69;20,70;20,45;20,47;1.048.583,10;51.080
HASH11;15/06/2023;13:45:00;20,78;20,80;20,51;20,67;984.970,46;47.717
HASH11;15/06/2023;13:40:00;20,79;20,83;20,78;20,79;61.080,15;2.936
HASH11;15/06/2023;13:35:00;20,78;20,80;20,76;20,80;30.639,37;1.474
HASH11;15/06/2023;13:30:00;20,77;20,79;20,75;20,78;45.096,65;2.171
HASH11;15/06/2023;13:25:00;20,73;20,79;20,72;20,78;71.706,73;3.454
HASH11;15/06/2023;13:20:00;20,72;20,74;20,71;20,73;19.354,14;934
HASH11;15/06/2023;13:15:00;20,72;20,73;20,70;20,72;25.209,48;1.217
HASH11;15/06/2023;13:10:00;20,73;20,73;20,69;20,72;26.521,85;1.281
HASH11;15/06/2023;13:05:00;20,70;20,73;20,68;20,73;24.719,07;1.194
HASH11;15/06/2023;13:00:00;20,65;20,70;20,63;20,68;71.751,10;3.473
HASH11;15/06/2023;12:55:00;20,77;20,77;20,55;20,65;1.136.425,97;55.171
HASH11;15/06/2023;12:50:00;20,77;20,77;20,75;20,77;33.323,14;1.605
HASH11;15/06/2023;12:45:00;20,76;20,77;20,72;20,77;39.030,64;1.881
HASH11;15/06/2023;12:40:00;20,79;20,79;20,69;20,75;174.624,26;8.421
HASH11;15/06/2023;12:35:00;20,93;20,95;20,70;20,79;1.082.627,03;52.027
HASH11;15/06/2023;12:30:00;20,97;20,97;20,91;20,95;68.266,40;3.260
HASH11;15/06/2023;12:25:00;20,95;20,97;20,92;20,96;6.350,03;303
HASH11;15/06/2023;12:20:00;20,97;20,97;20,92;20,92;111.329,62;5.313
HASH11;15/06/2023;12:15:00;21,00;21,01;20,96;20,97;12.191,26;581
HASH11;15/06/2023;12:10:00;21,03;21,03;20,98;21,00;116.781,22;5.563
HASH11;15/06/2023;12:05:00;20,98;21,00;20,98;21,00;89.290,86;4.253
HASH11;15/06/2023;12:00:00;20,99;21,00;20,98;20,98;11.524,50;549
HASH11;15/06/2023;11:55:00;20,98;21,02;20,98;20,99;93.095,19;4.433
HASH11;15/06/2023;11:50:00;21,03;21,03;20,97;20,99;391.229,15;18.617
HASH11;15/06/2023;11:45:00;21,05;21,07;21,02;21,03;106.226,21;5.049
HASH11;15/06/2023;11:40:00;20,97;21,05;20,97;21,03;21.734,94;1.034
HASH11;15/06/2023;11:35:00;20,98;21,00;20,98;20,98;17.571,79;837
HASH11;15/06/2023;11:30:00;21,00;21,00;20,94;20,95;19.937,91;951
HASH11;15/06/2023;11:25:00;20,91;21,00;20,87;21,00;200.249,67;9.566
HASH11;15/06/2023;11:20:00;20,93;20,95;20,90;20,91;137.956,35;6.590
HASH11;15/06/2023;11:15:00;20,91;20,94;20,90;20,93;80.344,32;3.841
HASH11;15/06/2023;11:10:00;20,91;20,91;20,86;20,91;74.884,10;3.586
HASH11;15/06/2023;11:05:00;20,88;20,92;20,87;20,89;81.625,82;3.908
HASH11;15/06/2023;11:00:00;20,89;20,92;20,87;20,90;70.153,28;3.357
HASH11;15/06/2023;10:55:00;20,94;20,96;20,89;20,89;689.032,22;32.949
HASH11;15/06/2023;10:50:00;20,94;20,95;20,91;20,94;51.754,11;2.473
HASH11;15/06/2023;10:45:00;20,93;20,98;20,93;20,95;56.253,51;2.685
HASH11;15/06/2023;10:40:00;20,86;20,95;20,86;20,95;215.903,38;10.335
HASH11;15/06/2023;10:35:00;20,85;20,90;20,81;20,86;174.401,14;8.365
HASH11;15/06/2023;10:30:00;20,82;20,84;20,78;20,84;52.825,59;2.539
HASH11;15/06/2023;10:25:00;20,84;20,85;20,78;20,82;45.071,85;2.166
HASH11;15/06/2023;10:20:00;20,80;20,92;20,80;20,84;153.860,36;7.383
HASH11;15/06/2023;10:15:00;20,75;20,77;20,73;20,77;375.727,90;18.115
HASH11;15/06/2023;10:10:00;20,75;20,77;20,63;20,72;376.648,38;18.207
HASH11;15/06/2023;10:05:00;20,74;20,80;20,70;20,78;292.217,93;14.086
HASH11;14/06/2023;17:30:00;21,26;21,28;20,85;20,85;620.208,91;29.452
HASH11;14/06/2023;16:50:00;21,28;21,34;21,26;21,26;430.410,44;20.240
HASH11;14/06/2023;16:45:00;21,30;21,30;21,26;21,26;60.181,37;2.829
HASH11;14/06/2023;16:40:00;21,30;21,30;21,28;21,30;29.069,20;1.366
HASH11;14/06/2023;16:35:00;21,31;21,32;21,28;21,28;7.031,12;330
HASH11;14/06/2023;16:30:00;21,28;21,31;21,28;21,31;61.271,24;2.879
HASH11;14/06/2023;16:25:00;21,30;21,30;21,28;21,28;12.773,24;600
HASH11;14/06/2023;16:20:00;21,31;21,32;21,31;21,31;5.732,40;269
HASH11;14/06/2023;16:15:00;21,28;21,30;21,26;21,30;160.053,55;7.520
HASH11;14/06/2023;16:10:00;21,34;21,34;21,29;21,29;1.471,75;69
HASH11;14/06/2023;16:05:00;21,32;21,34;21,32;21,34;30.240,11;1.418
HASH11;14/06/2023;16:00:00;21,29;21,32;21,28;21,32;34.290,39;1.610
HASH11;14/06/2023;15:55:00;21,31;21,31;21,28;21,29;10.412,02;489
HASH11;14/06/2023;15:50:00;21,32;21,32;21,28;21,29;11.711,04;550
HASH11;14/06/2023;15:45:00;21,35;21,35;21,30;21,32;27.099,32;1.271
HASH11;14/06/2023;15:40:00;21,32;21,37;21,30;21,32;80.822,55;3.794
HASH11;14/06/2023;15:35:00;21,31;21,34;21,31;21,31;11.724,57;550
HASH11;14/06/2023;15:30:00;21,29;21,29;21,29;21,29;4.343,16;204
HASH11;14/06/2023;15:25:00;21,31;21,31;21,29;21,29;149,15;7
HASH11;14/06/2023;15:20:00;21,32;21,32;21,29;21,29;38.057,73;1.786
HASH11;14/06/2023;15:15:00;21,29;21,36;21,28;21,34;193.423,53;9.083
HASH11;14/06/2023;15:10:00;21,33;21,34;21,30;21,30;36.338,55;1.705
HASH11;14/06/2023;15:05:00;21,34;21,34;21,30;21,34;37.806,13;1.774
HASH11;14/06/2023;15:00:00;21,33;21,35;21,32;21,32;130.990,98;6.143
HASH11;14/06/2023;14:55:00;21,34;21,37;21,32;21,34;7.683,20;360
HASH11;14/06/2023;14:50:00;21,31;21,36;21,31;21,32;95.244,86;4.463
HASH11;14/06/2023;14:45:00;21,31;21,32;21,31;21,31;9.717,48;456
HASH11;14/06/2023;14:40:00;21,33;21,33;21,31;21,33;3.794,69;178
HASH11;14/06/2023;14:35:00;21,31;21,32;21,30;21,32;23.966,02;1.125
HASH11;14/06/2023;14:30:00;21,31;21,34;21,30;21,34;53.783,30;2.524
HASH11;14/06/2023;14:25:00;21,27;21,31;21,27;21,31;34.088,32;1.601
HASH11;14/06/2023;14:20:00;21,28;21,29;21,25;21,29;51.158,52;2.406
HASH11;14/06/2023;14:15:00;21,31;21,31;21,28;21,29;8.238,70;387
HASH11;14/06/2023;14:10:00;21,33;21,33;21,29;21,29;11.524,73;541
HASH11;14/06/2023;14:05:00;21,31;21,33;21,31;21,33;12.091,81;567
HASH11;14/06/2023;14:00:00;21,32;21,32;21,30;21,30;140.464,99;6.592
HASH11;14/06/2023;13:55:00;21,33;21,33;21,32;21,32;12.347,08;579
HASH11;14/06/2023;13:50:00;21,33;21,34;21,33;21,34;4.288,73;201
HASH11;14/06/2023;13:45:00;21,34;21,35;21,33;21,33;11.096,90;520
HASH11;14/06/2023;13:40:00;21,31;21,34;21,31;21,34;23.384,84;1.096
HASH11;14/06/2023;13:35:00;21,37;21,37;21,26;21,32;464.507,44;21.813
HASH11;14/06/2023;13:30:00;21,37;21,37;21,36;21,37;35.574,07;1.665
HASH11;14/06/2023;13:25:00;21,37;21,37;21,35;21,37;21.710,10;1.016
HASH11;14/06/2023;13:20:00;21,37;21,38;21,35;21,36;30.965,61;1.449
HASH11;14/06/2023;13:15:00;21,38;21,39;21,37;21,37;13.254,49;620
HASH11;14/06/2023;13:10:00;21,39;21,39;21,38;21,39;28.597,63;1.337
HASH11;14/06/2023;13:05:00;21,37;21,39;21,37;21,38;6.801,18;318
HASH11;14/06/2023;13:00:00;21,39;21,39;21,38;21,38;26.287,02;1.229
HASH11;14/06/2023;12:55:00;21,42;21,42;21,38;21,39;258.790,58;12.097
HASH11;14/06/2023;12:50:00;21,45;21,45;21,41;21,42;102.026,45;4.763
HASH11;14/06/2023;12:45:00;21,47;21,47;21,44;21,46;47.074,49;2.194
HASH11;14/06/2023;12:40:00;21,49;21,49;21,46;21,48;39.079,69;1.820
HASH11;14/06/2023;12:35:00;21,50;21,50;21,48;21,48;10.937,01;509
HASH11;14/06/2023;12:30:00;21,50;21,50;21,50;21,50;150,50;7
HASH11;14/06/2023;12:25:00;21,50;21,50;21,48;21,50;22.180,76;1.032
HASH11;14/06/2023;12:20:00;21,52;21,52;21,50;21,50;10.730,82;499
HASH11;14/06/2023;12:15:00;21,56;21,56;21,50;21,53;62.510,04;2.904
HASH11;14/06/2023;12:10:00;21,56;21,57;21,55;21,55;115.999,67;5.378
HASH11;14/06/2023;12:05:00;21,57;21,57;21,55;21,57;11.120,52;516
HASH11;14/06/2023;12:00:00;21,59;21,59;21,56;21,56;22.195,95;1.029
HASH11;14/06/2023;11:55:00;21,58;21,59;21,57;21,59;3.172,34;147
HASH11;14/06/2023;11:50:00;21,58;21,59;21,57;21,59;10.876,40;504
HASH11;14/06/2023;11:45:00;21,53;21,60;21,52;21,59;116.468,89;5.403
HASH11;14/06/2023;11:40:00;21,54;21,54;21,52;21,53;6.717,43;312
HASH11;14/06/2023;11:35:00;21,52;21,53;21,50;21,53;27.223,36;1.265
HASH11;14/06/2023;11:30:00;21,52;21,54;21,50;21,50;212.388,25;9.877
HASH11;14/06/2023;11:25:00;21,54;21,54;21,50;21,52;81.724,67;3.798
HASH11;14/06/2023;11:20:00;21,53;21,55;21,53;21,55;17.749,80;824
HASH11;14/06/2023;11:15:00;21,51;21,55;21,51;21,55;26.994,14;1.253
HASH11;14/06/2023;11:10:00;21,47;21,50;21,46;21,50;33.051,85;1.538
HASH11;14/06/2023;11:05:00;21,44;21,47;21,44;21,46;10.019,99;467
HASH11;14/06/2023;11:00:00;21,45;21,46;21,44;21,46;2.723,54;127
HASH11;14/06/2023;10:55:00;21,40;21,40;21,39;21,40;37.824,99;1.768
HASH11;14/06/2023;10:50:00;21,40;21,42;21,38;21,40;138.733,58;6.487
HASH11;14/06/2023;10:45:00;21,47;21,47;21,40;21,40;87.878,52;4.102
HASH11;14/06/2023;10:40:00;21,48;21,48;21,43;21,43;19.241,95;897
HASH11;14/06/2023;10:35:00;21,35;21,48;21,34;21,44;171.536,35;8.007
HASH11;14/06/2023;10:30:00;21,34;21,36;21,33;21,35;85.579,84;4.011
HASH11;14/06/2023;10:25:00;21,35;21,35;21,32;21,35;4.182,22;196
HASH11;14/06/2023;10:20:00;21,31;21,35;21,31;21,32;12.220,23;573
HASH11;14/06/2023;10:15:00;21,35;21,36;21,31;21,31;11.864,06;556
HASH11;14/06/2023;10:10:00;21,35;21,36;21,30;21,35;19.482,70;913
HASH11;14/06/2023;10:05:00;21,40;21,49;21,30;21,35;62.968,88;2.943
HASH11;13/06/2023;17:30:00;21,28;21,38;21,28;21,38;62.804,87;2.945
HASH11;13/06/2023;16:50:00;21,43;21,45;21,28;21,28;370.563,59;17.393
HASH11;13/06/2023;16:45:00;21,44;21,44;21,42;21,44;35.261,27;1.645
HASH11;13/06/2023;16:40:00;21,44;21,44;21,42;21,44;19.567,88;913
HASH11;13/06/2023;16:35:00;21,44;21,44;21,41;21,44;15.596,76;728
HASH11;13/06/2023;16:30:00;21,41;21,43;21,40;21,43;15.866,42;741
HASH11;13/06/2023;16:25:00;21,38;21,42;21,38;21,40;82.023,82;3.833
HASH11;13/06/2023;16:20:00;21,43;21,43;21,40;21,40;710.333,87;33.170
HASH11;13/06/2023;16:15:00;21,40;21,42;21,39;21,40;160.884,39;7.518
HASH11;13/06/2023;16:10:00;21,39;21,40;21,39;21,40;6.825,29;319
HASH11;13/06/2023;16:05:00;21,39;21,39;21,38;21,39;8.833,75;413
HASH11;13/06/2023;16:00:00;21,39;21,39;21,36;21,38;37.039,07;1.733
HASH11;13/06/2023;15:55:00;21,38;21,40;21,37;21,39;18.286,86;855
HASH11;13/06/2023;15:50:00;21,39;21,40;21,38;21,38;77.072,80;3.602
HASH11;13/06/2023;15:45:00;21,42;21,43;21,39;21,39;45.541,66;2.128
HASH11;13/06/2023;15:40:00;21,33;21,47;21,31;21,40;508.259,15;23.743
