Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HBOR3;16/06/2023;17:30:00;3,32;3,32;3,32;3,32;4.980,00;1.500
HBOR3;16/06/2023;16:45:00;3,29;3,32;3,28;3,32;101.891,00;30.700
HBOR3;16/06/2023;16:40:00;3,30;3,30;3,28;3,28;25.982,00;7.900
HBOR3;16/06/2023;16:30:00;3,29;3,29;3,28;3,29;20.068,00;6.100
HBOR3;16/06/2023;16:25:00;3,29;3,29;3,29;3,29;10.857,00;3.300
HBOR3;16/06/2023;16:20:00;3,30;3,30;3,29;3,29;2.965,00;900
HBOR3;16/06/2023;16:15:00;3,29;3,30;3,29;3,30;81.924,00;24.900
HBOR3;16/06/2023;16:10:00;3,29;3,29;3,28;3,28;8.222,00;2.500
HBOR3;16/06/2023;16:05:00;3,29;3,29;3,28;3,29;1.644,00;500
HBOR3;16/06/2023;16:00:00;3,28;3,28;3,28;3,28;656,00;200
HBOR3;16/06/2023;15:55:00;3,27;3,28;3,27;3,27;27.861,00;8.500
HBOR3;16/06/2023;15:50:00;3,28;3,29;3,27;3,27;79.061,00;24.100
HBOR3;16/06/2023;15:45:00;3,29;3,29;3,28;3,28;7.554,00;2.300
HBOR3;16/06/2023;15:40:00;3,29;3,30;3,28;3,29;32.633,00;9.900
HBOR3;16/06/2023;15:35:00;3,29;3,30;3,29;3,29;6.912,00;2.100
HBOR3;16/06/2023;15:30:00;3,29;3,30;3,29;3,29;7.904,00;2.400
HBOR3;16/06/2023;15:25:00;3,29;3,29;3,29;3,29;4.935,00;1.500
HBOR3;16/06/2023;15:20:00;3,29;3,30;3,29;3,29;9.551,00;2.900
HBOR3;16/06/2023;15:15:00;3,28;3,29;3,28;3,29;6.577,00;2.000
HBOR3;16/06/2023;15:10:00;3,29;3,29;3,28;3,28;27.286,00;8.300
HBOR3;16/06/2023;15:05:00;3,29;3,30;3,29;3,29;5.265,00;1.600
HBOR3;16/06/2023;15:00:00;3,29;3,29;3,29;3,29;4.935,00;1.500
HBOR3;16/06/2023;14:55:00;3,29;3,29;3,29;3,29;6.580,00;2.000
HBOR3;16/06/2023;14:50:00;3,30;3,30;3,29;3,29;5.279,00;1.600
HBOR3;16/06/2023;14:45:00;3,30;3,30;3,30;3,30;4.620,00;1.400
HBOR3;16/06/2023;14:40:00;3,30;3,32;3,29;3,30;25.458,00;7.700
HBOR3;16/06/2023;14:35:00;3,31;3,31;3,29;3,30;93.756,00;28.400
HBOR3;16/06/2023;14:30:00;3,30;3,33;3,30;3,31;54.446,00;16.400
HBOR3;16/06/2023;14:25:00;3,30;3,31;3,30;3,30;24.466,00;7.400
HBOR3;16/06/2023;14:20:00;3,30;3,31;3,30;3,30;5.281,00;1.600
HBOR3;16/06/2023;14:15:00;3,30;3,30;3,30;3,30;5.280,00;1.600
HBOR3;16/06/2023;14:10:00;3,31;3,32;3,29;3,30;86.349,00;26.100
HBOR3;16/06/2023;14:05:00;3,30;3,32;3,30;3,31;8.277,00;2.500
HBOR3;16/06/2023;14:00:00;3,31;3,31;3,30;3,30;4.632,00;1.400
HBOR3;16/06/2023;13:55:00;3,32;3,32;3,31;3,32;27.880,00;8.400
HBOR3;16/06/2023;13:50:00;3,30;3,32;3,30;3,30;49.339,00;14.900
HBOR3;16/06/2023;13:45:00;3,29;3,30;3,29;3,30;3.620,00;1.100
HBOR3;16/06/2023;13:40:00;3,29;3,30;3,29;3,29;17.440,00;5.300
HBOR3;16/06/2023;13:35:00;3,30;3,30;3,27;3,27;62.402,00;19.000
HBOR3;16/06/2023;13:30:00;3,33;3,33;3,29;3,30;237.409,00;71.800
HBOR3;16/06/2023;13:20:00;3,34;3,34;3,32;3,32;49.715,00;14.900
HBOR3;16/06/2023;13:15:00;3,34;3,34;3,34;3,34;334,00;100
HBOR3;16/06/2023;13:10:00;3,34;3,34;3,33;3,33;17.346,00;5.200
HBOR3;16/06/2023;13:05:00;3,33;3,33;3,32;3,33;38.959,00;11.700
HBOR3;16/06/2023;13:00:00;3,33;3,34;3,33;3,34;1.667,00;500
HBOR3;16/06/2023;12:55:00;3,34;3,34;3,33;3,33;17.697,00;5.300
HBOR3;16/06/2023;12:50:00;3,35;3,35;3,35;3,35;1.340,00;400
HBOR3;16/06/2023;12:40:00;3,35;3,35;3,34;3,34;9.042,00;2.700
HBOR3;16/06/2023;12:35:00;3,35;3,35;3,35;3,35;1.675,00;500
HBOR3;16/06/2023;12:20:00;3,35;3,36;3,34;3,34;15.742,00;4.700
HBOR3;16/06/2023;12:15:00;3,35;3,35;3,34;3,34;4.009,00;1.200
HBOR3;16/06/2023;12:10:00;3,35;3,35;3,34;3,34;1.004,00;300
HBOR3;16/06/2023;12:05:00;3,35;3,35;3,35;3,35;1.005,00;300
HBOR3;16/06/2023;12:00:00;3,34;3,34;3,34;3,34;9.352,00;2.800
HBOR3;16/06/2023;11:55:00;3,36;3,36;3,34;3,34;40.519,00;12.100
HBOR3;16/06/2023;11:50:00;3,36;3,36;3,35;3,35;13.437,00;4.000
HBOR3;16/06/2023;11:40:00;3,36;3,37;3,36;3,36;11.453,00;3.400
HBOR3;16/06/2023;11:30:00;3,36;3,36;3,36;3,36;336,00;100
HBOR3;16/06/2023;11:25:00;3,36;3,36;3,35;3,36;9.740,00;2.900
HBOR3;16/06/2023;11:10:00;3,37;3,37;3,36;3,36;1.684,00;500
HBOR3;16/06/2023;11:05:00;3,37;3,37;3,36;3,36;1.684,00;500
HBOR3;16/06/2023;11:00:00;3,38;3,38;3,37;3,37;10.456,00;3.100
HBOR3;16/06/2023;10:55:00;3,35;3,36;3,35;3,35;18.808,00;5.600
HBOR3;16/06/2023;10:50:00;3,36;3,36;3,35;3,35;23.850,00;7.100
HBOR3;16/06/2023;10:45:00;3,37;3,37;3,35;3,35;22.841,00;6.800
HBOR3;16/06/2023;10:40:00;3,37;3,38;3,36;3,36;43.527,00;12.900
HBOR3;16/06/2023;10:35:00;3,37;3,37;3,36;3,37;5.390,00;1.600
HBOR3;16/06/2023;10:30:00;3,36;3,36;3,35;3,35;7.053,00;2.100
HBOR3;16/06/2023;10:25:00;3,36;3,36;3,35;3,36;13.759,00;4.100
HBOR3;16/06/2023;10:20:00;3,36;3,36;3,36;3,36;1.680,00;500
HBOR3;16/06/2023;10:15:00;3,32;3,34;3,31;3,33;59.877,00;18.000
HBOR3;16/06/2023;10:10:00;3,34;3,34;3,31;3,32;182.961,00;55.000
HBOR3;16/06/2023;10:05:00;3,32;3,35;3,32;3,34;35.046,00;10.500
HBOR3;16/06/2023;10:00:00;3,37;3,37;3,32;3,32;165.840,00;49.700
HBOR3;15/06/2023;17:30:00;3,37;3,38;3,35;3,38;27.840,00;8.300
HBOR3;15/06/2023;16:50:00;3,38;3,39;3,37;3,37;435.530,00;129.100
HBOR3;15/06/2023;16:45:00;3,39;3,39;3,37;3,38;39.211,00;11.600
HBOR3;15/06/2023;16:40:00;3,38;3,39;3,37;3,38;9.464,00;2.800
HBOR3;15/06/2023;16:35:00;3,38;3,39;3,37;3,38;75.092,00;22.200
HBOR3;15/06/2023;16:30:00;3,38;3,39;3,38;3,39;19.633,00;5.800
HBOR3;15/06/2023;16:25:00;3,39;3,39;3,37;3,38;16.571,00;4.900
HBOR3;15/06/2023;16:20:00;3,38;3,39;3,37;3,38;21.305,00;6.300
HBOR3;15/06/2023;16:15:00;3,39;3,39;3,37;3,37;45.691,00;13.500
HBOR3;15/06/2023;16:10:00;3,39;3,39;3,38;3,39;22.710,00;6.700
HBOR3;15/06/2023;16:05:00;3,38;3,39;3,37;3,38;79.552,00;23.500
HBOR3;15/06/2023;16:00:00;3,41;3,41;3,36;3,37;223.576,00;66.000
HBOR3;15/06/2023;15:55:00;3,41;3,41;3,41;3,41;2.387,00;700
HBOR3;15/06/2023;15:50:00;3,40;3,41;3,40;3,40;24.192,00;7.100
HBOR3;15/06/2023;15:45:00;3,40;3,40;3,39;3,40;16.314,00;4.800
HBOR3;15/06/2023;15:40:00;3,40;3,40;3,39;3,40;9.178,00;2.700
HBOR3;15/06/2023;15:35:00;3,41;3,42;3,40;3,40;57.676,00;16.900
HBOR3;15/06/2023;15:30:00;3,41;3,41;3,39;3,40;31.000,00;9.100
HBOR3;15/06/2023;15:25:00;3,39;3,41;3,38;3,40;76.504,00;22.500
HBOR3;15/06/2023;15:20:00;3,39;3,40;3,37;3,38;185.017,00;54.600
HBOR3;15/06/2023;15:15:00;3,36;3,39;3,36;3,39;114.087,00;33.800
HBOR3;15/06/2023;15:10:00;3,36;3,36;3,35;3,35;17.459,00;5.200
HBOR3;15/06/2023;15:05:00;3,38;3,38;3,36;3,36;72.116,00;21.400
HBOR3;15/06/2023;15:00:00;3,37;3,37;3,37;3,37;674,00;200
HBOR3;15/06/2023;14:55:00;3,37;3,38;3,37;3,37;3.709,00;1.100
HBOR3;15/06/2023;14:45:00;3,37;3,37;3,37;3,37;1.685,00;500
HBOR3;15/06/2023;14:40:00;3,36;3,38;3,36;3,36;147.551,00;43.700
HBOR3;15/06/2023;14:35:00;3,36;3,37;3,35;3,36;23.906,00;7.100
HBOR3;15/06/2023;14:30:00;3,36;3,37;3,35;3,36;6.390,00;1.900
HBOR3;15/06/2023;14:25:00;3,34;3,36;3,34;3,35;63.162,00;18.800
HBOR3;15/06/2023;14:20:00;3,35;3,35;3,35;3,35;10.720,00;3.200
HBOR3;15/06/2023;14:15:00;3,35;3,36;3,35;3,36;22.125,00;6.600
HBOR3;15/06/2023;14:10:00;3,35;3,35;3,34;3,35;31.820,00;9.500
HBOR3;15/06/2023;14:05:00;3,32;3,35;3,32;3,34;39.718,00;11.900
HBOR3;15/06/2023;14:00:00;3,34;3,34;3,32;3,32;31.650,00;9.500
HBOR3;15/06/2023;13:55:00;3,34;3,35;3,33;3,34;13.030,00;3.900
HBOR3;15/06/2023;13:50:00;3,35;3,35;3,33;3,33;58.179,00;17.400
HBOR3;15/06/2023;13:45:00;3,38;3,38;3,35;3,35;20.536,00;6.100
HBOR3;15/06/2023;13:40:00;3,38;3,38;3,37;3,38;7.431,00;2.200
HBOR3;15/06/2023;13:35:00;3,38;3,38;3,37;3,37;13.853,00;4.100
HBOR3;15/06/2023;13:30:00;3,38;3,38;3,37;3,37;7.771,00;2.300
HBOR3;15/06/2023;13:25:00;3,37;3,37;3,37;3,37;13.143,00;3.900
HBOR3;15/06/2023;13:20:00;3,38;3,38;3,36;3,36;57.606,00;17.100
HBOR3;15/06/2023;13:15:00;3,38;3,39;3,37;3,37;25.010,00;7.400
HBOR3;15/06/2023;13:10:00;3,39;3,40;3,38;3,39;65.467,00;19.300
HBOR3;15/06/2023;13:05:00;3,40;3,40;3,38;3,39;282.350,00;83.100
HBOR3;15/06/2023;13:00:00;3,45;3,45;3,40;3,40;197.374,00;57.700
HBOR3;15/06/2023;12:50:00;3,45;3,46;3,44;3,46;6.900,00;2.000
HBOR3;15/06/2023;12:45:00;3,45;3,45;3,44;3,45;4.828,00;1.400
HBOR3;15/06/2023;12:40:00;3,44;3,44;3,44;3,44;2.408,00;700
HBOR3;15/06/2023;12:35:00;3,43;3,43;3,43;3,43;1.372,00;400
HBOR3;15/06/2023;12:30:00;3,43;3,43;3,43;3,43;1.715,00;500
HBOR3;15/06/2023;12:25:00;3,44;3,46;3,43;3,43;42.056,00;12.200
HBOR3;15/06/2023;12:20:00;3,43;3,44;3,43;3,43;3.779,00;1.100
HBOR3;15/06/2023;12:15:00;3,42;3,43;3,42;3,43;5.141,00;1.500
HBOR3;15/06/2023;12:10:00;3,42;3,43;3,41;3,43;106.379,00;31.100
HBOR3;15/06/2023;12:05:00;3,44;3,45;3,42;3,42;40.464,00;11.800
HBOR3;15/06/2023;12:00:00;3,45;3,45;3,43;3,43;29.645,00;8.600
HBOR3;15/06/2023;11:55:00;3,48;3,48;3,45;3,45;51.014,00;14.700
HBOR3;15/06/2023;11:50:00;3,48;3,48;3,48;3,48;1.044,00;300
HBOR3;15/06/2023;11:45:00;3,49;3,49;3,48;3,48;6.977,00;2.000
HBOR3;15/06/2023;11:40:00;3,49;3,49;3,48;3,48;7.325,00;2.100
HBOR3;15/06/2023;11:35:00;3,49;3,49;3,48;3,48;5.579,00;1.600
HBOR3;15/06/2023;11:30:00;3,50;3,50;3,49;3,49;1.049,00;300
HBOR3;15/06/2023;11:20:00;3,50;3,51;3,49;3,50;17.169,00;4.900
HBOR3;15/06/2023;11:15:00;3,50;3,50;3,48;3,49;64.010,00;18.300
HBOR3;15/06/2023;11:10:00;3,47;3,51;3,47;3,50;130.081,00;37.200
HBOR3;15/06/2023;11:05:00;3,48;3,50;3,47;3,47;116.452,00;33.400
HBOR3;15/06/2023;11:00:00;3,49;3,49;3,47;3,48;14.261,00;4.100
HBOR3;15/06/2023;10:55:00;3,47;3,48;3,46;3,47;40.258,00;11.600
HBOR3;15/06/2023;10:50:00;3,46;3,46;3,46;3,46;2.076,00;600
HBOR3;15/06/2023;10:45:00;3,47;3,47;3,47;3,47;1.388,00;400
HBOR3;15/06/2023;10:35:00;3,43;3,46;3,43;3,45;37.899,00;11.000
HBOR3;15/06/2023;10:30:00;3,46;3,46;3,44;3,44;59.929,00;17.400
HBOR3;15/06/2023;10:25:00;3,47;3,47;3,45;3,45;45.686,00;13.200
HBOR3;15/06/2023;10:20:00;3,48;3,48;3,45;3,45;27.427,00;7.900
HBOR3;15/06/2023;10:15:00;3,48;3,48;3,43;3,47;70.387,00;20.300
HBOR3;15/06/2023;10:10:00;3,49;3,49;3,45;3,45;19.138,00;5.500
HBOR3;15/06/2023;10:05:00;3,54;3,54;3,48;3,49;134.298,00;38.300
HBOR3;15/06/2023;10:00:00;3,53;3,54;3,53;3,54;91.510,00;25.900
HBOR3;14/06/2023;17:30:00;3,48;3,51;3,48;3,48;42.999,00;12.300
HBOR3;14/06/2023;16:50:00;3,46;3,50;3,46;3,50;198.567,00;56.800
HBOR3;14/06/2023;16:45:00;3,46;3,46;3,46;3,46;1.038,00;300
HBOR3;14/06/2023;16:40:00;3,46;3,47;3,45;3,47;39.883,00;11.500
HBOR3;14/06/2023;16:35:00;3,45;3,45;3,44;3,45;18.972,00;5.500
HBOR3;14/06/2023;16:30:00;3,44;3,45;3,44;3,45;23.455,00;6.800
HBOR3;14/06/2023;16:25:00;3,43;3,45;3,43;3,44;148.050,00;43.000
HBOR3;14/06/2023;16:20:00;3,42;3,43;3,42;3,43;35.578,00;10.400
HBOR3;14/06/2023;16:15:00;3,43;3,43;3,41;3,41;191.013,00;55.700
HBOR3;14/06/2023;16:10:00;3,44;3,44;3,43;3,43;69.287,00;20.200
HBOR3;14/06/2023;16:05:00;3,42;3,44;3,42;3,43;38.419,00;11.200
HBOR3;14/06/2023;16:00:00;3,43;3,43;3,41;3,43;44.740,00;13.100
HBOR3;14/06/2023;15:55:00;3,43;3,43;3,41;3,43;58.159,00;17.000
HBOR3;14/06/2023;15:50:00;3,42;3,43;3,42;3,42;1.027,00;300
HBOR3;14/06/2023;15:45:00;3,39;3,43;3,38;3,42;171.734,00;50.500
HBOR3;14/06/2023;15:40:00;3,38;3,39;3,38;3,38;9.470,00;2.800
HBOR3;14/06/2023;15:35:00;3,37;3,39;3,37;3,37;14.532,00;4.300
HBOR3;14/06/2023;15:30:00;3,38;3,39;3,37;3,37;26.991,00;8.000
HBOR3;14/06/2023;15:25:00;3,39;3,39;3,38;3,39;30.170,00;8.900
HBOR3;14/06/2023;15:20:00;3,40;3,41;3,40;3,40;5.793,00;1.700
HBOR3;14/06/2023;15:15:00;3,42;3,42;3,41;3,41;3.411,00;1.000
HBOR3;14/06/2023;15:10:00;3,41;3,43;3,41;3,41;6.833,00;2.000
HBOR3;14/06/2023;15:05:00;3,40;3,41;3,38;3,41;177.006,00;52.200
HBOR3;14/06/2023;15:00:00;3,43;3,43;3,40;3,40;35.637,00;10.400
HBOR3;14/06/2023;14:55:00;3,44;3,44;3,43;3,44;9.287,00;2.700
HBOR3;14/06/2023;14:50:00;3,44;3,45;3,43;3,43;6.879,00;2.000
HBOR3;14/06/2023;14:45:00;3,46;3,46;3,43;3,45;25.473,00;7.400
HBOR3;14/06/2023;14:40:00;3,45;3,48;3,45;3,46;31.849,00;9.200
HBOR3;14/06/2023;14:35:00;3,49;3,49;3,43;3,46;182.234,00;52.900
HBOR3;14/06/2023;14:30:00;3,41;3,50;3,41;3,48;278.652,00;80.700
HBOR3;14/06/2023;14:25:00;3,39;3,40;3,39;3,40;37.372,00;11.000
