Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HBRE3;16/06/2023;17:30:00;5,28;5,28;5,27;5,27;2.111,00;400
HBRE3;16/06/2023;16:45:00;5,29;5,30;5,28;5,28;231.402,00;43.800
HBRE3;16/06/2023;16:40:00;5,30;5,30;5,27;5,28;16.908,00;3.200
HBRE3;16/06/2023;16:35:00;5,35;5,36;5,29;5,30;67.901,00;12.800
HBRE3;16/06/2023;16:30:00;5,34;5,35;5,34;5,34;12.288,00;2.300
HBRE3;16/06/2023;16:25:00;5,34;5,34;5,33;5,34;5.873,00;1.100
HBRE3;16/06/2023;16:20:00;5,36;5,36;5,31;5,33;50.530,00;9.500
HBRE3;16/06/2023;16:15:00;5,35;5,36;5,35;5,36;16.609,00;3.100
HBRE3;16/06/2023;16:10:00;5,36;5,36;5,34;5,34;62.591,00;11.700
HBRE3;16/06/2023;16:05:00;5,37;5,38;5,36;5,36;10.190,00;1.900
HBRE3;16/06/2023;16:00:00;5,38;5,38;5,37;5,37;6.449,00;1.200
HBRE3;16/06/2023;15:55:00;5,39;5,39;5,37;5,37;9.140,00;1.700
HBRE3;16/06/2023;15:50:00;5,39;5,39;5,39;5,39;10.780,00;2.000
HBRE3;16/06/2023;15:45:00;5,39;5,39;5,39;5,39;4.851,00;900
HBRE3;16/06/2023;15:40:00;5,39;5,39;5,39;5,39;4.312,00;800
HBRE3;16/06/2023;15:35:00;5,38;5,39;5,38;5,38;7.534,00;1.400
HBRE3;16/06/2023;15:30:00;5,39;5,39;5,39;5,39;6.468,00;1.200
HBRE3;16/06/2023;15:25:00;5,39;5,39;5,39;5,39;7.007,00;1.300
HBRE3;16/06/2023;15:20:00;5,39;5,39;5,39;5,39;3.773,00;700
HBRE3;16/06/2023;15:15:00;5,39;5,39;5,39;5,39;2.695,00;500
HBRE3;16/06/2023;15:10:00;5,38;5,39;5,38;5,39;25.288,00;4.700
HBRE3;16/06/2023;15:05:00;5,37;5,38;5,37;5,38;4.299,00;800
HBRE3;16/06/2023;15:00:00;5,37;5,38;5,37;5,38;8.597,00;1.600
HBRE3;16/06/2023;14:55:00;5,37;5,37;5,36;5,37;5.367,00;1.000
HBRE3;16/06/2023;14:50:00;5,37;5,37;5,36;5,37;4.829,00;900
HBRE3;16/06/2023;14:45:00;5,38;5,38;5,34;5,36;20.348,00;3.800
HBRE3;16/06/2023;14:40:00;5,39;5,39;5,37;5,37;9.682,00;1.800
HBRE3;16/06/2023;14:35:00;5,39;5,39;5,39;5,39;2.156,00;400
HBRE3;16/06/2023;14:30:00;5,39;5,39;5,38;5,38;11.852,00;2.200
HBRE3;16/06/2023;14:25:00;5,39;5,39;5,39;5,39;8.624,00;1.600
HBRE3;16/06/2023;14:20:00;5,39;5,39;5,39;5,39;14.014,00;2.600
HBRE3;16/06/2023;14:15:00;5,39;5,40;5,39;5,39;22.101,00;4.100
HBRE3;16/06/2023;14:10:00;5,39;5,39;5,39;5,39;2.695,00;500
HBRE3;16/06/2023;14:05:00;5,40;5,40;5,39;5,39;11.863,00;2.200
HBRE3;16/06/2023;14:00:00;5,39;5,40;5,39;5,40;18.866,00;3.500
HBRE3;16/06/2023;13:55:00;5,39;5,40;5,39;5,39;75.524,00;14.000
HBRE3;16/06/2023;13:50:00;5,39;5,39;5,39;5,39;4.851,00;900
HBRE3;16/06/2023;13:45:00;5,38;5,39;5,38;5,39;6.998,00;1.300
HBRE3;16/06/2023;13:40:00;5,36;5,37;5,35;5,37;25.692,00;4.800
HBRE3;16/06/2023;13:35:00;5,36;5,37;5,36;5,36;7.505,00;1.400
HBRE3;16/06/2023;13:30:00;5,39;5,39;5,37;5,37;4.840,00;900
HBRE3;16/06/2023;13:25:00;5,40;5,40;5,38;5,38;19.949,00;3.700
HBRE3;16/06/2023;13:20:00;5,47;5,47;5,40;5,40;178.428,00;32.900
HBRE3;16/06/2023;13:15:00;5,45;5,47;5,45;5,47;2.729,00;500
HBRE3;16/06/2023;13:10:00;5,45;5,49;5,44;5,45;56.329,00;10.300
HBRE3;16/06/2023;13:05:00;5,40;5,48;5,40;5,44;266.766,00;49.300
HBRE3;16/06/2023;13:00:00;5,40;5,40;5,40;5,40;14.040,00;2.600
HBRE3;16/06/2023;12:55:00;5,40;5,40;5,40;5,40;2.700,00;500
HBRE3;16/06/2023;12:50:00;5,40;5,40;5,39;5,40;3.776,00;700
HBRE3;16/06/2023;12:45:00;5,35;5,40;5,35;5,38;166.852,00;31.100
HBRE3;16/06/2023;12:40:00;5,35;5,35;5,35;5,35;78.645,00;14.700
HBRE3;16/06/2023;12:35:00;5,35;5,35;5,35;5,35;148.195,00;27.700
HBRE3;16/06/2023;12:30:00;5,35;5,35;5,35;5,35;1.605,00;300
HBRE3;16/06/2023;12:25:00;5,35;5,35;5,35;5,35;1.605,00;300
HBRE3;16/06/2023;12:20:00;5,35;5,35;5,34;5,35;26.722,00;5.000
HBRE3;16/06/2023;12:15:00;5,35;5,35;5,35;5,35;1.605,00;300
HBRE3;16/06/2023;12:10:00;5,34;5,34;5,34;5,34;2.670,00;500
HBRE3;16/06/2023;12:05:00;5,33;5,34;5,33;5,34;11.206,00;2.100
HBRE3;16/06/2023;12:00:00;5,32;5,33;5,32;5,33;6.926,00;1.300
HBRE3;16/06/2023;11:55:00;5,34;5,34;5,30;5,32;67.450,00;12.700
HBRE3;16/06/2023;11:50:00;5,35;5,35;5,34;5,35;13.355,00;2.500
HBRE3;16/06/2023;11:45:00;5,35;5,35;5,35;5,35;70.620,00;13.200
HBRE3;16/06/2023;11:40:00;5,35;5,35;5,34;5,35;60.987,00;11.400
HBRE3;16/06/2023;11:35:00;5,34;5,35;5,34;5,35;1.604,00;300
HBRE3;16/06/2023;11:30:00;5,35;5,35;5,34;5,34;8.549,00;1.600
HBRE3;16/06/2023;11:25:00;5,35;5,35;5,35;5,35;7.490,00;1.400
HBRE3;16/06/2023;11:20:00;5,35;5,35;5,35;5,35;3.210,00;600
HBRE3;16/06/2023;11:15:00;5,35;5,35;5,35;5,35;1.605,00;300
HBRE3;16/06/2023;11:10:00;5,35;5,35;5,35;5,35;10.700,00;2.000
HBRE3;16/06/2023;11:05:00;5,34;5,35;5,34;5,35;65.168,00;12.200
HBRE3;16/06/2023;11:00:00;5,34;5,34;5,34;5,34;1.068,00;200
HBRE3;16/06/2023;10:55:00;5,35;5,35;5,34;5,34;5.348,00;1.000
HBRE3;16/06/2023;10:50:00;5,34;5,35;5,34;5,35;2.137,00;400
HBRE3;16/06/2023;10:45:00;5,34;5,34;5,34;5,34;3.204,00;600
HBRE3;16/06/2023;10:40:00;5,35;5,35;5,35;5,35;2.675,00;500
HBRE3;16/06/2023;10:35:00;5,39;5,39;5,34;5,34;35.362,00;6.600
HBRE3;16/06/2023;10:30:00;5,40;5,40;5,39;5,40;31.318,00;5.800
HBRE3;16/06/2023;10:25:00;5,36;5,39;5,36;5,39;3.230,00;600
HBRE3;16/06/2023;10:20:00;5,36;5,36;5,35;5,36;3.751,00;700
HBRE3;16/06/2023;10:15:00;5,35;5,36;5,32;5,36;77.794,00;14.600
HBRE3;16/06/2023;10:10:00;5,37;5,37;5,31;5,35;6.952,00;1.300
HBRE3;16/06/2023;10:05:00;5,39;5,39;5,39;5,39;7.007,00;1.300
HBRE3;15/06/2023;16:50:00;5,28;5,30;5,28;5,30;620.057,00;117.000
HBRE3;15/06/2023;16:45:00;5,28;5,28;5,27;5,27;6.863,00;1.300
HBRE3;15/06/2023;16:40:00;5,29;5,29;5,28;5,28;14.792,00;2.800
HBRE3;15/06/2023;16:35:00;5,30;5,32;5,30;5,30;66.260,00;12.500
HBRE3;15/06/2023;16:30:00;5,30;5,30;5,30;5,30;14.310,00;2.700
HBRE3;15/06/2023;16:25:00;5,30;5,30;5,30;5,30;5.300,00;1.000
HBRE3;15/06/2023;16:20:00;5,30;5,30;5,30;5,30;3.710,00;700
HBRE3;15/06/2023;16:15:00;5,30;5,30;5,30;5,30;18.550,00;3.500
HBRE3;15/06/2023;16:10:00;5,30;5,30;5,30;5,30;4.770,00;900
HBRE3;15/06/2023;16:05:00;5,30;5,30;5,30;5,30;6.360,00;1.200
HBRE3;15/06/2023;16:00:00;5,29;5,29;5,29;5,29;5.819,00;1.100
HBRE3;15/06/2023;15:55:00;5,28;5,29;5,28;5,29;14.811,00;2.800
HBRE3;15/06/2023;15:50:00;5,30;5,32;5,29;5,29;41.341,00;7.800
HBRE3;15/06/2023;15:45:00;5,35;5,36;5,29;5,30;274.543,00;51.700
HBRE3;15/06/2023;15:40:00;5,40;5,40;5,34;5,35;72.965,00;13.600
