Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HBSA3;06/06/2023;11:20:00;3,51;3,51;3,50;3,50;16.484,00;4.700
HBSA3;06/06/2023;11:15:00;3,50;3,51;3,49;3,50;253.922,00;72.600
HBSA3;06/06/2023;11:10:00;3,50;3,51;3,49;3,50;156.287,00;44.600
HBSA3;06/06/2023;11:05:00;3,50;3,51;3,49;3,50;965.257,00;275.500
HBSA3;06/06/2023;11:00:00;3,50;3,51;3,49;3,50;146.900,00;41.900
HBSA3;06/06/2023;10:55:00;3,50;3,51;3,50;3,50;95.301,00;27.200
HBSA3;06/06/2023;10:50:00;3,49;3,51;3,49;3,50;204.281,00;58.300
HBSA3;06/06/2023;10:45:00;3,49;3,50;3,48;3,49;111.691,00;32.000
HBSA3;06/06/2023;10:40:00;3,49;3,50;3,48;3,48;127.511,00;36.600
HBSA3;06/06/2023;10:35:00;3,48;3,50;3,48;3,49;80.306,00;23.000
HBSA3;06/06/2023;10:30:00;3,50;3,50;3,48;3,48;251.086,00;71.900
HBSA3;06/06/2023;10:25:00;3,49;3,49;3,49;3,49;21.289,00;6.100
HBSA3;06/06/2023;10:20:00;3,47;3,49;3,47;3,49;93.052,00;26.800
HBSA3;06/06/2023;10:15:00;3,49;3,50;3,48;3,49;60.301,00;17.300
HBSA3;06/06/2023;10:10:00;3,51;3,51;3,48;3,48;180.229,00;51.600
HBSA3;06/06/2023;10:05:00;3,49;3,51;3,49;3,50;70.734,00;20.200
HBSA3;06/06/2023;10:00:00;3,52;3,52;3,47;3,48;11.544,00;3.300
HBSA3;05/06/2023;17:30:00;3,48;3,48;3,47;3,47;695,00;200
HBSA3;05/06/2023;16:50:00;3,46;3,49;3,46;3,49;818.401,00;234.800
HBSA3;05/06/2023;16:45:00;3,47;3,48;3,46;3,47;175.284,00;50.500
HBSA3;05/06/2023;16:40:00;3,48;3,48;3,47;3,48;85.517,00;24.600
HBSA3;05/06/2023;16:35:00;3,48;3,49;3,47;3,47;429.429,00;123.400
HBSA3;05/06/2023;16:30:00;3,48;3,50;3,48;3,49;207.611,00;59.500
HBSA3;05/06/2023;16:25:00;3,50;3,50;3,48;3,49;927.600,00;265.900
