Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HOOT4;06/06/2023;11:05:00;1,98;1,98;1,98;1,98;198,00;100
HOOT4;06/06/2023;10:55:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;06/06/2023;10:40:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;05/06/2023;16:50:00;1,97;1,98;1,97;1,98;593,00;300
HOOT4;05/06/2023;16:45:00;1,98;1,98;1,98;1,98;792,00;400
HOOT4;05/06/2023;16:40:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;05/06/2023;16:30:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;05/06/2023;16:00:00;1,93;1,93;1,89;1,89;1.720,00;900
HOOT4;05/06/2023;15:25:00;1,93;1,93;1,93;1,93;1.737,00;900
HOOT4;05/06/2023;15:05:00;1,94;1,94;1,93;1,93;969,00;500
HOOT4;05/06/2023;14:55:00;1,99;1,99;1,99;1,99;398,00;200
HOOT4;05/06/2023;13:15:00;1,99;1,99;1,99;1,99;597,00;300
HOOT4;05/06/2023;12:25:00;1,98;1,98;1,98;1,98;396,00;200
HOOT4;05/06/2023;12:20:00;1,93;1,93;1,93;1,93;193,00;100
HOOT4;05/06/2023;12:10:00;1,95;1,95;1,95;1,95;1.365,00;700
HOOT4;05/06/2023;12:05:00;1,94;1,94;1,94;1,94;1.164,00;600
HOOT4;05/06/2023;11:45:00;1,91;1,91;1,91;1,91;191,00;100
HOOT4;05/06/2023;11:35:00;1,89;1,89;1,89;1,89;945,00;500
HOOT4;05/06/2023;11:30:00;1,87;1,88;1,87;1,88;375,00;200
HOOT4;05/06/2023;11:25:00;1,89;1,89;1,89;1,89;1.701,00;900
HOOT4;05/06/2023;11:10:00;1,81;1,81;1,81;1,81;181,00;100
HOOT4;05/06/2023;11:05:00;1,84;1,84;1,81;1,81;2.021,00;1.100
HOOT4;05/06/2023;11:00:00;1,95;1,95;1,85;1,86;1.505,00;800
HOOT4;05/06/2023;10:55:00;1,96;1,96;1,96;1,96;1.176,00;600
HOOT4;05/06/2023;10:35:00;2,00;2,05;2,00;2,05;2.045,00;1.000
HOOT4;02/06/2023;17:30:00;1,97;1,97;1,97;1,97;394,00;200
HOOT4;02/06/2023;15:40:00;1,97;1,97;1,97;1,97;788,00;400
HOOT4;02/06/2023;15:35:00;1,97;1,97;1,97;1,97;197,00;100
HOOT4;02/06/2023;14:55:00;1,97;1,97;1,97;1,97;3.940,00;2.000
HOOT4;02/06/2023;13:40:00;1,97;1,97;1,97;1,97;591,00;300
HOOT4;02/06/2023;13:35:00;1,97;1,97;1,97;1,97;1.970,00;1.000
HOOT4;02/06/2023;12:45:00;1,98;1,98;1,98;1,98;1.584,00;800
HOOT4;02/06/2023;12:40:00;1,97;1,97;1,96;1,96;2.158,00;1.100
HOOT4;02/06/2023;12:10:00;1,99;1,99;1,99;1,99;199,00;100
HOOT4;02/06/2023;12:05:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;02/06/2023;11:25:00;2,01;2,01;2,01;2,01;201,00;100
HOOT4;02/06/2023;10:40:00;2,03;2,03;2,02;2,02;811,00;400
HOOT4;02/06/2023;10:15:00;1,97;2,00;1,96;2,00;9.960,00;5.000
HOOT4;02/06/2023;10:00:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;01/06/2023;16:50:00;2,00;2,00;1,97;1,97;1.584,00;800
HOOT4;01/06/2023;16:40:00;2,00;2,00;1,98;2,00;2.190,00;1.100
HOOT4;01/06/2023;16:35:00;1,98;1,98;1,98;1,98;990,00;500
HOOT4;01/06/2023;16:30:00;1,99;1,99;1,98;1,98;2.188,00;1.100
HOOT4;01/06/2023;16:25:00;1,99;1,99;1,99;1,99;199,00;100
HOOT4;01/06/2023;15:45:00;1,98;1,98;1,98;1,98;792,00;400
HOOT4;01/06/2023;15:15:00;1,98;1,98;1,98;1,98;198,00;100
HOOT4;01/06/2023;14:55:00;1,98;1,98;1,98;1,98;990,00;500
HOOT4;01/06/2023;14:15:00;1,97;1,97;1,97;1,97;985,00;500
HOOT4;01/06/2023;14:00:00;1,96;1,96;1,95;1,95;978,00;500
HOOT4;01/06/2023;12:45:00;1,95;1,95;1,95;1,95;390,00;200
HOOT4;01/06/2023;11:35:00;1,97;1,97;1,96;1,96;590,00;300
HOOT4;01/06/2023;11:30:00;1,98;1,98;1,96;1,96;1.379,00;700
HOOT4;01/06/2023;11:05:00;2,00;2,00;2,00;2,00;1.000,00;500
HOOT4;01/06/2023;10:40:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;01/06/2023;10:15:00;2,00;2,00;2,00;2,00;2.000,00;1.000
HOOT4;31/05/2023;16:40:00;2,00;2,00;2,00;2,00;1.000,00;500
HOOT4;31/05/2023;16:05:00;1,98;2,00;1,98;2,00;4.779,00;2.400
HOOT4;31/05/2023;12:30:00;1,95;1,95;1,95;1,95;390,00;200
HOOT4;31/05/2023;12:15:00;1,98;1,98;1,96;1,96;9.240,00;4.700
HOOT4;31/05/2023;12:10:00;1,98;1,98;1,98;1,98;198,00;100
HOOT4;31/05/2023;11:35:00;2,03;2,03;2,03;2,03;406,00;200
HOOT4;31/05/2023;11:00:00;2,03;2,04;2,03;2,04;4.074,00;2.000
HOOT4;31/05/2023;10:15:00;1,96;1,96;1,96;1,96;784,00;400
HOOT4;30/05/2023;17:30:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;30/05/2023;16:45:00;1,94;1,95;1,94;1,95;1.165,00;600
HOOT4;30/05/2023;16:20:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;30/05/2023;16:10:00;1,91;1,91;1,91;1,91;191,00;100
HOOT4;30/05/2023;16:00:00;1,99;1,99;1,95;1,95;980,00;500
HOOT4;30/05/2023;15:50:00;1,99;1,99;1,99;1,99;199,00;100
HOOT4;30/05/2023;15:25:00;1,96;1,96;1,96;1,96;392,00;200
HOOT4;30/05/2023;15:20:00;1,96;1,96;1,96;1,96;392,00;200
HOOT4;30/05/2023;14:50:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;30/05/2023;14:15:00;1,99;1,99;1,99;1,99;995,00;500
HOOT4;30/05/2023;13:45:00;1,99;1,99;1,99;1,99;199,00;100
HOOT4;30/05/2023;13:20:00;1,99;1,99;1,99;1,99;398,00;200
HOOT4;30/05/2023;13:00:00;1,96;1,96;1,96;1,96;1.960,00;1.000
HOOT4;30/05/2023;11:45:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;30/05/2023;11:25:00;1,94;1,94;1,94;1,94;194,00;100
HOOT4;30/05/2023;11:15:00;1,95;1,95;1,94;1,94;3.882,00;2.000
HOOT4;30/05/2023;11:10:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;30/05/2023;10:55:00;2,01;2,01;2,01;2,01;201,00;100
HOOT4;30/05/2023;10:50:00;2,01;2,01;2,01;2,01;201,00;100
HOOT4;30/05/2023;10:45:00;1,99;1,99;1,94;1,94;5.103,00;2.600
HOOT4;30/05/2023;10:40:00;2,04;2,04;2,04;2,04;408,00;200
HOOT4;30/05/2023;10:10:00;2,07;2,08;2,07;2,08;1.663,00;800
HOOT4;30/05/2023;10:05:00;2,08;2,09;2,08;2,09;1.253,00;600
HOOT4;29/05/2023;17:30:00;1,94;1,94;1,94;1,94;2.328,00;1.200
HOOT4;29/05/2023;16:40:00;1,97;1,97;1,94;1,94;1.955,00;1.000
HOOT4;29/05/2023;16:35:00;1,96;1,96;1,96;1,96;196,00;100
HOOT4;29/05/2023;16:30:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;29/05/2023;16:25:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;29/05/2023;16:20:00;2,00;2,00;1,94;1,94;9.794,00;4.900
HOOT4;29/05/2023;16:15:00;1,96;2,00;1,96;2,00;1.188,00;600
HOOT4;29/05/2023;16:00:00;1,93;1,93;1,93;1,93;772,00;400
HOOT4;29/05/2023;15:55:00;1,93;1,93;1,93;1,93;193,00;100
HOOT4;29/05/2023;15:50:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;29/05/2023;15:30:00;1,96;1,98;1,96;1,97;2.562,00;1.300
HOOT4;29/05/2023;14:50:00;1,92;1,92;1,92;1,92;192,00;100
HOOT4;29/05/2023;14:35:00;1,93;1,93;1,92;1,92;961,00;500
HOOT4;29/05/2023;14:25:00;1,95;1,95;1,92;1,92;579,00;300
HOOT4;29/05/2023;14:20:00;1,98;1,98;1,95;1,95;2.357,00;1.200
HOOT4;29/05/2023;14:15:00;2,00;2,01;1,98;1,98;1.599,00;800
HOOT4;29/05/2023;14:05:00;1,98;1,98;1,97;1,97;1.975,00;1.000
HOOT4;29/05/2023;14:00:00;2,00;2,00;1,98;1,98;596,00;300
HOOT4;29/05/2023;13:55:00;2,00;2,00;2,00;2,00;200,00;100
HOOT4;29/05/2023;13:50:00;2,00;2,01;2,00;2,00;2.804,00;1.400
HOOT4;29/05/2023;13:45:00;2,00;2,01;2,00;2,01;1.806,00;900
HOOT4;29/05/2023;13:30:00;1,98;1,98;1,97;1,97;1.971,00;1.000
HOOT4;29/05/2023;13:20:00;2,01;2,01;1,98;1,98;2.193,00;1.100
HOOT4;29/05/2023;13:05:00;1,99;2,02;1,99;2,02;4.205,00;2.100
HOOT4;29/05/2023;13:00:00;1,98;1,98;1,98;1,98;2.178,00;1.100
HOOT4;29/05/2023;12:55:00;1,95;1,95;1,95;1,95;195,00;100
HOOT4;29/05/2023;12:45:00;1,97;1,98;1,97;1,98;1.775,00;900
HOOT4;29/05/2023;12:40:00;1,97;1,97;1,97;1,97;197,00;100
HOOT4;29/05/2023;12:35:00;1,95;1,97;1,95;1,97;589,00;300
HOOT4;29/05/2023;12:30:00;1,93;1,97;1,92;1,97;3.087,00;1.600
HOOT4;29/05/2023;12:25:00;1,94;1,94;1,93;1,93;387,00;200
HOOT4;29/05/2023;11:45:00;1,98;1,98;1,98;1,98;2.178,00;1.100
HOOT4;29/05/2023;11:40:00;1,91;1,91;1,91;1,91;1.146,00;600
HOOT4;29/05/2023;11:35:00;1,90;1,98;1,90;1,98;2.952,00;1.500
