Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
HYPE3;16/06/2023;17:30:00;45,20;45,85;45,20;45,85;195.879,00;4.300
HYPE3;16/06/2023;16:45:00;45,20;45,23;45,19;45,19;91.916.983,00;2.034.000
HYPE3;16/06/2023;16:40:00;45,26;45,26;45,19;45,20;2.400.843,00;53.100
HYPE3;16/06/2023;16:35:00;45,32;45,33;45,25;45,26;1.680.114,00;37.100
HYPE3;16/06/2023;16:30:00;45,27;45,33;45,26;45,32;1.871.047,00;41.300
HYPE3;16/06/2023;16:25:00;45,27;45,28;45,24;45,26;1.955.267,00;43.200
HYPE3;16/06/2023;16:20:00;45,37;45,42;45,26;45,26;2.995.829,00;66.100
HYPE3;16/06/2023;16:15:00;45,41;45,42;45,36;45,37;1.103.015,00;24.300
HYPE3;16/06/2023;16:10:00;45,41;45,41;45,38;45,40;939.697,00;20.700
HYPE3;16/06/2023;16:05:00;45,41;45,42;45,35;45,41;1.697.250,00;37.400
HYPE3;16/06/2023;16:00:00;45,43;45,44;45,39;45,40;1.103.589,00;24.300
HYPE3;16/06/2023;15:55:00;45,45;45,47;45,40;45,42;1.603.523,00;35.300
HYPE3;16/06/2023;15:50:00;45,45;45,47;45,42;45,46;977.232,00;21.500
HYPE3;16/06/2023;15:45:00;45,49;45,50;45,45;45,45;1.014.041,00;22.300
HYPE3;16/06/2023;15:40:00;45,46;45,54;45,45;45,49;1.628.242,00;35.800
HYPE3;16/06/2023;15:35:00;45,48;45,50;45,45;45,45;1.123.261,00;24.700
HYPE3;16/06/2023;15:30:00;45,43;45,50;45,42;45,49;1.913.966,00;42.100
HYPE3;16/06/2023;15:25:00;45,42;45,45;45,40;45,43;1.090.093,00;24.000
HYPE3;16/06/2023;15:20:00;45,48;45,49;45,41;45,42;1.417.768,00;31.200
HYPE3;16/06/2023;15:15:00;45,45;45,48;45,43;45,47;699.888,00;15.400
HYPE3;16/06/2023;15:10:00;45,45;45,50;45,45;45,46;613.884,00;13.500
