Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IFCM3;06/06/2023;11:20:00;1,55;1,56;1,55;1,55;7.166,00;4.600
IFCM3;06/06/2023;11:15:00;1,55;1,57;1,55;1,55;58.174,00;37.300
IFCM3;06/06/2023;11:10:00;1,57;1,57;1,55;1,55;154.900,00;99.800
IFCM3;06/06/2023;11:05:00;1,55;1,57;1,55;1,56;145.211,00;93.000
IFCM3;06/06/2023;11:00:00;1,56;1,57;1,55;1,55;109.618,00;70.300
IFCM3;06/06/2023;10:55:00;1,56;1,57;1,55;1,57;101.198,00;65.000
IFCM3;06/06/2023;10:50:00;1,56;1,58;1,55;1,56;208.122,00;133.000
IFCM3;06/06/2023;10:45:00;1,54;1,57;1,52;1,56;272.015,00;175.600
IFCM3;06/06/2023;10:40:00;1,53;1,55;1,52;1,54;834.138,00;541.700
IFCM3;06/06/2023;10:35:00;1,51;1,54;1,50;1,52;701.300,00;461.600
IFCM3;06/06/2023;10:30:00;1,47;1,52;1,47;1,51;519.471,00;347.700
IFCM3;06/06/2023;10:25:00;1,45;1,50;1,45;1,47;448.466,00;302.800
IFCM3;06/06/2023;10:20:00;1,46;1,46;1,44;1,45;63.045,00;43.500
IFCM3;06/06/2023;10:15:00;1,46;1,46;1,45;1,46;120.673,00;83.200
IFCM3;06/06/2023;10:10:00;1,46;1,48;1,45;1,46;60.318,00;41.300
IFCM3;06/06/2023;10:05:00;1,46;1,47;1,45;1,46;137.325,00;94.000
IFCM3;06/06/2023;10:00:00;1,44;1,45;1,44;1,45;26.289,00;18.200
IFCM3;05/06/2023;17:30:00;1,43;1,45;1,42;1,43;205.866,00;143.300
IFCM3;05/06/2023;16:50:00;1,42;1,43;1,42;1,43;208.925,00;146.300
IFCM3;05/06/2023;16:45:00;1,43;1,43;1,42;1,43;247.042,00;173.900
IFCM3;05/06/2023;16:40:00;1,44;1,44;1,42;1,43;247.135,00;172.800
IFCM3;05/06/2023;16:35:00;1,44;1,44;1,43;1,43;82.762,00;57.500
IFCM3;05/06/2023;16:30:00;1,44;1,44;1,43;1,43;82.902,00;57.600
IFCM3;05/06/2023;16:25:00;1,42;1,44;1,42;1,43;42.935,00;30.000
IFCM3;05/06/2023;16:20:00;1,42;1,44;1,42;1,43;80.122,00;56.100
IFCM3;05/06/2023;16:15:00;1,43;1,43;1,42;1,43;6.832,00;4.800
IFCM3;05/06/2023;16:10:00;1,43;1,43;1,42;1,42;14.512,00;10.200
IFCM3;05/06/2023;16:05:00;1,42;1,43;1,42;1,43;12.984,00;9.100
IFCM3;05/06/2023;16:00:00;1,43;1,44;1,43;1,43;88.806,00;62.100
IFCM3;05/06/2023;15:55:00;1,44;1,44;1,43;1,44;18.104,00;12.600
IFCM3;05/06/2023;15:50:00;1,43;1,44;1,43;1,43;11.013,00;7.700
IFCM3;05/06/2023;15:45:00;1,44;1,44;1,43;1,43;16.811,00;11.700
IFCM3;05/06/2023;15:40:00;1,43;1,44;1,42;1,44;34.761,00;24.300
IFCM3;05/06/2023;15:35:00;1,42;1,43;1,42;1,43;7.550,00;5.300
IFCM3;05/06/2023;15:30:00;1,43;1,43;1,42;1,43;6.411,00;4.500
IFCM3;05/06/2023;15:25:00;1,42;1,44;1,42;1,42;32.186,00;22.600
IFCM3;05/06/2023;15:20:00;1,43;1,44;1,42;1,42;34.443,00;24.100
IFCM3;05/06/2023;15:15:00;1,43;1,44;1,43;1,43;34.612,00;24.200
IFCM3;05/06/2023;15:10:00;1,44;1,44;1,43;1,43;25.575,00;17.800
IFCM3;05/06/2023;15:05:00;1,43;1,44;1,43;1,43;13.363,00;9.300
IFCM3;05/06/2023;15:00:00;1,43;1,44;1,43;1,44;24.745,00;17.200
IFCM3;05/06/2023;14:55:00;1,42;1,43;1,42;1,43;6.274,00;4.400
IFCM3;05/06/2023;14:50:00;1,42;1,44;1,42;1,42;8.694,00;6.100
IFCM3;05/06/2023;14:45:00;1,43;1,43;1,42;1,43;6.553,00;4.600
IFCM3;05/06/2023;14:40:00;1,42;1,43;1,42;1,42;10.983,00;7.700
IFCM3;05/06/2023;14:35:00;1,42;1,43;1,42;1,43;5.555,00;3.900
IFCM3;05/06/2023;14:30:00;1,43;1,43;1,42;1,43;97.830,00;68.600
IFCM3;05/06/2023;14:25:00;1,43;1,44;1,42;1,43;69.174,00;48.300
IFCM3;05/06/2023;14:20:00;1,42;1,43;1,42;1,42;9.393,00;6.600
IFCM3;05/06/2023;14:15:00;1,43;1,43;1,42;1,43;8.419,00;5.900
IFCM3;05/06/2023;14:10:00;1,43;1,43;1,42;1,42;33.437,00;23.400
IFCM3;05/06/2023;14:05:00;1,43;1,44;1,42;1,43;35.899,00;25.100
IFCM3;05/06/2023;14:00:00;1,42;1,44;1,42;1,42;51.976,00;36.500
IFCM3;05/06/2023;13:55:00;1,44;1,44;1,42;1,43;126.126,00;88.200
IFCM3;05/06/2023;13:50:00;1,44;1,44;1,43;1,43;5.741,00;4.000
IFCM3;05/06/2023;13:45:00;1,44;1,44;1,43;1,44;101.106,00;70.400
IFCM3;05/06/2023;13:40:00;1,44;1,44;1,43;1,43;15.358,00;10.700
IFCM3;05/06/2023;13:35:00;1,43;1,44;1,43;1,44;8.314,00;5.800
IFCM3;05/06/2023;13:30:00;1,44;1,44;1,43;1,43;46.780,00;32.500
IFCM3;05/06/2023;13:25:00;1,44;1,44;1,43;1,44;53.906,00;37.500
IFCM3;05/06/2023;13:20:00;1,43;1,44;1,43;1,43;13.084,00;9.100
IFCM3;05/06/2023;13:15:00;1,43;1,44;1,43;1,43;3.586,00;2.500
IFCM3;05/06/2023;13:10:00;1,44;1,44;1,43;1,44;36.109,00;25.200
IFCM3;05/06/2023;13:05:00;1,42;1,44;1,42;1,44;25.863,00;18.100
IFCM3;05/06/2023;13:00:00;1,42;1,43;1,42;1,42;18.474,00;13.000
IFCM3;05/06/2023;12:55:00;1,42;1,43;1,42;1,42;7.677,00;5.400
IFCM3;05/06/2023;12:50:00;1,44;1,44;1,42;1,42;5.699,00;4.000
IFCM3;05/06/2023;12:45:00;1,42;1,43;1,42;1,42;18.099,00;12.700
IFCM3;05/06/2023;12:40:00;1,42;1,44;1,42;1,44;32.406,00;22.700
IFCM3;05/06/2023;12:35:00;1,43;1,44;1,42;1,42;167.235,00;117.300
IFCM3;05/06/2023;12:30:00;1,44;1,44;1,43;1,44;40.063,00;27.900
IFCM3;05/06/2023;12:25:00;1,44;1,45;1,43;1,44;52.135,00;36.200
IFCM3;05/06/2023;12:20:00;1,44;1,45;1,44;1,44;23.439,00;16.200
IFCM3;05/06/2023;12:15:00;1,44;1,46;1,44;1,45;49.326,00;34.100
IFCM3;05/06/2023;12:10:00;1,45;1,46;1,44;1,44;36.966,00;25.500
IFCM3;05/06/2023;12:05:00;1,45;1,46;1,45;1,46;6.692,00;4.600
IFCM3;05/06/2023;12:00:00;1,45;1,46;1,45;1,45;22.293,00;15.300
IFCM3;05/06/2023;11:55:00;1,46;1,46;1,45;1,45;13.645,00;9.400
IFCM3;05/06/2023;11:50:00;1,45;1,46;1,45;1,45;21.297,00;14.600
IFCM3;05/06/2023;11:45:00;1,44;1,46;1,44;1,46;27.088,00;18.700
IFCM3;05/06/2023;11:40:00;1,43;1,45;1,43;1,45;20.726,00;14.400
IFCM3;05/06/2023;11:35:00;1,44;1,45;1,43;1,43;51.472,00;35.800
IFCM3;05/06/2023;11:30:00;1,44;1,45;1,44;1,44;7.643,00;5.300
IFCM3;05/06/2023;11:25:00;1,45;1,46;1,43;1,44;80.924,00;56.100
IFCM3;05/06/2023;11:20:00;1,45;1,46;1,44;1,45;56.945,00;39.300
IFCM3;05/06/2023;11:15:00;1,46;1,46;1,45;1,45;26.970,00;18.500
IFCM3;05/06/2023;11:10:00;1,47;1,47;1,46;1,46;6.426,00;4.400
IFCM3;05/06/2023;11:05:00;1,48;1,49;1,45;1,47;116.666,00;79.900
IFCM3;05/06/2023;11:00:00;1,49;1,50;1,48;1,48;54.100,00;36.400
IFCM3;05/06/2023;10:55:00;1,49;1,49;1,48;1,49;47.641,00;32.100
IFCM3;05/06/2023;10:50:00;1,50;1,51;1,48;1,48;64.448,00;43.100
IFCM3;05/06/2023;10:45:00;1,49;1,52;1,49;1,50;219.958,00;146.000
IFCM3;05/06/2023;10:40:00;1,47;1,50;1,46;1,49;212.841,00;143.400
IFCM3;05/06/2023;10:35:00;1,46;1,47;1,46;1,47;88.063,00;60.000
IFCM3;05/06/2023;10:30:00;1,44;1,45;1,43;1,45;55.792,00;38.600
IFCM3;05/06/2023;10:25:00;1,44;1,44;1,44;1,44;15.840,00;11.000
IFCM3;05/06/2023;10:20:00;1,44;1,45;1,43;1,44;18.411,00;12.800
IFCM3;05/06/2023;10:15:00;1,45;1,45;1,43;1,44;132.612,00;92.300
IFCM3;05/06/2023;10:10:00;1,47;1,47;1,45;1,46;66.499,00;45.500
IFCM3;05/06/2023;10:05:00;1,45;1,47;1,45;1,46;84.848,00;58.200
IFCM3;05/06/2023;10:00:00;1,45;1,46;1,44;1,45;123.690,00;85.600
IFCM3;02/06/2023;17:30:00;1,42;1,44;1,41;1,43;143.939,00;100.700
IFCM3;02/06/2023;16:50:00;1,42;1,43;1,42;1,42;353.219,00;248.700
IFCM3;02/06/2023;16:45:00;1,41;1,43;1,41;1,42;51.164,00;36.000
IFCM3;02/06/2023;16:40:00;1,43;1,43;1,41;1,41;63.194,00;44.500
IFCM3;02/06/2023;16:35:00;1,42;1,43;1,42;1,43;52.662,00;37.000
IFCM3;02/06/2023;16:30:00;1,42;1,43;1,42;1,43;11.808,00;8.300
IFCM3;02/06/2023;16:25:00;1,42;1,43;1,41;1,42;72.436,00;50.900
IFCM3;02/06/2023;16:20:00;1,43;1,44;1,42;1,42;192.075,00;135.100
IFCM3;02/06/2023;16:15:00;1,42;1,44;1,42;1,42;96.511,00;67.500
IFCM3;02/06/2023;16:10:00;1,45;1,45;1,42;1,42;130.241,00;90.600
IFCM3;02/06/2023;16:05:00;1,45;1,47;1,44;1,45;175.077,00;120.100
IFCM3;02/06/2023;16:00:00;1,45;1,47;1,45;1,46;27.441,00;18.800
IFCM3;02/06/2023;15:55:00;1,46;1,46;1,44;1,46;22.884,00;15.700
IFCM3;02/06/2023;15:50:00;1,46;1,46;1,44;1,45;62.788,00;43.400
IFCM3;02/06/2023;15:45:00;1,45;1,46;1,45;1,46;55.007,00;37.700
IFCM3;02/06/2023;15:40:00;1,45;1,46;1,45;1,45;85.157,00;58.600
IFCM3;02/06/2023;15:35:00;1,44;1,45;1,44;1,45;16.633,00;11.500
IFCM3;02/06/2023;15:30:00;1,43;1,45;1,43;1,44;215.659,00;149.200
IFCM3;02/06/2023;15:25:00;1,43;1,43;1,42;1,43;80.916,00;56.600
IFCM3;02/06/2023;15:20:00;1,42;1,43;1,42;1,42;13.923,00;9.800
IFCM3;02/06/2023;15:15:00;1,41;1,42;1,41;1,42;48.448,00;34.200
IFCM3;02/06/2023;15:10:00;1,41;1,42;1,41;1,42;66.985,00;47.500
IFCM3;02/06/2023;15:05:00;1,43;1,43;1,41;1,41;83.053,00;58.400
IFCM3;02/06/2023;15:00:00;1,42;1,44;1,42;1,43;16.878,00;11.800
IFCM3;02/06/2023;14:55:00;1,43;1,44;1,42;1,43;100.672,00;70.400
IFCM3;02/06/2023;14:50:00;1,41;1,43;1,41;1,43;69.651,00;48.900
IFCM3;02/06/2023;14:45:00;1,41;1,42;1,41;1,42;10.027,00;7.100
IFCM3;02/06/2023;14:40:00;1,41;1,42;1,41;1,42;34.185,00;24.100
IFCM3;02/06/2023;14:35:00;1,41;1,42;1,41;1,42;24.881,00;17.600
IFCM3;02/06/2023;14:30:00;1,42;1,42;1,40;1,41;90.783,00;64.400
IFCM3;02/06/2023;14:25:00;1,42;1,43;1,41;1,41;56.905,00;40.100
