Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IGBR3;06/06/2023;16:25:00;172,00;175,99;172,00;175,99;34.799,00;200
IGBR3;06/06/2023;15:00:00;172,00;172,00;172,00;172,00;17.200,00;100
IGBR3;06/06/2023;11:10:00;176,16;176,16;176,09;176,09;70.455,00;400
IGBR3;05/06/2023;17:30:00;175,71;175,71;175,00;175,00;35.071,00;200
IGBR3;05/06/2023;16:50:00;182,21;182,21;174,00;174,00;35.621,00;200
IGBR3;05/06/2023;16:10:00;175,00;175,00;175,00;175,00;17.500,00;100
IGBR3;05/06/2023;16:05:00;175,00;175,00;175,00;175,00;35.000,00;200
IGBR3;05/06/2023;16:00:00;180,00;180,00;180,00;180,00;18.000,00;100
IGBR3;05/06/2023;15:00:00;180,00;180,00;180,00;180,00;36.000,00;200
IGBR3;05/06/2023;14:50:00;180,00;180,00;180,00;180,00;72.000,00;400
IGBR3;05/06/2023;13:45:00;180,00;180,00;180,00;180,00;18.000,00;100
IGBR3;05/06/2023;12:25:00;183,60;183,60;183,60;183,60;18.360,00;100
IGBR3;05/06/2023;12:15:00;180,00;180,00;180,00;180,00;18.000,00;100
IGBR3;05/06/2023;11:15:00;160,00;160,00;160,00;160,00;16.000,00;100
IGBR3;05/06/2023;10:00:00;153,00;153,00;153,00;153,00;15.300,00;100
IGBR3;02/06/2023;16:40:00;156,00;156,00;153,00;153,00;30.900,00;200
IGBR3;02/06/2023;15:10:00;175,00;175,00;175,00;175,00;17.500,00;100
IGBR3;02/06/2023;14:40:00;174,99;175,00;174,99;175,00;69.999,00;400
IGBR3;02/06/2023;13:25:00;170,00;170,00;170,00;170,00;51.000,00;300
IGBR3;02/06/2023;13:00:00;153,00;153,00;153,00;153,00;15.300,00;100
IGBR3;02/06/2023;12:40:00;150,01;150,01;150,01;150,01;105.007,00;700
IGBR3;02/06/2023;11:30:00;128,58;128,68;128,58;128,68;38.585,00;300
IGBR3;31/05/2023;14:50:00;129,29;129,30;129,29;129,30;25.859,00;200
IGBR3;30/05/2023;16:50:00;126,00;126,00;126,00;126,00;12.600,00;100
IGBR3;29/05/2023;16:30:00;123,21;123,21;123,20;123,20;24.641,00;200
IGBR3;29/05/2023;15:40:00;126,00;126,90;126,00;126,90;25.290,00;200
IGBR3;29/05/2023;11:55:00;123,00;123,00;123,00;123,00;12.300,00;100
IGBR3;29/05/2023;11:00:00;122,10;122,10;122,10;122,10;12.210,00;100
IGBR3;26/05/2023;11:30:00;121,61;122,50;121,61;122,50;24.411,00;200
IGBR3;26/05/2023;10:30:00;121,60;121,60;121,60;121,60;12.160,00;100
IGBR3;26/05/2023;10:05:00;126,50;126,50;126,50;126,50;12.650,00;100
IGBR3;24/05/2023;11:20:00;126,00;126,00;126,00;126,00;25.200,00;200
IGBR3;24/05/2023;11:15:00;124,99;125,00;124,99;125,00;24.999,00;200
IGBR3;24/05/2023;11:10:00;121,61;121,61;121,61;121,61;12.161,00;100
IGBR3;24/05/2023;10:35:00;121,06;121,06;121,05;121,05;36.317,00;300
IGBR3;24/05/2023;10:20:00;122,00;122,00;122,00;122,00;12.200,00;100
IGBR3;24/05/2023;10:15:00;120,00;120,00;120,00;120,00;12.000,00;100
IGBR3;23/05/2023;16:15:00;121,24;121,24;121,24;121,24;36.372,00;300
IGBR3;23/05/2023;15:05:00;123,15;123,15;120,00;120,00;97.519,00;800
IGBR3;23/05/2023;14:40:00;126,01;126,01;126,00;126,00;25.201,00;200
IGBR3;23/05/2023;13:00:00;130,00;130,00;130,00;130,00;13.000,00;100
IGBR3;23/05/2023;11:05:00;130,00;130,00;130,00;130,00;13.000,00;100
IGBR3;23/05/2023;11:00:00;128,97;128,97;128,97;128,97;12.897,00;100
IGBR3;23/05/2023;10:50:00;130,00;130,00;130,00;130,00;13.000,00;100
IGBR3;23/05/2023;10:00:00;124,64;124,64;124,64;124,64;12.464,00;100
IGBR3;22/05/2023;16:50:00;123,10;123,10;123,10;123,10;73.860,00;600
IGBR3;22/05/2023;16:45:00;123,00;123,00;123,00;123,00;61.500,00;500
IGBR3;22/05/2023;16:40:00;123,01;123,01;120,00;121,00;327.785,00;2.700
IGBR3;22/05/2023;16:15:00;127,00;127,00;127,00;127,00;12.700,00;100
IGBR3;22/05/2023;16:00:00;126,25;126,25;126,25;126,25;25.250,00;200
IGBR3;22/05/2023;15:40:00;125,10;125,10;125,10;125,10;12.510,00;100
IGBR3;22/05/2023;15:15:00;125,10;125,10;125,10;125,10;12.510,00;100
IGBR3;22/05/2023;14:05:00;125,50;125,50;125,50;125,50;25.100,00;200
IGBR3;22/05/2023;13:55:00;125,50;125,50;125,50;125,50;25.100,00;200
IGBR3;22/05/2023;13:50:00;125,49;125,50;125,49;125,50;37.649,00;300
IGBR3;22/05/2023;13:45:00;124,10;124,10;124,00;124,00;37.210,00;300
IGBR3;22/05/2023;13:40:00;126,00;126,00;126,00;126,00;25.200,00;200
IGBR3;22/05/2023;13:05:00;125,00;125,50;125,00;125,50;25.050,00;200
IGBR3;22/05/2023;12:40:00;125,00;125,00;125,00;125,00;25.000,00;200
IGBR3;22/05/2023;12:00:00;124,75;125,20;124,75;125,20;187.330,00;1.500
IGBR3;22/05/2023;11:55:00;124,50;124,50;124,50;124,50;12.450,00;100
IGBR3;22/05/2023;11:40:00;124,25;124,25;124,25;124,25;62.125,00;500
IGBR3;22/05/2023;11:35:00;124,00;124,10;124,00;124,10;37.210,00;300
IGBR3;22/05/2023;11:30:00;123,80;123,80;123,80;123,80;12.380,00;100
IGBR3;22/05/2023;11:25:00;122,70;123,70;122,70;123,70;85.990,00;700
IGBR3;22/05/2023;11:15:00;122,30;122,30;122,30;122,30;12.230,00;100
IGBR3;22/05/2023;10:05:00;121,18;121,90;121,18;121,90;24.308,00;200
IGBR3;22/05/2023;10:00:00;120,00;120,98;120,00;120,98;24.098,00;200
IGBR3;19/05/2023;12:15:00;119,30;119,30;119,30;119,30;11.930,00;100
IGBR3;19/05/2023;12:05:00;119,30;119,30;119,30;119,30;107.370,00;900
IGBR3;19/05/2023;11:00:00;119,50;119,50;119,50;119,50;11.950,00;100
IGBR3;17/05/2023;16:40:00;118,05;118,05;118,05;118,05;11.805,00;100
IGBR3;17/05/2023;10:00:00;118,38;118,38;118,38;118,38;23.676,00;200
IGBR3;16/05/2023;13:35:00;119,00;119,00;119,00;119,00;11.900,00;100
IGBR3;16/05/2023;11:50:00;119,00;119,00;119,00;119,00;23.800,00;200
IGBR3;16/05/2023;11:45:00;117,80;117,80;117,80;117,80;11.780,00;100
IGBR3;12/05/2023;13:05:00;117,80;117,80;117,80;117,80;11.780,00;100
IGBR3;12/05/2023;11:15:00;118,00;118,00;118,00;118,00;283.200,00;2.400
IGBR3;12/05/2023;10:20:00;118,50;118,50;118,50;118,50;11.850,00;100
IGBR3;12/05/2023;10:00:00;115,03;115,03;115,03;115,03;11.503,00;100
IGBR3;11/05/2023;15:05:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;11/05/2023;11:00:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;10/05/2023;16:50:00;118,50;118,50;118,50;118,50;11.850,00;100
IGBR3;10/05/2023;15:15:00;117,00;117,00;117,00;117,00;11.700,00;100
IGBR3;10/05/2023;10:30:00;117,00;117,00;117,00;117,00;11.700,00;100
IGBR3;09/05/2023;17:30:00;118,11;119,80;118,11;119,80;23.791,00;200
IGBR3;09/05/2023;14:20:00;117,85;118,10;117,85;118,10;82.612,00;700
IGBR3;09/05/2023;11:40:00;117,90;117,90;117,90;117,90;11.790,00;100
IGBR3;09/05/2023;10:05:00;115,03;115,03;115,03;115,03;34.509,00;300
IGBR3;08/05/2023;15:25:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;08/05/2023;15:20:00;116,03;116,32;116,02;116,32;34.837,00;300
IGBR3;08/05/2023;14:35:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;08/05/2023;13:40:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;05/05/2023;16:05:00;118,00;118,00;118,00;118,00;11.800,00;100
IGBR3;05/05/2023;15:45:00;118,00;118,00;118,00;118,00;23.600,00;200
IGBR3;05/05/2023;15:25:00;118,00;118,00;118,00;118,00;70.800,00;600
IGBR3;05/05/2023;15:00:00;118,00;118,00;118,00;118,00;47.200,00;400
IGBR3;05/05/2023;14:45:00;117,95;118,00;117,95;118,00;35.390,00;300
