Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IGTI11;06/06/2023;11:20:00;21,77;21,77;21,76;21,77;17.415,00;800
IGTI11;06/06/2023;11:15:00;21,81;21,82;21,77;21,77;180.959,00;8.300
IGTI11;06/06/2023;11:10:00;21,74;21,83;21,74;21,81;871.206,00;40.000
IGTI11;06/06/2023;11:05:00;21,73;21,80;21,73;21,76;221.865,00;10.200
IGTI11;06/06/2023;11:00:00;21,66;21,79;21,66;21,71;463.106,00;21.300
IGTI11;06/06/2023;10:55:00;21,68;21,69;21,64;21,66;957.636,00;44.200
IGTI11;06/06/2023;10:50:00;21,74;21,78;21,65;21,67;1.562.974,00;71.900
IGTI11;06/06/2023;10:45:00;21,87;21,87;21,74;21,74;508.217,00;23.300
IGTI11;06/06/2023;10:40:00;21,75;21,90;21,74;21,88;936.651,00;42.900
IGTI11;06/06/2023;10:35:00;21,72;21,76;21,68;21,76;1.223.249,00;56.300
IGTI11;06/06/2023;10:30:00;21,62;21,76;21,62;21,73;1.139.796,00;52.500
IGTI11;06/06/2023;10:25:00;21,52;21,65;21,51;21,63;450.600,00;20.900
IGTI11;06/06/2023;10:20:00;21,56;21,59;21,54;21,54;118.593,00;5.500
IGTI11;06/06/2023;10:15:00;21,64;21,64;21,56;21,57;155.613,00;7.200
IGTI11;06/06/2023;10:10:00;21,66;21,73;21,59;21,64;605.165,00;27.900
IGTI11;06/06/2023;10:05:00;21,59;21,70;21,59;21,67;300.850,00;13.900
IGTI11;05/06/2023;17:30:00;21,53;21,53;21,45;21,46;19.349,00;900
IGTI11;05/06/2023;16:50:00;21,60;21,61;21,44;21,50;8.090.525,00;376.100
IGTI11;05/06/2023;16:45:00;21,58;21,62;21,49;21,58;1.931.842,00;89.600
IGTI11;05/06/2023;16:40:00;21,55;21,62;21,54;21,57;1.921.680,00;89.000
IGTI11;05/06/2023;16:35:00;21,54;21,59;21,51;21,55;775.587,00;36.000
IGTI11;05/06/2023;16:30:00;21,54;21,62;21,52;21,54;1.934.708,00;89.700
IGTI11;05/06/2023;16:25:00;21,47;21,54;21,46;21,54;1.188.824,00;55.300
IGTI11;05/06/2023;16:20:00;21,37;21,49;21,30;21,48;2.099.731,00;98.200
IGTI11;05/06/2023;16:15:00;21,39;21,48;21,27;21,36;5.395.572,00;252.600
IGTI11;05/06/2023;16:10:00;21,41;21,42;21,38;21,40;849.674,00;39.700
IGTI11;05/06/2023;16:05:00;21,39;21,42;21,38;21,42;537.258,00;25.100
IGTI11;05/06/2023;16:00:00;21,35;21,39;21,34;21,38;1.222.043,00;57.200
IGTI11;05/06/2023;15:55:00;21,46;21,48;21,25;21,34;6.140.869,00;287.600
IGTI11;05/06/2023;15:50:00;21,44;21,47;21,43;21,46;666.983,00;31.100
IGTI11;05/06/2023;15:45:00;21,43;21,45;21,43;21,44;546.629,00;25.500
IGTI11;05/06/2023;15:40:00;21,43;21,44;21,41;21,43;548.591,00;25.600
IGTI11;05/06/2023;15:35:00;21,42;21,44;21,42;21,43;332.185,00;15.500
IGTI11;05/06/2023;15:30:00;21,41;21,44;21,35;21,42;1.371.587,00;64.100
IGTI11;05/06/2023;15:25:00;21,45;21,45;21,40;21,42;675.026,00;31.500
IGTI11;05/06/2023;15:20:00;21,42;21,45;21,41;21,44;670.776,00;31.300
IGTI11;05/06/2023;15:15:00;21,42;21,43;21,41;21,43;400.513,00;18.700
IGTI11;05/06/2023;15:10:00;21,36;21,42;21,35;21,41;603.118,00;28.200
IGTI11;05/06/2023;15:05:00;21,28;21,38;21,25;21,36;3.460.180,00;162.700
IGTI11;05/06/2023;15:00:00;21,31;21,32;21,25;21,28;2.057.861,00;96.700
IGTI11;05/06/2023;14:55:00;21,27;21,34;21,27;21,30;1.378.791,00;64.700
IGTI11;05/06/2023;14:50:00;21,28;21,29;21,17;21,27;4.046.284,00;190.600
IGTI11;05/06/2023;14:45:00;21,31;21,33;21,27;21,30;1.320.418,00;62.000
IGTI11;05/06/2023;14:40:00;21,30;21,32;21,27;21,31;517.534,00;24.300
IGTI11;05/06/2023;14:35:00;21,33;21,33;21,28;21,29;754.196,00;35.400
IGTI11;05/06/2023;14:30:00;21,31;21,33;21,29;21,33;890.779,00;41.800
IGTI11;05/06/2023;14:25:00;21,34;21,35;21,29;21,31;1.083.108,00;50.800
IGTI11;05/06/2023;14:20:00;21,31;21,35;21,31;21,34;635.538,00;29.800
IGTI11;05/06/2023;14:15:00;21,35;21,35;21,31;21,32;631.377,00;29.600
IGTI11;05/06/2023;14:10:00;21,32;21,35;21,30;21,35;921.682,00;43.200
IGTI11;05/06/2023;14:05:00;21,28;21,33;21,25;21,33;1.207.146,00;56.700
IGTI11;05/06/2023;14:00:00;21,23;21,30;21,19;21,28;1.749.964,00;82.400
IGTI11;05/06/2023;13:55:00;21,26;21,26;21,20;21,24;978.902,00;46.100
IGTI11;05/06/2023;13:50:00;21,30;21,30;21,25;21,26;757.187,00;35.600
IGTI11;05/06/2023;13:45:00;21,22;21,30;21,22;21,30;1.901.290,00;89.400
IGTI11;05/06/2023;13:40:00;21,20;21,22;21,19;21,22;530.064,00;25.000
IGTI11;05/06/2023;13:35:00;21,26;21,26;21,19;21,20;488.023,00;23.000
IGTI11;05/06/2023;13:30:00;21,30;21,32;21,22;21,26;2.191.691,00;103.000
IGTI11;05/06/2023;13:25:00;21,31;21,31;21,30;21,31;144.875,00;6.800
IGTI11;05/06/2023;13:20:00;21,29;21,31;21,29;21,30;1.595.435,00;74.900
IGTI11;05/06/2023;13:15:00;21,30;21,32;21,28;21,29;1.022.520,00;48.000
IGTI11;05/06/2023;13:10:00;21,34;21,35;21,30;21,30;1.369.242,00;64.200
IGTI11;05/06/2023;13:05:00;21,32;21,35;21,32;21,33;635.591,00;29.800
IGTI11;05/06/2023;13:00:00;21,28;21,31;21,25;21,31;666.110,00;31.300
IGTI11;05/06/2023;12:55:00;21,24;21,28;21,23;21,27;525.050,00;24.700
IGTI11;05/06/2023;12:50:00;21,21;21,25;21,21;21,25;354.593,00;16.700
IGTI11;05/06/2023;12:45:00;21,20;21,21;21,18;21,21;286.059,00;13.500
IGTI11;05/06/2023;12:40:00;21,23;21,23;21,17;21,20;591.760,00;27.900
IGTI11;05/06/2023;12:35:00;21,23;21,24;21,21;21,23;367.171,00;17.300
IGTI11;05/06/2023;12:30:00;21,22;21,25;21,17;21,23;1.624.817,00;76.600
IGTI11;05/06/2023;12:25:00;21,24;21,25;21,22;21,23;293.056,00;13.800
IGTI11;05/06/2023;12:20:00;21,27;21,27;21,20;21,25;1.281.327,00;60.300
IGTI11;05/06/2023;12:15:00;21,25;21,27;21,15;21,27;3.339.944,00;157.400
IGTI11;05/06/2023;12:10:00;21,24;21,27;21,22;21,26;414.323,00;19.500
IGTI11;05/06/2023;12:05:00;21,24;21,28;21,20;21,24;512.028,00;24.100
IGTI11;05/06/2023;12:00:00;21,25;21,27;21,21;21,24;495.015,00;23.300
IGTI11;05/06/2023;11:55:00;21,25;21,27;21,23;21,26;352.827,00;16.600
IGTI11;05/06/2023;11:50:00;21,23;21,27;21,20;21,25;598.400,00;28.200
IGTI11;05/06/2023;11:45:00;21,25;21,26;21,15;21,22;1.591.596,00;75.100
IGTI11;05/06/2023;11:40:00;21,20;21,27;21,16;21,26;1.619.389,00;76.400
IGTI11;05/06/2023;11:35:00;21,22;21,25;21,17;21,21;971.201,00;45.800
