Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
INEP3;06/06/2023;11:20:00;1,01;1,02;1,01;1,02;16.624,00;16.400
INEP3;06/06/2023;11:15:00;1,02;1,02;1,02;1,02;2.040,00;2.000
INEP3;06/06/2023;11:10:00;1,02;1,02;1,02;1,02;10.200,00;10.000
INEP3;06/06/2023;11:00:00;1,02;1,02;1,01;1,01;17.633,00;17.300
INEP3;06/06/2023;10:55:00;1,01;1,01;1,01;1,01;10.100,00;10.000
INEP3;06/06/2023;10:50:00;1,02;1,02;1,01;1,01;25.634,00;25.200
INEP3;06/06/2023;10:45:00;1,01;1,01;1,01;1,01;75.649,00;74.900
INEP3;06/06/2023;10:40:00;1,02;1,02;1,02;1,02;510,00;500
INEP3;06/06/2023;10:35:00;1,02;1,02;1,02;1,02;306,00;300
INEP3;06/06/2023;10:25:00;1,03;1,03;1,02;1,03;1.334,00;1.300
INEP3;06/06/2023;10:20:00;1,02;1,02;1,02;1,02;2.142,00;2.100
INEP3;06/06/2023;10:15:00;1,02;1,03;1,02;1,02;41.256,00;40.300
INEP3;06/06/2023;10:10:00;1,03;1,03;1,03;1,03;10.300,00;10.000
INEP3;06/06/2023;10:05:00;1,02;1,03;1,02;1,03;16.331,00;16.000
INEP3;06/06/2023;10:00:00;1,01;1,01;1,01;1,01;19.998,00;19.800
INEP3;05/06/2023;17:30:00;1,02;1,02;1,02;1,02;3.264,00;3.200
INEP3;05/06/2023;16:50:00;1,02;1,02;1,01;1,01;43.735,00;43.300
INEP3;05/06/2023;16:45:00;1,02;1,03;1,01;1,01;4.063,00;4.000
INEP3;05/06/2023;16:40:00;1,02;1,02;1,01;1,02;121.631,00;120.400
INEP3;05/06/2023;16:30:00;1,02;1,02;1,02;1,02;10.200,00;10.000
INEP3;05/06/2023;16:25:00;1,02;1,02;1,02;1,02;4.488,00;4.400
INEP3;05/06/2023;16:15:00;1,03;1,03;1,03;1,03;206,00;200
INEP3;05/06/2023;16:10:00;1,02;1,03;1,02;1,03;3.278,00;3.200
INEP3;05/06/2023;16:05:00;1,03;1,03;1,03;1,03;206,00;200
INEP3;05/06/2023;15:50:00;1,02;1,02;1,02;1,02;25.500,00;25.000
INEP3;05/06/2023;15:45:00;1,03;1,03;1,03;1,03;19.364,00;18.800
INEP3;05/06/2023;15:30:00;1,04;1,04;1,04;1,04;104,00;100
