Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
INTB3;06/06/2023;11:20:00;25,36;25,36;25,34;25,34;38.034,00;1.500
INTB3;06/06/2023;11:15:00;25,37;25,38;25,36;25,38;144.599,00;5.700
INTB3;06/06/2023;11:10:00;25,34;25,36;25,33;25,36;116.589,00;4.600
INTB3;06/06/2023;11:05:00;25,29;25,34;25,29;25,33;131.634,00;5.200
INTB3;06/06/2023;11:00:00;25,29;25,33;25,27;25,28;225.071,00;8.900
INTB3;06/06/2023;10:55:00;25,28;25,32;25,28;25,28;141.674,00;5.600
INTB3;06/06/2023;10:50:00;25,35;25,35;25,25;25,28;235.367,00;9.300
INTB3;06/06/2023;10:45:00;25,41;25,41;25,36;25,37;159.952,00;6.300
INTB3;06/06/2023;10:40:00;25,42;25,44;25,39;25,42;188.037,00;7.400
INTB3;06/06/2023;10:35:00;25,45;25,49;25,40;25,40;236.619,00;9.300
INTB3;06/06/2023;10:30:00;25,63;25,76;25,47;25,47;351.841,00;13.700
INTB3;06/06/2023;10:25:00;25,64;25,72;25,60;25,63;192.203,00;7.500
INTB3;06/06/2023;10:20:00;25,55;25,62;25,54;25,60;235.328,00;9.200
INTB3;06/06/2023;10:15:00;25,42;25,62;25,36;25,57;551.319,00;21.600
INTB3;06/06/2023;10:10:00;25,51;25,55;25,34;25,41;371.539,00;14.600
INTB3;06/06/2023;10:05:00;25,43;25,53;25,43;25,51;56.125,00;2.200
INTB3;06/06/2023;10:00:00;25,55;25,55;25,30;25,40;50.881,00;2.000
INTB3;05/06/2023;17:30:00;25,40;25,43;25,38;25,43;22.873,00;900
INTB3;05/06/2023;16:50:00;25,35;25,38;25,32;25,34;3.471.685,00;137.000
INTB3;05/06/2023;16:45:00;25,38;25,38;25,32;25,34;605.832,00;23.900
INTB3;05/06/2023;16:40:00;25,35;25,38;25,32;25,37;393.013,00;15.500
INTB3;05/06/2023;16:35:00;25,35;25,37;25,32;25,36;403.054,00;15.900
INTB3;05/06/2023;16:30:00;25,36;25,43;25,29;25,35;464.017,00;18.300
INTB3;05/06/2023;16:25:00;25,41;25,42;25,32;25,33;398.483,00;15.700
INTB3;05/06/2023;16:20:00;25,38;25,44;25,35;25,42;431.670,00;17.000
INTB3;05/06/2023;16:15:00;25,39;25,42;25,34;25,38;329.950,00;13.000
INTB3;05/06/2023;16:10:00;25,33;25,42;25,31;25,39;436.498,00;17.200
INTB3;05/06/2023;16:05:00;25,21;25,37;25,19;25,33;697.526,00;27.600
INTB3;05/06/2023;16:00:00;25,28;25,33;25,21;25,22;325.736,00;12.900
INTB3;05/06/2023;15:55:00;25,29;25,33;25,22;25,31;318.624,00;12.600
INTB3;05/06/2023;15:50:00;25,36;25,39;25,30;25,30;327.066,00;12.900
INTB3;05/06/2023;15:45:00;25,38;25,41;25,35;25,36;248.665,00;9.800
INTB3;05/06/2023;15:40:00;25,33;25,39;25,33;25,39;289.113,00;11.400
