Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IRBR3;16/06/2023;17:30:00;38,49;38,51;38,40;38,46;130.857,00;3.400
IRBR3;16/06/2023;16:45:00;38,47;38,52;38,40;38,50;4.688.559,00;121.800
IRBR3;16/06/2023;16:40:00;38,38;38,48;38,30;38,46;744.817,00;19.400
IRBR3;16/06/2023;16:35:00;38,47;38,47;38,37;38,38;445.642,00;11.600
IRBR3;16/06/2023;16:30:00;38,32;38,49;38,30;38,48;1.078.740,00;28.100
IRBR3;16/06/2023;16:25:00;38,28;38,36;38,21;38,31;1.319.992,00;34.500
IRBR3;16/06/2023;16:20:00;38,48;38,48;38,26;38,29;3.666.931,00;95.500
IRBR3;16/06/2023;16:15:00;38,48;38,49;38,44;38,45;488.468,00;12.700
IRBR3;16/06/2023;16:10:00;38,49;38,55;38,40;38,47;492.123,00;12.800
IRBR3;16/06/2023;16:05:00;38,56;38,56;38,46;38,54;308.070,00;8.000
IRBR3;16/06/2023;16:00:00;38,55;38,56;38,40;38,52;2.921.268,00;75.900
IRBR3;16/06/2023;15:55:00;38,63;38,68;38,52;38,54;1.120.148,00;29.000
IRBR3;16/06/2023;15:50:00;38,57;38,68;38,57;38,65;730.017,00;18.900
IRBR3;16/06/2023;15:45:00;38,40;38,60;38,37;38,58;1.524.416,00;39.600
IRBR3;16/06/2023;15:40:00;38,25;38,44;38,22;38,39;1.659.256,00;43.300
IRBR3;16/06/2023;15:35:00;38,21;38,27;38,19;38,25;351.703,00;9.200
IRBR3;16/06/2023;15:30:00;38,20;38,25;38,17;38,21;485.136,00;12.700
IRBR3;16/06/2023;15:25:00;38,09;38,22;38,05;38,20;782.274,00;20.500
IRBR3;16/06/2023;15:20:00;38,12;38,13;38,06;38,12;163.810,00;4.300
IRBR3;16/06/2023;15:15:00;38,12;38,14;38,03;38,10;213.321,00;5.600
IRBR3;16/06/2023;15:10:00;38,09;38,15;38,08;38,13;228.668,00;6.000
IRBR3;16/06/2023;15:05:00;38,14;38,15;37,99;38,04;647.029,00;17.000
IRBR3;16/06/2023;15:00:00;38,15;38,19;38,10;38,15;400.475,00;10.500
IRBR3;16/06/2023;14:55:00;38,21;38,23;38,15;38,18;500.246,00;13.100
IRBR3;16/06/2023;14:50:00;38,21;38,26;38,16;38,22;763.999,00;20.000
IRBR3;16/06/2023;14:45:00;38,21;38,27;38,18;38,26;519.625,00;13.600
IRBR3;16/06/2023;14:40:00;38,19;38,27;38,15;38,21;370.639,00;9.700
IRBR3;16/06/2023;14:35:00;38,15;38,19;38,12;38,16;343.276,00;9.000
IRBR3;16/06/2023;14:30:00;38,10;38,18;38,10;38,15;2.199.882,00;57.700
IRBR3;16/06/2023;14:25:00;38,09;38,13;38,04;38,10;289.403,00;7.600
IRBR3;16/06/2023;14:20:00;38,05;38,12;38,03;38,11;201.793,00;5.300
IRBR3;16/06/2023;14:15:00;38,00;38,13;38,00;38,06;258.818,00;6.800
IRBR3;16/06/2023;14:10:00;38,06;38,08;37,99;38,01;513.282,00;13.500
IRBR3;16/06/2023;14:05:00;38,10;38,11;38,06;38,07;171.390,00;4.500
IRBR3;16/06/2023;14:00:00;38,11;38,17;38,09;38,09;243.957,00;6.400
IRBR3;16/06/2023;13:55:00;38,09;38,17;38,07;38,10;915.275,00;24.000
IRBR3;16/06/2023;13:50:00;38,03;38,14;38,03;38,09;586.488,00;15.400
IRBR3;16/06/2023;13:45:00;38,02;38,06;37,98;38,02;144.506,00;3.800
IRBR3;16/06/2023;13:40:00;37,98;38,04;37,94;38,01;546.798,00;14.400
IRBR3;16/06/2023;13:35:00;38,01;38,08;37,95;37,99;379.950,00;10.000
IRBR3;16/06/2023;13:30:00;38,00;38,09;37,95;38,02;570.236,00;15.000
IRBR3;16/06/2023;13:25:00;38,06;38,08;38,00;38,00;224.487,00;5.900
IRBR3;16/06/2023;13:20:00;38,07;38,11;38,01;38,06;186.421,00;4.900
IRBR3;16/06/2023;13:15:00;38,00;38,14;38,00;38,08;380.727,00;10.000
IRBR3;16/06/2023;13:10:00;38,09;38,13;37,97;37,99;251.202,00;6.600
IRBR3;16/06/2023;13:05:00;38,10;38,13;38,07;38,08;99.052,00;2.600
IRBR3;16/06/2023;13:00:00;38,11;38,14;38,05;38,14;163.854,00;4.300
IRBR3;16/06/2023;12:55:00;38,15;38,17;38,04;38,14;369.507,00;9.700
IRBR3;16/06/2023;12:50:00;38,17;38,20;38,15;38,17;229.004,00;6.000
IRBR3;16/06/2023;12:45:00;38,12;38,20;38,09;38,16;225.085,00;5.900
IRBR3;16/06/2023;12:40:00;38,08;38,15;38,05;38,10;255.202,00;6.700
IRBR3;16/06/2023;12:35:00;38,14;38,20;38,08;38,10;400.285,00;10.500
IRBR3;16/06/2023;12:30:00;38,25;38,28;38,12;38,16;740.856,00;19.400
IRBR3;16/06/2023;12:25:00;38,15;38,27;38,10;38,21;293.995,00;7.700
IRBR3;16/06/2023;12:20:00;38,33;38,34;38,10;38,10;474.464,00;12.400
IRBR3;16/06/2023;12:15:00;38,12;38,32;38,12;38,30;1.284.631,00;33.600
IRBR3;16/06/2023;12:10:00;38,12;38,16;38,02;38,16;365.641,00;9.600
IRBR3;16/06/2023;12:05:00;38,07;38,15;38,06;38,08;205.751,00;5.400
IRBR3;16/06/2023;12:00:00;38,02;38,10;37,97;38,08;254.748,00;6.700
IRBR3;16/06/2023;11:55:00;38,02;38,13;38,02;38,03;217.001,00;5.700
IRBR3;16/06/2023;11:50:00;38,09;38,15;38,00;38,03;415.075,00;10.900
IRBR3;16/06/2023;11:45:00;38,02;38,12;38,00;38,07;437.967,00;11.500
IRBR3;16/06/2023;11:40:00;38,05;38,10;38,02;38,02;338.648,00;8.900
IRBR3;16/06/2023;11:35:00;38,07;38,07;37,95;38,04;346.072,00;9.100
IRBR3;16/06/2023;11:30:00;37,97;38,10;37,95;38,10;429.689,00;11.300
IRBR3;16/06/2023;11:25:00;37,92;38,01;37,85;37,98;781.096,00;20.600
IRBR3;16/06/2023;11:20:00;37,95;37,97;37,90;37,93;868.603,00;22.900
IRBR3;16/06/2023;11:15:00;37,99;38,08;37,91;37,96;520.699,00;13.700
IRBR3;16/06/2023;11:10:00;38,02;38,07;37,90;38,03;489.928,00;12.900
IRBR3;16/06/2023;11:05:00;38,13;38,25;37,98;38,07;625.442,00;16.400
IRBR3;16/06/2023;11:00:00;38,05;38,29;38,03;38,14;930.603,00;24.400
IRBR3;16/06/2023;10:55:00;37,90;38,09;37,90;38,09;517.226,00;13.600
IRBR3;16/06/2023;10:50:00;37,89;37,96;37,88;37,90;170.618,00;4.500
IRBR3;16/06/2023;10:45:00;37,91;37,95;37,83;37,90;617.444,00;16.300
IRBR3;16/06/2023;10:40:00;37,98;38,05;37,86;37,94;747.486,00;19.700
IRBR3;16/06/2023;10:35:00;38,02;38,04;37,91;38,00;767.287,00;20.200
IRBR3;16/06/2023;10:30:00;38,08;38,12;37,87;37,97;2.970.510,00;78.200
IRBR3;16/06/2023;10:25:00;38,33;38,33;38,05;38,08;1.136.870,00;29.800
IRBR3;16/06/2023;10:20:00;38,09;38,39;38,09;38,29;554.852,00;14.500
IRBR3;16/06/2023;10:15:00;38,01;38,09;38,00;38,03;117.957,00;3.100
IRBR3;16/06/2023;10:10:00;38,02;38,07;37,91;38,07;672.180,00;17.700
IRBR3;16/06/2023;10:05:00;38,12;38,12;37,98;38,07;262.451,00;6.900
IRBR3;16/06/2023;10:00:00;38,00;38,15;37,94;38,10;300.507,00;7.900
IRBR3;15/06/2023;17:30:00;38,20;38,29;38,20;38,23;619.340,00;16.200
IRBR3;15/06/2023;16:50:00;38,21;38,35;38,20;38,20;4.157.211,00;108.800
IRBR3;15/06/2023;16:45:00;38,30;38,30;38,20;38,21;1.804.395,00;47.200
IRBR3;15/06/2023;16:40:00;38,35;38,35;38,27;38,30;800.472,00;20.900
IRBR3;15/06/2023;16:35:00;38,49;38,50;38,33;38,35;637.817,00;16.600
IRBR3;15/06/2023;16:30:00;38,53;38,54;38,45;38,50;438.827,00;11.400
IRBR3;15/06/2023;16:25:00;38,41;38,55;38,38;38,55;1.123.268,00;29.200
IRBR3;15/06/2023;16:20:00;38,42;38,44;38,31;38,41;3.396.848,00;88.400
IRBR3;15/06/2023;16:15:00;38,49;38,50;38,40;38,46;472.879,00;12.300
IRBR3;15/06/2023;16:10:00;38,49;38,52;38,44;38,49;488.854,00;12.700
IRBR3;15/06/2023;16:05:00;38,53;38,55;38,45;38,51;338.662,00;8.800
IRBR3;15/06/2023;16:00:00;38,51;38,56;38,47;38,56;423.760,00;11.000
IRBR3;15/06/2023;15:55:00;38,59;38,63;38,49;38,49;2.248.745,00;58.300
IRBR3;15/06/2023;15:50:00;38,58;38,71;38,53;38,64;1.425.763,00;36.900
IRBR3;15/06/2023;15:45:00;38,51;38,58;38,50;38,54;373.922,00;9.700
IRBR3;15/06/2023;15:40:00;38,47;38,57;38,45;38,52;519.838,00;13.500
