Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ITSA3;06/06/2023;11:15:00;9,24;9,24;9,23;9,23;15.706,00;1.700
ITSA3;06/06/2023;11:10:00;9,24;9,24;9,24;9,24;6.468,00;700
ITSA3;06/06/2023;11:05:00;9,23;9,24;9,23;9,24;11.087,00;1.200
ITSA3;06/06/2023;11:00:00;9,21;9,25;9,21;9,25;23.086,00;2.500
ITSA3;06/06/2023;10:55:00;9,21;9,21;9,21;9,21;1.842,00;200
ITSA3;06/06/2023;10:50:00;9,20;9,23;9,20;9,20;2.763,00;300
ITSA3;06/06/2023;10:45:00;9,23;9,23;9,22;9,22;3.690,00;400
ITSA3;06/06/2023;10:40:00;9,23;9,23;9,23;9,23;923,00;100
ITSA3;06/06/2023;10:35:00;9,21;9,25;9,21;9,24;38.729,00;4.200
ITSA3;06/06/2023;10:30:00;9,21;9,24;9,21;9,22;8.302,00;900
ITSA3;06/06/2023;10:25:00;9,21;9,23;9,18;9,18;178.351,00;19.400
ITSA3;06/06/2023;10:20:00;9,23;9,23;9,23;9,23;4.615,00;500
ITSA3;06/06/2023;10:15:00;9,24;9,25;9,23;9,23;24.969,00;2.700
ITSA3;06/06/2023;10:05:00;9,23;9,26;9,23;9,25;17.566,00;1.900
ITSA3;06/06/2023;10:00:00;9,22;9,24;9,18;9,24;66.349,00;7.200
ITSA3;05/06/2023;17:30:00;9,22;9,22;9,22;9,22;922,00;100
ITSA3;05/06/2023;16:50:00;9,21;9,22;9,21;9,22;17.508,00;1.900
ITSA3;05/06/2023;16:40:00;9,19;9,19;9,19;9,19;919,00;100
ITSA3;05/06/2023;16:35:00;9,21;9,21;9,21;9,21;2.763,00;300
ITSA3;05/06/2023;16:25:00;9,20;9,22;9,20;9,22;15.642,00;1.700
ITSA3;05/06/2023;16:20:00;9,19;9,19;9,19;9,19;919,00;100
ITSA3;05/06/2023;16:15:00;9,19;9,19;9,19;9,19;3.676,00;400
ITSA3;05/06/2023;16:10:00;9,20;9,20;9,20;9,20;920,00;100
ITSA3;05/06/2023;16:05:00;9,18;9,20;9,18;9,20;64.282,00;7.000
ITSA3;05/06/2023;16:00:00;9,17;9,17;9,17;9,17;1.834,00;200
ITSA3;05/06/2023;15:55:00;9,16;9,16;9,16;9,16;4.580,00;500
ITSA3;05/06/2023;15:50:00;9,16;9,17;9,15;9,15;18.324,00;2.000
ITSA3;05/06/2023;15:45:00;9,16;9,16;9,16;9,16;916,00;100
ITSA3;05/06/2023;15:30:00;9,15;9,15;9,15;9,15;9.150,00;1.000
ITSA3;05/06/2023;15:20:00;9,17;9,17;9,17;9,17;917,00;100
ITSA3;05/06/2023;15:00:00;9,17;9,19;9,17;9,18;15.610,00;1.700
ITSA3;05/06/2023;14:55:00;9,16;9,16;9,16;9,16;2.748,00;300
ITSA3;05/06/2023;14:40:00;9,16;9,17;9,16;9,17;6.413,00;700
ITSA3;05/06/2023;14:35:00;9,16;9,16;9,16;9,16;4.580,00;500
ITSA3;05/06/2023;14:30:00;9,17;9,17;9,16;9,16;36.679,00;4.000
ITSA3;05/06/2023;14:20:00;9,17;9,17;9,17;9,17;10.087,00;1.100
ITSA3;05/06/2023;14:15:00;9,15;9,16;9,15;9,16;11.906,00;1.300
ITSA3;05/06/2023;14:00:00;9,16;9,17;9,16;9,17;2.750,00;300
ITSA3;05/06/2023;13:50:00;9,16;9,16;9,16;9,16;1.832,00;200
ITSA3;05/06/2023;13:45:00;9,16;9,17;9,16;9,17;13.742,00;1.500
ITSA3;05/06/2023;13:35:00;9,17;9,17;9,17;9,17;917,00;100
ITSA3;05/06/2023;13:30:00;9,17;9,17;9,17;9,17;917,00;100
ITSA3;05/06/2023;13:25:00;9,17;9,17;9,17;9,17;1.834,00;200
ITSA3;05/06/2023;13:15:00;9,19;9,19;9,18;9,18;1.837,00;200
ITSA3;05/06/2023;13:10:00;9,18;9,18;9,17;9,18;15.596,00;1.700
ITSA3;05/06/2023;13:05:00;9,18;9,18;9,18;9,18;11.016,00;1.200
ITSA3;05/06/2023;13:00:00;9,18;9,19;9,18;9,18;7.348,00;800
ITSA3;05/06/2023;12:50:00;9,16;9,16;9,16;9,16;916,00;100
ITSA3;05/06/2023;12:45:00;9,17;9,18;9,15;9,15;5.501,00;600
ITSA3;05/06/2023;12:35:00;9,18;9,18;9,18;9,18;1.836,00;200
ITSA3;05/06/2023;12:30:00;9,17;9,18;9,16;9,18;13.747,00;1.500
ITSA3;05/06/2023;12:25:00;9,18;9,18;9,18;9,18;3.672,00;400
ITSA3;05/06/2023;12:20:00;9,17;9,18;9,17;9,18;4.589,00;500
ITSA3;05/06/2023;12:15:00;9,18;9,18;9,18;9,18;6.426,00;700
ITSA3;05/06/2023;12:05:00;9,17;9,18;9,16;9,16;2.751,00;300
ITSA3;05/06/2023;12:00:00;9,16;9,16;9,14;9,16;7.321,00;800
ITSA3;05/06/2023;11:55:00;9,17;9,17;9,17;9,17;15.589,00;1.700
ITSA3;05/06/2023;11:50:00;9,17;9,17;9,17;9,17;917,00;100
ITSA3;05/06/2023;11:45:00;9,18;9,19;9,18;9,19;3.674,00;400
ITSA3;05/06/2023;11:40:00;9,17;9,18;9,17;9,18;10.090,00;1.100
ITSA3;05/06/2023;11:35:00;9,17;9,17;9,17;9,17;6.419,00;700
ITSA3;05/06/2023;11:30:00;9,16;9,18;9,15;9,15;4.580,00;500
ITSA3;05/06/2023;11:25:00;9,17;9,17;9,17;9,17;1.834,00;200
ITSA3;05/06/2023;11:20:00;9,16;9,16;9,13;9,13;16.457,00;1.800
ITSA3;05/06/2023;11:10:00;9,20;9,21;9,18;9,19;42.300,00;4.600
ITSA3;05/06/2023;11:00:00;9,19;9,20;9,19;9,19;9.192,00;1.000
ITSA3;05/06/2023;10:55:00;9,20;9,20;9,20;9,20;5.520,00;600
ITSA3;05/06/2023;10:45:00;9,19;9,19;9,19;9,19;27.570,00;3.000
ITSA3;05/06/2023;10:40:00;9,19;9,19;9,19;9,19;1.838,00;200
ITSA3;05/06/2023;10:35:00;9,19;9,19;9,19;9,19;9.190,00;1.000
ITSA3;05/06/2023;10:30:00;9,21;9,21;9,20;9,20;71.811,00;7.800
ITSA3;05/06/2023;10:25:00;9,21;9,21;9,21;9,21;921,00;100
ITSA3;05/06/2023;10:20:00;9,20;9,20;9,20;9,20;1.840,00;200
ITSA3;05/06/2023;10:10:00;9,22;9,22;9,20;9,20;13.824,00;1.500
ITSA3;05/06/2023;10:05:00;9,23;9,23;9,23;9,23;3.692,00;400
ITSA3;05/06/2023;10:00:00;9,20;9,21;9,20;9,21;13.801,00;1.500
ITSA3;02/06/2023;17:30:00;9,20;9,20;9,19;9,20;27.592,00;3.000
ITSA3;02/06/2023;16:50:00;9,23;9,23;9,20;9,20;37.723,00;4.100
ITSA3;02/06/2023;16:45:00;9,21;9,23;9,20;9,23;7.374,00;800
ITSA3;02/06/2023;16:40:00;9,21;9,21;9,21;9,21;1.842,00;200
ITSA3;02/06/2023;16:35:00;9,20;9,20;9,20;9,20;1.840,00;200
ITSA3;02/06/2023;16:30:00;9,20;9,20;9,20;9,20;1.840,00;200
