Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
IVVB11;06/06/2023;11:20:00;233,00;233,02;232,89;233,00;10.950,47;47
IVVB11;06/06/2023;11:15:00;232,97;233,06;232,80;233,00;175.160,29;752
IVVB11;06/06/2023;11:10:00;232,97;233,21;232,97;233,04;101.838,16;437
IVVB11;06/06/2023;11:05:00;233,11;233,11;232,65;232,94;158.140,62;679
IVVB11;06/06/2023;11:00:00;233,25;233,25;232,95;233,15;181.356,25;778
IVVB11;06/06/2023;10:55:00;233,08;233,28;233,00;233,24;410.191,30;1.760
IVVB11;06/06/2023;10:50:00;233,27;233,30;233,00;233,08;221.957,91;952
IVVB11;06/06/2023;10:45:00;233,17;233,37;233,08;233,31;35.444,86;152
IVVB11;06/06/2023;10:40:00;233,33;233,40;233,15;233,17;164.042,26;703
IVVB11;06/06/2023;10:35:00;233,24;233,40;233,05;233,36;497.981,24;2.134
IVVB11;06/06/2023;10:30:00;233,43;233,52;233,11;233,24;385.976,78;1.655
IVVB11;06/06/2023;10:25:00;233,45;233,65;233,28;233,56;564.812,51;2.418
IVVB11;06/06/2023;10:20:00;233,22;233,59;233,19;233,55;52.543,53;225
IVVB11;06/06/2023;10:15:00;233,09;233,40;233,03;233,23;20.522,47;88
IVVB11;06/06/2023;10:10:00;233,31;233,33;233,05;233,09;28.918,24;124
IVVB11;06/06/2023;10:05:00;233,08;233,31;233,07;233,25;333.161,81;1.429
IVVB11;05/06/2023;17:30:00;232,90;232,94;232,22;232,65;30.450,30;131
IVVB11;05/06/2023;16:50:00;232,90;232,95;232,55;232,55;24.707.073,53;106.243
IVVB11;05/06/2023;16:45:00;232,87;232,90;232,67;232,81;4.219.736,94;18.126
IVVB11;05/06/2023;16:40:00;232,83;232,95;232,82;232,92;3.701.219,77;15.892
IVVB11;05/06/2023;16:35:00;232,73;232,83;232,60;232,77;45.620,06;196
IVVB11;05/06/2023;16:30:00;232,57;232,80;232,56;232,60;23.274,52;100
IVVB11;05/06/2023;16:25:00;232,49;232,70;232,36;232,67;19.766,38;85
IVVB11;05/06/2023;16:20:00;232,53;232,62;232,49;232,58;111.395,57;479
IVVB11;05/06/2023;16:15:00;232,57;232,60;232,48;232,49;376.233,55;1.618
IVVB11;05/06/2023;16:10:00;232,31;232,50;232,17;232,50;33.931,31;146
IVVB11;05/06/2023;16:05:00;232,31;232,49;232,19;232,30;103.842,81;447
IVVB11;05/06/2023;16:00:00;232,80;232,80;232,29;232,29;207.348,64;892
IVVB11;05/06/2023;15:55:00;232,55;232,79;232,54;232,79;595.659,73;2.561
IVVB11;05/06/2023;15:50:00;232,39;232,60;232,20;232,60;168.611,12;726
IVVB11;05/06/2023;15:45:00;232,37;232,41;232,11;232,27;77.548,29;334
IVVB11;05/06/2023;15:40:00;232,26;232,50;232,20;232,46;132.166,93;569
IVVB11;05/06/2023;15:35:00;232,14;232,48;232,13;232,31;74.324,66;320
IVVB11;05/06/2023;15:30:00;232,78;232,79;232,09;232,09;271.490,40;1.168
IVVB11;05/06/2023;15:25:00;232,88;232,88;232,70;232,83;1.016.311,14;4.366
IVVB11;05/06/2023;15:20:00;232,78;232,92;232,63;232,85;166.939,70;717
IVVB11;05/06/2023;15:15:00;232,69;232,82;232,66;232,80;301.688,56;1.296
IVVB11;05/06/2023;15:10:00;232,86;232,86;232,55;232,70;132.575,41;570
IVVB11;05/06/2023;15:05:00;232,79;232,80;232,65;232,77;1.228.424,60;5.279
IVVB11;05/06/2023;15:00:00;232,81;232,81;232,63;232,80;50.970,40;219
IVVB11;05/06/2023;14:55:00;232,74;232,83;232,62;232,78;162.003,68;696
IVVB11;05/06/2023;14:50:00;232,72;232,77;232,59;232,75;47.012,63;202
IVVB11;05/06/2023;14:45:00;232,80;232,83;232,60;232,75;236.957,20;1.018
IVVB11;05/06/2023;14:40:00;232,82;232,87;232,77;232,78;91.488,98;393
IVVB11;05/06/2023;14:35:00;232,95;232,97;232,79;232,83;23.518,53;101
IVVB11;05/06/2023;14:30:00;232,90;233,07;232,85;232,92;77.556,33;333
IVVB11;05/06/2023;14:25:00;233,33;233,33;232,93;233,04;82.999,93;356
IVVB11;05/06/2023;14:20:00;233,36;233,36;233,22;233,32;27.529,00;118
IVVB11;05/06/2023;14:15:00;233,39;233,39;233,20;233,34;34.991,78;150
IVVB11;05/06/2023;14:10:00;233,66;233,66;233,38;233,41;338.010,12;1.448
IVVB11;05/06/2023;14:05:00;233,38;233,68;233,32;233,56;239.357,33;1.025
IVVB11;05/06/2023;14:00:00;233,45;233,51;233,37;233,40;23.808,28;102
IVVB11;05/06/2023;13:55:00;233,39;233,42;233,26;233,37;75.138,10;322
IVVB11;05/06/2023;13:50:00;233,49;233,56;233,37;233,37;131.939,58;565
IVVB11;05/06/2023;13:45:00;233,47;233,50;233,35;233,44;16.342,16;70
IVVB11;05/06/2023;13:40:00;233,41;233,49;233,33;233,48;48.312,33;207
IVVB11;05/06/2023;13:35:00;233,46;233,49;233,33;233,43;30.112,85;129
IVVB11;05/06/2023;13:30:00;233,44;233,49;233,33;233,38;34.311,18;147
IVVB11;05/06/2023;13:25:00;233,27;233,46;233,19;233,32;23.094,57;99
IVVB11;05/06/2023;13:20:00;233,38;233,40;233,19;233,27;59.720,23;256
IVVB11;05/06/2023;13:15:00;233,40;233,46;233,27;233,46;9.336,00;40
IVVB11;05/06/2023;13:10:00;233,16;233,43;233,15;233,29;15.164,36;65
IVVB11;05/06/2023;13:05:00;232,77;233,20;232,77;233,10;60.132,79;258
IVVB11;05/06/2023;13:00:00;233,10;233,23;232,80;232,80;264.463,36;1.135
IVVB11;05/06/2023;12:55:00;233,28;233,38;233,10;233,10;22.859,06;98
IVVB11;05/06/2023;12:50:00;233,40;233,48;233,26;233,26;22.174,07;95
IVVB11;05/06/2023;12:45:00;233,16;233,40;233,16;233,29;78.394,18;336
IVVB11;05/06/2023;12:40:00;233,17;233,24;233,10;233,16;20.052,28;86
IVVB11;05/06/2023;12:35:00;233,20;233,27;233,08;233,16;39.177,06;168
IVVB11;05/06/2023;12:30:00;233,08;233,27;233,08;233,27;36.373,84;156
IVVB11;05/06/2023;12:25:00;232,95;233,18;232,95;233,16;90.420,49;388
IVVB11;05/06/2023;12:20:00;232,90;233,00;232,82;232,93;49.602,92;213
IVVB11;05/06/2023;12:15:00;232,97;233,00;232,80;232,95;36.795,90;158
IVVB11;05/06/2023;12:10:00;233,18;233,22;232,95;233,01;32.626,92;140
IVVB11;05/06/2023;12:05:00;232,88;233,20;232,85;233,20;92.035,99;395
IVVB11;05/06/2023;12:00:00;233,29;233,29;233,00;233,00;230.931,40;991
IVVB11;05/06/2023;11:55:00;233,35;233,46;233,08;233,21;26.358,43;113
IVVB11;05/06/2023;11:50:00;233,36;233,50;233,22;233,27;67.216,86;288
IVVB11;05/06/2023;11:45:00;233,53;233,56;233,32;233,41;1.377.586,83;5.901
IVVB11;05/06/2023;11:40:00;233,34;233,56;233,34;233,52;473.132,05;2.027
IVVB11;05/06/2023;11:35:00;233,51;233,51;233,34;233,38;27.078,15;116
IVVB11;05/06/2023;11:30:00;233,32;233,57;233,32;233,41;213.617,73;915
IVVB11;05/06/2023;11:25:00;233,22;233,37;233,05;233,23;154.398,56;662
IVVB11;05/06/2023;11:20:00;233,37;233,45;233,10;233,10;111.545,46;478
IVVB11;05/06/2023;11:15:00;233,17;233,49;233,02;233,38;433.492,33;1.860
IVVB11;05/06/2023;11:10:00;233,11;233,29;233,01;233,02;190.221,16;816
IVVB11;05/06/2023;11:05:00;233,20;233,20;232,80;233,06;3.293.087,66;14.141
IVVB11;05/06/2023;11:00:00;233,65;233,83;233,12;233,17;189.596,88;812
IVVB11;05/06/2023;10:55:00;233,82;233,86;233,60;233,86;56.321,84;241
IVVB11;05/06/2023;10:50:00;233,95;234,03;233,75;233,82;1.035.180,21;4.425
IVVB11;05/06/2023;10:45:00;234,23;234,23;233,83;233,83;1.603.373,44;6.849
IVVB11;05/06/2023;10:40:00;234,16;234,36;234,04;234,28;19.205,39;82
IVVB11;05/06/2023;10:35:00;233,68;234,19;233,64;234,02;2.989.940,61;12.773
IVVB11;05/06/2023;10:30:00;233,63;233,95;233,54;233,71;44.173,16;189
IVVB11;05/06/2023;10:25:00;233,74;233,91;233,64;233,70;44.171,57;189
IVVB11;05/06/2023;10:20:00;233,88;233,97;233,80;233,92;34.621,40;148
IVVB11;05/06/2023;10:15:00;233,69;233,88;233,69;233,75;53.775,11;230
IVVB11;05/06/2023;10:10:00;233,67;233,86;233,61;233,80;14.723,40;63
IVVB11;05/06/2023;10:05:00;233,82;234,00;233,60;233,91;111.071,16;475
IVVB11;02/06/2023;17:30:00;233,99;234,38;233,69;234,38;135.906,72;581
IVVB11;02/06/2023;16:50:00;234,38;234,50;234,00;234,00;2.570.667,48;10.985
IVVB11;02/06/2023;16:45:00;234,38;234,53;234,35;234,38;26.515.908,50;113.132
IVVB11;02/06/2023;16:40:00;234,51;234,53;234,36;234,42;71.270,47;304
IVVB11;02/06/2023;16:35:00;234,45;234,53;234,32;234,43;447.338,70;1.908
IVVB11;02/06/2023;16:30:00;234,40;234,53;234,33;234,37;323.003,80;1.378
IVVB11;02/06/2023;16:25:00;234,60;234,60;234,40;234,40;451.393,93;1.925
IVVB11;02/06/2023;16:20:00;234,69;234,70;234,47;234,47;114.716,25;489
IVVB11;02/06/2023;16:15:00;234,69;234,81;234,67;234,70;153.966,86;656
IVVB11;02/06/2023;16:10:00;234,64;234,74;234,50;234,70;92.925,59;396
IVVB11;02/06/2023;16:05:00;234,78;234,90;234,66;234,66;107.104,12;456
IVVB11;02/06/2023;16:00:00;235,00;235,04;234,89;234,89;875.251,98;3.725
IVVB11;02/06/2023;15:55:00;234,94;235,00;234,84;234,98;53.094,22;226
IVVB11;02/06/2023;15:50:00;234,95;235,00;234,84;234,96;429.998,56;1.830
IVVB11;02/06/2023;15:45:00;234,89;234,98;234,81;234,95;38.295,86;163
IVVB11;02/06/2023;15:40:00;234,87;234,91;234,74;234,89;57.759,08;246
IVVB11;02/06/2023;15:35:00;234,80;234,98;234,75;234,87;45.336,89;193
IVVB11;02/06/2023;15:30:00;234,60;234,85;234,47;234,85;612.627,39;2.610
IVVB11;02/06/2023;15:25:00;234,66;234,70;234,46;234,60;44.570,39;190
IVVB11;02/06/2023;15:20:00;234,40;234,66;234,40;234,64;87.218,12;372
IVVB11;02/06/2023;15:15:00;234,44;234,48;234,28;234,31;571.265,78;2.437
IVVB11;02/06/2023;15:10:00;234,43;234,57;234,42;234,42;129.413,48;552
IVVB11;02/06/2023;15:05:00;234,88;234,88;234,41;234,41;94.499,52;403
IVVB11;02/06/2023;15:00:00;234,85;234,90;234,76;234,76;40.392,13;172
IVVB11;02/06/2023;14:55:00;234,73;234,80;234,71;234,80;48.361,54;206
