Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JALL3;16/06/2023;17:30:00;7,95;7,96;7,90;7,96;58.728,00;7.400
JALL3;16/06/2023;16:45:00;7,99;7,99;7,97;7,99;1.266.364,00;158.500
JALL3;16/06/2023;16:40:00;7,97;7,99;7,96;7,98;59.788,00;7.500
JALL3;16/06/2023;16:35:00;7,98;8,00;7,97;7,97;42.304,00;5.300
JALL3;16/06/2023;16:30:00;7,99;7,99;7,97;7,98;32.728,00;4.100
JALL3;16/06/2023;16:25:00;7,97;7,99;7,97;7,98;76.600,00;9.600
JALL3;16/06/2023;16:20:00;7,97;7,99;7,97;7,99;26.326,00;3.300
JALL3;16/06/2023;16:15:00;7,98;8,00;7,97;7,98;26.333,00;3.300
JALL3;16/06/2023;16:10:00;7,98;8,00;7,98;7,98;15.168,00;1.900
JALL3;16/06/2023;16:05:00;8,00;8,00;7,98;7,98;16.767,00;2.100
JALL3;16/06/2023;16:00:00;7,99;8,00;7,97;7,99;44.724,00;5.600
JALL3;16/06/2023;15:55:00;7,97;7,99;7,97;7,99;39.100,00;4.900
JALL3;16/06/2023;15:50:00;8,00;8,02;7,97;7,97;245.522,00;30.700
JALL3;16/06/2023;15:45:00;8,03;8,03;8,00;8,01;18.427,00;2.300
JALL3;16/06/2023;15:40:00;8,02;8,04;8,01;8,02;41.701,00;5.200
JALL3;16/06/2023;15:35:00;8,02;8,04;8,01;8,02;25.687,00;3.200
JALL3;16/06/2023;15:30:00;8,02;8,03;8,01;8,02;7.220,00;900
JALL3;16/06/2023;15:25:00;8,02;8,02;8,01;8,01;12.828,00;1.600
JALL3;16/06/2023;15:20:00;8,02;8,02;8,01;8,01;6.414,00;800
JALL3;16/06/2023;15:15:00;8,03;8,03;8,01;8,03;16.040,00;2.000
JALL3;16/06/2023;15:10:00;8,03;8,03;8,01;8,03;8.022,00;1.000
JALL3;16/06/2023;15:05:00;8,03;8,03;8,01;8,02;73.731,00;9.200
JALL3;16/06/2023;15:00:00;8,04;8,04;8,01;8,03;38.504,00;4.800
JALL3;16/06/2023;14:55:00;8,03;8,04;8,02;8,04;14.451,00;1.800
JALL3;16/06/2023;14:50:00;8,03;8,03;8,02;8,03;4.014,00;500
JALL3;16/06/2023;14:45:00;8,04;8,05;8,02;8,02;33.734,00;4.200
JALL3;16/06/2023;14:40:00;8,04;8,05;8,03;8,05;15.278,00;1.900
JALL3;16/06/2023;14:35:00;8,04;8,04;8,03;8,03;32.937,00;4.100
JALL3;16/06/2023;14:30:00;8,03;8,05;8,03;8,04;12.863,00;1.600
JALL3;16/06/2023;14:25:00;8,04;8,05;8,01;8,02;64.205,00;8.000
JALL3;16/06/2023;14:20:00;8,04;8,05;8,03;8,04;9.653,00;1.200
JALL3;16/06/2023;14:15:00;8,04;8,05;8,03;8,05;20.910,00;2.600
JALL3;16/06/2023;14:10:00;8,04;8,04;8,02;8,03;10.439,00;1.300
JALL3;16/06/2023;14:05:00;8,04;8,05;8,03;8,04;11.256,00;1.400
JALL3;16/06/2023;14:00:00;8,06;8,06;8,01;8,03;71.439,00;8.900
JALL3;16/06/2023;13:55:00;8,05;8,06;8,05;8,05;7.248,00;900
JALL3;16/06/2023;13:50:00;8,05;8,06;8,04;8,06;17.719,00;2.200
JALL3;16/06/2023;13:45:00;8,05;8,05;8,03;8,04;16.898,00;2.100
JALL3;16/06/2023;13:40:00;8,04;8,05;8,03;8,05;11.255,00;1.400
JALL3;16/06/2023;13:35:00;8,05;8,05;8,03;8,04;5.627,00;700
JALL3;16/06/2023;13:30:00;8,04;8,05;8,03;8,03;11.256,00;1.400
