Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JBSS3;16/06/2023;17:30:00;17,87;17,89;17,86;17,89;9.063.331,00;506.900
JBSS3;16/06/2023;16:45:00;17,81;17,88;17,78;17,88;166.998.304,00;9.341.200
JBSS3;16/06/2023;16:40:00;17,80;17,85;17,78;17,81;5.836.643,00;327.700
JBSS3;16/06/2023;16:35:00;17,73;17,82;17,72;17,81;6.179.971,00;347.500
JBSS3;16/06/2023;16:30:00;17,72;17,74;17,65;17,73;8.538.125,00;482.500
JBSS3;16/06/2023;16:25:00;17,71;17,73;17,70;17,73;2.564.665,00;144.800
JBSS3;16/06/2023;16:20:00;17,72;17,74;17,70;17,71;3.128.856,00;176.600
JBSS3;16/06/2023;16:15:00;17,72;17,74;17,72;17,72;2.326.176,00;131.200
JBSS3;16/06/2023;16:10:00;17,73;17,74;17,72;17,73;1.324.221,00;74.700
JBSS3;16/06/2023;16:05:00;17,73;17,74;17,72;17,74;2.108.251,00;118.900
JBSS3;16/06/2023;16:00:00;17,77;17,77;17,73;17,73;1.717.805,00;96.800
JBSS3;16/06/2023;15:55:00;17,76;17,77;17,73;17,77;3.032.779,00;170.800
JBSS3;16/06/2023;15:50:00;17,77;17,78;17,76;17,77;1.595.638,00;89.800
JBSS3;16/06/2023;15:45:00;17,78;17,79;17,77;17,78;1.169.905,00;65.800
JBSS3;16/06/2023;15:40:00;17,76;17,80;17,76;17,78;1.604.078,00;90.200
JBSS3;16/06/2023;15:35:00;17,78;17,78;17,76;17,77;2.264.158,00;127.400
JBSS3;16/06/2023;15:30:00;17,78;17,80;17,76;17,78;1.648.154,00;92.700
JBSS3;16/06/2023;15:25:00;17,76;17,78;17,76;17,77;1.464.223,00;82.400
JBSS3;16/06/2023;15:20:00;17,76;17,77;17,73;17,76;1.876.130,00;105.700
JBSS3;16/06/2023;15:15:00;17,71;17,76;17,71;17,76;5.003.379,00;282.200
JBSS3;16/06/2023;15:10:00;17,71;17,74;17,71;17,71;4.096.676,00;231.100
JBSS3;16/06/2023;15:05:00;17,74;17,74;17,71;17,71;2.341.645,00;132.100
JBSS3;16/06/2023;15:00:00;17,79;17,79;17,75;17,75;3.381.348,00;190.300
JBSS3;16/06/2023;14:55:00;17,78;17,80;17,76;17,79;2.528.577,00;142.200
JBSS3;16/06/2023;14:50:00;17,82;17,82;17,78;17,79;1.279.753,00;71.900
JBSS3;16/06/2023;14:45:00;17,82;17,82;17,78;17,82;4.164.338,00;233.900
JBSS3;16/06/2023;14:40:00;17,84;17,84;17,81;17,81;1.903.699,00;106.800
JBSS3;16/06/2023;14:35:00;17,85;17,85;17,83;17,83;899.070,00;50.400
JBSS3;16/06/2023;14:30:00;17,89;17,90;17,81;17,85;5.196.275,00;291.100
JBSS3;16/06/2023;14:25:00;17,89;17,91;17,88;17,90;1.436.955,00;80.300
JBSS3;16/06/2023;14:20:00;17,91;17,93;17,86;17,89;4.872.655,00;272.400
JBSS3;16/06/2023;14:15:00;17,92;17,94;17,90;17,90;1.318.763,00;73.600
JBSS3;16/06/2023;14:10:00;17,96;17,96;17,92;17,93;1.390.166,00;77.500
JBSS3;16/06/2023;14:05:00;18,01;18,01;17,94;17,96;1.193.159,00;66.400
JBSS3;16/06/2023;14:00:00;18,02;18,02;17,99;18,00;1.229.747,00;68.300
JBSS3;16/06/2023;13:55:00;17,98;18,04;17,96;18,02;9.166.222,00;509.400
JBSS3;16/06/2023;13:50:00;17,94;17,98;17,93;17,98;2.021.733,00;112.600
JBSS3;16/06/2023;13:45:00;17,92;17,94;17,92;17,94;905.435,00;50.500
JBSS3;16/06/2023;13:40:00;17,89;17,94;17,88;17,92;1.377.014,00;76.900
JBSS3;16/06/2023;13:35:00;17,87;17,90;17,86;17,89;1.409.018,00;78.800
JBSS3;16/06/2023;13:30:00;17,87;17,89;17,86;17,87;1.285.539,00;71.900
JBSS3;16/06/2023;13:25:00;17,88;17,89;17,86;17,86;933.231,00;52.200
JBSS3;16/06/2023;13:20:00;17,85;17,89;17,85;17,88;1.260.250,00;70.500
JBSS3;16/06/2023;13:15:00;17,85;17,86;17,84;17,86;1.251.329,00;70.100
JBSS3;16/06/2023;13:10:00;17,84;17,86;17,84;17,84;1.070.783,00;60.000
JBSS3;16/06/2023;13:05:00;17,84;17,85;17,84;17,84;465.743,00;26.100
JBSS3;16/06/2023;13:00:00;17,84;17,85;17,83;17,85;722.554,00;40.500
JBSS3;16/06/2023;12:55:00;17,85;17,90;17,84;17,84;1.198.776,00;67.100
JBSS3;16/06/2023;12:50:00;17,88;17,89;17,85;17,85;684.187,00;38.300
