Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JFEN3;16/06/2023;17:30:00;2,49;2,49;2,45;2,45;3.213,00;1.300
JFEN3;16/06/2023;16:45:00;2,49;2,49;2,45;2,45;14.470,00;5.900
JFEN3;16/06/2023;16:00:00;2,50;2,50;2,50;2,50;750,00;300
JFEN3;16/06/2023;15:55:00;2,50;2,50;2,50;2,50;250,00;100
JFEN3;16/06/2023;15:20:00;2,50;2,50;2,50;2,50;1.500,00;600
JFEN3;16/06/2023;15:15:00;2,52;2,52;2,50;2,50;2.009,00;800
JFEN3;16/06/2023;14:30:00;2,53;2,53;2,53;2,53;1.012,00;400
JFEN3;16/06/2023;13:45:00;2,54;2,54;2,54;2,54;2.032,00;800
JFEN3;16/06/2023;13:25:00;2,52;2,56;2,52;2,56;2.776,00;1.100
JFEN3;16/06/2023;13:20:00;2,55;2,56;2,51;2,56;21.335,00;8.400
JFEN3;16/06/2023;13:15:00;2,54;2,55;2,54;2,55;3.049,00;1.200
JFEN3;16/06/2023;13:10:00;2,54;2,54;2,54;2,54;2.540,00;1.000
JFEN3;16/06/2023;12:50:00;2,51;2,54;2,51;2,54;756,00;300
JFEN3;16/06/2023;12:45:00;2,53;2,54;2,53;2,54;507,00;200
JFEN3;16/06/2023;11:10:00;2,51;2,51;2,51;2,51;251,00;100
JFEN3;16/06/2023;11:05:00;2,54;2,54;2,54;2,54;254,00;100
JFEN3;16/06/2023;11:00:00;2,54;2,54;2,54;2,54;2.286,00;900
JFEN3;16/06/2023;10:50:00;2,54;2,54;2,54;2,54;762,00;300
JFEN3;16/06/2023;10:35:00;2,52;2,53;2,52;2,53;2.529,00;1.000
JFEN3;16/06/2023;10:30:00;2,52;2,52;2,52;2,52;252,00;100
JFEN3;16/06/2023;10:25:00;2,50;2,51;2,50;2,51;501,00;200
JFEN3;15/06/2023;16:45:00;2,47;2,47;2,45;2,45;4.670,00;1.900
JFEN3;15/06/2023;15:35:00;2,52;2,52;2,52;2,52;15.120,00;6.000
JFEN3;15/06/2023;14:30:00;2,54;2,54;2,54;2,54;254,00;100
JFEN3;15/06/2023;14:10:00;2,53;2,54;2,53;2,54;1.519,00;600
JFEN3;15/06/2023;12:50:00;2,50;2,52;2,50;2,52;752,00;300
JFEN3;15/06/2023;12:35:00;2,53;2,53;2,53;2,53;253,00;100
JFEN3;15/06/2023;12:30:00;2,50;2,54;2,50;2,54;1.010,00;400
JFEN3;15/06/2023;11:30:00;2,51;2,52;2,51;2,52;1.259,00;500
JFEN3;15/06/2023;11:25:00;2,51;2,51;2,45;2,45;5.934,00;2.400
JFEN3;15/06/2023;11:00:00;2,53;2,54;2,53;2,54;507,00;200
JFEN3;15/06/2023;10:30:00;2,55;2,55;2,55;2,55;255,00;100
JFEN3;15/06/2023;10:25:00;2,55;2,55;2,55;2,55;255,00;100
JFEN3;15/06/2023;10:20:00;2,60;2,60;2,55;2,55;770,00;300
JFEN3;15/06/2023;10:00:00;2,53;2,53;2,53;2,53;3.036,00;1.200
JFEN3;14/06/2023;16:30:00;2,54;2,56;2,50;2,50;3.519,00;1.400
JFEN3;14/06/2023;16:00:00;2,53;2,53;2,47;2,47;3.277,00;1.300
JFEN3;14/06/2023;15:30:00;2,52;2,53;2,52;2,53;2.018,00;800
JFEN3;14/06/2023;15:25:00;2,52;2,52;2,48;2,49;5.970,00;2.400
JFEN3;14/06/2023;15:20:00;2,51;2,51;2,51;2,51;502,00;200
JFEN3;14/06/2023;15:15:00;2,46;2,46;2,44;2,44;6.121,00;2.500
JFEN3;14/06/2023;15:10:00;2,48;2,48;2,45;2,45;2.455,00;1.000
JFEN3;14/06/2023;15:05:00;2,50;2,50;2,48;2,48;7.453,00;3.000
JFEN3;14/06/2023;14:25:00;2,58;2,58;2,58;2,58;258,00;100
JFEN3;14/06/2023;14:20:00;2,55;2,58;2,55;2,58;1.287,00;500
JFEN3;14/06/2023;14:05:00;2,54;2,55;2,54;2,55;509,00;200
JFEN3;14/06/2023;13:35:00;2,58;2,58;2,53;2,53;511,00;200
JFEN3;14/06/2023;13:20:00;2,62;2,62;2,62;2,62;524,00;200
JFEN3;14/06/2023;13:10:00;2,65;2,65;2,65;2,65;265,00;100
JFEN3;14/06/2023;13:05:00;2,57;2,63;2,57;2,63;7.335,00;2.800
JFEN3;14/06/2023;13:00:00;2,55;2,55;2,55;2,55;510,00;200
JFEN3;14/06/2023;12:55:00;2,61;2,62;2,61;2,61;1.306,00;500
JFEN3;14/06/2023;12:50:00;2,58;2,61;2,58;2,61;12.690,00;4.900
JFEN3;14/06/2023;12:45:00;2,58;2,58;2,58;2,58;258,00;100
JFEN3;14/06/2023;12:40:00;2,55;2,57;2,55;2,57;5.637,00;2.200
JFEN3;14/06/2023;12:35:00;2,51;2,55;2,51;2,55;9.087,00;3.600
JFEN3;14/06/2023;12:30:00;2,50;2,50;2,49;2,49;12.749,00;5.100
JFEN3;14/06/2023;11:40:00;2,50;2,51;2,50;2,51;2.759,00;1.100
JFEN3;14/06/2023;10:20:00;2,42;2,43;2,40;2,43;1.694,00;700
JFEN3;14/06/2023;10:00:00;2,51;2,51;2,51;2,51;1.004,00;400
JFEN3;13/06/2023;17:30:00;2,45;2,45;2,43;2,43;732,00;300
JFEN3;13/06/2023;16:25:00;2,47;2,47;2,47;2,47;247,00;100
JFEN3;13/06/2023;15:15:00;2,46;2,50;2,46;2,50;4.953,00;2.000
JFEN3;13/06/2023;14:20:00;2,44;2,44;2,40;2,40;1.690,00;700
JFEN3;13/06/2023;12:45:00;2,44;2,44;2,44;2,44;488,00;200
JFEN3;13/06/2023;12:30:00;2,45;2,45;2,45;2,45;490,00;200
JFEN3;13/06/2023;11:25:00;2,45;2,45;2,45;2,45;245,00;100
JFEN3;13/06/2023;11:10:00;2,49;2,50;2,49;2,50;1.495,00;600
JFEN3;13/06/2023;10:55:00;2,41;2,48;2,41;2,48;2.721,00;1.100
JFEN3;13/06/2023;10:05:00;2,40;2,40;2,40;2,40;240,00;100
JFEN3;12/06/2023;17:30:00;2,44;2,44;2,44;2,44;488,00;200
JFEN3;12/06/2023;15:25:00;2,43;2,43;2,43;2,43;3.888,00;1.600
JFEN3;12/06/2023;15:20:00;2,43;2,43;2,43;2,43;1.701,00;700
JFEN3;12/06/2023;15:15:00;2,43;2,43;2,43;2,43;1.701,00;700
JFEN3;12/06/2023;15:10:00;2,45;2,45;2,43;2,43;975,00;400
JFEN3;12/06/2023;14:30:00;2,46;2,46;2,43;2,43;1.224,00;500
JFEN3;12/06/2023;14:10:00;2,49;2,49;2,46;2,46;2.466,00;1.000
