Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JHSF3;16/06/2023;17:30:00;4,96;4,96;4,91;4,92;159.757,00;32.300
JHSF3;16/06/2023;16:45:00;4,94;4,95;4,92;4,95;3.527.119,00;713.100
JHSF3;16/06/2023;16:40:00;4,93;4,94;4,92;4,94;293.321,00;59.500
JHSF3;16/06/2023;16:35:00;4,93;4,94;4,92;4,94;347.824,00;70.500
JHSF3;16/06/2023;16:30:00;4,93;4,94;4,92;4,94;86.286,00;17.500
JHSF3;16/06/2023;16:25:00;4,92;4,94;4,91;4,93;360.732,00;73.200
JHSF3;16/06/2023;16:20:00;4,92;4,93;4,92;4,93;155.743,00;31.600
JHSF3;16/06/2023;16:15:00;4,91;4,93;4,91;4,93;260.982,00;53.000
JHSF3;16/06/2023;16:10:00;4,91;4,92;4,91;4,92;138.044,00;28.100
JHSF3;16/06/2023;16:05:00;4,91;4,92;4,91;4,92;37.834,00;7.700
JHSF3;16/06/2023;16:00:00;4,92;4,93;4,91;4,92;120.507,00;24.500
JHSF3;16/06/2023;15:55:00;4,91;4,92;4,91;4,92;45.209,00;9.200
JHSF3;16/06/2023;15:50:00;4,92;4,92;4,91;4,91;115.413,00;23.500
JHSF3;16/06/2023;15:45:00;4,93;4,93;4,91;4,91;194.824,00;39.600
JHSF3;16/06/2023;15:40:00;4,92;4,93;4,92;4,93;23.160,00;4.700
JHSF3;16/06/2023;15:35:00;4,92;4,93;4,92;4,93;36.938,00;7.500
JHSF3;16/06/2023;15:30:00;4,93;4,93;4,91;4,92;140.217,00;28.500
JHSF3;16/06/2023;15:25:00;4,93;4,93;4,92;4,93;238.227,00;48.400
JHSF3;16/06/2023;15:20:00;4,92;4,93;4,91;4,93;282.419,00;57.400
JHSF3;16/06/2023;15:15:00;4,91;4,92;4,91;4,92;68.862,00;14.000
JHSF3;16/06/2023;15:10:00;4,92;4,92;4,91;4,92;55.062,00;11.200
JHSF3;16/06/2023;15:05:00;4,92;4,92;4,91;4,92;92.488,00;18.800
JHSF3;16/06/2023;15:00:00;4,92;4,92;4,91;4,92;20.161,00;4.100
JHSF3;16/06/2023;14:55:00;4,94;4,94;4,91;4,92;393.914,00;80.000
JHSF3;16/06/2023;14:50:00;4,94;4,94;4,93;4,94;26.176,00;5.300
JHSF3;16/06/2023;14:45:00;4,94;4,94;4,94;4,94;93.366,00;18.900
JHSF3;16/06/2023;14:40:00;4,94;4,94;4,93;4,94;84.472,00;17.100
JHSF3;16/06/2023;14:35:00;4,94;4,94;4,93;4,94;82.493,00;16.700
JHSF3;16/06/2023;14:30:00;4,93;4,94;4,93;4,94;32.068,00;6.500
JHSF3;16/06/2023;14:25:00;4,92;4,93;4,92;4,93;56.630,00;11.500
JHSF3;16/06/2023;14:20:00;4,94;4,94;4,92;4,93;135.575,00;27.500
JHSF3;16/06/2023;14:15:00;4,94;4,94;4,93;4,94;81.997,00;16.600
JHSF3;16/06/2023;14:10:00;4,94;4,94;4,93;4,94;19.758,00;4.000
JHSF3;16/06/2023;14:05:00;4,93;4,94;4,93;4,93;27.613,00;5.600
JHSF3;16/06/2023;14:00:00;4,95;4,95;4,93;4,93;57.293,00;11.600
JHSF3;16/06/2023;13:55:00;4,94;4,95;4,94;4,95;37.060,00;7.500
JHSF3;16/06/2023;13:50:00;4,93;4,94;4,92;4,94;22.182,00;4.500
JHSF3;16/06/2023;13:45:00;4,93;4,93;4,92;4,92;54.154,00;11.000
JHSF3;16/06/2023;13:40:00;4,93;4,93;4,92;4,93;20.705,00;4.200
JHSF3;16/06/2023;13:35:00;4,93;4,94;4,92;4,93;52.751,00;10.700
JHSF3;16/06/2023;13:30:00;4,93;4,94;4,92;4,93;27.604,00;5.600
JHSF3;16/06/2023;13:25:00;4,94;4,94;4,92;4,93;98.092,00;19.900
JHSF3;16/06/2023;13:20:00;4,94;4,94;4,93;4,94;13.332,00;2.700
JHSF3;16/06/2023;13:15:00;4,94;4,94;4,93;4,94;27.166,00;5.500
JHSF3;16/06/2023;13:10:00;4,94;4,94;4,93;4,94;103.080,00;20.900
JHSF3;16/06/2023;13:05:00;4,93;4,94;4,92;4,94;14.797,00;3.000
JHSF3;16/06/2023;13:00:00;4,91;4,93;4,91;4,92;77.744,00;15.800
JHSF3;16/06/2023;12:55:00;4,92;4,93;4,92;4,92;44.302,00;9.000
JHSF3;16/06/2023;12:50:00;4,93;4,93;4,92;4,92;67.537,00;13.700
JHSF3;16/06/2023;12:45:00;4,93;4,94;4,92;4,93;87.756,00;17.800
JHSF3;16/06/2023;12:40:00;4,93;4,93;4,93;4,93;30.073,00;6.100
JHSF3;16/06/2023;12:35:00;4,93;4,93;4,92;4,93;44.835,00;9.100
JHSF3;16/06/2023;12:30:00;4,93;4,94;4,92;4,94;52.741,00;10.700
JHSF3;16/06/2023;12:25:00;4,94;4,94;4,93;4,93;143.029,00;29.000
