Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
JSLG3;16/06/2023;17:30:00;9,00;9,00;9,00;9,00;9.000,00;1.000
JSLG3;16/06/2023;16:45:00;8,97;9,00;8,95;9,00;267.237,00;29.700
JSLG3;16/06/2023;16:40:00;8,97;8,98;8,97;8,98;12.566,00;1.400
JSLG3;16/06/2023;16:35:00;9,00;9,02;8,97;8,97;154.782,00;17.200
JSLG3;16/06/2023;16:30:00;8,97;9,01;8,95;9,00;239.211,00;26.600
JSLG3;16/06/2023;16:25:00;9,00;9,02;8,95;8,97;192.312,00;21.400
JSLG3;16/06/2023;16:20:00;8,95;9,01;8,95;8,98;248.027,00;27.600
JSLG3;16/06/2023;16:15:00;8,91;9,00;8,91;8,96;278.517,00;31.100
JSLG3;16/06/2023;16:10:00;8,95;8,95;8,90;8,91;35.691,00;4.000
JSLG3;16/06/2023;16:05:00;8,99;9,00;8,95;8,96;34.110,00;3.800
JSLG3;16/06/2023;16:00:00;8,99;9,04;8,96;8,99;279.125,00;31.000
JSLG3;16/06/2023;15:55:00;8,99;9,00;8,95;8,99;97.016,00;10.800
JSLG3;16/06/2023;15:50:00;8,98;9,02;8,97;8,97;215.826,00;24.000
JSLG3;16/06/2023;15:45:00;8,98;9,03;8,94;8,96;205.898,00;22.900
JSLG3;16/06/2023;15:40:00;8,96;9,03;8,95;8,97;117.767,00;13.100
JSLG3;16/06/2023;15:35:00;8,95;9,03;8,93;8,96;220.746,00;24.600
JSLG3;16/06/2023;15:30:00;8,92;8,99;8,92;8,95;168.202,00;18.800
JSLG3;16/06/2023;15:25:00;8,91;8,92;8,90;8,91;16.931,00;1.900
JSLG3;16/06/2023;15:20:00;8,91;8,92;8,91;8,92;12.487,00;1.400
JSLG3;16/06/2023;15:15:00;8,92;8,92;8,92;8,92;2.676,00;300
JSLG3;16/06/2023;15:10:00;8,93;8,93;8,91;8,91;14.278,00;1.600
JSLG3;16/06/2023;15:00:00;8,94;8,94;8,92;8,93;14.288,00;1.600
JSLG3;16/06/2023;14:55:00;8,93;8,94;8,92;8,94;37.517,00;4.200
JSLG3;16/06/2023;14:50:00;8,94;8,95;8,90;8,92;72.341,00;8.100
JSLG3;16/06/2023;14:45:00;8,97;9,01;8,95;8,95;100.643,00;11.200
JSLG3;16/06/2023;14:40:00;8,94;8,99;8,93;8,96;69.939,00;7.800
JSLG3;16/06/2023;14:35:00;8,94;8,99;8,92;8,93;117.448,00;13.100
JSLG3;16/06/2023;14:30:00;8,84;8,96;8,84;8,91;127.190,00;14.300
JSLG3;16/06/2023;14:25:00;8,84;8,84;8,82;8,84;7.068,00;800
JSLG3;16/06/2023;14:20:00;8,88;8,88;8,83;8,84;38.068,00;4.300
JSLG3;16/06/2023;14:15:00;8,97;8,97;8,87;8,88;30.326,00;3.400
JSLG3;16/06/2023;14:10:00;8,98;8,99;8,94;8,97;31.405,00;3.500
JSLG3;16/06/2023;14:05:00;9,02;9,04;8,96;8,98;152.148,00;16.900
JSLG3;16/06/2023;14:00:00;9,01;9,04;8,99;9,00;129.780,00;14.400
JSLG3;16/06/2023;13:55:00;9,00;9,03;8,95;9,00;136.708,00;15.200
JSLG3;16/06/2023;13:50:00;8,96;9,00;8,95;8,99;127.556,00;14.200
JSLG3;16/06/2023;13:45:00;8,98;9,00;8,94;8,97;112.216,00;12.500
JSLG3;16/06/2023;13:40:00;8,96;8,99;8,95;8,98;55.637,00;6.200
JSLG3;16/06/2023;13:35:00;8,96;9,00;8,94;8,95;124.680,00;13.900
JSLG3;16/06/2023;13:30:00;8,91;8,99;8,89;8,96;80.471,00;9.000
JSLG3;16/06/2023;13:25:00;8,86;8,95;8,86;8,91;107.764,00;12.100
JSLG3;16/06/2023;13:20:00;8,86;8,93;8,85;8,86;105.737,00;11.900
JSLG3;16/06/2023;13:15:00;8,85;8,86;8,83;8,86;18.578,00;2.100
JSLG3;16/06/2023;13:10:00;8,85;8,87;8,84;8,84;23.902,00;2.700
JSLG3;16/06/2023;13:05:00;8,84;8,85;8,84;8,85;9.733,00;1.100
JSLG3;16/06/2023;13:00:00;8,83;8,84;8,82;8,83;11.480,00;1.300
JSLG3;16/06/2023;12:55:00;8,85;8,85;8,83;8,83;13.254,00;1.500
JSLG3;16/06/2023;12:50:00;8,82;8,84;8,82;8,83;15.894,00;1.800
JSLG3;16/06/2023;12:45:00;8,85;8,86;8,84;8,84;12.382,00;1.400
JSLG3;16/06/2023;12:40:00;8,86;8,86;8,84;8,86;5.314,00;600
JSLG3;16/06/2023;12:35:00;8,88;8,88;8,84;8,86;14.175,00;1.600
JSLG3;16/06/2023;12:30:00;8,84;8,88;8,84;8,88;9.738,00;1.100
JSLG3;16/06/2023;12:25:00;8,83;8,85;8,83;8,84;4.422,00;500
JSLG3;16/06/2023;12:20:00;8,86;8,86;8,84;8,84;13.269,00;1.500
JSLG3;16/06/2023;12:15:00;8,86;8,86;8,86;8,86;3.544,00;400
JSLG3;16/06/2023;12:10:00;8,87;8,87;8,84;8,86;14.176,00;1.600
JSLG3;16/06/2023;12:05:00;8,88;8,89;8,87;8,88;10.656,00;1.200
JSLG3;16/06/2023;12:00:00;8,88;8,92;8,88;8,88;55.178,00;6.200
JSLG3;16/06/2023;11:55:00;8,86;8,89;8,86;8,88;23.075,00;2.600
JSLG3;16/06/2023;11:50:00;8,85;8,88;8,85;8,88;25.699,00;2.900
JSLG3;16/06/2023;11:45:00;8,91;8,91;8,84;8,84;62.083,00;7.000
JSLG3;16/06/2023;11:40:00;8,92;8,95;8,92;8,92;25.900,00;2.900
JSLG3;16/06/2023;11:35:00;8,92;8,95;8,88;8,88;59.731,00;6.700
JSLG3;16/06/2023;11:30:00;8,91;8,92;8,91;8,92;16.930,00;1.900
JSLG3;16/06/2023;11:25:00;8,91;8,91;8,88;8,90;21.370,00;2.400
JSLG3;16/06/2023;11:20:00;8,90;8,90;8,90;8,90;1.780,00;200
JSLG3;16/06/2023;11:15:00;8,90;8,93;8,84;8,89;121.154,00;13.600
JSLG3;16/06/2023;11:10:00;8,86;8,90;8,86;8,90;38.196,00;4.300
JSLG3;16/06/2023;11:05:00;8,90;8,90;8,85;8,85;59.508,00;6.700
JSLG3;16/06/2023;11:00:00;8,80;8,89;8,80;8,89;87.591,00;9.900
JSLG3;16/06/2023;10:55:00;8,82;8,82;8,79;8,80;22.882,00;2.600
