Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
KEPL3;06/06/2023;11:20:00;8,73;8,75;8,73;8,75;13.111,00;1.500
KEPL3;06/06/2023;11:15:00;8,74;8,75;8,71;8,73;154.546,00;17.700
KEPL3;06/06/2023;11:10:00;8,75;8,75;8,72;8,73;163.404,00;18.700
KEPL3;06/06/2023;11:05:00;8,77;8,78;8,75;8,76;236.645,00;27.000
KEPL3;06/06/2023;11:00:00;8,78;8,82;8,76;8,78;480.670,00;54.600
KEPL3;06/06/2023;10:55:00;8,76;8,78;8,74;8,77;85.853,00;9.800
KEPL3;06/06/2023;10:50:00;8,74;8,78;8,74;8,76;176.094,00;20.100
KEPL3;06/06/2023;10:45:00;8,71;8,75;8,71;8,75;127.443,00;14.600
KEPL3;06/06/2023;10:40:00;8,72;8,72;8,69;8,70;88.810,00;10.200
KEPL3;06/06/2023;10:35:00;8,72;8,72;8,71;8,72;45.325,00;5.200
KEPL3;06/06/2023;10:30:00;8,70;8,74;8,70;8,74;188.457,00;21.600
KEPL3;06/06/2023;10:25:00;8,71;8,75;8,70;8,70;166.681,00;19.100
KEPL3;06/06/2023;10:20:00;8,69;8,72;8,65;8,72;240.377,00;27.700
KEPL3;06/06/2023;10:15:00;8,68;8,69;8,66;8,69;231.741,00;26.700
KEPL3;06/06/2023;10:10:00;8,73;8,73;8,66;8,69;363.423,00;41.800
KEPL3;06/06/2023;10:05:00;8,73;8,76;8,70;8,73;313.396,00;35.900
KEPL3;06/06/2023;10:00:00;8,70;8,71;8,70;8,71;73.957,00;8.500
KEPL3;05/06/2023;17:30:00;8,68;8,70;8,61;8,70;598.771,00;69.400
KEPL3;05/06/2023;16:50:00;8,69;8,70;8,67;8,67;3.080.712,00;355.300
KEPL3;05/06/2023;16:45:00;8,70;8,71;8,67;8,67;133.049,00;15.300
KEPL3;05/06/2023;16:40:00;8,72;8,72;8,69;8,69;195.048,00;22.400
KEPL3;05/06/2023;16:35:00;8,69;8,72;8,69;8,71;284.645,00;32.700
KEPL3;05/06/2023;16:30:00;8,67;8,70;8,67;8,69;129.513,00;14.900
KEPL3;05/06/2023;16:25:00;8,68;8,70;8,67;8,67;166.760,00;19.200
KEPL3;05/06/2023;16:20:00;8,66;8,69;8,65;8,68;185.459,00;21.400
KEPL3;05/06/2023;16:15:00;8,66;8,66;8,64;8,65;86.501,00;10.000
KEPL3;05/06/2023;16:10:00;8,66;8,66;8,62;8,65;196.256,00;22.700
KEPL3;05/06/2023;16:05:00;8,62;8,66;8,61;8,66;2.474.422,00;286.100
KEPL3;05/06/2023;16:00:00;8,61;8,63;8,60;8,61;232.487,00;27.000
KEPL3;05/06/2023;15:55:00;8,59;8,61;8,59;8,61;101.488,00;11.800
KEPL3;05/06/2023;15:50:00;8,62;8,62;8,58;8,60;592.290,00;68.800
KEPL3;05/06/2023;15:45:00;8,63;8,63;8,61;8,62;319.464,00;37.100
KEPL3;05/06/2023;15:40:00;8,62;8,64;8,61;8,62;96.548,00;11.200
KEPL3;05/06/2023;15:35:00;8,63;8,63;8,60;8,62;329.828,00;38.300
KEPL3;05/06/2023;15:30:00;8,62;8,64;8,61;8,63;162.936,00;18.900
KEPL3;05/06/2023;15:25:00;8,63;8,64;8,62;8,63;86.292,00;10.000
KEPL3;05/06/2023;15:20:00;8,62;8,64;8,61;8,63;187.025,00;21.700
KEPL3;05/06/2023;15:15:00;8,65;8,66;8,61;8,62;113.156,00;13.100
KEPL3;05/06/2023;15:10:00;8,65;8,66;8,64;8,65;67.472,00;7.800
KEPL3;05/06/2023;15:05:00;8,67;8,67;8,63;8,64;149.642,00;17.300
KEPL3;05/06/2023;15:00:00;8,64;8,68;8,64;8,66;151.654,00;17.500
KEPL3;05/06/2023;14:55:00;8,64;8,65;8,63;8,64;48.403,00;5.600
KEPL3;05/06/2023;14:50:00;8,64;8,65;8,64;8,64;86.457,00;10.000
KEPL3;05/06/2023;14:45:00;8,63;8,65;8,63;8,64;61.349,00;7.100
KEPL3;05/06/2023;14:40:00;8,64;8,64;8,63;8,63;43.189,00;5.000
KEPL3;05/06/2023;14:35:00;8,64;8,64;8,62;8,64;125.176,00;14.500
KEPL3;05/06/2023;14:30:00;8,61;8,64;8,61;8,63;202.427,00;23.500
KEPL3;05/06/2023;14:25:00;8,65;8,65;8,61;8,62;136.208,00;15.800
KEPL3;05/06/2023;14:20:00;8,64;8,65;8,63;8,64;62.219,00;7.200
KEPL3;05/06/2023;14:15:00;8,63;8,64;8,62;8,63;77.653,00;9.000
KEPL3;05/06/2023;14:10:00;8,61;8,64;8,61;8,64;69.023,00;8.000
KEPL3;05/06/2023;14:05:00;8,60;8,62;8,59;8,62;67.991,00;7.900
KEPL3;05/06/2023;14:00:00;8,57;8,62;8,56;8,60;84.227,00;9.800
KEPL3;05/06/2023;13:55:00;8,57;8,58;8,55;8,57;100.236,00;11.700
KEPL3;05/06/2023;13:50:00;8,50;8,60;8,50;8,56;515.969,00;60.200
KEPL3;05/06/2023;13:45:00;8,49;8,51;8,49;8,50;73.108,00;8.600
KEPL3;05/06/2023;13:40:00;8,49;8,51;8,49;8,49;68.000,00;8.000
KEPL3;05/06/2023;13:35:00;8,51;8,52;8,48;8,49;249.959,00;29.400
KEPL3;05/06/2023;13:30:00;8,54;8,56;8,50;8,51;362.763,00;42.600
KEPL3;05/06/2023;13:25:00;8,65;8,67;8,54;8,54;1.125.027,00;131.200
KEPL3;05/06/2023;13:20:00;8,65;8,67;8,64;8,66;110.023,00;12.700
KEPL3;05/06/2023;13:15:00;8,67;8,68;8,65;8,65;71.879,00;8.300
KEPL3;05/06/2023;13:10:00;8,66;8,69;8,66;8,68;215.932,00;24.900
KEPL3;05/06/2023;13:05:00;8,67;8,67;8,64;8,65;135.950,00;15.700
KEPL3;05/06/2023;13:00:00;8,64;8,67;8,64;8,67;55.400,00;6.400
KEPL3;05/06/2023;12:55:00;8,65;8,66;8,64;8,64;70.048,00;8.100
KEPL3;05/06/2023;12:50:00;8,65;8,65;8,64;8,64;49.290,00;5.700
KEPL3;05/06/2023;12:45:00;8,63;8,65;8,63;8,65;273.048,00;31.600
KEPL3;05/06/2023;12:40:00;8,65;8,66;8,62;8,64;412.420,00;47.700
KEPL3;05/06/2023;12:35:00;8,62;8,65;8,61;8,65;143.377,00;16.600
KEPL3;05/06/2023;12:30:00;8,63;8,65;8,62;8,62;41.450,00;4.800
KEPL3;05/06/2023;12:25:00;8,66;8,67;8,62;8,63;117.555,00;13.600
KEPL3;05/06/2023;12:20:00;8,65;8,67;8,65;8,67;60.626,00;7.000
KEPL3;05/06/2023;12:15:00;8,64;8,66;8,63;8,65;360.015,00;41.600
KEPL3;05/06/2023;12:10:00;8,62;8,66;8,61;8,65;293.596,00;34.000
KEPL3;05/06/2023;12:05:00;8,59;8,64;8,59;8,63;430.673,00;50.000
KEPL3;05/06/2023;12:00:00;8,54;8,58;8,54;8,58;231.319,00;27.000
KEPL3;05/06/2023;11:55:00;8,54;8,56;8,53;8,54;59.805,00;7.000
KEPL3;05/06/2023;11:50:00;8,55;8,56;8,53;8,54;171.851,00;20.100
KEPL3;05/06/2023;11:45:00;8,57;8,58;8,55;8,55;114.736,00;13.400
KEPL3;05/06/2023;11:40:00;8,56;8,58;8,52;8,57;230.079,00;26.900
KEPL3;05/06/2023;11:35:00;8,55;8,58;8,54;8,55;201.071,00;23.500
KEPL3;05/06/2023;11:30:00;8,53;8,56;8,53;8,55;129.116,00;15.100
KEPL3;05/06/2023;11:25:00;8,51;8,54;8,50;8,53;166.826,00;19.600
KEPL3;05/06/2023;11:20:00;8,50;8,53;8,47;8,53;540.574,00;63.500
KEPL3;05/06/2023;11:15:00;8,51;8,51;8,49;8,50;471.926,00;55.500
KEPL3;05/06/2023;11:10:00;8,52;8,53;8,50;8,51;177.098,00;20.800
KEPL3;05/06/2023;11:05:00;8,54;8,55;8,51;8,51;184.269,00;21.600
KEPL3;05/06/2023;11:00:00;8,49;8,55;8,49;8,53;369.127,00;43.300
KEPL3;05/06/2023;10:55:00;8,50;8,55;8,47;8,50;290.220,00;34.100
KEPL3;05/06/2023;10:50:00;8,56;8,56;8,50;8,50;144.988,00;17.000
KEPL3;05/06/2023;10:45:00;8,55;8,60;8,54;8,56;257.273,00;30.000
KEPL3;05/06/2023;10:40:00;8,59;8,61;8,53;8,54;259.952,00;30.300
KEPL3;05/06/2023;10:35:00;8,55;8,59;8,54;8,59;236.463,00;27.600
KEPL3;05/06/2023;10:30:00;8,53;8,55;8,52;8,54;139.061,00;16.300
KEPL3;05/06/2023;10:25:00;8,51;8,55;8,51;8,52;148.544,00;17.400
KEPL3;05/06/2023;10:20:00;8,49;8,55;8,48;8,51;274.677,00;32.200
KEPL3;05/06/2023;10:15:00;8,51;8,53;8,46;8,49;259.767,00;30.600
KEPL3;05/06/2023;10:10:00;8,50;8,55;8,46;8,52;264.003,00;31.000
KEPL3;05/06/2023;10:05:00;8,51;8,58;8,50;8,50;246.681,00;28.900
KEPL3;05/06/2023;10:00:00;8,37;8,51;8,37;8,51;232.810,00;27.600
KEPL3;02/06/2023;17:30:00;8,39;8,42;8,36;8,41;136.583,00;16.300
KEPL3;02/06/2023;16:50:00;8,41;8,42;8,37;8,37;1.888.033,00;225.500
KEPL3;02/06/2023;16:45:00;8,40;8,42;8,40;8,42;168.242,00;20.000
KEPL3;02/06/2023;16:40:00;8,41;8,42;8,40;8,40;120.305,00;14.300
KEPL3;02/06/2023;16:35:00;8,39;8,42;8,38;8,41;254.472,00;30.300
KEPL3;02/06/2023;16:30:00;8,42;8,43;8,39;8,39;262.415,00;31.200
KEPL3;02/06/2023;16:25:00;8,41;8,43;8,41;8,43;101.059,00;12.000
KEPL3;02/06/2023;16:20:00;8,41;8,42;8,41;8,41;124.567,00;14.800
KEPL3;02/06/2023;16:15:00;8,42;8,44;8,41;8,41;219.013,00;26.000
KEPL3;02/06/2023;16:10:00;8,42;8,43;8,42;8,42;86.753,00;10.300
KEPL3;02/06/2023;16:05:00;8,46;8,46;8,42;8,42;243.295,00;28.800
KEPL3;02/06/2023;16:00:00;8,46;8,47;8,45;8,47;133.682,00;15.800
KEPL3;02/06/2023;15:55:00;8,44;8,46;8,44;8,46;146.978,00;17.400
KEPL3;02/06/2023;15:50:00;8,44;8,46;8,43;8,44;113.159,00;13.400
KEPL3;02/06/2023;15:45:00;8,43;8,45;8,42;8,45;151.022,00;17.900
KEPL3;02/06/2023;15:40:00;8,44;8,45;8,42;8,42;156.896,00;18.600
KEPL3;02/06/2023;15:35:00;8,43;8,45;8,42;8,44;145.891,00;17.300
KEPL3;02/06/2023;15:30:00;8,45;8,47;8,43;8,43;125.968,00;14.900
KEPL3;02/06/2023;15:25:00;8,46;8,47;8,45;8,45;85.484,00;10.100
KEPL3;02/06/2023;15:20:00;8,45;8,47;8,45;8,47;121.770,00;14.400
KEPL3;02/06/2023;15:15:00;8,45;8,48;8,45;8,45;151.537,00;17.900
KEPL3;02/06/2023;15:10:00;8,43;8,49;8,43;8,46;220.701,00;26.100
KEPL3;02/06/2023;15:05:00;8,43;8,46;8,42;8,43;212.686,00;25.200
