Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
KLBN11;06/06/2023;11:20:00;21,28;21,29;21,28;21,29;97.905,00;4.600
KLBN11;06/06/2023;11:15:00;21,34;21,34;21,26;21,28;2.252.157,00;105.800
KLBN11;06/06/2023;11:10:00;21,33;21,34;21,31;21,34;432.911,00;20.300
KLBN11;06/06/2023;11:05:00;21,27;21,35;21,27;21,32;567.066,00;26.600
KLBN11;06/06/2023;11:00:00;21,26;21,29;21,26;21,27;393.666,00;18.500
KLBN11;06/06/2023;10:55:00;21,30;21,30;21,23;21,26;2.480.750,00;116.700
KLBN11;06/06/2023;10:50:00;21,31;21,31;21,29;21,29;404.663,00;19.000
KLBN11;06/06/2023;10:45:00;21,33;21,33;21,30;21,31;509.502,00;23.900
KLBN11;06/06/2023;10:40:00;21,40;21,41;21,33;21,33;824.973,00;38.600
KLBN11;06/06/2023;10:35:00;21,40;21,41;21,35;21,41;874.379,00;40.900
KLBN11;06/06/2023;10:30:00;21,39;21,51;21,39;21,40;1.662.659,00;77.500
KLBN11;06/06/2023;10:25:00;21,36;21,40;21,33;21,38;1.586.384,00;74.300
KLBN11;06/06/2023;10:20:00;21,39;21,39;21,35;21,36;359.113,00;16.800
KLBN11;06/06/2023;10:15:00;21,40;21,43;21,37;21,39;1.384.620,00;64.700
KLBN11;06/06/2023;10:10:00;21,49;21,49;21,40;21,40;246.722,00;11.500
KLBN11;06/06/2023;10:05:00;21,47;21,52;21,40;21,51;879.927,00;41.000
KLBN11;06/06/2023;10:00:00;21,41;21,60;21,41;21,48;2.272.807,00;105.700
KLBN11;05/06/2023;17:30:00;21,36;21,41;21,31;21,32;147.318,00;6.900
KLBN11;05/06/2023;16:50:00;21,36;21,41;21,33;21,33;29.813.712,00;1.397.600
KLBN11;05/06/2023;16:45:00;21,37;21,37;21,31;21,36;2.092.095,00;98.000
KLBN11;05/06/2023;16:40:00;21,30;21,37;21,29;21,36;2.016.230,00;94.500
KLBN11;05/06/2023;16:35:00;21,25;21,30;21,24;21,29;784.530,00;36.900
KLBN11;05/06/2023;16:30:00;21,30;21,31;21,24;21,24;1.016.757,00;47.800
KLBN11;05/06/2023;16:25:00;21,28;21,30;21,26;21,29;1.174.386,00;55.200
KLBN11;05/06/2023;16:20:00;21,27;21,30;21,26;21,27;1.197.785,00;56.300
KLBN11;05/06/2023;16:15:00;21,29;21,30;21,26;21,26;725.491,00;34.100
KLBN11;05/06/2023;16:10:00;21,27;21,30;21,26;21,29;838.186,00;39.400
KLBN11;05/06/2023;16:05:00;21,26;21,30;21,26;21,27;778.871,00;36.600
KLBN11;05/06/2023;16:00:00;21,29;21,31;21,25;21,27;987.202,00;46.400
KLBN11;05/06/2023;15:55:00;21,28;21,30;21,27;21,29;742.951,00;34.900
KLBN11;05/06/2023;15:50:00;21,25;21,29;21,24;21,28;1.039.667,00;48.900
KLBN11;05/06/2023;15:45:00;21,31;21,31;21,25;21,26;851.064,00;40.000
KLBN11;05/06/2023;15:40:00;21,32;21,33;21,30;21,30;664.984,00;31.200
KLBN11;05/06/2023;15:35:00;21,32;21,33;21,31;21,32;613.853,00;28.800
KLBN11;05/06/2023;15:30:00;21,34;21,34;21,32;21,32;509.695,00;23.900
KLBN11;05/06/2023;15:25:00;21,30;21,35;21,26;21,34;5.773.789,00;271.100
KLBN11;05/06/2023;15:20:00;21,33;21,34;21,29;21,30;1.055.254,00;49.500
KLBN11;05/06/2023;15:15:00;21,33;21,35;21,32;21,34;609.872,00;28.600
KLBN11;05/06/2023;15:10:00;21,30;21,33;21,29;21,33;685.992,00;32.200
KLBN11;05/06/2023;15:05:00;21,30;21,31;21,29;21,30;1.759.326,00;82.600
KLBN11;05/06/2023;15:00:00;21,31;21,35;21,29;21,31;1.050.761,00;49.300
KLBN11;05/06/2023;14:55:00;21,28;21,31;21,27;21,30;917.551,00;43.100
KLBN11;05/06/2023;14:50:00;21,29;21,29;21,27;21,28;910.804,00;42.800
KLBN11;05/06/2023;14:45:00;21,29;21,30;21,27;21,28;802.461,00;37.700
KLBN11;05/06/2023;14:40:00;21,29;21,31;21,26;21,29;1.134.501,00;53.300
KLBN11;05/06/2023;14:35:00;21,29;21,29;21,26;21,28;1.334.214,00;62.700
KLBN11;05/06/2023;14:30:00;21,27;21,29;21,26;21,29;487.150,00;22.900
KLBN11;05/06/2023;14:25:00;21,31;21,32;21,25;21,25;1.113.716,00;52.300
KLBN11;05/06/2023;14:20:00;21,38;21,39;21,31;21,32;1.287.271,00;60.300
KLBN11;05/06/2023;14:15:00;21,40;21,41;21,38;21,39;271.734,00;12.700
KLBN11;05/06/2023;14:10:00;21,38;21,40;21,38;21,40;175.386,00;8.200
KLBN11;05/06/2023;14:05:00;21,37;21,39;21,35;21,39;121.803,00;5.700
KLBN11;05/06/2023;14:00:00;21,35;21,36;21,33;21,36;725.590,00;34.000
KLBN11;05/06/2023;13:55:00;21,36;21,36;21,33;21,35;559.169,00;26.200
KLBN11;05/06/2023;13:50:00;21,36;21,36;21,34;21,35;294.664,00;13.800
KLBN11;05/06/2023;13:45:00;21,34;21,36;21,34;21,36;215.600,00;10.100
KLBN11;05/06/2023;13:40:00;21,33;21,36;21,33;21,34;512.286,00;24.000
KLBN11;05/06/2023;13:35:00;21,35;21,36;21,33;21,34;324.485,00;15.200
KLBN11;05/06/2023;13:30:00;21,34;21,39;21,32;21,34;1.614.828,00;75.600
KLBN11;05/06/2023;13:25:00;21,35;21,35;21,33;21,33;119.498,00;5.600
KLBN11;05/06/2023;13:20:00;21,33;21,35;21,33;21,34;72.578,00;3.400
KLBN11;05/06/2023;13:15:00;21,37;21,37;21,33;21,34;230.661,00;10.800
KLBN11;05/06/2023;13:10:00;21,35;21,39;21,34;21,37;318.313,00;14.900
KLBN11;05/06/2023;13:05:00;21,36;21,36;21,32;21,34;441.700,00;20.700
KLBN11;05/06/2023;13:00:00;21,38;21,40;21,33;21,35;1.164.568,00;54.500
KLBN11;05/06/2023;12:55:00;21,41;21,43;21,35;21,37;500.405,00;23.400
KLBN11;05/06/2023;12:50:00;21,42;21,43;21,41;21,42;284.878,00;13.300
KLBN11;05/06/2023;12:45:00;21,41;21,43;21,38;21,41;601.526,00;28.100
KLBN11;05/06/2023;12:40:00;21,41;21,43;21,40;21,41;312.702,00;14.600
KLBN11;05/06/2023;12:35:00;21,42;21,42;21,40;21,41;271.920,00;12.700
KLBN11;05/06/2023;12:30:00;21,43;21,45;21,41;21,41;741.636,00;34.600
KLBN11;05/06/2023;12:25:00;21,37;21,43;21,37;21,41;689.163,00;32.200
KLBN11;05/06/2023;12:20:00;21,39;21,39;21,37;21,37;387.033,00;18.100
KLBN11;05/06/2023;12:15:00;21,39;21,39;21,36;21,39;239.448,00;11.200
KLBN11;05/06/2023;12:10:00;21,38;21,38;21,36;21,38;252.228,00;11.800
KLBN11;05/06/2023;12:05:00;21,37;21,38;21,37;21,37;207.369,00;9.700
KLBN11;05/06/2023;12:00:00;21,36;21,38;21,35;21,37;241.466,00;11.300
KLBN11;05/06/2023;11:55:00;21,37;21,37;21,34;21,37;194.368,00;9.100
KLBN11;05/06/2023;11:50:00;21,36;21,38;21,34;21,36;365.224,00;17.100
KLBN11;05/06/2023;11:45:00;21,38;21,39;21,34;21,35;356.668,00;16.700
KLBN11;05/06/2023;11:40:00;21,35;21,37;21,33;21,37;412.063,00;19.300
