Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LEVE3;16/06/2023;17:30:00;44,50;44,53;44,50;44,53;84.595,00;1.900
LEVE3;16/06/2023;16:45:00;44,18;44,37;44,16;44,37;3.855.124,00;86.900
LEVE3;16/06/2023;16:40:00;44,15;44,22;44,10;44,18;154.564,00;3.500
LEVE3;16/06/2023;16:35:00;44,20;44,24;44,15;44,16;97.203,00;2.200
LEVE3;16/06/2023;16:30:00;44,02;44,20;44,00;44,15;136.661,00;3.100
LEVE3;16/06/2023;16:25:00;44,15;44,15;44,00;44,02;180.646,00;4.100
LEVE3;16/06/2023;16:20:00;44,11;44,20;44,10;44,10;300.131,00;6.800
LEVE3;16/06/2023;16:15:00;44,12;44,12;44,07;44,07;48.487,00;1.100
LEVE3;16/06/2023;16:10:00;44,05;44,13;44,03;44,07;74.943,00;1.700
LEVE3;16/06/2023;16:05:00;44,01;44,04;43,99;44,04;79.221,00;1.800
LEVE3;16/06/2023;16:00:00;44,00;44,05;43,96;44,01;140.826,00;3.200
LEVE3;16/06/2023;15:55:00;44,10;44,10;44,02;44,02;92.491,00;2.100
LEVE3;16/06/2023;15:50:00;44,19;44,19;44,08;44,15;44.132,00;1.000
LEVE3;16/06/2023;15:45:00;44,25;44,25;44,11;44,11;66.300,00;1.500
LEVE3;16/06/2023;15:40:00;44,26;44,26;44,22;44,24;30.976,00;700
LEVE3;16/06/2023;15:35:00;44,31;44,31;44,21;44,28;106.306,00;2.400
LEVE3;16/06/2023;15:30:00;44,22;44,27;44,22;44,27;8.849,00;200
LEVE3;16/06/2023;15:25:00;44,20;44,25;44,20;44,22;79.590,00;1.800
LEVE3;16/06/2023;15:20:00;44,21;44,21;44,16;44,16;22.089,00;500
LEVE3;16/06/2023;15:15:00;44,27;44,29;44,20;44,20;61.939,00;1.400
LEVE3;16/06/2023;15:10:00;44,21;44,30;44,20;44,30;88.477,00;2.000
LEVE3;16/06/2023;15:05:00;44,24;44,24;44,18;44,18;66.325,00;1.500
LEVE3;16/06/2023;15:00:00;44,32;44,32;44,20;44,21;190.348,00;4.300
LEVE3;16/06/2023;14:55:00;44,32;44,37;44,32;44,35;48.789,00;1.100
LEVE3;16/06/2023;14:50:00;44,39;44,40;44,31;44,31;44.368,00;1.000
LEVE3;16/06/2023;14:45:00;44,41;44,45;44,36;44,36;62.154,00;1.400
LEVE3;16/06/2023;14:40:00;44,37;44,37;44,37;44,37;48.807,00;1.100
LEVE3;16/06/2023;14:35:00;44,45;44,45;44,37;44,40;75.490,00;1.700
LEVE3;16/06/2023;14:30:00;44,41;44,47;44,41;44,47;26.654,00;600
LEVE3;16/06/2023;14:25:00;44,26;44,43;44,25;44,38;235.097,00;5.300
LEVE3;16/06/2023;14:20:00;44,28;44,28;44,24;44,24;8.852,00;200
LEVE3;16/06/2023;14:15:00;44,13;44,29;44,13;44,29;22.097,00;500
LEVE3;16/06/2023;14:10:00;44,16;44,16;44,06;44,08;176.401,00;4.000
LEVE3;16/06/2023;14:05:00;44,13;44,13;44,10;44,10;8.823,00;200
LEVE3;16/06/2023;14:00:00;44,19;44,20;44,13;44,13;39.750,00;900
LEVE3;16/06/2023;13:55:00;44,10;44,27;44,10;44,20;101.641,00;2.300
LEVE3;16/06/2023;13:50:00;44,10;44,15;44,03;44,03;92.628,00;2.100
LEVE3;16/06/2023;13:45:00;44,14;44,14;44,09;44,09;48.549,00;1.100
LEVE3;16/06/2023;13:40:00;44,11;44,15;44,11;44,15;22.059,00;500
LEVE3;16/06/2023;13:35:00;44,05;44,05;44,05;44,05;4.405,00;100
LEVE3;16/06/2023;13:30:00;44,20;44,22;44,05;44,05;141.262,00;3.200
LEVE3;16/06/2023;13:25:00;44,18;44,18;44,16;44,16;13.250,00;300
LEVE3;16/06/2023;13:20:00;44,21;44,21;44,21;44,21;17.684,00;400
LEVE3;16/06/2023;13:15:00;44,28;44,28;44,27;44,27;8.855,00;200
LEVE3;16/06/2023;13:10:00;44,21;44,27;44,20;44,27;26.529,00;600
LEVE3;16/06/2023;13:05:00;44,12;44,14;44,12;44,14;8.826,00;200
LEVE3;16/06/2023;13:00:00;44,07;44,11;44,06;44,11;30.852,00;700
LEVE3;16/06/2023;12:55:00;44,23;44,24;44,11;44,11;128.165,00;2.900
LEVE3;16/06/2023;12:45:00;44,18;44,18;44,16;44,16;8.834,00;200
LEVE3;16/06/2023;12:40:00;44,20;44,20;44,16;44,16;22.084,00;500
LEVE3;16/06/2023;12:35:00;44,20;44,20;44,12;44,18;88.367,00;2.000
LEVE3;16/06/2023;12:30:00;44,20;44,24;44,20;44,24;48.624,00;1.100
LEVE3;16/06/2023;12:25:00;44,27;44,27;44,21;44,25;26.536,00;600
LEVE3;16/06/2023;12:20:00;44,17;44,18;44,17;44,18;35.339,00;800
LEVE3;16/06/2023;12:10:00;44,16;44,16;44,14;44,16;70.642,00;1.600
LEVE3;16/06/2023;12:05:00;44,00;44,14;44,00;44,11;229.081,00;5.200
LEVE3;16/06/2023;12:00:00;43,86;43,97;43,86;43,97;87.818,00;2.000
LEVE3;16/06/2023;11:55:00;44,01;44,01;43,84;43,84;180.222,00;4.100
LEVE3;16/06/2023;11:50:00;44,01;44,01;44,00;44,01;13.202,00;300
LEVE3;16/06/2023;11:45:00;43,83;44,01;43,83;44,01;39.560,00;900
