Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LIGT3;06/06/2023;11:20:00;4,70;4,71;4,69;4,69;57.802,00;12.300
LIGT3;06/06/2023;11:15:00;4,71;4,72;4,70;4,70;330.403,00;70.200
LIGT3;06/06/2023;11:10:00;4,71;4,73;4,70;4,71;361.155,00;76.600
LIGT3;06/06/2023;11:05:00;4,69;4,72;4,69;4,71;411.687,00;87.500
LIGT3;06/06/2023;11:00:00;4,70;4,71;4,66;4,68;665.717,00;141.900
LIGT3;06/06/2023;10:55:00;4,67;4,70;4,67;4,70;316.933,00;67.700
LIGT3;06/06/2023;10:50:00;4,67;4,68;4,58;4,67;978.820,00;211.000
LIGT3;06/06/2023;10:45:00;4,70;4,70;4,65;4,68;555.233,00;118.700
LIGT3;06/06/2023;10:40:00;4,68;4,73;4,67;4,70;1.010.895,00;215.000
LIGT3;06/06/2023;10:35:00;4,59;4,69;4,58;4,69;1.318.964,00;284.200
LIGT3;06/06/2023;10:30:00;4,54;4,59;4,54;4,58;390.724,00;85.600
LIGT3;06/06/2023;10:25:00;4,53;4,54;4,51;4,53;264.625,00;58.400
LIGT3;06/06/2023;10:20:00;4,51;4,54;4,50;4,54;258.846,00;57.300
LIGT3;06/06/2023;10:15:00;4,54;4,54;4,51;4,51;161.896,00;35.800
LIGT3;06/06/2023;10:10:00;4,59;4,60;4,49;4,54;1.025.462,00;225.400
LIGT3;06/06/2023;10:05:00;4,51;4,59;4,51;4,58;657.716,00;144.500
LIGT3;06/06/2023;10:00:00;4,47;4,52;4,47;4,51;92.957,00;20.700
LIGT3;05/06/2023;17:30:00;4,50;4,52;4,46;4,52;344.509,00;76.700
LIGT3;05/06/2023;16:50:00;4,47;4,51;4,46;4,49;3.021.943,00;672.700
LIGT3;05/06/2023;16:45:00;4,52;4,53;4,47;4,47;1.524.978,00;338.100
LIGT3;05/06/2023;16:40:00;4,52;4,54;4,50;4,52;1.157.938,00;256.100
LIGT3;05/06/2023;16:35:00;4,39;4,55;4,33;4,51;3.710.369,00;828.100
LIGT3;05/06/2023;16:30:00;4,35;4,45;4,30;4,39;7.403.011,00;1.682.300
LIGT3;05/06/2023;16:25:00;4,17;4,36;4,16;4,36;4.306.958,00;1.008.300
LIGT3;05/06/2023;16:20:00;4,13;4,23;4,09;4,16;2.352.917,00;564.600
LIGT3;05/06/2023;16:15:00;4,06;4,39;4,03;4,15;3.368.186,00;795.200
LIGT3;05/06/2023;16:10:00;4,26;4,28;4,01;4,06;4.401.859,00;1.045.500
LIGT3;05/06/2023;16:00:00;4,29;4,29;4,28;4,28;90.417,00;21.100
LIGT3;05/06/2023;15:55:00;4,43;4,45;4,30;4,30;2.902.151,00;661.800
LIGT3;05/06/2023;15:50:00;4,43;4,47;4,43;4,44;806.417,00;181.100
LIGT3;05/06/2023;15:45:00;4,52;4,53;4,42;4,43;2.196.651,00;491.600
LIGT3;05/06/2023;15:40:00;4,53;4,53;4,52;4,52;38.933,00;8.600
LIGT3;05/06/2023;15:35:00;4,54;4,54;4,52;4,52;132.280,00;29.200
LIGT3;05/06/2023;15:30:00;4,54;4,54;4,53;4,54;14.964,00;3.300
LIGT3;05/06/2023;15:25:00;4,54;4,54;4,54;4,54;100.334,00;22.100
LIGT3;05/06/2023;15:20:00;4,54;4,54;4,54;4,54;26.786,00;5.900
LIGT3;05/06/2023;15:15:00;4,53;4,54;4,53;4,54;192.526,00;42.500
LIGT3;05/06/2023;15:10:00;4,54;4,54;4,53;4,53;97.863,00;21.600
LIGT3;05/06/2023;15:05:00;4,54;4,54;4,53;4,54;54.367,00;12.000
LIGT3;05/06/2023;15:00:00;4,54;4,56;4,54;4,54;60.064,00;13.200
LIGT3;05/06/2023;14:55:00;4,54;4,55;4,54;4,55;206.593,00;45.500
LIGT3;05/06/2023;14:50:00;4,53;4,54;4,53;4,54;15.435,00;3.400
LIGT3;05/06/2023;14:45:00;4,54;4,54;4,53;4,54;37.620,00;8.300
LIGT3;05/06/2023;14:40:00;4,56;4,56;4,53;4,53;237.137,00;52.200
LIGT3;05/06/2023;14:35:00;4,56;4,56;4,56;4,56;12.768,00;2.800
LIGT3;05/06/2023;14:30:00;4,56;4,56;4,55;4,56;49.701,00;10.900
LIGT3;05/06/2023;14:25:00;4,55;4,55;4,54;4,55;95.543,00;21.000
LIGT3;05/06/2023;14:20:00;4,54;4,55;4,54;4,55;87.193,00;19.200
LIGT3;05/06/2023;14:15:00;4,54;4,54;4,53;4,54;65.235,00;14.400
LIGT3;05/06/2023;14:10:00;4,52;4,53;4,52;4,53;75.633,00;16.700
LIGT3;05/06/2023;14:05:00;4,53;4,53;4,51;4,52;149.606,00;33.100
LIGT3;05/06/2023;14:00:00;4,53;4,53;4,52;4,53;17.647,00;3.900
LIGT3;05/06/2023;13:55:00;4,53;4,53;4,52;4,52;151.300,00;33.400
LIGT3;05/06/2023;13:50:00;4,53;4,53;4,53;4,53;7.248,00;1.600
LIGT3;05/06/2023;13:45:00;4,54;4,54;4,51;4,53;288.107,00;63.700
