Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LJQQ3;16/06/2023;17:30:00;5,72;5,78;5,72;5,75;12.069,00;2.100
LJQQ3;16/06/2023;16:45:00;5,76;5,79;5,75;5,77;1.906.175,00;330.200
LJQQ3;16/06/2023;16:40:00;5,76;5,77;5,75;5,77;378.525,00;65.700
LJQQ3;16/06/2023;16:35:00;5,74;5,78;5,73;5,76;813.030,00;141.200
LJQQ3;16/06/2023;16:30:00;5,73;5,74;5,72;5,74;270.391,00;47.200
LJQQ3;16/06/2023;16:25:00;5,72;5,74;5,70;5,72;782.000,00;136.700
LJQQ3;16/06/2023;16:20:00;5,72;5,75;5,72;5,73;896.682,00;156.400
LJQQ3;16/06/2023;16:15:00;5,71;5,73;5,70;5,72;276.094,00;48.300
LJQQ3;16/06/2023;16:10:00;5,72;5,73;5,71;5,71;179.024,00;31.300
LJQQ3;16/06/2023;16:05:00;5,71;5,73;5,71;5,73;63.450,00;11.100
LJQQ3;16/06/2023;16:00:00;5,66;5,72;5,66;5,71;1.111.192,00;195.200
LJQQ3;16/06/2023;15:55:00;5,67;5,68;5,64;5,66;440.992,00;77.900
LJQQ3;16/06/2023;15:50:00;5,67;5,68;5,67;5,67;73.713,00;13.000
LJQQ3;16/06/2023;15:45:00;5,68;5,68;5,67;5,67;377.808,00;66.600
LJQQ3;16/06/2023;15:40:00;5,67;5,67;5,66;5,67;145.714,00;25.700
LJQQ3;16/06/2023;15:35:00;5,65;5,67;5,65;5,66;18.113,00;3.200
LJQQ3;16/06/2023;15:30:00;5,65;5,66;5,64;5,65;299.257,00;53.000
LJQQ3;16/06/2023;15:25:00;5,66;5,66;5,64;5,65;116.934,00;20.700
LJQQ3;16/06/2023;15:20:00;5,66;5,66;5,65;5,65;59.380,00;10.500
LJQQ3;16/06/2023;15:15:00;5,66;5,68;5,65;5,65;119.750,00;21.100
LJQQ3;16/06/2023;15:10:00;5,66;5,67;5,66;5,66;24.345,00;4.300
LJQQ3;16/06/2023;15:05:00;5,66;5,68;5,66;5,66;77.609,00;13.700
LJQQ3;16/06/2023;15:00:00;5,66;5,66;5,65;5,66;88.800,00;15.700
LJQQ3;16/06/2023;14:55:00;5,66;5,67;5,65;5,66;116.605,00;20.600
LJQQ3;16/06/2023;14:50:00;5,66;5,67;5,65;5,65;72.507,00;12.800
LJQQ3;16/06/2023;14:45:00;5,66;5,67;5,66;5,66;62.289,00;11.000
LJQQ3;16/06/2023;14:40:00;5,66;5,67;5,66;5,66;37.924,00;6.700
LJQQ3;16/06/2023;14:35:00;5,64;5,67;5,64;5,65;188.723,00;33.400
LJQQ3;16/06/2023;14:30:00;5,65;5,65;5,63;5,64;216.578,00;38.400
LJQQ3;16/06/2023;14:25:00;5,65;5,65;5,63;5,64;175.408,00;31.100
LJQQ3;16/06/2023;14:20:00;5,66;5,66;5,63;5,64;119.080,00;21.100
LJQQ3;16/06/2023;14:15:00;5,65;5,67;5,63;5,66;311.956,00;55.200
LJQQ3;16/06/2023;14:10:00;5,66;5,66;5,62;5,64;157.905,00;28.000
LJQQ3;16/06/2023;14:05:00;5,67;5,69;5,65;5,66;473.932,00;83.500
LJQQ3;16/06/2023;14:00:00;5,63;5,68;5,62;5,66;471.269,00;83.300
LJQQ3;16/06/2023;13:55:00;5,63;5,64;5,62;5,63;91.161,00;16.200
LJQQ3;16/06/2023;13:50:00;5,61;5,63;5,60;5,62;172.449,00;30.700
LJQQ3;16/06/2023;13:45:00;5,61;5,61;5,60;5,60;17.373,00;3.100
LJQQ3;16/06/2023;13:40:00;5,57;5,61;5,57;5,60;234.865,00;42.000
LJQQ3;16/06/2023;13:35:00;5,60;5,60;5,56;5,57;453.685,00;81.400
LJQQ3;16/06/2023;13:30:00;5,65;5,65;5,59;5,59;94.803,00;16.900
LJQQ3;16/06/2023;13:25:00;5,69;5,69;5,65;5,65;302.237,00;53.300
LJQQ3;16/06/2023;13:20:00;5,69;5,70;5,68;5,69;908.809,00;159.700
LJQQ3;16/06/2023;13:15:00;5,64;5,69;5,63;5,69;377.797,00;66.700
LJQQ3;16/06/2023;13:10:00;5,65;5,67;5,63;5,63;998.306,00;176.700
LJQQ3;16/06/2023;13:05:00;5,60;5,64;5,59;5,64;280.496,00;49.900
LJQQ3;16/06/2023;13:00:00;5,61;5,61;5,59;5,60;128.109,00;22.900
LJQQ3;16/06/2023;12:55:00;5,59;5,62;5,59;5,61;227.171,00;40.500
LJQQ3;16/06/2023;12:50:00;5,60;5,60;5,58;5,60;224.415,00;40.100
LJQQ3;16/06/2023;12:45:00;5,58;5,60;5,58;5,60;186.125,00;33.300
LJQQ3;16/06/2023;12:40:00;5,57;5,58;5,56;5,58;76.300,00;13.700
LJQQ3;16/06/2023;12:35:00;5,61;5,61;5,55;5,57;400.808,00;71.900
LJQQ3;16/06/2023;12:30:00;5,60;5,62;5,60;5,62;84.654,00;15.100
LJQQ3;16/06/2023;12:25:00;5,61;5,61;5,58;5,60;243.435,00;43.500
LJQQ3;16/06/2023;12:20:00;5,61;5,63;5,61;5,61;235.817,00;42.000
LJQQ3;16/06/2023;12:15:00;5,57;5,62;5,56;5,61;805.648,00;144.200
LJQQ3;16/06/2023;12:10:00;5,55;5,58;5,54;5,57;137.820,00;24.800
LJQQ3;16/06/2023;12:05:00;5,55;5,58;5,54;5,55;357.977,00;64.400
LJQQ3;16/06/2023;12:00:00;5,54;5,55;5,53;5,55;106.281,00;19.200
LJQQ3;16/06/2023;11:55:00;5,54;5,54;5,51;5,54;273.367,00;49.500
LJQQ3;16/06/2023;11:50:00;5,54;5,55;5,53;5,54;84.744,00;15.300
LJQQ3;16/06/2023;11:45:00;5,55;5,56;5,54;5,54;107.146,00;19.300
LJQQ3;16/06/2023;11:40:00;5,52;5,55;5,51;5,55;204.846,00;37.100
LJQQ3;16/06/2023;11:35:00;5,54;5,56;5,51;5,53;242.834,00;43.900
LJQQ3;16/06/2023;11:30:00;5,52;5,55;5,51;5,54;141.464,00;25.600
LJQQ3;16/06/2023;11:25:00;5,52;5,52;5,50;5,52;112.835,00;20.500
LJQQ3;16/06/2023;11:20:00;5,53;5,54;5,51;5,51;252.198,00;45.700
LJQQ3;16/06/2023;11:15:00;5,55;5,55;5,51;5,53;240.629,00;43.500
LJQQ3;16/06/2023;11:10:00;5,56;5,57;5,54;5,55;225.517,00;40.600
LJQQ3;16/06/2023;11:05:00;5,53;5,56;5,53;5,56;161.921,00;29.200
LJQQ3;16/06/2023;11:00:00;5,53;5,56;5,53;5,53;684.927,00;123.500
LJQQ3;16/06/2023;10:55:00;5,52;5,52;5,49;5,52;469.541,00;85.200
LJQQ3;16/06/2023;10:50:00;5,52;5,54;5,52;5,53;376.146,00;68.000
LJQQ3;16/06/2023;10:45:00;5,51;5,56;5,51;5,52;496.211,00;89.600
LJQQ3;16/06/2023;10:40:00;5,51;5,53;5,48;5,52;1.665.241,00;302.400
LJQQ3;16/06/2023;10:35:00;5,50;5,51;5,46;5,50;648.397,00;118.200
LJQQ3;16/06/2023;10:30:00;5,52;5,52;5,47;5,50;491.113,00;89.300
LJQQ3;16/06/2023;10:25:00;5,47;5,54;5,47;5,52;928.658,00;168.600
LJQQ3;16/06/2023;10:20:00;5,45;5,48;5,45;5,47;124.601,00;22.800
LJQQ3;16/06/2023;10:15:00;5,46;5,47;5,44;5,46;166.988,00;30.600
LJQQ3;16/06/2023;10:10:00;5,45;5,47;5,42;5,47;118.027,00;21.700
LJQQ3;16/06/2023;10:05:00;5,49;5,49;5,41;5,45;440.493,00;80.900
LJQQ3;16/06/2023;10:00:00;5,44;5,50;5,44;5,50;512.703,00;94.000
LJQQ3;15/06/2023;17:30:00;5,47;5,50;5,45;5,45;89.418,00;16.300
LJQQ3;15/06/2023;16:50:00;5,45;5,48;5,45;5,45;2.043.493,00;374.800
LJQQ3;15/06/2023;16:45:00;5,46;5,47;5,44;5,45;294.918,00;54.100
LJQQ3;15/06/2023;16:40:00;5,45;5,47;5,45;5,46;131.565,00;24.100
LJQQ3;15/06/2023;16:35:00;5,47;5,48;5,45;5,46;275.335,00;50.400
LJQQ3;15/06/2023;16:30:00;5,49;5,49;5,47;5,47;235.388,00;43.000
LJQQ3;15/06/2023;16:25:00;5,49;5,49;5,46;5,49;368.237,00;67.300
LJQQ3;15/06/2023;16:20:00;5,46;5,49;5,45;5,49;240.640,00;44.000
LJQQ3;15/06/2023;16:15:00;5,45;5,48;5,45;5,46;224.819,00;41.200
LJQQ3;15/06/2023;16:10:00;5,45;5,46;5,45;5,46;111.231,00;20.400
LJQQ3;15/06/2023;16:05:00;5,45;5,45;5,43;5,45;102.818,00;18.900
LJQQ3;15/06/2023;16:00:00;5,46;5,46;5,44;5,45;226.369,00;41.600
LJQQ3;15/06/2023;15:55:00;5,45;5,46;5,44;5,46;156.392,00;28.700
LJQQ3;15/06/2023;15:50:00;5,45;5,46;5,44;5,45;140.548,00;25.800
LJQQ3;15/06/2023;15:45:00;5,44;5,45;5,43;5,45;115.263,00;21.200
LJQQ3;15/06/2023;15:40:00;5,45;5,45;5,44;5,44;136.143,00;25.000
LJQQ3;15/06/2023;15:35:00;5,45;5,46;5,42;5,45;193.699,00;35.600
LJQQ3;15/06/2023;15:30:00;5,45;5,46;5,44;5,45;198.374,00;36.400
LJQQ3;15/06/2023;15:25:00;5,43;5,45;5,42;5,45;287.283,00;52.800
LJQQ3;15/06/2023;15:20:00;5,42;5,45;5,42;5,43;226.534,00;41.700
LJQQ3;15/06/2023;15:15:00;5,43;5,44;5,42;5,43;173.821,00;32.000
LJQQ3;15/06/2023;15:10:00;5,43;5,44;5,40;5,44;229.138,00;42.300
LJQQ3;15/06/2023;15:05:00;5,44;5,47;5,42;5,43;424.453,00;78.000
LJQQ3;15/06/2023;15:00:00;5,44;5,45;5,41;5,45;210.237,00;38.700
LJQQ3;15/06/2023;14:55:00;5,50;5,50;5,45;5,45;225.495,00;41.200
LJQQ3;15/06/2023;14:50:00;5,50;5,50;5,48;5,50;78.531,00;14.300
LJQQ3;15/06/2023;14:45:00;5,53;5,54;5,49;5,50;550.801,00;100.000
LJQQ3;15/06/2023;14:40:00;5,52;5,54;5,51;5,53;151.906,00;27.500
LJQQ3;15/06/2023;14:35:00;5,51;5,53;5,50;5,52;191.433,00;34.700
LJQQ3;15/06/2023;14:30:00;5,50;5,51;5,49;5,51;159.633,00;29.000
LJQQ3;15/06/2023;14:25:00;5,49;5,50;5,48;5,50;142.155,00;25.900
LJQQ3;15/06/2023;14:20:00;5,52;5,53;5,49;5,49;203.512,00;37.000
LJQQ3;15/06/2023;14:15:00;5,50;5,53;5,50;5,52;301.324,00;54.700
LJQQ3;15/06/2023;14:10:00;5,48;5,50;5,48;5,50;246.946,00;45.000
LJQQ3;15/06/2023;14:05:00;5,43;5,49;5,42;5,49;618.717,00;113.400
LJQQ3;15/06/2023;14:00:00;5,45;5,45;5,42;5,43;178.196,00;32.800
LJQQ3;15/06/2023;13:55:00;5,44;5,46;5,43;5,45;82.214,00;15.100
LJQQ3;15/06/2023;13:50:00;5,44;5,45;5,43;5,43;127.858,00;23.500
LJQQ3;15/06/2023;13:45:00;5,46;5,46;5,44;5,45;174.392,00;32.000
LJQQ3;15/06/2023;13:40:00;5,43;5,47;5,42;5,46;167.710,00;30.800
LJQQ3;15/06/2023;13:35:00;5,43;5,45;5,42;5,43;211.440,00;38.900
LJQQ3;15/06/2023;13:30:00;5,46;5,46;5,43;5,44;134.570,00;24.700
LJQQ3;15/06/2023;13:25:00;5,44;5,47;5,44;5,46;220.481,00;40.400
LJQQ3;15/06/2023;13:20:00;5,43;5,45;5,42;5,45;145.064,00;26.700
LJQQ3;15/06/2023;13:15:00;5,42;5,43;5,41;5,43;71.057,00;13.100
LJQQ3;15/06/2023;13:10:00;5,41;5,42;5,40;5,42;57.908,00;10.700
LJQQ3;15/06/2023;13:05:00;5,40;5,42;5,40;5,42;61.117,00;11.300
LJQQ3;15/06/2023;13:00:00;5,40;5,41;5,40;5,41;48.662,00;9.000
LJQQ3;15/06/2023;12:55:00;5,39;5,41;5,39;5,41;162.057,00;30.000
LJQQ3;15/06/2023;12:50:00;5,41;5,41;5,39;5,39;271.574,00;50.300
LJQQ3;15/06/2023;12:45:00;5,41;5,41;5,40;5,40;41.605,00;7.700
LJQQ3;15/06/2023;12:40:00;5,39;5,41;5,39;5,40;218.276,00;40.400
LJQQ3;15/06/2023;12:35:00;5,37;5,39;5,37;5,39;93.653,00;17.400
LJQQ3;15/06/2023;12:30:00;5,40;5,40;5,36;5,37;120.014,00;22.300
LJQQ3;15/06/2023;12:25:00;5,38;5,40;5,37;5,40;100.081,00;18.600
LJQQ3;15/06/2023;12:20:00;5,41;5,41;5,38;5,38;175.988,00;32.600
LJQQ3;15/06/2023;12:15:00;5,42;5,42;5,40;5,40;82.801,00;15.300
LJQQ3;15/06/2023;12:10:00;5,37;5,42;5,37;5,41;490.760,00;90.900
LJQQ3;15/06/2023;12:05:00;5,39;5,40;5,37;5,37;272.109,00;50.500
LJQQ3;15/06/2023;12:00:00;5,41;5,41;5,38;5,39;139.750,00;25.900
LJQQ3;15/06/2023;11:55:00;5,41;5,42;5,40;5,40;29.747,00;5.500
LJQQ3;15/06/2023;11:50:00;5,40;5,42;5,40;5,41;130.243,00;24.100
LJQQ3;15/06/2023;11:45:00;5,41;5,42;5,40;5,40;80.084,00;14.800
LJQQ3;15/06/2023;11:40:00;5,37;5,43;5,37;5,42;261.824,00;48.500
LJQQ3;15/06/2023;11:35:00;5,40;5,41;5,38;5,38;208.458,00;38.700
LJQQ3;15/06/2023;11:30:00;5,43;5,43;5,39;5,40;106.679,00;19.700
LJQQ3;15/06/2023;11:25:00;5,39;5,43;5,39;5,43;247.354,00;45.700
LJQQ3;15/06/2023;11:20:00;5,39;5,40;5,38;5,39;192.244,00;35.700
LJQQ3;15/06/2023;11:15:00;5,41;5,42;5,38;5,39;276.091,00;51.100
LJQQ3;15/06/2023;11:10:00;5,41;5,44;5,41;5,42;170.468,00;31.400
LJQQ3;15/06/2023;11:05:00;5,41;5,43;5,41;5,42;265.161,00;48.900
LJQQ3;15/06/2023;11:00:00;5,39;5,43;5,39;5,42;320.478,00;59.200
LJQQ3;15/06/2023;10:55:00;5,39;5,39;5,37;5,39;309.289,00;57.500
LJQQ3;15/06/2023;10:50:00;5,41;5,42;5,39;5,39;201.112,00;37.200
LJQQ3;15/06/2023;10:45:00;5,40;5,42;5,39;5,40;197.375,00;36.500
LJQQ3;15/06/2023;10:40:00;5,38;5,41;5,38;5,40;117.016,00;21.700
LJQQ3;15/06/2023;10:35:00;5,39;5,43;5,38;5,39;604.537,00;111.900
LJQQ3;15/06/2023;10:30:00;5,41;5,42;5,38;5,39;178.299,00;33.000
LJQQ3;15/06/2023;10:25:00;5,37;5,41;5,37;5,40;247.797,00;45.900
LJQQ3;15/06/2023;10:20:00;5,40;5,42;5,37;5,38;153.302,00;28.400
LJQQ3;15/06/2023;10:15:00;5,38;5,40;5,36;5,40;166.989,00;31.000
LJQQ3;15/06/2023;10:10:00;5,33;5,38;5,33;5,38;108.195,00;20.200
LJQQ3;15/06/2023;10:05:00;5,38;5,38;5,32;5,33;540.874,00;101.200
LJQQ3;15/06/2023;10:00:00;5,39;5,40;5,37;5,39;177.790,00;33.000
LJQQ3;14/06/2023;17:30:00;5,39;5,43;5,38;5,43;80.880,00;15.000
LJQQ3;14/06/2023;16:50:00;5,37;5,39;5,35;5,39;1.296.202,00;240.800
LJQQ3;14/06/2023;16:45:00;5,39;5,39;5,36;5,36;293.233,00;54.600
LJQQ3;14/06/2023;16:40:00;5,39;5,41;5,36;5,39;611.282,00;113.500
LJQQ3;14/06/2023;16:35:00;5,37;5,39;5,36;5,39;368.057,00;68.400
LJQQ3;14/06/2023;16:30:00;5,36;5,39;5,33;5,37;415.502,00;77.500
LJQQ3;14/06/2023;16:25:00;5,32;5,38;5,31;5,35;1.135.430,00;212.000
LJQQ3;14/06/2023;16:20:00;5,33;5,34;5,32;5,32;133.676,00;25.100
LJQQ3;14/06/2023;16:15:00;5,33;5,34;5,32;5,34;207.655,00;39.000
LJQQ3;14/06/2023;16:10:00;5,35;5,35;5,32;5,32;305.538,00;57.300
LJQQ3;14/06/2023;16:05:00;5,35;5,36;5,33;5,35;225.633,00;42.200
LJQQ3;14/06/2023;16:00:00;5,33;5,36;5,33;5,36;129.262,00;24.200
LJQQ3;14/06/2023;15:55:00;5,36;5,36;5,33;5,34;129.332,00;24.200
LJQQ3;14/06/2023;15:50:00;5,36;5,37;5,35;5,35;176.314,00;32.900
LJQQ3;14/06/2023;15:45:00;5,38;5,38;5,35;5,35;264.532,00;49.300
LJQQ3;14/06/2023;15:40:00;5,35;5,39;5,34;5,37;290.655,00;54.100
LJQQ3;14/06/2023;15:35:00;5,32;5,37;5,32;5,34;380.949,00;71.200
LJQQ3;14/06/2023;15:30:00;5,34;5,35;5,30;5,32;335.885,00;63.100
LJQQ3;14/06/2023;15:25:00;5,33;5,35;5,32;5,34;299.521,00;56.100
LJQQ3;14/06/2023;15:20:00;5,34;5,35;5,32;5,33;136.048,00;25.500
LJQQ3;14/06/2023;15:15:00;5,37;5,39;5,31;5,33;984.420,00;184.500
