Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LOGN3;06/06/2023;11:20:00;51,14;51,14;51,14;51,14;5.114,00;100
LOGN3;06/06/2023;11:15:00;51,15;51,15;51,10;51,10;15.340,00;300
LOGN3;06/06/2023;11:05:00;50,97;51,17;50,97;51,17;25.511,00;500
LOGN3;06/06/2023;11:00:00;51,07;51,07;50,91;50,91;15.292,00;300
LOGN3;06/06/2023;10:55:00;51,02;51,02;51,02;51,02;20.408,00;400
LOGN3;06/06/2023;10:50:00;50,88;50,88;50,88;50,88;10.176,00;200
LOGN3;06/06/2023;10:45:00;50,97;50,97;50,97;50,97;5.097,00;100
LOGN3;06/06/2023;10:35:00;50,92;51,13;50,81;51,13;35.633,00;700
LOGN3;06/06/2023;10:30:00;50,91;51,36;50,91;51,13;209.698,00;4.100
LOGN3;06/06/2023;10:25:00;51,04;51,28;51,04;51,07;153.394,00;3.000
LOGN3;06/06/2023;10:15:00;51,39;51,39;51,18;51,21;71.793,00;1.400
LOGN3;06/06/2023;10:10:00;51,49;51,49;51,49;51,49;5.149,00;100
LOGN3;06/06/2023;10:05:00;51,01;51,50;51,01;51,50;15.398,00;300
LOGN3;05/06/2023;16:50:00;51,05;51,08;50,86;50,86;758.237,00;14.900
LOGN3;05/06/2023;16:45:00;51,02;51,10;50,98;51,08;168.386,00;3.300
LOGN3;05/06/2023;16:40:00;51,15;51,26;51,01;51,01;465.348,00;9.100
LOGN3;05/06/2023;16:35:00;51,01;51,13;51,01;51,13;35.761,00;700
LOGN3;05/06/2023;16:30:00;51,06;51,16;51,02;51,02;66.407,00;1.300
LOGN3;05/06/2023;16:25:00;51,26;51,27;50,97;51,02;613.231,00;12.000
LOGN3;05/06/2023;16:20:00;51,00;51,24;50,98;51,24;76.676,00;1.500
LOGN3;05/06/2023;16:15:00;50,86;51,03;50,85;51,00;270.158,00;5.300
LOGN3;05/06/2023;16:10:00;50,97;50,97;50,86;50,86;50.938,00;1.000
LOGN3;05/06/2023;16:05:00;50,95;50,99;50,95;50,99;10.194,00;200
LOGN3;05/06/2023;16:00:00;51,01;51,02;50,93;50,99;50.988,00;1.000
LOGN3;05/06/2023;15:55:00;50,99;51,11;50,90;50,96;311.165,00;6.100
LOGN3;05/06/2023;15:50:00;50,93;51,06;50,84;50,99;397.486,00;7.800
LOGN3;05/06/2023;15:45:00;51,00;51,00;50,93;50,94;40.776,00;800
LOGN3;05/06/2023;15:35:00;51,12;51,12;50,87;50,96;234.507,00;4.600
LOGN3;05/06/2023;15:30:00;51,09;51,09;51,09;51,09;5.109,00;100
LOGN3;05/06/2023;15:25:00;51,07;51,09;51,02;51,08;66.363,00;1.300
LOGN3;05/06/2023;15:20:00;51,05;51,07;51,05;51,07;10.212,00;200
LOGN3;05/06/2023;15:15:00;50,95;50,98;50,94;50,98;50.952,00;1.000
LOGN3;05/06/2023;15:10:00;50,92;50,92;50,92;50,92;5.092,00;100
LOGN3;05/06/2023;15:05:00;50,93;50,93;50,92;50,92;15.278,00;300
LOGN3;05/06/2023;15:00:00;51,09;51,14;50,95;50,95;250.238,00;4.900
LOGN3;05/06/2023;14:55:00;50,79;51,02;50,79;50,94;66.150,00;1.300
LOGN3;05/06/2023;14:50:00;50,82;50,82;50,80;50,80;20.326,00;400
LOGN3;05/06/2023;14:40:00;50,93;51,06;50,80;50,80;275.152,00;5.400
LOGN3;05/06/2023;14:35:00;51,16;51,16;51,04;51,04;20.451,00;400
LOGN3;05/06/2023;14:30:00;51,19;51,19;51,18;51,18;30.712,00;600
LOGN3;05/06/2023;14:25:00;51,31;51,31;51,20;51,20;184.453,00;3.600
LOGN3;05/06/2023;14:20:00;51,29;51,30;51,23;51,30;41.027,00;800
LOGN3;05/06/2023;14:15:00;51,37;51,37;51,30;51,30;35.936,00;700
LOGN3;05/06/2023;14:10:00;51,38;51,38;51,38;51,38;5.138,00;100
LOGN3;05/06/2023;14:05:00;51,37;51,45;51,37;51,45;20.559,00;400
LOGN3;05/06/2023;13:55:00;51,19;51,32;51,19;51,23;46.113,00;900
LOGN3;05/06/2023;13:50:00;51,20;51,34;51,20;51,22;87.114,00;1.700
LOGN3;05/06/2023;13:40:00;51,15;51,15;51,15;51,15;5.115,00;100
LOGN3;05/06/2023;13:30:00;51,13;51,13;51,13;51,13;5.113,00;100
LOGN3;05/06/2023;13:25:00;50,99;51,07;50,94;51,07;56.093,00;1.100
LOGN3;05/06/2023;13:20:00;51,12;51,12;51,04;51,04;30.656,00;600
LOGN3;05/06/2023;13:15:00;51,06;51,06;51,06;51,06;5.106,00;100
LOGN3;05/06/2023;13:10:00;50,98;50,98;50,98;50,98;5.098,00;100
LOGN3;05/06/2023;13:05:00;50,91;50,91;50,91;50,91;5.091,00;100
LOGN3;05/06/2023;13:00:00;50,79;50,85;50,79;50,85;20.323,00;400
LOGN3;05/06/2023;12:55:00;50,77;50,77;50,76;50,76;10.153,00;200
LOGN3;05/06/2023;12:50:00;50,89;50,89;50,84;50,84;30.520,00;600
LOGN3;05/06/2023;12:45:00;50,89;50,89;50,89;50,89;5.089,00;100
LOGN3;05/06/2023;12:40:00;50,56;50,74;50,56;50,74;55.735,00;1.100
LOGN3;05/06/2023;12:35:00;50,57;50,57;50,50;50,56;45.482,00;900
LOGN3;05/06/2023;12:30:00;50,57;50,57;50,57;50,57;5.057,00;100
LOGN3;05/06/2023;12:25:00;50,63;50,63;50,57;50,57;15.183,00;300
LOGN3;05/06/2023;12:20:00;50,67;50,71;50,67;50,68;45.619,00;900
LOGN3;05/06/2023;12:15:00;50,65;50,84;50,62;50,75;81.175,00;1.600
LOGN3;05/06/2023;12:05:00;50,71;50,71;50,71;50,71;5.071,00;100
LOGN3;05/06/2023;12:00:00;50,60;50,60;50,56;50,56;15.175,00;300
LOGN3;05/06/2023;11:55:00;50,54;50,58;50,51;50,58;25.272,00;500
LOGN3;05/06/2023;11:50:00;50,48;50,59;50,48;50,59;30.312,00;600
LOGN3;05/06/2023;11:45:00;50,53;50,58;50,53;50,58;15.167,00;300
LOGN3;05/06/2023;11:40:00;50,43;50,57;50,43;50,55;30.318,00;600
LOGN3;05/06/2023;11:35:00;50,69;50,70;50,36;50,36;70.763,00;1.400
LOGN3;05/06/2023;11:30:00;50,63;50,70;50,59;50,60;25.319,00;500
LOGN3;05/06/2023;11:25:00;50,71;50,71;50,41;50,56;50.574,00;1.000
LOGN3;05/06/2023;11:20:00;50,82;50,92;50,64;50,72;111.689,00;2.200
LOGN3;05/06/2023;11:15:00;50,97;50,97;50,82;50,91;20.361,00;400
LOGN3;05/06/2023;11:10:00;51,15;51,18;50,96;50,96;40.867,00;800
LOGN3;05/06/2023;11:05:00;51,00;51,24;51,00;51,16;97.190,00;1.900
LOGN3;05/06/2023;11:00:00;51,13;51,13;50,86;50,86;35.708,00;700
LOGN3;05/06/2023;10:55:00;51,22;51,29;50,88;50,88;46.039,00;900
LOGN3;05/06/2023;10:50:00;51,75;51,75;51,27;51,27;41.235,00;800
LOGN3;05/06/2023;10:45:00;51,48;51,63;51,48;51,63;10.311,00;200
LOGN3;05/06/2023;10:40:00;51,41;51,41;51,41;51,41;10.282,00;200
LOGN3;05/06/2023;10:35:00;51,51;51,78;51,51;51,55;36.128,00;700
LOGN3;05/06/2023;10:30:00;51,28;51,28;51,28;51,28;5.128,00;100
LOGN3;05/06/2023;10:25:00;51,29;51,29;51,04;51,10;30.706,00;600
LOGN3;05/06/2023;10:20:00;51,69;51,69;51,16;51,27;20.531,00;400
LOGN3;05/06/2023;10:15:00;51,16;51,37;51,07;51,21;97.181,00;1.900
LOGN3;05/06/2023;10:10:00;50,98;51,78;50,98;51,78;118.183,00;2.300
LOGN3;05/06/2023;10:05:00;50,98;50,98;50,98;50,98;10.196,00;200
LOGN3;05/06/2023;10:00:00;51,03;51,03;50,98;50,98;15.304,00;300
LOGN3;02/06/2023;16:50:00;51,34;51,34;51,03;51,03;403.435,00;7.900
LOGN3;02/06/2023;16:45:00;51,31;51,32;51,23;51,31;123.065,00;2.400
LOGN3;02/06/2023;16:40:00;51,29;51,29;51,29;51,29;5.129,00;100
LOGN3;02/06/2023;16:35:00;51,19;51,34;51,13;51,34;56.310,00;1.100
LOGN3;02/06/2023;16:30:00;51,27;51,28;51,27;51,28;10.255,00;200
LOGN3;02/06/2023;16:25:00;51,38;51,38;51,24;51,24;46.204,00;900
LOGN3;02/06/2023;16:20:00;51,53;51,53;51,38;51,38;20.575,00;400
LOGN3;02/06/2023;16:15:00;51,62;51,62;51,53;51,58;36.106,00;700
LOGN3;02/06/2023;16:10:00;51,72;51,72;51,67;51,67;15.506,00;300
LOGN3;02/06/2023;16:05:00;51,89;51,89;51,67;51,67;31.048,00;600
LOGN3;02/06/2023;16:00:00;51,89;51,89;51,89;51,89;5.189,00;100
LOGN3;02/06/2023;15:55:00;51,84;51,88;51,84;51,88;10.372,00;200
LOGN3;02/06/2023;15:50:00;51,83;51,83;51,83;51,83;5.183,00;100
LOGN3;02/06/2023;15:45:00;51,88;51,92;51,73;51,90;31.112,00;600
LOGN3;02/06/2023;15:40:00;52,05;52,19;51,88;51,93;156.112,00;3.000
LOGN3;02/06/2023;15:35:00;52,00;52,00;52,00;52,00;5.200,00;100
LOGN3;02/06/2023;15:30:00;52,00;52,00;51,96;51,96;10.396,00;200
LOGN3;02/06/2023;15:20:00;51,99;51,99;51,84;51,95;41.508,00;800
LOGN3;02/06/2023;15:15:00;51,76;51,92;51,76;51,92;10.368,00;200
LOGN3;02/06/2023;15:10:00;51,88;51,90;51,73;51,90;20.737,00;400
LOGN3;02/06/2023;15:05:00;51,72;51,83;51,72;51,83;31.051,00;600
LOGN3;02/06/2023;15:00:00;52,20;52,20;51,72;51,75;374.258,00;7.200
LOGN3;02/06/2023;14:55:00;52,18;52,19;52,18;52,19;41.745,00;800
LOGN3;02/06/2023;14:50:00;52,14;52,14;52,14;52,14;10.428,00;200
LOGN3;02/06/2023;14:45:00;52,14;52,14;52,00;52,08;52.036,00;1.000
LOGN3;02/06/2023;14:35:00;52,00;52,12;52,00;52,12;15.620,00;300
LOGN3;02/06/2023;14:30:00;51,94;51,94;51,91;51,91;20.771,00;400
LOGN3;02/06/2023;14:25:00;51,99;52,04;51,94;51,94;15.597,00;300
LOGN3;02/06/2023;14:20:00;51,87;52,00;51,87;51,99;20.785,00;400
LOGN3;02/06/2023;14:15:00;52,07;52,07;52,07;52,07;5.207,00;100
LOGN3;02/06/2023;14:10:00;51,90;52,00;51,74;52,00;98.552,00;1.900
LOGN3;02/06/2023;14:05:00;51,98;51,98;51,82;51,91;46.703,00;900
LOGN3;02/06/2023;14:00:00;51,98;51,98;51,98;51,98;5.198,00;100
LOGN3;02/06/2023;13:55:00;52,09;52,09;51,92;51,92;114.290,00;2.200
LOGN3;02/06/2023;13:50:00;52,15;52,21;52,03;52,09;286.485,00;5.500
