Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LREN3;06/06/2023;11:20:00;21,02;21,03;21,00;21,03;773.290,00;36.800
LREN3;06/06/2023;11:15:00;20,98;21,03;20,94;21,02;3.539.639,00;168.600
LREN3;06/06/2023;11:10:00;21,11;21,15;20,93;20,99;16.853.138,00;802.700
LREN3;06/06/2023;11:05:00;21,18;21,23;21,05;21,11;8.830.701,00;417.300
LREN3;06/06/2023;11:00:00;21,12;21,25;21,11;21,17;17.727.287,00;836.400
LREN3;06/06/2023;10:55:00;21,09;21,16;21,08;21,11;4.097.925,00;194.100
LREN3;06/06/2023;10:50:00;21,13;21,15;21,04;21,08;14.813.108,00;702.300
LREN3;06/06/2023;10:45:00;20,97;21,23;20,94;21,16;22.639.364,00;1.071.700
LREN3;06/06/2023;10:40:00;20,98;21,00;20,94;20,97;2.218.265,00;105.800
LREN3;06/06/2023;10:35:00;20,87;21,00;20,86;21,00;7.601.533,00;362.900
LREN3;06/06/2023;10:30:00;20,77;20,93;20,76;20,86;5.430.012,00;260.200
LREN3;06/06/2023;10:25:00;20,73;20,78;20,71;20,77;1.974.569,00;95.200
LREN3;06/06/2023;10:20:00;20,73;20,78;20,66;20,71;3.463.143,00;167.300
LREN3;06/06/2023;10:15:00;20,71;20,86;20,66;20,74;3.252.017,00;156.700
LREN3;06/06/2023;10:10:00;20,87;20,87;20,69;20,72;1.475.642,00;71.000
LREN3;06/06/2023;10:05:00;20,73;20,95;20,73;20,88;2.864.506,00;137.500
LREN3;05/06/2023;17:30:00;20,51;20,60;20,51;20,60;392.263,00;19.100
LREN3;05/06/2023;16:50:00;20,51;20,54;20,46;20,52;25.969.679,00;1.265.700
LREN3;05/06/2023;16:45:00;20,54;20,54;20,49;20,51;2.960.634,00;144.300
LREN3;05/06/2023;16:40:00;20,53;20,55;20,52;20,53;1.712.638,00;83.400
LREN3;05/06/2023;16:35:00;20,52;20,53;20,48;20,53;3.523.398,00;171.800
LREN3;05/06/2023;16:30:00;20,50;20,55;20,48;20,52;6.243.614,00;304.400
