Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LUPA3;06/06/2023;11:20:00;3,33;3,33;3,33;3,33;9.324,00;2.800
LUPA3;06/06/2023;11:15:00;3,33;3,33;3,33;3,33;1.332,00;400
LUPA3;06/06/2023;11:10:00;3,33;3,34;3,33;3,33;35.635,00;10.700
LUPA3;06/06/2023;11:05:00;3,34;3,35;3,34;3,34;55.226,00;16.500
LUPA3;06/06/2023;11:00:00;3,35;3,35;3,34;3,35;24.428,00;7.300
LUPA3;06/06/2023;10:55:00;3,37;3,37;3,35;3,36;28.562,00;8.500
LUPA3;06/06/2023;10:50:00;3,35;3,37;3,35;3,37;53.438,00;15.900
LUPA3;06/06/2023;10:45:00;3,34;3,36;3,34;3,35;94.169,00;28.100
LUPA3;06/06/2023;10:40:00;3,35;3,36;3,34;3,34;61.622,00;18.400
LUPA3;06/06/2023;10:35:00;3,33;3,35;3,32;3,35;101.647,00;30.400
LUPA3;06/06/2023;10:30:00;3,34;3,34;3,32;3,33;55.289,00;16.600
LUPA3;06/06/2023;10:25:00;3,33;3,35;3,32;3,34;235.611,00;70.500
LUPA3;06/06/2023;10:20:00;3,33;3,34;3,30;3,30;106.811,00;32.200
LUPA3;06/06/2023;10:15:00;3,29;3,34;3,29;3,32;112.480,00;33.900
LUPA3;06/06/2023;10:10:00;3,33;3,33;3,30;3,30;133.911,00;40.400
LUPA3;06/06/2023;10:05:00;3,33;3,34;3,32;3,33;70.637,00;21.200
LUPA3;06/06/2023;10:00:00;3,34;3,34;3,31;3,34;186.994,00;56.100
LUPA3;05/06/2023;17:30:00;3,28;3,33;3,28;3,33;146.632,00;44.300
LUPA3;05/06/2023;16:50:00;3,28;3,29;3,27;3,27;212.079,00;64.800
LUPA3;05/06/2023;16:45:00;3,28;3,29;3,28;3,28;44.330,00;13.500
LUPA3;05/06/2023;16:40:00;3,29;3,29;3,27;3,27;31.829,00;9.700
LUPA3;05/06/2023;16:35:00;3,31;3,31;3,29;3,30;82.799,00;25.100
LUPA3;05/06/2023;16:30:00;3,33;3,33;3,31;3,31;46.133,00;13.900
