Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LVTC3;06/06/2023;11:15:00;5,72;5,72;5,72;5,72;2.860,00;500
LVTC3;06/06/2023;11:10:00;5,72;5,72;5,72;5,72;572,00;100
LVTC3;06/06/2023;11:05:00;5,73;5,73;5,73;5,73;573,00;100
LVTC3;06/06/2023;11:00:00;5,73;5,73;5,73;5,73;5.157,00;900
LVTC3;06/06/2023;10:50:00;5,72;5,72;5,72;5,72;1.144,00;200
LVTC3;06/06/2023;10:35:00;5,69;5,70;5,69;5,70;1.139,00;200
LVTC3;06/06/2023;10:00:00;5,74;5,74;5,74;5,74;1.722,00;300
LVTC3;05/06/2023;17:30:00;5,63;5,69;5,62;5,69;57.948,00;10.200
LVTC3;05/06/2023;16:50:00;5,67;5,67;5,67;5,67;6.237,00;1.100
LVTC3;05/06/2023;16:45:00;5,69;5,69;5,67;5,67;7.393,00;1.300
LVTC3;05/06/2023;16:35:00;5,72;5,72;5,72;5,72;572,00;100
LVTC3;05/06/2023;16:30:00;5,70;5,77;5,70;5,77;24.118,00;4.200
LVTC3;05/06/2023;16:25:00;5,71;5,71;5,71;5,71;1.142,00;200
LVTC3;05/06/2023;16:20:00;5,60;5,73;5,60;5,73;99.465,00;17.500
LVTC3;05/06/2023;16:15:00;5,62;5,62;5,62;5,62;562,00;100
LVTC3;05/06/2023;16:10:00;5,62;5,62;5,62;5,62;562,00;100
LVTC3;05/06/2023;15:40:00;5,59;5,62;5,59;5,60;12.304,00;2.200
LVTC3;05/06/2023;15:30:00;5,59;5,59;5,59;5,59;5.590,00;1.000
LVTC3;05/06/2023;15:20:00;5,58;5,58;5,58;5,58;1.116,00;200
LVTC3;05/06/2023;15:15:00;5,58;5,58;5,58;5,58;1.674,00;300
LVTC3;05/06/2023;15:05:00;5,57;5,57;5,57;5,57;1.114,00;200
LVTC3;05/06/2023;14:55:00;5,58;5,58;5,58;5,58;1.116,00;200
LVTC3;05/06/2023;14:50:00;5,58;5,58;5,58;5,58;558,00;100
LVTC3;05/06/2023;14:30:00;5,59;5,59;5,59;5,59;3.913,00;700
LVTC3;05/06/2023;14:25:00;5,59;5,60;5,59;5,60;3.918,00;700
LVTC3;05/06/2023;14:15:00;5,52;5,61;5,52;5,61;162.539,00;29.100
LVTC3;05/06/2023;14:10:00;5,51;5,51;5,50;5,50;1.652,00;300
LVTC3;05/06/2023;14:00:00;5,51;5,51;5,51;5,51;2.204,00;400
LVTC3;05/06/2023;13:25:00;5,52;5,52;5,52;5,52;5.520,00;1.000
LVTC3;05/06/2023;13:15:00;5,49;5,53;5,49;5,52;21.547,00;3.900
LVTC3;05/06/2023;13:10:00;5,50;5,50;5,50;5,50;1.100,00;200
LVTC3;05/06/2023;13:05:00;5,47;5,47;5,47;5,47;1.641,00;300
LVTC3;05/06/2023;12:15:00;5,47;5,47;5,47;5,47;547,00;100
LVTC3;05/06/2023;12:00:00;5,46;5,46;5,46;5,46;546,00;100
LVTC3;05/06/2023;11:50:00;5,44;5,44;5,44;5,44;544,00;100
LVTC3;05/06/2023;11:35:00;5,41;5,41;5,41;5,41;541,00;100
LVTC3;05/06/2023;11:30:00;5,27;5,36;5,26;5,36;7.991,00;1.500
LVTC3;05/06/2023;11:25:00;5,35;5,35;5,35;5,35;16.050,00;3.000
LVTC3;05/06/2023;11:20:00;5,39;5,39;5,34;5,34;18.730,00;3.500
LVTC3;05/06/2023;11:00:00;5,46;5,46;5,46;5,46;546,00;100
LVTC3;05/06/2023;10:55:00;5,40;5,40;5,40;5,40;540,00;100
LVTC3;05/06/2023;10:40:00;5,44;5,44;5,43;5,43;3.263,00;600
LVTC3;05/06/2023;10:35:00;5,53;5,53;5,53;5,53;1.106,00;200
LVTC3;05/06/2023;10:10:00;5,56;5,57;5,56;5,57;1.670,00;300
LVTC3;02/06/2023;16:50:00;5,44;5,49;5,42;5,42;7.610,00;1.400
LVTC3;02/06/2023;16:45:00;5,47;5,49;5,47;5,49;12.042,00;2.200
LVTC3;02/06/2023;16:05:00;5,44;5,44;5,44;5,44;1.088,00;200
LVTC3;02/06/2023;15:55:00;5,44;5,44;5,44;5,44;544,00;100
LVTC3;02/06/2023;15:50:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;15:35:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;15:25:00;5,46;5,46;5,38;5,46;8.631,00;1.600
LVTC3;02/06/2023;15:10:00;5,47;5,47;5,47;5,47;547,00;100
LVTC3;02/06/2023;15:00:00;5,48;5,48;5,47;5,47;2.189,00;400
LVTC3;02/06/2023;14:55:00;5,40;5,49;5,35;5,49;3.784,00;700
LVTC3;02/06/2023;14:45:00;5,45;5,45;5,40;5,40;3.800,00;700
LVTC3;02/06/2023;14:40:00;5,42;5,44;5,42;5,44;2.718,00;500
LVTC3;02/06/2023;14:35:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;14:20:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;14:10:00;5,44;5,44;5,44;5,44;544,00;100
LVTC3;02/06/2023;13:55:00;5,43;5,44;5,43;5,44;1.087,00;200
LVTC3;02/06/2023;13:45:00;5,43;5,44;5,38;5,43;12.453,00;2.300
LVTC3;02/06/2023;13:35:00;5,40;5,41;5,34;5,41;27.307,00;5.100
LVTC3;02/06/2023;13:30:00;5,41;5,44;5,35;5,44;8.614,00;1.600
LVTC3;02/06/2023;13:15:00;5,44;5,45;5,44;5,45;2.177,00;400
LVTC3;02/06/2023;13:10:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;13:05:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;13:00:00;5,45;5,45;5,45;5,45;545,00;100
LVTC3;02/06/2023;12:50:00;5,49;5,49;5,49;5,49;549,00;100
LVTC3;02/06/2023;12:40:00;5,50;5,50;5,50;5,50;550,00;100
LVTC3;02/06/2023;12:35:00;5,45;5,49;5,45;5,49;10.932,00;2.000
