Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
LWSA3;16/06/2023;17:30:00;9,44;9,44;9,41;9,44;292.088,00;31.000
LWSA3;16/06/2023;16:45:00;9,51;9,51;9,44;9,44;10.850.392,00;1.148.400
LWSA3;16/06/2023;16:40:00;9,52;9,53;9,50;9,51;659.004,00;69.300
LWSA3;16/06/2023;16:35:00;9,53;9,54;9,51;9,52;599.783,00;63.000
LWSA3;16/06/2023;16:30:00;9,50;9,54;9,49;9,52;750.713,00;78.900
LWSA3;16/06/2023;16:25:00;9,51;9,52;9,49;9,50;955.043,00;100.500
LWSA3;16/06/2023;16:20:00;9,52;9,53;9,51;9,51;565.626,00;59.400
LWSA3;16/06/2023;16:15:00;9,50;9,54;9,49;9,51;1.217.342,00;128.000
LWSA3;16/06/2023;16:10:00;9,53;9,56;9,49;9,50;1.054.479,00;110.700
LWSA3;16/06/2023;16:05:00;9,52;9,54;9,51;9,54;736.604,00;77.300
LWSA3;16/06/2023;16:00:00;9,55;9,55;9,52;9,54;436.661,00;45.800
LWSA3;16/06/2023;15:55:00;9,56;9,56;9,53;9,55;462.035,00;48.400
LWSA3;16/06/2023;15:50:00;9,55;9,56;9,53;9,56;421.017,00;44.100
LWSA3;16/06/2023;15:45:00;9,59;9,59;9,54;9,56;499.080,00;52.200
LWSA3;16/06/2023;15:40:00;9,56;9,59;9,56;9,59;444.383,00;46.400
LWSA3;16/06/2023;15:35:00;9,62;9,62;9,56;9,56;1.200.158,00;125.100
LWSA3;16/06/2023;15:30:00;9,62;9,62;9,60;9,62;288.423,00;30.000
LWSA3;16/06/2023;15:25:00;9,61;9,63;9,60;9,62;291.373,00;30.300
LWSA3;16/06/2023;15:20:00;9,61;9,63;9,59;9,61;309.528,00;32.200
LWSA3;16/06/2023;15:15:00;9,59;9,61;9,59;9,61;304.308,00;31.700
LWSA3;16/06/2023;15:10:00;9,61;9,63;9,58;9,60;366.152,00;38.100
LWSA3;16/06/2023;15:05:00;9,58;9,62;9,57;9,62;514.292,00;53.600
LWSA3;16/06/2023;15:00:00;9,58;9,59;9,56;9,59;334.184,00;34.900
LWSA3;16/06/2023;14:55:00;9,57;9,58;9,56;9,58;198.145,00;20.700
LWSA3;16/06/2023;14:50:00;9,60;9,61;9,56;9,57;472.540,00;49.300
LWSA3;16/06/2023;14:45:00;9,58;9,61;9,57;9,60;322.501,00;33.600
LWSA3;16/06/2023;14:40:00;9,55;9,58;9,54;9,58;329.108,00;34.400
LWSA3;16/06/2023;14:35:00;9,53;9,55;9,52;9,55;246.054,00;25.800
LWSA3;16/06/2023;14:30:00;9,52;9,53;9,50;9,53;167.504,00;17.600
LWSA3;16/06/2023;14:25:00;9,52;9,52;9,50;9,52;215.921,00;22.700
LWSA3;16/06/2023;14:20:00;9,50;9,52;9,50;9,52;196.866,00;20.700
LWSA3;16/06/2023;14:15:00;9,53;9,53;9,50;9,51;224.548,00;23.600
LWSA3;16/06/2023;14:10:00;9,53;9,53;9,51;9,53;157.122,00;16.500
LWSA3;16/06/2023;14:05:00;9,54;9,55;9,52;9,53;150.695,00;15.800
LWSA3;16/06/2023;14:00:00;9,57;9,57;9,53;9,53;165.159,00;17.300
LWSA3;16/06/2023;13:55:00;9,53;9,57;9,52;9,57;665.864,00;69.700
LWSA3;16/06/2023;13:50:00;9,52;9,54;9,51;9,52;344.986,00;36.200
LWSA3;16/06/2023;13:45:00;9,51;9,52;9,50;9,52;123.655,00;13.000
LWSA3;16/06/2023;13:40:00;9,50;9,51;9,48;9,51;220.342,00;23.200
LWSA3;16/06/2023;13:35:00;9,51;9,51;9,48;9,49;271.535,00;28.600
LWSA3;16/06/2023;13:30:00;9,53;9,53;9,50;9,51;358.713,00;37.700
LWSA3;16/06/2023;13:25:00;9,54;9,54;9,52;9,53;124.798,00;13.100
LWSA3;16/06/2023;13:20:00;9,53;9,54;9,52;9,53;167.789,00;17.600
LWSA3;16/06/2023;13:15:00;9,53;9,54;9,52;9,52;110.556,00;11.600
LWSA3;16/06/2023;13:10:00;9,55;9,56;9,53;9,54;200.616,00;21.000
LWSA3;16/06/2023;13:05:00;9,52;9,55;9,52;9,54;387.237,00;40.600
LWSA3;16/06/2023;13:00:00;9,52;9,53;9,50;9,53;547.248,00;57.500
LWSA3;16/06/2023;12:55:00;9,51;9,53;9,51;9,52;132.341,00;13.900
LWSA3;16/06/2023;12:50:00;9,50;9,51;9,47;9,51;805.951,00;84.900
LWSA3;16/06/2023;12:45:00;9,52;9,52;9,50;9,51;103.639,00;10.900
LWSA3;16/06/2023;12:40:00;9,52;9,52;9,50;9,52;114.133,00;12.000
LWSA3;16/06/2023;12:35:00;9,53;9,54;9,52;9,52;150.563,00;15.800
LWSA3;16/06/2023;12:30:00;9,54;9,54;9,52;9,52;142.943,00;15.000
LWSA3;16/06/2023;12:25:00;9,52;9,53;9,49;9,53;312.682,00;32.900
LWSA3;16/06/2023;12:20:00;9,54;9,54;9,51;9,51;126.711,00;13.300
LWSA3;16/06/2023;12:15:00;9,53;9,54;9,52;9,54;308.781,00;32.400
LWSA3;16/06/2023;12:10:00;9,54;9,55;9,52;9,53;417.531,00;43.800
LWSA3;16/06/2023;12:05:00;9,53;9,54;9,52;9,53;107.679,00;11.300
LWSA3;16/06/2023;12:00:00;9,52;9,53;9,50;9,52;206.455,00;21.700
LWSA3;16/06/2023;11:55:00;9,53;9,53;9,51;9,52;135.157,00;14.200
LWSA3;16/06/2023;11:50:00;9,53;9,54;9,52;9,53;128.636,00;13.500
LWSA3;16/06/2023;11:45:00;9,50;9,54;9,49;9,52;354.729,00;37.300
LWSA3;16/06/2023;11:40:00;9,55;9,56;9,50;9,51;931.997,00;97.900
LWSA3;16/06/2023;11:35:00;9,52;9,55;9,50;9,55;185.783,00;19.500
LWSA3;16/06/2023;11:30:00;9,53;9,54;9,50;9,52;168.426,00;17.700
LWSA3;16/06/2023;11:25:00;9,51;9,54;9,47;9,54;557.879,00;58.700
LWSA3;16/06/2023;11:20:00;9,50;9,52;9,49;9,51;259.399,00;27.300
LWSA3;16/06/2023;11:15:00;9,53;9,54;9,50;9,50;291.898,00;30.700
LWSA3;16/06/2023;11:10:00;9,51;9,56;9,50;9,53;259.063,00;27.200
LWSA3;16/06/2023;11:05:00;9,52;9,56;9,50;9,51;634.106,00;66.500
LWSA3;16/06/2023;11:00:00;9,51;9,57;9,51;9,53;382.746,00;40.100
LWSA3;16/06/2023;10:55:00;9,48;9,53;9,48;9,51;152.079,00;16.000
LWSA3;16/06/2023;10:50:00;9,48;9,53;9,46;9,48;321.019,00;33.800
LWSA3;16/06/2023;10:45:00;9,45;9,49;9,43;9,48;273.237,00;28.900
LWSA3;16/06/2023;10:40:00;9,48;9,50;9,44;9,45;278.482,00;29.400
LWSA3;16/06/2023;10:35:00;9,46;9,50;9,44;9,49;174.265,00;18.400
LWSA3;16/06/2023;10:30:00;9,49;9,50;9,44;9,47;264.123,00;27.900
LWSA3;16/06/2023;10:25:00;9,53;9,54;9,48;9,48;455.853,00;47.900
LWSA3;16/06/2023;10:20:00;9,50;9,54;9,48;9,53;339.704,00;35.700
LWSA3;16/06/2023;10:15:00;9,49;9,50;9,45;9,48;390.487,00;41.200
LWSA3;16/06/2023;10:10:00;9,47;9,51;9,41;9,49;612.508,00;64.800
