Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
MATD3;06/06/2023;11:20:00;9,69;9,69;9,62;9,64;51.235,00;5.300
MATD3;06/06/2023;11:15:00;9,66;9,74;9,66;9,70;53.384,00;5.500
MATD3;06/06/2023;11:10:00;9,70;9,70;9,68;9,68;19.385,00;2.000
MATD3;06/06/2023;11:05:00;9,65;9,70;9,64;9,70;12.589,00;1.300
MATD3;06/06/2023;11:00:00;9,68;9,69;9,64;9,64;30.944,00;3.200
MATD3;06/06/2023;10:55:00;9,69;9,70;9,69;9,69;8.728,00;900
MATD3;06/06/2023;10:50:00;9,69;9,70;9,68;9,68;11.629,00;1.200
MATD3;06/06/2023;10:45:00;9,70;9,71;9,70;9,70;4.851,00;500
MATD3;06/06/2023;10:40:00;9,76;9,76;9,70;9,71;26.292,00;2.700
MATD3;06/06/2023;10:35:00;9,73;9,79;9,73;9,77;37.101,00;3.800
MATD3;06/06/2023;10:30:00;9,67;9,79;9,67;9,75;44.819,00;4.600
MATD3;06/06/2023;10:25:00;9,66;9,68;9,65;9,68;4.833,00;500
MATD3;06/06/2023;10:20:00;9,66;9,70;9,66;9,70;2.903,00;300
MATD3;06/06/2023;10:15:00;9,68;9,68;9,66;9,66;14.507,00;1.500
MATD3;06/06/2023;10:10:00;9,69;9,73;9,68;9,68;20.375,00;2.100
MATD3;06/06/2023;10:05:00;9,62;9,69;9,62;9,68;9.677,00;1.000
MATD3;06/06/2023;10:00:00;9,75;9,75;9,68;9,68;29.110,00;3.000
MATD3;05/06/2023;16:50:00;9,75;9,76;9,70;9,70;1.367.433,00;140.700
MATD3;05/06/2023;16:45:00;9,77;9,77;9,75;9,75;368.583,00;37.800
MATD3;05/06/2023;16:40:00;9,76;9,76;9,75;9,76;44.885,00;4.600
MATD3;05/06/2023;16:35:00;9,72;9,77;9,71;9,77;195.905,00;20.100
MATD3;05/06/2023;16:30:00;9,75;9,75;9,72;9,72;73.052,00;7.500
MATD3;05/06/2023;16:25:00;9,74;9,75;9,73;9,75;44.801,00;4.600
MATD3;05/06/2023;16:20:00;9,69;9,74;9,69;9,74;69.971,00;7.200
